Parliamentary Constituency Codes,Parliamentary Constituency,Self-employment income: Median (Lower 95% CI),Self-employment income: Median (Central Estimate),Self-employment income: Median (Upper 95% CI),Employment income: Median (Lower 95% CI),Employment income: Median (Central Estimate),Employment income: Median (Upper 95% CI),Pension income: Median (Lower 95% CI),Pension income: Median (Central Estimate),Pension income: Median (Upper 95% CI),Total income: Median (Lower 95% CI),Total income: Median (Central Estimate),Total income: Median (Upper 95% CI),Total tax: Median (Lower 95% CI),Total tax: Median (Central Estimate),Total tax: Median (Upper 95% CI)
E14001121,Braintree,15500,18400,21600,27500,29100,30700,14600,16000,17700,28800,30200,31300,2950,3190,3370
E14001125,Brentwood and Ongar,13500,15600,17900,29700,31900,35400,17200,19200,21100,32300,34600,36200,3480,3830,4170
E14001136,Broadland and Fakenham,15400,18000,20100,23500,24400,26200,16200,17500,18800,24600,25900,27600,2160,2380,2650
E14001139,Broxbourne,15400,18100,19900,29900,32600,34600,16200,17900,19000,29500,30900,33100,2980,3360,3700
E14001146,Bury St Edmunds and Stowmarket,14200,17100,18700,27800,30100,32100,17000,18500,20300,27800,29900,31600,2790,3010,3380
E14001149,Cambridge,8930,12700,14400,30600,32900,34600,15300,18900,21400,32000,34100,36300,3510,3950,4270
E14001154,Castle Point,16100,18500,22000,25800,28700,32400,17000,18800,20700,26700,28800,30700,2550,2890,3210
E14001156,Central Suffolk and North Ipswich,13900,15800,18300,24800,26500,27900,15800,16700,18100,25400,26800,28300,2320,2610,2830
E14001159,Chelmsford,14600,16500,20700,30700,32400,34700,18300,20100,23000,30200,32400,34400,3190,3550,3990
E14001174,Clacton,12800,14900,17600,22600,24100,25700,14900,16500,18700,22900,24100,25300,1940,2110,2290
E14001176,Colchester,14000,16900,19000,26700,28000,29800,16200,17800,19700,27500,29000,30500,2670,2960,3250
E14001206,Dunstable and Leighton Buzzard,14700,18200,20100,28300,30000,31400,15700,17400,18700,28100,29600,30800,2880,3040,3250
E14001224,Ely and East Cambridgeshire,14200,16200,18700,29100,30600,32200,13600,15100,16800,30100,31200,33300,3120,3390,3660
E14001226,Epping Forest,17000,19900,21900,30000,31400,33500,16500,18100,19600,31100,32500,34600,3390,3640,3940
E14001256,Great Yarmouth,13100,15800,17500,23100,24100,26300,14900,16700,17600,23200,24300,25500,1950,2110,2400
E14001267,Harlow,15600,19100,23200,27600,29000,30500,15000,16800,18800,28700,29900,31500,2890,3130,3320
E14001268,Harpenden and Berkhamsted,16300,20000,21800,34700,37400,40200,19300,21200,22700,37100,38800,41600,4060,4490,4940
E14001273,Harwich and North Essex,14400,16100,18600,25500,27700,31200,16000,17600,18700,26600,28200,30600,2500,2810,3070
E14001278,Hemel Hempstead,14200,15700,19000,27900,29900,31400,16500,18400,19700,29200,30400,31800,2940,3270,3500
E14001283,Hertford and Stortford,17000,20100,23400,33100,34700,36400,16000,19300,21400,33800,35800,37400,3750,4040,4370
E14001284,Hertsmere,15400,18500,20900,29800,31900,34400,15500,18000,18800,33200,34800,36500,3440,3790,4160
E14001289,Hitchin,14400,16800,18800,32300,34600,37400,16600,18800,20000,32300,33900,36600,3450,3810,4160
E14001298,Huntingdon,12700,15300,18300,29000,30500,32700,16000,17600,19100,29500,31100,33100,3030,3330,3550
E14001302,Ipswich,13400,15900,18500,23900,25500,27000,14900,16300,17800,24900,26300,27400,2240,2490,2730
E14001344,Lowestoft,13200,16800,21000,23900,25500,26800,15500,17200,19300,24700,26000,27000,2190,2430,2660
E14001345,Luton North,15700,19100,21000,26100,28100,29300,13600,15000,16300,26300,28300,29400,2490,2910,3150
E14001346,Luton South and South Bedfordshire,14300,16100,18100,23800,25700,27000,14800,16400,17200,24900,26200,27600,2220,2480,2770
E14001351,Maldon,15600,17100,18700,26800,28200,30700,17000,19600,20800,28500,30100,31800,2930,3140,3450
E14001359,Mid Bedfordshire,14300,18000,20400,29400,32000,34300,16600,18100,20200,30900,32900,34500,3100,3580,3890
