Parliamentary Constituency Codes,Parliamentary Constituency,Self-employment income: Median (Lower 95% CI),Self-employment income: Median (Central Estimate),Self-employment income: Median (Upper 95% CI),Employment income: Median (Lower 95% CI),Employment income: Median (Central Estimate),Employment income: Median (Upper 95% CI),Pension income: Median (Lower 95% CI),Pension income: Median (Central Estimate),Pension income: Median (Upper 95% CI),Total income: Median (Lower 95% CI),Total income: Median (Central Estimate),Total income: Median (Upper 95% CI),Total tax: Median (Lower 95% CI),Total tax: Median (Central Estimate),Total tax: Median (Upper 95% CI)
S14000105,Stirling and Strathallan,14300,17300,18900,27600,29100,31700,18100,19100,21000,28500,30000,32100,2860,3140,3420
S14000111,West Aberdeenshire and Kincardine,12700,15200,19200,32300,33900,36500,16000,18200,20200,33100,34200,36100,3740,4000,4290
S14000106,West Dunbartonshire,13200,16200,20600,25700,27600,29000,15300,16100,17400,25000,26500,28200,2270,2580,2870
N92000002,Northern Ireland,13600,14000,14500,25900,26200,26500,16100,16600,17000,26500,26900,27200,2540,2600,2660
N05000001,Belfast East,11900,13500,18800,27100,28900,30100,17100,18800,20900,27400,29000,30300,2780,3040,3240
N05000002,Belfast North,12600,14200,15600,23400,24500,26000,14200,15600,16700,23300,24300,25400,1950,2200,2410
N05000003,Belfast South and Mid Down,10000,16700,19700,27600,29400,31600,16200,17600,20400,29000,30800,32700,3060,3330,3660
N05000004,Belfast West,14500,18100,19500,22300,23200,24100,13900,15100,16700,22300,23200,24100,1810,1970,2110
N05000005,East Antrim,13000,14300,16300,26100,27700,29900,16000,16900,18800,25700,27200,28600,2470,2730,3030
N05000006,East Londonderry,12600,15300,16900,24000,25200,26600,15700,18100,20800,25200,26500,28200,2240,2540,2750
N05000007,Fermanagh & South Tyrone,2010,5540,9570,24000,25300,26600,13600,15300,17200,24500,26200,27200,2120,2340,2560
N05000008,Foyle,13900,18000,21800,24000,25300,27800,15300,16500,17800,24100,25500,27600,2050,2390,2680
N05000009,Lagan Valley,12900,14500,17400,27100,28900,30600,15000,16700,19300,27900,29400,30800,2760,3040,3240
N05000010,Mid Ulster,10600,12900,14100,25000,26500,28000,12600,14000,15000,25900,27100,29000,2380,2540,2860
N05000011,Newry & Armagh,12600,14300,16100,23600,24800,26000,13400,15000,17600,24400,25500,26700,2040,2300,2550
N05000012,North Antrim,14100,16900,21100,24000,25300,26500,14000,15900,17800,25400,26500,27800,2320,2540,2720
N05000013,North Down,8360,12000,14100,24400,26100,27700,17100,18000,18900,25400,27400,28400,2360,2620,2910
N05000014,South Antrim,10200,13100,14800,26800,28600,29800,15800,19000,19900,27200,28700,29900,2710,2950,3220
N05000015,South Down,13800,15500,17200,23700,25600,27100,14800,17500,19800,26000,27300,28900,2380,2650,2820
N05000016,Strangford,13900,15100,18300,24600,25600,26900,14600,16000,18000,25600,26800,28700,2380,2600,2890
N05000017,Upper Bann,12900,14400,17700,25200,26700,28200,13500,15000,16800,25500,27200,28600,2320,2600,2900
N05000018,West Tyrone,6370,11800,14000,23900,25200,26900,13400,15200,17200,24800,25900,27500,2200,2470,2720
 End of worksheet ,,,,,,,,,,,,,,,,
