PCON22CD,LA23CD,overlap
E14000625,E07000130,0.865
E14000626,E07000115,0.754
E14000627,E08000007,0.998
E14000628,E07000070,1
E14000629,E09000013,0.561
E14000630,E07000078,0.998
E14000631,E06000060,1
E14000632,E07000034,0.998
E14000633,E07000225,0.959
E14000634,E09000031,0.76
E14000635,E06000054,1
E14000636,E09000003,0.999
E14000637,E07000118,0.999
E14000638,E06000059,0.529
E14000639,E09000033,0.783
E14000640,E06000050,0.997
E14000641,E06000047,1
E14000642,E07000076,0.904
E14000643,E06000013,0.48
E14000644,E07000071,0.997
E14000645,E08000034,0.999
E14000646,E06000049,0.999
E14000647,E06000063,0.969
E14000648,E06000061,0.999
E14000649,E08000026,0.998
E14000650,E08000026,0.999
E14000651,E08000026,0.999
E14000652,E07000226,0.998
E14000653,E06000049,1
E14000654,E09000008,0.998
E14000655,E09000008,0.998
E14000656,E09000008,0.999
E14000657,E09000016,0.582
E14000658,E06000005,1
E14000659,E07000107,0.812
E14000660,E06000062,0.955
E14000661,E08000008,0.747
E14000662,E06000015,0.999
E14000663,E06000015,0.999
E14000664,E07000035,0.873
E14000665,E06000054,1
E14000666,E08000034,0.999
E14000667,E08000017,1
E14000668,E08000017,0.998
E14000669,E08000017,0.998
E14000670,E07000108,0.992
E14000671,E08000027,0.998
E14000672,E08000027,0.999
E14000673,E09000022,0.524
E14000674,E09000009,0.998
E14000675,E09000009,0.998
E14000676,E09000009,0.997
E14000677,E06000047,0.991
E14000678,E07000040,0.951
E14000679,E09000025,0.898
E14000680,E07000085,0.999
E14000681,E07000215,0.956
E14000682,E07000223,0.732
E14000683,E06000011,0.996
E14000684,E07000061,0.787
E14000685,E07000086,0.927
E14000686,E06000050,0.587
E14000687,E09000010,0.999
E14000688,E06000050,0.873
E14000689,E08000035,0.999
E14000690,E09000011,0.998
E14000691,E09000010,0.999
E14000692,E09000010,0.998
E14000693,E07000072,0.999
E14000694,E07000208,0.658
E14000695,E07000036,0.998
E14000696,E09000004,0.539
E14000697,E07000207,0.999
E14000698,E07000041,0.994
E14000699,E07000087,0.95
E14000700,E07000110,0.647
E14000701,E09000018,0.998
E14000702,E06000025,0.834
E14000703,E09000003,0.999
E14000704,E07000112,0.807
E14000705,E07000080,0.848
E14000706,E07000119,0.87
E14000707,E07000142,0.96
E14000708,E08000012,0.475
E14000709,E08000037,0.964
E14000710,E07000173,0.998
E14000711,E06000035,0.726
E14000712,E07000081,0.991
E14000713,E07000088,0.651
E14000714,E07000141,1
E14000715,E07000109,0.942
E14000716,E06000012,0.925
E14000717,E07000145,0.954
E14000718,E09000011,0.881
E14000719,E07000209,0.529
E14000720,E09000012,0.997
E14000721,E09000012,0.996
E14000722,E08000027,0.633
E14000723,E08000033,0.999
E14000724,E06000011,0.952
E14000725,E06000006,0.818
E14000726,E09000013,0.981
E14000727,E09000007,0.673
E14000728,E07000131,0.885
E14000729,E07000072,0.616
E14000730,E06000065,1
E14000731,E09000015,0.998
E14000732,E09000015,0.999
E14000733,E06000001,0.952
E14000734,E07000076,0.487
E14000735,E07000064,0.808
E14000736,E07000090,0.671
E14000737,E09000017,0.999
E14000738,E08000007,0.998
E14000739,E07000096,0.999
E14000740,E08000036,0.999
E14000741,E09000003,0.999
E14000742,E07000179,0.857
E14000743,E06000019,1
E14000744,E07000242,0.999
E14000745,E07000098,0.999
E14000746,E06000057,1
E14000747,E08000005,0.999
E14000748,E07000037,0.999
E14000749,E07000099,0.603
E14000750,E09000007,0.997
E14000751,E09000016,0.999
E14000752,E09000014,0.997
E14000753,E07000227,0.75
E14000754,E08000024,0.997
E14000755,E06000043,0.992
E14000756,E08000034,0.999
E14000757,E07000011,0.999
E14000758,E07000120,0.808
E14000759,E09000026,0.999
E14000760,E09000026,0.995
E14000761,E07000202,0.973
E14000762,E06000046,0.967
E14000763,E09000019,0.996
E14000764,E09000019,0.997
E14000765,E08000023,0.819
E14000766,E08000032,0.999
E14000767,E07000221,0.495
E14000768,E09000020,0.997
E14000769,E06000061,0.999
E14000770,E09000021,0.998
E14000771,E06000010,0.878
E14000772,E06000010,0.995
E14000773,E06000010,0.584
E14000774,E06000025,0.999
E14000775,E08000011,0.999
E14000776,E07000121,0.658
E14000777,E08000035,1
E14000778,E08000035,1
E14000779,E08000035,1
E14000780,E08000035,0.999
E14000781,E08000035,1
E14000782,E06000016,0.999
E14000783,E06000016,0.999
E14000784,E06000016,0.999
E14000785,E08000010,0.999
E14000786,E07000063,0.756
E14000787,E09000023,0.998
E14000788,E09000023,0.525
E14000789,E09000023,0.985
E14000790,E09000031,0.531
E14000791,E07000194,0.554
E14000792,E07000138,0.558
E14000793,E08000012,0.727
E14000794,E08000012,0.999
E14000795,E08000012,1
E14000796,E08000012,0.999
E14000797,E07000130,0.999
E14000798,E07000137,0.983
E14000799,E06000051,1
E14000800,E06000032,0.998
E14000801,E06000056,0.558
E14000802,E06000049,1
E14000803,E06000040,0.653
E14000804,E07000110,0.627
E14000805,E08000010,0.999
E14000806,E07000074,0.528
E14000807,E08000003,0.998
E14000808,E08000003,0.998
E14000809,E08000003,0.998
E14000810,E07000174,0.998
E14000811,E07000094,0.853
E14000812,E08000029,0.998
E14000813,E06000056,0.837
E14000814,E07000036,0.538
E14000815,E06000059,0.82
E14000816,E07000143,0.849
E14000817,E07000228,0.999
E14000818,E07000238,0.999
E14000819,E06000002,0.976
E14000820,E06000003,0.863
E14000821,E06000042,0.999
E14000822,E06000042,0.998
E14000823,E09000024,0.997
E14000824,E07000210,0.667
E14000825,E07000121,0.761
E14000826,E08000035,0.644
E14000827,E07000091,0.952
E14000828,E07000091,0.987
E14000829,E07000175,0.63
E14000830,E06000037,0.999
E14000831,E08000021,0.974
E14000832,E08000021,0.966
E14000833,E08000021,0.994
E14000834,E07000195,0.999
E14000835,E07000045,0.975
E14000836,E08000036,0.999
E14000837,E06000052,0.988
E14000838,E07000043,0.982
E14000839,E06000059,1
E14000840,E06000047,0.999
E14000841,E06000055,0.678
E14000842,E07000010,0.753
E14000843,E07000038,0.917
E14000844,E07000089,0.501
E14000845,E07000242,0.61
E14000846,E06000022,0.999
E14000847,E06000019,1
E14000848,E07000147,0.967
E14000849,E06000051,0.999
E14000850,E06000024,0.984
E14000851,E06000030,0.999
E14000852,E07000114,0.542
E14000853,E08000022,0.971
E14000854,E07000218,0.931
E14000855,E07000011,0.774
E14000856,E06000047,1
E14000857,E07000084,0.635
E14000858,E07000134,0.999
E14000859,E07000146,0.901
E14000860,E06000054,0.999
E14000861,E06000062,1
E14000862,E06000062,0.999
E14000863,E07000144,0.663
E14000864,E07000148,0.888
E14000865,E06000018,0.999
E14000866,E06000018,0.998
E14000867,E06000018,0.999
E14000868,E07000219,0.565
E14000869,E09000004,0.998
E14000870,E08000004,0.999
E14000871,E08000004,0.999
E14000872,E09000006,0.999
E14000873,E07000178,0.998
E14000874,E07000180,0.667
E14000875,E07000122,0.999
E14000876,E08000016,0.607
E14000877,E06000064,0.688
E14000878,E06000031,0.999
E14000879,E06000026,0.947
E14000880,E06000026,0.933
E14000881,E06000058,0.761
E14000882,E09000030,0.855
E14000883,E06000044,0.623
E14000884,E06000044,0.791
E14000885,E07000123,0.982
E14000886,E08000035,0.998
E14000887,E09000032,0.979
E14000888,E07000075,0.809
E14000889,E06000038,0.704
E14000890,E06000037,0.589
E14000891,E06000003,0.922
E14000892,E07000238,0.635
E14000893,E07000211,0.999
E14000894,E07000124,0.923
E14000895,E06000065,1
E14000896,E09000027,0.739
E14000897,E08000005,0.999
E14000898,E06000035,0.699
E14000899,E07000075,0.35
E14000900,E09000016,0.998
E14000901,E07000093,0.981
E14000902,E07000125,0.555
E14000903,E08000018,0.999
E14000904,E08000018,0.999
E14000905,E07000220,0.944
E14000906,E09000017,0.82
E14000907,E07000212,0.831
E14000908,E07000176,0.999
E14000909,E07000133,0.43
E14000910,E07000077,0.806
E14000911,E08000006,0.999
E14000912,E06000054,1
E14000913,E06000065,0.99
E14000914,E06000013,0.998
E14000915,E06000047,0.544
E14000916,E08000014,0.866
E14000917,E06000065,0.996
E14000918,E07000111,0.999
E14000919,E08000019,1
E14000920,E08000019,0.998
E14000921,E08000019,1
E14000922,E08000019,0.999
E14000923,E08000019,0.999
E14000924,E07000175,0.681
E14000925,E08000032,0.999
E14000926,E06000051,1
E14000927,E07000113,0.838
E14000928,E06000065,1
E14000929,E07000139,0.796
E14000930,E06000039,0.997
E14000931,E08000029,0.998
E14000932,E06000066,1
E14000933,E06000034,0.657
E14000934,E07000012,0.992
E14000935,E07000039,0.999
E14000936,E06000059,0.949
E14000937,E07000009,0.631
E14000938,E06000052,0.974
E14000939,E07000140,0.888
E14000940,E07000131,0.593
E14000941,E07000149,0.998
E14000942,E06000062,0.999
E14000943,E07000127,0.362
E14000944,E08000023,0.942
E14000945,E07000196,0.999
E14000946,E07000200,0.889
E14000947,E06000030,0.999
E14000948,E07000108,0.735
E14000949,E06000056,0.999
E14000950,E07000044,0.91
E14000951,E07000096,0.621
E14000952,E07000143,0.502
E14000953,E07000216,0.999
E14000954,E06000054,1
E14000955,E06000045,0.802
E14000956,E06000045,0.935
E14000957,E06000033,0.812
E14000958,E08000014,0.601
E14000959,E07000213,0.998
E14000960,E07000240,0.887
E14000961,E06000052,0.985
E14000962,E08000013,0.999
E14000963,E08000013,0.819
E14000964,E06000052,0.943
E14000965,E07000197,0.541
E14000966,E07000198,0.989
E14000967,E08000008,0.999
E14000968,E07000243,0.409
E14000969,E08000007,0.999
E14000970,E06000004,0.961
E14000971,E06000004,0.998
E14000972,E06000021,0.998
E14000973,E06000021,0.717
E14000974,E06000021,0.998
E14000975,E07000197,0.709
E14000976,E08000027,0.999
E14000977,E07000221,0.999
E14000978,E09000022,0.997
E14000979,E08000009,0.998
E14000980,E07000082,0.962
E14000981,E07000244,0.962
E14000982,E08000024,0.947
E14000983,E07000214,0.878
E14000984,E09000029,0.998
E14000985,E08000025,0.999
E14000986,E07000194,0.827
E14000987,E06000049,0.675
E14000988,E06000066,0.999
E14000989,E06000020,0.999
E14000990,E07000083,0.966
E14000991,E07000079,0.939
E14000992,E06000020,0.694
E14000993,E06000065,0.999
E14000994,E06000025,0.94
E14000995,E06000034,0.907
E14000996,E07000040,0.509
E14000997,E07000115,0.642
E14000998,E09000032,0.998
E14000999,E06000027,0.388
E14001000,E07000046,0.574
E14001001,E07000044,0.932
E14001002,E09000014,0.997
E14001003,E06000052,0.976
E14001004,E07000116,0.999
E14001005,E09000027,0.986
E14001006,E08000022,0.968
E14001007,E09000017,0.999
E14001008,E09000022,0.948
E14001009,E08000036,0.999
E14001010,E08000015,0.636
E14001011,E08000030,0.999
E14001012,E08000030,0.999
E14001013,E09000031,0.999
E14001014,E06000057,0.982
E14001015,E07000180,0.843
E14001016,E08000028,0.999
E14001017,E06000007,0.999
E14001018,E06000007,0.98
E14001019,E07000222,0.999
E14001020,E08000024,0.988
E14001021,E07000103,0.578
E14001022,E07000244,0.983
E14001023,E07000065,0.999
E14001024,E06000050,0.815
E14001025,E06000061,1
E14001026,E06000066,0.967
E14001027,E07000241,0.998
E14001028,E08000018,0.826
E14001029,E08000028,0.998
E14001030,E08000028,0.999
E14001031,E06000059,0.995
E14001032,E09000025,0.985
E14001033,E07000127,0.999
E14001034,E07000245,0.999
E14001035,E07000235,0.817
E14001036,E09000033,0.996
E14001037,E06000064,0.914
E14001038,E06000024,0.922
E14001039,E08000010,0.999
E14001040,E09000024,0.998
E14001041,E07000094,0.977
E14001042,E06000040,0.529
E14001043,E08000015,0.729
E14001044,E08000015,0.479
E14001045,E07000067,0.374
E14001046,E07000181,0.999
E14001047,E07000217,0.641
E14001048,E06000041,0.504
E14001049,E08000031,0.999
E14001050,E08000031,0.869
E14001051,E08000031,0.998
E14001052,E07000237,0.996
E14001053,E06000063,0.915
E14001054,E08000006,0.998
E14001055,E07000229,0.598
E14001056,E06000060,1
E14001057,E07000128,0.588
E14001058,E07000239,0.999
E14001059,E08000003,0.771
E14001060,E06000066,0.999
E14001061,E06000014,1
E14001062,E06000014,0.999
N06000001,N09000003,0.582
N06000002,N09000003,0.676
N06000003,N09000003,0.665
N06000004,N09000003,0.858
N06000005,N09000008,0.719
N06000006,N09000004,0.84
N06000007,N09000006,0.747
N06000008,N09000005,0.997
N06000009,N09000007,0.747
N06000010,N09000009,0.997
N06000011,N09000002,0.619
N06000012,N09000004,0.542
N06000013,N09000011,0.988
N06000014,N09000001,0.896
N06000015,N09000010,0.875
N06000016,N09000011,0.687
N06000017,N09000002,0.997
N06000018,N09000006,0.567
S14000001,S12000033,0.833
S14000002,S12000033,0.889
S14000003,S12000050,0.999
S14000004,S12000041,0.993
S14000005,S12000035,0.977
S14000006,S12000028,0.648
S14000007,S12000034,0.993
S14000008,S12000026,0.999
S14000009,,
S14000010,S12000028,0.691
S14000011,S12000050,0.999
S14000012,S12000050,0.531
S14000013,S12000006,0.962
S14000014,S12000006,0.558
S14000015,S12000041,0.801
S14000016,S12000041,0.713
S14000017,S12000047,0.952
S14000018,S12000045,0.997
S14000019,S12000029,1
S14000020,S12000010,0.971
S14000021,S12000011,0.999
S14000022,S12000036,0.97
S14000023,S12000036,0.952
S14000024,S12000036,0.999
S14000025,S12000036,0.999
S14000026,S12000036,0.927
S14000027,,
S14000028,S12000014,0.963
S14000029,S12000049,0.963
S14000030,S12000049,0.993
S14000031,S12000049,0.999
S14000032,S12000049,0.999
S14000033,S12000049,0.972
S14000034,S12000049,0.998
S14000035,S12000049,0.982
S14000036,S12000047,0.996
S14000037,S12000034,0.959
S14000038,S12000018,0.932
S14000039,S12000017,0.995
S14000040,S12000008,1
S14000041,S12000047,0.966
S14000042,S12000029,1
S14000043,S12000040,0.535
S14000044,S12000040,0.999
S14000045,,
S14000046,S12000020,0.991
S14000047,S12000050,0.999
S14000048,S12000021,0.98
S14000049,S12000047,0.963
S14000050,S12000048,0.902
S14000051,S12000027,0.534
S14000052,S12000038,0.94
S14000053,S12000038,0.999
S14000054,S12000048,0.991
S14000055,S12000017,0.987
S14000056,S12000029,0.997
S14000057,S12000030,0.999
S14000058,S12000034,0.998
S14000059,S12000039,0.969
W07000041,W06000001,0.956
W07000042,W06000005,0.855
W07000043,W06000005,0.989
W07000044,W06000006,0.999
W07000045,W06000010,0.847
W07000046,W06000011,0.89
W07000047,W06000011,0.887
W07000048,W06000011,0.975
W07000049,W06000012,0.95
W07000050,W06000015,0.998
W07000051,W06000015,0.999
W07000052,W06000016,1
W07000053,W06000020,0.999
W07000054,W06000021,0.979
W07000055,W06000022,0.563
W07000056,W06000022,0.904
W07000057,W06000002,0.94
W07000058,W06000003,0.977
W07000059,W06000003,0.565
W07000060,,
W07000061,W06000002,0.979
W07000062,W06000006,0.643
W07000063,W06000023,1
W07000064,W06000008,0.99
W07000065,,
W07000066,W06000010,0.548
W07000067,W06000010,0.996
W07000068,,
W07000069,W06000012,0.998
W07000070,W06000016,0.999
W07000071,W06000024,0.685
W07000072,W06000019,0.999
W07000073,W06000013,0.95
W07000074,W06000013,0.818
W07000075,W06000016,0.999
W07000076,W06000018,0.999
W07000077,W06000018,0.999
W07000078,W06000014,0.979
W07000079,W06000015,0.999
W07000080,W06000015,0.56
