PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000563,UKPARL.2025.BYA,1540727.58,20514325.54,0.08,0.13,17075.11,128784.73,215
E14000564,UKPARL.2025.BEB,1918809.07,25744995.59,0.07,0.08,12313.77,149262.03,213
E14000564,UKPARL.2025.BLA,20805710.55,25744995.59,0.81,0.75,112431.17,149262.03,893
E14000564,UKPARL.2025.BPB,3013974.29,25744995.59,0.12,0.16,24517.08,149262.03,318
E14000565,UKPARL.2025.BNF,24308593.56,24456357.19,0.99,0.99,102895.27,103491.65,1129
E14000566,UKPARL.2025.BER,3142554.69,24857792.86,0.13,0.14,16173.63,113149.34,332
E14000566,UKPARL.2025.BPB,21688617.31,24857792.86,0.87,0.86,96975.71,113149.34,956
E14000567,UKPARL.2025.BHG,733533.8,21875911.24,0.03,0.03,3847.58,110115.43,92
E14000567,UKPARL.2025.BSO,21072356.82,21875911.24,0.96,0.96,106139.55,110115.43,1076
E14000568,UKPARL.2025.BHG,964166.42,22614553.85,0.04,0.04,4194.72,114375.14,121
E14000568,UKPARL.2025.BSN,3490043.42,22614553.85,0.15,0.14,16584.14,114375.14,390
E14000568,UKPARL.2025.BYA,18115077.3,22614553.85,0.8,0.81,93152.53,114375.14,889
E14000569,UKPARL.2025.BIA,892148261.82,922657151.65,0.97,0.76,67932.77,89700.77,1078
E14000569,UKPARL.2025.NAS,30472866.9,922657151.65,0.03,0.24,21768.0,89700.77,90
E14000570,UKPARL.2025.BBN,39311158.97,40343064.91,0.97,0.98,107609.06,110354.0,1092
E14000570,UKPARL.2025.RAD,1016298.86,40343064.91,0.03,0.02,2744.94,110354.0,66
E14000571,UKPARL.2025.BMS,18934309.35,28160335.61,0.67,0.57,71630.51,124792.08,793
E14000571,UKPARL.2025.BUS,3292392.16,28160335.61,0.12,0.12,15002.06,124792.08,317
E14000571,UKPARL.2025.MCT,3412578.26,28160335.61,0.12,0.17,20736.03,124792.08,328
E14000571,UKPARL.2025.SFD,2519129.11,28160335.61,0.09,0.14,17423.49,124792.08,260
E14000572,UKPARL.2025.BPN,17036358.8,22984801.46,0.74,0.67,55371.0,83029.0,837
E14000572,UKPARL.2025.BPS,5943100.2,22984801.46,0.26,0.33,27658.0,83029.0,511
E14000573,UKPARL.2025.BPS,20219270.6,20223254.35,1.0,1.0,79825.0,79825.0,1254
E14000574,UKPARL.2025.BAC,57694186.29,110300356.46,0.52,0.51,44767.35,88121.5,689
