PCON24CD,2025-03,2025-05
E14001202,14,11
E14001203,19,10
E14001204,11,8
E14001205,15,9
E14001206,12,8
E14001207,5,5
E14001208,4,4
E14001209,7,6
E14001210,11,7
E14001211,20,13
E14001212,14,9
E14001213,5,3
E14001214,11,6
E14001215,9,8
E14001216,37,23
E14001217,6,6
E14001218,0,16
E14001219,33,18
E14001220,11,9
E14001221,1,1
E14001222,8,6
E14001223,11,8
E14001224,16,12
E14001225,7,5
E14001226,3,3
E14001227,4,3
E14001228,0,20
E14001229,6,4
E14001230,4,8
E14001231,11,10
E14001232,12,11
E14001233,8,6
E14001234,10,7
E14001235,5,4
E14001236,0,2
E14001237,20,11
E14001238,2,2
E14001239,26,20
E14001240,5,5
E14001241,14,10
E14001242,16,16
E14001243,13,10
E14001244,22,22
E14001245,0,15
E14001246,12,9
E14001247,10,9
E14001248,13,10
E14001249,9,6
E14001250,18,15
E14001251,10,5
E14001252,14,13
E14001253,6,5
E14001254,14,13
E14001255,40,32
E14001256,35,25
E14001257,8,7
E14001258,7,7
E14001259,12,9
E14001260,16,9
E14001261,16,15
E14001262,8,6
E14001263,19,11
E14001264,12,9
E14001265,6,4
E14001266,7,6
E14001267,2,2
E14001268,9,7
E14001269,10,10
E14001270,2,2
E14001271,7,5
E14001272,15,13
E14001273,34,18
E14001274,33,23
E14001275,16,12
E14001276,1,1
E14001277,13,9
E14001278,5,4
E14001279,4,3
E14001280,11,9
E14001281,12,10
E14001282,43,23
E14001283,7,5
E14001284,8,7
E14001285,10,8
E14001286,4,3
E14001287,18,15
E14001288,11,8
E14001289,10,10
E14001290,19,12
E14001291,8,7
E14001292,6,6
E14001293,9,7
E14001294,7,6
E14001295,8,8
E14001296,9,8
E14001297,27,21
E14001298,14,11
E14001299,0,
E14001300,3,3
E14001301,2,2
E14001302,26,19
E14001303,14,15
E14001304,10,9
E14001305,11,9
E14001306,16,11
E14001307,8,8
E14001308,6,7
E14001309,9,7
E14001310,8,6
E14001311,4,3
E14001312,8,7
E14001313,17,10
E14001314,0,2
E14001315,17,10
E14001316,6,5
E14001317,6,4
E14001318,18,16
E14001319,16,14
E14001320,17,14
E14001321,13,12
E14001322,27,19
E14001323,35,26
E14001324,29,19
E14001325,26,20
E14001326,6,5
E14001327,13,10
E14001328,20,15
E14001329,13,9
E14001330,19,12
E14001331,9,7
E14001332,4,4
E14001333,12,7
E14001334,13,9
E14001335,10,6
E14001336,13,9
E14001337,2,2
E14001338,13,8
E14001339,0,3
E14001340,10,7
E14001341,3,3
E14001342,15,15
E14001343,15,9
E14001344,36,23
E14001345,0,1
E14001346,4,4
E14001347,6,6
E14001348,6,5
E14001349,14,11
E14001350,6,4
E14001351,19,11
E14001352,17,16
E14001353,2,2
E14001354,8,6
E14001355,28,18
E14001356,13,8
E14001357,12,11
E14001358,8,6
E14001359,6,5
E14001360,14,11
E14001361,0,12
E14001362,14,12
E14001363,7,5
E14001364,9,8
E14001365,20,13
E14001366,15,9
E14001367,4,6
E14001368,3,3
E14001369,6,6
E14001370,10,10
E14001371,5,5
E14001372,21,19
E14001373,13,8
E14001374,19,13
E14001375,17,12
E14001376,15,9
E14001377,12,9
E14001378,14,14
E14001379,6,6
E14001380,11,6
E14001381,5,5
E14001382,13,10
E14001383,43,30
E14001384,2,2
E14001385,29,21
E14001386,10,7
E14001387,23,16
E14001388,5,4
E14001389,22,17
E14001390,13,10
E14001391,14,10
E14001392,10,6
E14001393,10,8
E14001394,25,14
E14001395,13,10
E14001396,37,25
E14001397,27,22
E14001398,22,14
E14001399,6,4
E14001400,7,6
E14001401,9,9
E14001402,5,4
E14001403,7,7
E14001404,16,13
E14001405,35,26
E14001406,6,5
E14001407,6,5
E14001408,31,16
E14001409,0,21
E14001410,20,15
E14001411,27,21
E14001412,12,10
E14001413,4,4
E14001414,12,7
E14001415,15,14
E14001416,6,7
E14001417,19,13
E14001418,24,15
E14001419,9,7
E14001420,7,6
E14001421,7,6
E14001422,11,9
E14001423,20,12
E14001424,29,19
E14001425,15,10
E14001426,14,9
E14001427,24,14
E14001428,46,28
E14001429,20,12
E14001430,5,5
E14001431,17,16
E14001432,21,20
E14001433,15,14
E14001434,0,6
E14001435,12,7
E14001436,6,4
E14001437,6,6
E14001438,8,7
E14001439,9,7
E14001440,14,14
E14001441,6,6
E14001442,13,12
E14001443,7,6
E14001444,16,12
E14001445,21,11
E14001446,4,3
E14001447,9,7
E14001448,11,6
E14001449,9,6
E14001450,5,3
E14001451,15,9
E14001452,15,10
E14001453,12,10
E14001454,7,6
E14001455,9,6
E14001456,17,13
E14001457,21,13
E14001458,9,7
E14001459,9,7
E14001460,8,8
E14001461,57,39
E14001462,9,8
E14001463,7,7
E14001464,20,15
E14001465,10,6
E14001466,26,16
E14001467,17,11
E14001468,15,10
E14001469,22,14
E14001470,27,15
E14001471,26,18
E14001472,20,14
E14001473,23,17
E14001474,12,9
E14001475,24,20
E14001476,9,6
E14001477,11,11
E14001478,15,13
E14001479,4,3
E14001480,4,4
E14001481,1,1
E14001482,11,8
E14001483,19,13
E14001484,19,13
E14001485,35,24
E14001486,15,13
E14001487,4,3
E14001488,10,7
E14001489,21,12
E14001490,4,3
E14001491,9,8
E14001492,17,14
E14001493,13,11
E14001494,10,7
E14001495,10,7
E14001496,7,6
E14001497,22,17
E14001498,10,9
E14001499,31,19
E14001500,23,14
E14001501,9,13
E14001502,11,8
E14001503,8,7
E14001504,12,12
E14001505,13,8
E14001506,25,16
E14001507,9,7
E14001508,34,23
E14001509,9,7
E14001510,9,6
E14001511,34,25
E14001512,11,8
E14001513,3,3
E14001514,10,8
E14001515,3,3
E14001516,7,5
E14001517,14,12
E14001518,13,11
E14001519,7,5
E14001520,8,8
E14001521,10,8
E14001522,13,9
E14001523,10,7
E14001524,13,10
E14001525,5,3
E14001526,13,11
E14001527,7,5
E14001528,19,18
E14001529,9,8
E14001530,28,23
E14001531,12,10
E14001532,2,3
E14001533,0,5
E14001534,9,8
E14001535,27,14
E14001536,18,15
E14001537,14,10
E14001538,18,12
E14001539,5,4
E14001540,0,13
E14001541,11,9
E14001542,12,10
E14001543,16,12
E14001544,24,24
E14001545,9,5
E14001546,9,8
E14001547,23,13
E14001548,14,10
E14001549,8,7
E14001550,5,5
E14001551,14,14
E14001552,13,10
E14001553,9,8
E14001554,17,14
E14001555,7,6
E14001556,25,13
E14001557,22,21
E14001558,6,6
E14001559,8,7
E14001560,33,19
E14001561,11,9
E14001562,26,18
E14001563,13,8
E14001564,14,8
E14001565,8,5
E14001566,13,12
E14001567,12,12
E14001568,7,6
E14001569,20,14
E14001570,7,6
E14001571,22,14
E14001572,10,7
E14001573,6,5
E14001574,26,19
E14001575,38,21
E14001576,11,9
E14001577,12,8
E14001578,17,14
E14001579,10,8
E14001580,30,24
E14001581,23,13
E14001582,12,10
E14001583,16,12
E14001584,18,11
E14001585,16,11
E14001586,4,4
E14001587,5,5
E14001588,10,9
E14001589,7,6
E14001590,8,6
E14001591,13,10
E14001592,15,8
E14001593,6,4
E14001594,12,11
E14001595,8,7
E14001596,13,10
E14001597,19,13
E14001598,7,6
E14001600,7,7
E14001601,14,13
E14001602,4,3
E14001603,5,3
E14001604,19,17
E14001605,22,15
N05000001,7,7
N05000002,20,13
N05000003,17,15
N05000004,4,3
N05000005,24,15
N05000006,13,10
N05000007,6,4
N05000008,0,
N05000009,8,7
N05000010,8,5
N05000011,12,9
N05000012,17,13
N05000013,7,6
N05000015,6,6
N05000016,14,10
N05000017,14,10
S14000021,4,3
S14000027,1,1
S14000045,10,10
S14000048,8,8
S14000051,7,6
S14000060,23,16
S14000061,16,12
S14000062,16,11
S14000063,6,6
S14000064,5,4
S14000065,17,13
S14000066,13,9
S14000067,15,14
S14000068,4,4
S14000069,21,14
S14000070,9,8
S14000071,15,14
S14000072,3,2
S14000073,9,7
S14000074,5,5
S14000075,12,10
S14000076,13,10
S14000077,4,3
S14000078,22,21
S14000079,12,12
S14000080,8,7
S14000081,7,7
S14000082,8,8
S14000083,17,14
S14000084,12,11
S14000085,12,12
S14000086,4,4
S14000087,3,3
S14000088,3,3
S14000089,11,9
S14000090,12,11
S14000091,12,8
S14000092,3,3
S14000093,5,5
S14000094,18,17
S14000095,18,12
S14000096,16,14
S14000097,5,3
S14000098,16,13
S14000099,4,4
S14000100,11,10
S14000101,2,2
S14000102,1,1
S14000103,8,9
S14000104,4,4
S14000105,8,8
S14000106,5,5
S14000107,14,13
S14000108,13,12
S14000109,7,7
S14000110,7,5
S14000111,14,10
W07000081,9,6
W07000082,6,5
W07000083,32,20
W07000084,9,7
W07000085,7,5
W07000086,14,13
W07000087,13,8
W07000088,22,17
W07000089,8,8
W07000090,8,7
W07000091,12,12
W07000092,13,11
W07000093,34,24
W07000094,17,12
W07000095,19,14
W07000096,38,28
W07000097,15,12
W07000098,18,11
W07000099,12,11
W07000100,21,17
W07000101,14,12
W07000102,20,13
W07000103,5,4
W07000104,19,18
W07000105,16,14
W07000106,16,9
W07000107,6,6
W07000108,20,11
W07000109,12,11
W07000110,21,13
W07000111,8,5
W07000112,34,22
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,
N05000018,6,3
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,
N05000014,10,5
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,
E14001599,31,16
