ONSConstID,ConstituencyName,RegNationID,RegNationName,Con_num,Con_pc / Electric only,Con_pc / Mains gas only,Con_pc / No central heating,Con_pc / Oil only,Con_pc / Other,Con_pc / Tank or bottled gas only,Con_pc / Two or more types of central heating
E14001181,Coventry North West,E12000005,West Midlands,3341,0.078916479,0.806659142,0.019367946,0.001173815,0.01476298,0.003702032,0.075417607
E14001182,Coventry South,E12000005,West Midlands,3353,0.090149789,0.792296542,0.018269253,0.000713283,0.017417915,0.004003589,0.077149628
E14001183,Cramlington & Killingworth,E12000001,North East,3898,0.048439451,0.832936103,0.006491885,0.005243446,0.014776983,0.003631824,0.088480309
E14001184,Crawley,E12000008,South East,3626,0.088881074,0.794786699,0.012967318,0.001384646,0.016791578,0.005494626,0.079694059
E14001185,Crewe & Nantwich,E12000002,North West,3811,0.057727063,0.819022402,0.014037742,0.009981927,0.013974698,0.005169588,0.08008658
E14001186,Croydon East,E12000007,London,3687,0.07238122,0.790216347,0.019501676,0.000679746,0.025197478,0.005602044,0.086421489
E14001187,Croydon South,E12000007,London,3278,0.078520834,0.805525447,0.012679287,0.000781427,0.016309143,0.003554234,0.082629629
E14001188,Croydon West,E12000007,London,4629,0.153665726,0.659706078,0.024784125,0.000788774,0.057705081,0.007265028,0.096085188
E14001189,Dagenham & Rainham,E12000007,London,3579,0.089722216,0.769436683,0.019090333,0.000446146,0.032098997,0.005165896,0.08403973
E14001190,Darlington,E12000001,North East,3669,0.060500304,0.819917592,0.009952041,0.008803729,0.013599622,0.004615766,0.082610947
E14001191,Dartford,E12000008,South East,3470,0.087454439,0.791934156,0.014038801,0.003362728,0.014720752,0.006890065,0.081599059
E14001192,Daventry,E12000004,East Midlands,4551,0.076211625,0.653602253,0.010301962,0.111787734,0.024083698,0.019825553,0.104187175
E14001193,Derby North,E12000004,East Midlands,3382,0.078454035,0.808626708,0.017059245,0.00020804,0.013453226,0.004022098,0.078176649
E14001194,Derby South,E12000004,East Midlands,3677,0.076339434,0.795230172,0.019722684,0.000332779,0.021852468,0.00494731,0.081575153
E14001195,Derbyshire Dales,E12000004,East Midlands,5099,0.043164563,0.664814722,0.011564181,0.100658656,0.029865755,0.021745689,0.128186435
E14001196,Dewsbury & Batley,E12000003,Yorkshire and The Humber,3487,0.06143725,0.789877179,0.021460594,0.002440513,0.027349656,0.00493408,0.09250073
E14001197,Didcot & Wantage,E12000008,South East,3816,0.088001634,0.732204467,0.009669512,0.053477392,0.015639186,0.014390775,0.086617033
E14001198,Doncaster Central,E12000003,Yorkshire and The Humber,4312,0.057050197,0.804985008,0.010749179,0.004385339,0.027943786,0.006934954,0.087951537
E14001199,Doncaster East & the Isle of Axholme,E12000003,Yorkshire and The Humber,3365,0.030831406,0.80011692,0.005363089,0.041506748,0.023384084,0.013267926,0.085529827
E14001200,Doncaster North,E12000003,Yorkshire and The Humber,3845,0.028055641,0.817638336,0.007908301,0.017370019,0.023701367,0.014828065,0.09049827
E14001201,Dorking & Horley,E12000008,South East,3734,0.070879023,0.763540628,0.009585155,0.033688623,0.015719653,0.01114434,0.095442579
E14001202,Dover & Deal,E12000008,South East,4095,0.065236839,0.776289305,0.013172608,0.022923469,0.018115132,0.012680592,0.091582055
E14001203,Droitwich & Evesham,E12000005,West Midlands,4541,0.071190997,0.677032076,0.010524877,0.078799891,0.01790596,0.041097139,0.103449061
E14001204,Dudley,E12000005,West Midlands,3383,0.069262925,0.814890448,0.01535172,0.000288295,0.014799154,0.004132231,0.081275226
E14001205,Dulwich & West Norwood,E12000007,London,4214,0.08222106,0.741149185,0.021965029,0.000545715,0.05129721,0.007003343,0.095818459
E14001206,Dunstable & Leighton Buzzard,E12000006,East of England,3353,0.088460147,0.796684158,0.011309147,0.009183027,0.011987696,0.006536687,0.075839139
E14001207,Ealing Central & Acton,E12000007,London,4363,0.152195248,0.67925856,0.023035757,0.001518434,0.057830121,0.005370072,0.080791808
E14001208,Ealing North,E12000007,London,3631,0.089909515,0.767571514,0.018804894,0.000575209,0.035972655,0.006836132,0.080330081
E14001209,Ealing Southall,E12000007,London,3414,0.099491772,0.749201355,0.021055179,0.000677638,0.040948693,0.006001936,0.082623427
E14001210,Earley & Woodley,E12000008,South East,3006,0.067629746,0.826954219,0.010230573,0.002776136,0.009356605,0.005783616,0.077269105
E14001211,Easington,E12000001,North East,4302,0.024395998,0.826302378,0.00545017,0.010263307,0.027062099,0.005025481,0.101500566
E14001212,East Grinstead & Uckfield,E12000008,South East,4071,0.080841416,0.663282529,0.009850107,0.104572364,0.022597304,0.016299282,0.102556997
E14001213,East Ham,E12000007,London,3650,0.079998925,0.74611023,0.025474968,0.001370489,0.04337194,0.005589445,0.098084003
E14001214,East Hampshire,E12000008,South East,4123,0.079170914,0.689484827,0.009618652,0.077864032,0.019315717,0.016780365,0.107765493
E14001215,East Surrey,E12000008,South East,4000,0.059184031,0.774320234,0.008855092,0.031393051,0.014433299,0.01175676,0.100057533
E14001216,East Thanet,E12000008,South East,3557,0.098351078,0.792002077,0.016207911,0.000952134,0.012247901,0.00326755,0.076971349
E14001217,East Wiltshire,E12000009,South West,4634,0.143190837,0.502888431,0.009720199,0.17817853,0.027251721,0.022379063,0.116391219
E14001218,East Worthing & Shoreham,E12000008,South East,3327,0.087982883,0.802943735,0.015329995,0.001316687,0.012390962,0.001810444,0.078225294
E14001219,Eastbourne,E12000008,South East,3158,0.128283271,0.762990572,0.017101513,0.001052401,0.017320763,0.004012278,0.069239202
E14001220,Eastleigh,E12000008,South East,3061,0.071652854,0.817805117,0.010346425,0.004092243,0.012637052,0.004684202,0.078782107
E14001221,Edmonton & Winchmore Hill,E12000007,London,4468,0.125702201,0.722049655,0.022228097,0.000462626,0.025025885,0.006102262,0.098429273
E14001222,Ellesmere Port & Bromborough,E12000002,North West,3479,0.044154722,0.844654133,0.011020673,0.002280967,0.011548897,0.002809191,0.083531417
E14001223,Eltham & Chislehurst,E12000007,London,3744,0.069302144,0.785992218,0.014459052,0.000506527,0.039440057,0.004098266,0.086201736
E14001224,Ely & East Cambridgeshire,E12000006,East of England,3984,0.077808513,0.642120996,0.00852146,0.145890961,0.021192112,0.015592933,0.088873026
E14001225,Enfield North,E12000007,London,4456,0.146655888,0.699987236,0.022442988,0.001170014,0.028271784,0.006679714,0.094792376
E14001226,Epping Forest,E12000006,East of England,3293,0.077509622,0.789353925,0.012466413,0.012369587,0.01428191,0.014306117,0.079712425
E14001227,Epsom & Ewell,E12000008,South East,3234,0.081676203,0.813267986,0.010106932,0.001829097,0.014468624,0.002813995,0.075837163
E14001228,Erewash,E12000004,East Midlands,3534,0.052832934,0.83457729,0.014551941,0.001103131,0.011641553,0.002347087,0.082946064
E14001229,Erith & Thamesmead,E12000007,London,5013,0.119510671,0.706523711,0.023861827,0.000886757,0.039057619,0.009129567,0.101029847
E14001230,Esher & Walton,E12000008,South East,3230,0.075063242,0.819006616,0.009340339,0.001070247,0.014156451,0.002797237,0.078565869
E14001231,Exeter,E12000009,South West,2861,0.132039413,0.755677447,0.02432305,0.002134472,0.012434539,0.002382666,0.071008414
E14001232,Exmouth & Exeter East,E12000009,South West,3775,0.082766519,0.684454106,0.014889091,0.039127691,0.074538952,0.015987659,0.088235982
E14001233,Fareham & Waterlooville,E12000008,South East,3622,0.075551406,0.799276462,0.012230132,0.010572996,0.010409616,0.007422103,0.084537286
E14001234,Farnham & Bordon,E12000008,South East,4190,0.06251219,0.78576653,0.007948118,0.0187244,0.013921397,0.008972108,0.102155256
E14001235,Faversham & Mid Kent,E12000008,South East,4034,0.051402683,0.758992358,0.011027307,0.044930675,0.013865034,0.019366241,0.100415702
E14001236,Feltham & Heston,E12000007,London,3683,0.129471852,0.700769548,0.022261921,0.001007741,0.053433191,0.00870322,0.084352526
E14001237,Filton & Bradley Stoke,E12000009,South West,3120,0.08373104,0.8062184,0.008103766,0.010986155,0.012474602,0.00477248,0.073713557
E14001238,Finchley & Golders Green,E12000007,London,3812,0.116250933,0.748482588,0.01984231,0.001028412,0.031800125,0.005726846,0.076868787
E14001239,Folkestone & Hythe,E12000008,South East,3619,0.087623461,0.758248994,0.016363858,0.024045848,0.01482746,0.01063285,0.08825753
E14001240,Forest of Dean,E12000009,South West,5276,0.067580703,0.51427329,0.012047885,0.189747787,0.03954571,0.041847854,0.134956771
E14001241,Frome & East Somerset,E12000009,South West,4404,0.066835718,0.672937097,0.012057857,0.101456775,0.019923927,0.012834114,0.113954511
E14001242,Fylde,E12000002,North West,3446,0.093412878,0.788772512,0.01157288,0.010720614,0.008746944,0.00948707,0.077287102
E14001243,Gainsborough,E12000004,East Midlands,4325,0.046096444,0.660133188,0.008501393,0.127827894,0.027133614,0.028172673,0.102134794
E14001244,Gateshead Central & Whickham,E12000001,North East,4018,0.085242276,0.786567063,0.010291363,0.000812476,0.023426392,0.002979079,0.090681351
E14001245,Gedling,E12000004,East Midlands,3454,0.062895481,0.831979536,0.008571557,0.002535565,0.012565633,0.003949199,0.077503029
E14001246,Gillingham & Rainham,E12000008,South East,3400,0.059285241,0.820427285,0.016777453,0.00156982,0.015035934,0.003507567,0.083396698
E14001247,Glastonbury & Somerton,E12000009,South West,4862,0.108779818,0.521993256,0.014861996,0.174921943,0.034669664,0.023329587,0.121443737
E14001248,Gloucester,E12000009,South West,4207,0.097601968,0.779544989,0.015802419,0.001803648,0.013937282,0.005083009,0.086226686
E14001249,Godalming & Ash,E12000008,South East,4099,0.06418902,0.745841451,0.007817573,0.048453969,0.01521055,0.016109696,0.102377741
E14001250,Goole & Pocklington,E12000003,Yorkshire and The Humber,4290,0.041438395,0.735903506,0.008567242,0.073092098,0.025814452,0.01846466,0.096719648
E14001251,Gorton & Denton,E12000002,North West,4043,0.063608353,0.795458176,0.019376926,0.000867283,0.024671916,0.00374301,0.092274335
E14001252,Gosport,E12000008,South East,3376,0.113350006,0.774681434,0.016791711,0.000595451,0.010075027,0.004096701,0.08040967
E14001253,Grantham & Bourne,E12000004,East Midlands,4106,0.076234016,0.656285535,0.010791116,0.120489197,0.025921886,0.01499153,0.095286719
E14001254,Gravesham,E12000008,South East,3588,0.070942383,0.787508388,0.015027322,0.016201706,0.015003355,0.009323171,0.085993673
E14001255,Great Grimsby & Cleethorpes,E12000003,Yorkshire and The Humber,3835,0.052232152,0.831774732,0.017873805,0.001161175,0.014887926,0.002550439,0.079519771
E14001256,Great Yarmouth,E12000006,East of England,4003,0.096825611,0.632139009,0.019306753,0.123226473,0.020765984,0.017869971,0.0898662
E14001257,Greenwich & Woolwich,E12000007,London,4528,0.18713167,0.554028417,0.022927262,0.000867845,0.138027771,0.005630903,0.091386131
E14001258,Guildford,E12000008,South East,3433,0.090983691,0.773822956,0.010975485,0.010924197,0.01774541,0.007513591,0.08803467
E14001259,Hackney North & Stoke Newington,E12000007,London,4008,0.103631171,0.73249014,0.026134458,0.00083866,0.039009021,0.007049277,0.090847273
E14001260,Hackney South & Shoreditch,E12000007,London,4794,0.166758753,0.614586531,0.028178525,0.00110504,0.084208157,0.007059979,0.098103014
E14001261,Halesowen,E12000005,West Midlands,3278,0.06374482,0.823031521,0.014868768,0.000954414,0.011352505,0.003717192,0.08233078
E14001262,Halifax,E12000003,Yorkshire and The Humber,4654,0.071405089,0.779889101,0.021719596,0.003046442,0.017664979,0.004273785,0.102001008
E14001263,Hamble Valley,E12000008,South East,3619,0.05699641,0.823270975,0.008810469,0.00885771,0.009377362,0.007204271,0.085482804
E14001264,Hammersmith & Chiswick,E12000007,London,4621,0.110857515,0.704309634,0.023686684,0.002857746,0.063580046,0.006079902,0.088628474
