PCON22CD,all,slow (3-6 KW),fast (7-22 KW),rapid (25-100 KW),ultra (>100 KW)
E14000615,837,810,25,2,0
E14000616,43,0,27,16,0
E14000617,75,2,71,2,0
E14000618,55,4,15,32,4
E14000619,38,2,29,7,0
E14000620,44,0,39,5,0
E14000621,94,68,18,6,2
E14000622,9,0,2,7,0
E14000623,19,0,6,13,0
E14000624,40,0,35,3,2
E14000625,44,8,28,8,0
E14000626,24,0,12,12,0
E14000627,4,0,4,0,0
E14000628,37,0,24,13,0
E14000629,1200,933,255,8,4
E14000630,30,0,17,13,0
E14000631,32,15,15,2,0
E14000632,113,0,98,15,0
E14000633,48,2,35,11,0
E14000634,68,25,41,2,0
E14000635,64,0,41,13,10
E14000636,118,0,111,7,0
E14000637,43,0,21,22,0
E14000638,40,0,18,22,0
E14000639,1007,674,273,60,0
E14000640,40,0,34,6,0
E14000641,128,12,88,26,2
E14000642,32,0,18,6,8
E14000643,26,2,11,13,0
E14000644,39,3,28,8,0
E14000645,28,0,15,13,0
E14000646,29,0,8,21,0
E14000647,23,0,15,8,0
E14000648,124,22,95,7,0
E14000649,441,122,281,38,0
E14000650,532,177,325,30,0
E14000651,478,41,362,67,8
E14000652,101,21,64,16,0
E14000653,56,0,22,34,0
E14000654,128,29,93,6,0
E14000655,215,12,162,31,10
E14000656,106,11,70,25,0
E14000657,61,4,50,7,0
E14000658,105,1,96,8,0
E14000659,54,6,31,17,0
E14000660,47,0,23,24,0
E14000661,29,0,13,16,0
E14000662,50,4,35,11,0
E14000663,113,6,82,21,4
E14000664,67,0,65,2,0
E14000665,15,0,15,0,0
E14000666,23,0,8,15,0
E14000667,36,4,17,15,0
E14000668,57,13,26,18,0
E14000669,27,1,19,7,0
E14000670,52,0,42,8,2
E14000671,11,2,1,8,0
E14000672,95,4,72,19,0
E14000673,540,471,59,10,0
E14000674,421,65,339,17,0
E14000675,196,39,142,15,0
E14000676,228,21,205,2,0
E14000677,24,1,22,1,0
E14000678,43,3,35,5,0
E14000679,56,28,20,8,0
E14000680,43,0,30,13,0
E14000681,32,4,12,16,0
E14000682,45,7,31,7,0
E14000683,23,0,21,2,0
E14000684,58,2,45,11,0
E14000685,70,33,33,4,0
E14000686,15,0,13,2,0
E14000687,76,70,2,4,0
E14000688,60,3,36,21,0
E14000689,73,0,41,27,5
E14000690,87,12,58,17,0
E14000691,55,20,15,20,0
E14000692,67,33,17,17,0
E14000693,21,3,6,12,0
E14000694,58,9,43,6,0
E14000695,31,0,19,12,0
E14000696,62,7,45,10,0
E14000697,50,0,30,20,0
E14000698,57,3,46,8,0
E14000699,23,2,5,16,0
E14000700,67,0,54,9,4
E14000701,141,25,87,29,0
E14000702,100,3,59,38,0
E14000703,295,4,283,8,0
E14000704,128,1,114,13,0
E14000705,23,0,7,16,0
E14000706,27,0,11,16,0
E14000707,37,0,24,13,0
E14000708,19,6,1,12,0
E14000709,76,12,52,12,0
E14000710,86,4,72,10,0
E14000711,26,2,18,6,0
E14000712,38,3,26,9,0
E14000713,35,2,22,11,0
E14000714,27,1,19,7,0
E14000715,41,0,36,5,0
E14000716,18,0,16,2,0
E14000717,52,2,47,3,0
E14000718,318,37,248,21,12
E14000719,68,6,49,13,0
E14000720,184,140,36,8,0
E14000721,217,140,57,20,0
E14000722,17,0,12,5,0
E14000723,41,5,21,15,0
E14000724,8,0,3,5,0
E14000725,36,0,31,5,0
E14000726,1882,1540,304,38,0
E14000727,560,331,218,9,2
E14000728,130,0,128,2,0
E14000729,46,0,46,0,0
E14000730,62,0,32,19,11
E14000731,7,0,5,2,0
E14000732,50,27,18,5,0
E14000733,53,3,46,4,0
E14000734,14,1,11,2,0
E14000735,30,0,11,19,0
E14000736,22,0,12,10,0
E14000737,253,51,154,36,12
E14000738,2,0,2,0,0
E14000739,14,2,6,6,0
E14000740,25,0,12,13,0
E14000741,271,2,253,16,0
E14000742,80,4,67,9,0
E14000743,61,8,40,13,0
E14000744,12,0,12,0,0
E14000745,26,2,14,10,0
E14000746,124,8,89,27,0
E14000747,25,0,8,17,0
E14000748,30,0,21,9,0
E14000749,32,1,31,0,0
E14000750,407,167,217,23,0
E14000751,31,6,13,12,0
E14000752,144,24,101,19,0
E14000753,57,10,32,15,0
E14000754,30,3,25,2,0
E14000755,161,107,52,2,0
E14000756,30,0,14,16,0
E14000757,51,0,33,14,4
E14000758,63,4,35,20,4
E14000759,51,18,8,25,0
E14000760,25,6,10,5,4
E14000761,46,0,39,7,0
E14000762,84,0,68,16,0
E14000763,220,62,141,17,0
E14000764,326,129,172,25,0
E14000765,62,2,40,20,0
E14000766,57,2,38,17,0
E14000767,58,4,35,19,0
E14000768,602,455,143,4,0
E14000769,56,2,38,13,3
E14000770,92,28,60,4,0
E14000771,17,0,2,11,4
E14000772,0,0,0,0,0
E14000773,22,2,14,6,0
E14000774,57,3,23,31,0
E14000775,26,0,2,14,10
E14000776,90,0,53,37,0
E14000777,263,4,224,29,6
E14000778,22,0,13,9,0
E14000779,18,0,10,8,0
E14000780,45,2,32,11,0
E14000781,34,0,15,19,0
E14000782,18,4,14,0,0
E14000783,59,18,39,2,0
E14000784,36,6,27,3,0
E14000785,49,1,33,15,0
E14000786,24,2,7,15,0
E14000787,74,28,40,6,0
E14000788,84,23,52,9,0
E14000789,120,49,55,16,0
E14000790,256,129,123,4,0
E14000791,18,0,14,4,0
E14000792,88,4,76,8,0
E14000793,85,46,33,6,0
E14000794,44,2,34,8,0
E14000795,43,26,15,2,0
E14000796,12,0,12,0,0
E14000797,44,7,34,3,0
E14000798,25,0,19,6,0
E14000799,30,0,27,3,0
E14000800,2,0,2,0,0
E14000801,102,23,71,8,0
E14000802,12,0,12,0,0
E14000803,30,4,26,0,0
E14000804,47,0,41,6,0
E14000805,6,0,4,2,0
E14000806,20,2,15,3,0
E14000807,189,8,161,16,4
E14000808,10,0,6,4,0
E14000809,51,0,42,9,0
E14000810,48,4,30,14,0
E14000811,48,0,30,18,0
E14000812,90,3,66,21,0
E14000813,66,1,49,16,0
E14000814,31,0,23,8,0
E14000815,9,0,4,5,0
E14000816,21,0,11,8,2
E14000817,124,9,113,2,0
E14000818,57,2,23,32,0
E14000819,79,10,61,8,0
E14000820,56,4,39,13,0
E14000821,582,42,407,129,4
E14000822,219,4,125,90,0
E14000823,138,4,116,18,0
E14000824,97,0,92,5,0
E14000825,47,0,39,8,0
E14000826,62,0,45,17,0
E14000827,46,2,36,8,0
E14000828,49,0,46,3,0
E14000829,77,2,34,37,4
E14000830,99,40,33,20,6
E14000831,123,12,95,14,2
E14000832,72,14,56,2,0
E14000833,64,5,39,20,0
E14000834,37,2,15,20,0
E14000835,29,2,25,2,0
E14000836,68,0,34,34,0
E14000837,59,0,37,22,0
E14000838,56,0,30,26,0
E14000839,37,0,30,7,0
E14000840,61,3,58,0,0
E14000841,42,1,41,0,0
E14000842,21,0,19,2,0
E14000843,31,0,27,4,0
E14000844,25,0,7,18,0
E14000845,29,0,20,9,0
E14000846,70,0,64,6,0
E14000847,29,0,23,6,0
E14000848,73,0,67,6,0
E14000849,27,0,18,9,0
E14000850,74,4,49,21,0
E14000851,37,17,10,10,0
E14000852,12,0,7,5,0
E14000853,26,3,19,4,0
E14000854,64,0,48,16,0
E14000855,38,4,15,19,0
E14000856,44,1,37,6,0
E14000857,64,0,33,26,5
E14000858,45,2,35,4,4
E14000859,73,2,50,21,0
E14000860,50,2,44,4,0
E14000861,31,0,23,8,0
E14000862,50,2,32,16,0
E14000863,40,4,22,14,0
E14000864,85,6,72,7,0
E14000865,181,1,143,37,0
E14000866,111,2,86,23,0
E14000867,145,3,107,35,0
E14000868,32,1,23,8,0
E14000869,30,1,22,7,0
E14000870,32,0,28,4,0
E14000871,28,0,26,2,0
E14000872,18,0,16,2,0
E14000873,95,18,41,16,20
E14000874,108,29,69,10,0
E14000875,24,4,14,6,0
E14000876,19,0,13,6,0
E14000877,56,1,18,37,0
E14000878,43,10,23,10,0
E14000879,40,0,38,2,0
E14000880,115,0,110,5,0
E14000881,40,0,16,24,0
E14000882,265,196,59,10,0
E14000883,48,34,10,4,0
E14000884,107,77,23,7,0
E14000885,34,0,28,6,0
E14000886,39,0,18,21,0
E14000887,299,160,130,9,0
E14000888,8,0,2,5,1
E14000889,70,6,54,10,0
E14000890,38,2,22,14,0
E14000891,51,1,40,10,0
E14000892,17,0,9,8,0
E14000893,49,2,31,16,0
E14000894,81,3,74,4,0
E14000895,28,2,8,18,0
E14000896,367,243,110,13,1
E14000897,37,2,35,0,0
E14000898,37,0,34,3,0
E14000899,26,0,19,7,0
E14000900,22,2,14,6,0
E14000901,25,0,18,7,0
E14000902,32,0,18,14,0
E14000903,45,2,21,22,0
E14000904,51,2,37,12,0
E14000905,24,0,24,0,0
E14000906,25,0,13,12,0
E14000907,80,7,50,23,0
E14000908,79,0,59,18,2
E14000909,50,5,43,2,0
E14000910,56,3,36,17,0
E14000911,131,4,110,17,0
E14000912,60,2,51,7,0
E14000913,21,0,18,3,0
E14000914,23,0,14,9,0
E14000915,24,6,17,1,0
E14000916,28,4,14,6,4
E14000917,20,0,8,12,0
E14000918,32,4,17,11,0
E14000919,70,2,60,8,0
E14000920,28,0,24,4,0
E14000921,31,6,19,6,0
E14000922,0,0,0,0,0
E14000923,9,0,6,3,0
E14000924,34,0,29,5,0
E14000925,56,0,47,9,0
E14000926,39,2,28,9,0
E14000927,34,0,26,8,0
E14000928,87,0,72,15,0
E14000929,18,2,10,6,0
E14000930,80,2,54,16,8
E14000931,68,4,55,7,2
E14000932,27,4,12,11,0
E14000933,6,1,5,0,0
E14000934,52,0,37,15,0
E14000935,58,0,47,11,0
E14000936,50,6,35,9,0
E14000937,80,10,66,4,0
E14000938,42,2,26,14,0
E14000939,60,1,47,12,0
E14000940,66,0,57,9,0
E14000941,59,3,46,10,0
E14000942,86,3,48,25,10
E14000943,46,0,15,31,0
E14000944,120,5,81,34,0
E14000945,50,0,36,14,0
E14000946,51,0,29,16,6
E14000947,76,4,65,7,0
E14000948,55,0,33,18,4
E14000949,73,3,53,17,0
E14000950,33,2,23,8,0
E14000951,44,8,32,4,0
E14000952,21,0,15,6,0
E14000953,58,2,37,19,0
E14000954,51,8,33,10,0
E14000955,78,1,73,4,0
E14000956,36,2,28,6,0
E14000957,5,0,2,3,0
E14000958,16,0,11,5,0
E14000959,105,10,84,11,0
E14000960,68,4,47,15,2
E14000961,61,2,31,26,2
E14000962,25,4,16,5,0
E14000963,44,0,36,8,0
E14000964,37,0,32,5,0
E14000965,99,2,85,12,0
E14000966,5,0,3,2,0
E14000967,11,0,9,2,0
E14000968,66,0,62,2,2
E14000969,36,4,27,5,0
E14000970,153,5,132,16,0
E14000971,110,5,98,7,0
E14000972,54,4,45,5,0
E14000973,16,0,14,2,0
E14000974,21,0,16,5,0
E14000975,20,0,6,14,0
E14000976,23,4,18,1,0
E14000977,82,10,53,19,0
E14000978,159,117,22,20,0
E14000979,63,3,58,2,0
E14000980,91,2,62,27,0
E14000981,70,1,55,8,6
E14000982,150,14,114,20,2
E14000983,47,0,29,18,0
E14000984,134,53,63,16,2
E14000985,14,0,12,2,0
E14000986,21,0,9,12,0
E14000987,56,0,33,23,0
E14000988,49,2,37,8,2
E14000989,31,4,21,6,0
E14000990,53,2,27,24,0
E14000991,141,1,117,23,0
E14000992,19,0,11,8,0
E14000993,43,0,20,23,0
E14000994,74,0,61,13,0
E14000995,43,4,13,26,0
E14000996,36,2,16,18,0
E14000997,44,0,36,8,0
E14000998,307,165,138,4,0
E14000999,14,0,5,9,0
E14001000,30,0,12,18,0
E14001001,25,0,19,6,0
E14001002,119,8,102,9,0
E14001003,62,0,42,20,0
E14001004,39,8,25,6,0
E14001005,264,186,74,4,0
E14001006,71,7,42,22,0
E14001007,64,6,47,11,0
E14001008,177,110,44,23,0
E14001009,56,0,22,34,0
E14001010,34,2,32,0,0
E14001011,2,0,2,0,0
E14001012,17,2,7,8,0
E14001013,270,110,160,0,0
E14001014,87,4,50,33,0
E14001015,109,3,99,7,0
E14001016,4,2,2,0,0
E14001017,61,6,36,19,0
E14001018,108,11,89,8,0
E14001019,120,21,94,5,0
E14001020,158,25,103,22,8
E14001021,175,16,141,12,6
E14001022,33,2,21,10,0
E14001023,41,3,32,6,0
E14001024,27,0,27,0,0
E14001025,47,2,41,4,0
E14001026,96,0,70,26,0
E14001027,167,5,151,11,0
E14001028,39,0,34,5,0
E14001029,26,0,23,3,0
E14001030,20,2,12,6,0
E14001031,60,0,37,23,0
E14001032,211,94,101,16,0
E14001033,123,0,107,12,4
E14001034,70,6,61,3,0
E14001035,45,1,33,11,0
E14001036,1065,974,63,28,0
E14001037,64,2,35,27,0
E14001038,28,0,16,12,0
E14001039,23,2,16,5,0
E14001040,230,23,197,10,0
E14001041,123,22,81,20,0
E14001042,50,0,38,10,2
E14001043,14,0,14,0,0
E14001044,42,0,38,4,0
E14001045,53,2,42,9,0
E14001046,89,0,78,11,0
E14001047,38,10,26,2,0
E14001048,55,2,13,40,0
E14001049,16,0,7,9,0
E14001050,31,0,12,15,4
E14001051,26,2,6,18,0
E14001052,55,5,30,20,0
E14001053,15,0,8,5,2
E14001054,30,0,20,10,0
E14001055,58,5,46,7,0
E14001056,44,4,23,17,0
E14001057,59,0,41,16,2
E14001058,18,0,6,12,0
E14001059,17,0,14,3,0
E14001060,37,0,29,8,0
E14001061,52,2,43,7,0
E14001062,100,0,53,47,0
N06000001,36,0,34,2,0
N06000002,15,0,12,3,0
N06000003,53,2,48,3,0
N06000004,5,0,5,0,0
N06000005,38,0,36,2,0
N06000006,33,0,32,1,0
N06000007,62,2,56,4,0
N06000008,43,0,41,2,0
N06000009,21,0,18,3,0
N06000010,31,0,29,2,0
N06000011,55,0,53,2,0
N06000012,27,0,25,2,0
N06000013,11,1,10,0,0
N06000014,48,0,44,4,0
N06000015,19,0,19,0,0
N06000016,6,0,5,1,0
N06000017,24,2,22,0,0
N06000018,34,0,32,2,0
S14000001,53,0,50,3,0
S14000002,27,0,18,9,0
S14000003,11,1,6,4,0
S14000004,33,3,23,7,0
S14000005,54,0,21,33,0
S14000006,45,1,23,21,0
S14000007,9,0,3,6,0
S14000008,57,8,25,24,0
S14000009,35,1,11,23,0
S14000010,20,0,16,4,0
S14000011,30,0,14,16,0
S14000012,20,0,14,6,0
S14000013,118,0,96,22,0
S14000014,59,1,37,17,4
S14000015,47,0,40,7,0
S14000016,83,0,52,31,0
S14000017,46,0,33,13,0
S14000018,17,2,8,7,0
S14000019,24,0,19,5,0
S14000020,114,3,106,5,0
S14000021,23,2,14,7,0
S14000022,17,0,12,5,0
S14000023,26,0,21,5,0
S14000024,11,0,8,3,0
S14000025,25,0,16,9,0
S14000026,37,0,29,8,0
S14000027,44,2,27,15,0
S14000028,22,0,16,6,0
S14000029,343,0,289,52,2
S14000030,32,0,25,7,0
S14000031,26,0,26,0,0
S14000032,52,0,42,10,0
S14000033,48,0,42,0,6
S14000034,35,0,26,9,0
S14000035,41,0,37,4,0
S14000036,15,0,8,7,0
S14000037,43,0,25,18,0
S14000038,20,0,14,6,0
S14000039,25,0,6,19,0
S14000040,35,0,28,7,0
S14000041,28,0,22,6,0
S14000042,86,0,45,25,16
S14000043,26,1,16,5,4
S14000044,26,0,16,10,0
S14000045,63,2,41,20,0
S14000046,20,0,12,8,0
S14000047,26,2,24,0,0
S14000048,33,0,14,19,0
S14000049,27,0,24,3,0
S14000050,61,0,44,17,0
S14000051,69,2,58,9,0
S14000052,46,0,30,16,0
S14000053,30,0,16,14,0
S14000054,70,2,41,27,0
S14000055,44,0,20,24,0
S14000056,26,0,24,2,0
S14000057,50,0,22,28,0
S14000058,35,0,18,17,0
S14000059,34,0,21,13,0
W07000041,37,0,27,10,0
W07000042,35,0,30,5,0
W07000043,18,0,14,4,0
W07000044,38,0,25,13,0
W07000045,41,0,33,8,0
W07000046,27,0,19,8,0
W07000047,36,0,36,0,0
W07000048,43,0,34,9,0
W07000049,7,0,4,3,0
W07000050,46,7,19,20,0
W07000051,16,3,5,8,0
W07000052,0,0,0,0,0
W07000053,35,0,33,2,0
W07000054,46,0,42,4,0
W07000055,57,0,45,10,2
W07000056,88,4,56,28,0
W07000057,15,2,5,8,0
W07000058,11,0,6,5,0
W07000059,20,0,20,0,0
W07000060,82,0,50,32,0
W07000061,35,0,21,14,0
W07000062,48,0,42,6,0
W07000063,44,0,30,14,0
W07000064,98,0,85,13,0
W07000065,170,0,151,19,0
W07000066,139,0,119,14,6
W07000067,55,0,37,18,0
W07000068,59,0,49,10,0
W07000069,13,1,6,4,2
W07000070,4,0,4,0,0
W07000071,22,2,16,4,0
W07000072,79,2,73,2,2
W07000073,24,0,24,0,0
W07000074,18,0,14,4,0
W07000075,10,0,10,0,0
W07000076,44,0,36,8,0
W07000077,31,0,27,4,0
W07000078,79,0,71,8,0
W07000079,20,2,16,2,0
W07000080,49,2,32,15,0
