ONSConstID,ConstituencyName,RegNationID,RegNationName,NatComparator,con_pc→European Union,con_pc→Rest of world,con_pc→UK,rn_pc→European Union,rn_pc→Rest of world,rn_pc→UK,uk_pc→European Union,uk_pc→Rest of world,uk_pc→UK
E14001156,Central Suffolk & North Ipswich,E12000006,East of England,England & Wales,0.033,0.045,0.922,0.066,0.083,0.851,0.06,0.101,0.84
E14001157,Chatham & Aylesford,E12000008,South East,England & Wales,0.057,0.073,0.87,0.06,0.097,0.842,0.06,0.101,0.84
E14001158,Cheadle,E12000002,North West,England & Wales,0.024,0.087,0.889,0.041,0.075,0.883,0.06,0.101,0.84
E14001159,Chelmsford,E12000006,East of England,England & Wales,0.056,0.096,0.848,0.066,0.083,0.851,0.06,0.101,0.84
E14001160,Chelsea & Fulham,E12000007,London,England & Wales,0.182,0.283,0.535,0.128,0.279,0.594,0.06,0.101,0.84
E14001161,Cheltenham,E12000009,South West,England & Wales,0.068,0.078,0.854,0.046,0.056,0.898,0.06,0.101,0.84
E14001162,Chesham & Amersham,E12000008,South East,England & Wales,0.05,0.108,0.842,0.06,0.097,0.842,0.06,0.101,0.84
E14001163,Chester North & Neston,E12000002,North West,England & Wales,0.048,0.055,0.897,0.041,0.075,0.883,0.06,0.101,0.84
E14001164,Chester South & Eddisbury,E12000002,North West,England & Wales,0.027,0.034,0.939,0.041,0.075,0.883,0.06,0.101,0.84
E14001165,Chesterfield,E12000004,East Midlands,England & Wales,0.022,0.029,0.949,0.058,0.08,0.863,0.06,0.101,0.84
E14001166,Chichester,E12000008,South East,England & Wales,0.053,0.052,0.895,0.06,0.097,0.842,0.06,0.101,0.84
E14001167,Chingford & Woodford Green,E12000007,London,England & Wales,0.101,0.174,0.725,0.128,0.279,0.594,0.06,0.101,0.84
E14001168,Chippenham,E12000009,South West,England & Wales,0.041,0.053,0.907,0.046,0.056,0.898,0.06,0.101,0.84
E14001169,Chipping Barnet,E12000007,London,England & Wales,0.111,0.229,0.66,0.128,0.279,0.594,0.06,0.101,0.84
E14001170,Chorley,E12000002,North West,England & Wales,0.027,0.026,0.947,0.041,0.075,0.883,0.06,0.101,0.84
E14001171,Christchurch,E12000009,South West,England & Wales,0.029,0.039,0.932,0.046,0.056,0.898,0.06,0.101,0.84
E14001172,Cities of London & Westminster,E12000007,London,England & Wales,0.185,0.382,0.433,0.128,0.279,0.594,0.06,0.101,0.84
E14001173,City of Durham,E12000001,North East,England & Wales,0.029,0.065,0.906,0.023,0.044,0.932,0.06,0.101,0.84
E14001174,Clacton,E12000006,East of England,England & Wales,0.025,0.026,0.949,0.066,0.083,0.851,0.06,0.101,0.84
E14001175,Clapham & Brixton Hill,E12000007,London,England & Wales,0.126,0.244,0.63,0.128,0.279,0.594,0.06,0.101,0.84
E14001176,Colchester,E12000006,East of England,England & Wales,0.077,0.108,0.815,0.066,0.083,0.851,0.06,0.101,0.84
E14001177,Colne Valley,E12000003,Yorkshire and The Humber,England & Wales,0.018,0.037,0.945,0.044,0.07,0.886,0.06,0.101,0.84
E14001178,Congleton,E12000002,North West,England & Wales,0.018,0.024,0.957,0.041,0.075,0.883,0.06,0.101,0.84
E14001179,Corby & East Northamptonshire,E12000004,East Midlands,England & Wales,0.11,0.057,0.833,0.058,0.08,0.863,0.06,0.101,0.84
E14001180,Coventry East,E12000005,West Midlands,England & Wales,0.111,0.194,0.694,0.051,0.101,0.848,0.06,0.101,0.84
E14001181,Coventry North West,E12000005,West Midlands,England & Wales,0.09,0.125,0.785,0.051,0.101,0.848,0.06,0.101,0.84
E14001182,Coventry South,E12000005,West Midlands,England & Wales,0.1,0.21,0.69,0.051,0.101,0.848,0.06,0.101,0.84
E14001183,Cramlington & Killingworth,E12000001,North East,England & Wales,0.014,0.024,0.962,0.023,0.044,0.932,0.06,0.101,0.84
E14001184,Crawley,E12000008,South East,England & Wales,0.104,0.164,0.732,0.06,0.097,0.842,0.06,0.101,0.84
E14001185,Crewe & Nantwich,E12000002,North West,England & Wales,0.088,0.048,0.864,0.041,0.075,0.883,0.06,0.101,0.84
E14001186,Croydon East,E12000007,London,England & Wales,0.076,0.21,0.714,0.128,0.279,0.594,0.06,0.101,0.84
E14001187,Croydon South,E12000007,London,England & Wales,0.07,0.188,0.742,0.128,0.279,0.594,0.06,0.101,0.84
E14001188,Croydon West,E12000007,London,England & Wales,0.118,0.336,0.546,0.128,0.279,0.594,0.06,0.101,0.84
E14001189,Dagenham & Rainham,E12000007,London,England & Wales,0.104,0.212,0.683,0.128,0.279,0.594,0.06,0.101,0.84
E14001190,Darlington,E12000001,North East,England & Wales,0.043,0.039,0.918,0.023,0.044,0.932,0.06,0.101,0.84
E14001191,Dartford,E12000008,South East,England & Wales,0.064,0.143,0.794,0.06,0.097,0.842,0.06,0.101,0.84
E14001192,Daventry,E12000004,East Midlands,England & Wales,0.045,0.047,0.908,0.058,0.08,0.863,0.06,0.101,0.84
E14001193,Derby North,E12000004,East Midlands,England & Wales,0.062,0.094,0.844,0.058,0.08,0.863,0.06,0.101,0.84
E14001194,Derby South,E12000004,East Midlands,England & Wales,0.103,0.174,0.724,0.058,0.08,0.863,0.06,0.101,0.84
E14001195,Derbyshire Dales,E12000004,East Midlands,England & Wales,0.017,0.022,0.961,0.058,0.08,0.863,0.06,0.101,0.84
E14001196,Dewsbury & Batley,E12000003,Yorkshire and The Humber,England & Wales,0.032,0.158,0.809,0.044,0.07,0.886,0.06,0.101,0.84
E14001197,Didcot & Wantage,E12000008,South East,England & Wales,0.058,0.069,0.873,0.06,0.097,0.842,0.06,0.101,0.84
E14001198,Doncaster Central,E12000003,Yorkshire and The Humber,England & Wales,0.114,0.07,0.817,0.044,0.07,0.886,0.06,0.101,0.84
E14001199,Doncaster East & the Isle of Axholme,E12000003,Yorkshire and The Humber,England & Wales,0.034,0.021,0.944,0.044,0.07,0.886,0.06,0.101,0.84
E14001200,Doncaster North,E12000003,Yorkshire and The Humber,England & Wales,0.038,0.018,0.944,0.044,0.07,0.886,0.06,0.101,0.84
E14001201,Dorking & Horley,E12000008,South East,England & Wales,0.048,0.077,0.875,0.06,0.097,0.842,0.06,0.101,0.84
E14001202,Dover & Deal,E12000008,South East,England & Wales,0.045,0.042,0.913,0.06,0.097,0.842,0.06,0.101,0.84
E14001203,Droitwich & Evesham,E12000005,West Midlands,England & Wales,0.065,0.027,0.908,0.051,0.101,0.848,0.06,0.101,0.84
E14001204,Dudley,E12000005,West Midlands,England & Wales,0.03,0.076,0.894,0.051,0.101,0.848,0.06,0.101,0.84
E14001205,Dulwich & West Norwood,E12000007,London,England & Wales,0.099,0.234,0.668,0.128,0.279,0.594,0.06,0.101,0.84
E14001206,Dunstable & Leighton Buzzard,E12000006,East of England,England & Wales,0.085,0.07,0.845,0.066,0.083,0.851,0.06,0.101,0.84
E14001207,Ealing Central & Acton,E12000007,London,England & Wales,0.179,0.315,0.506,0.128,0.279,0.594,0.06,0.101,0.84
E14001208,Ealing North,E12000007,London,England & Wales,0.167,0.327,0.506,0.128,0.279,0.594,0.06,0.101,0.84
E14001209,Ealing Southall,E12000007,London,England & Wales,0.099,0.431,0.47,0.128,0.279,0.594,0.06,0.101,0.84
E14001210,Earley & Woodley,E12000008,South East,England & Wales,0.062,0.187,0.75,0.06,0.097,0.842,0.06,0.101,0.84
E14001211,Easington,E12000001,North East,England & Wales,0.014,0.014,0.973,0.023,0.044,0.932,0.06,0.101,0.84
E14001212,East Grinstead & Uckfield,E12000008,South East,England & Wales,0.044,0.059,0.897,0.06,0.097,0.842,0.06,0.101,0.84
E14001213,East Ham,E12000007,London,England & Wales,0.134,0.422,0.444,0.128,0.279,0.594,0.06,0.101,0.84
E14001214,East Hampshire,E12000008,South East,England & Wales,0.036,0.051,0.913,0.06,0.097,0.842,0.06,0.101,0.84
E14001215,East Surrey,E12000008,South East,England & Wales,0.039,0.075,0.886,0.06,0.097,0.842,0.06,0.101,0.84
E14001216,East Thanet,E12000008,South East,England & Wales,0.057,0.051,0.892,0.06,0.097,0.842,0.06,0.101,0.84
E14001217,East Wiltshire,E12000009,South West,England & Wales,0.045,0.074,0.881,0.046,0.056,0.898,0.06,0.101,0.84
E14001218,East Worthing & Shoreham,E12000008,South East,England & Wales,0.039,0.056,0.906,0.06,0.097,0.842,0.06,0.101,0.84
E14001219,Eastbourne,E12000008,South East,England & Wales,0.075,0.077,0.848,0.06,0.097,0.842,0.06,0.101,0.84
E14001220,Eastleigh,E12000008,South East,England & Wales,0.038,0.068,0.894,0.06,0.097,0.842,0.06,0.101,0.84
E14001221,Edmonton & Winchmore Hill,E12000007,London,England & Wales,0.157,0.286,0.558,0.128,0.279,0.594,0.06,0.101,0.84
E14001222,Ellesmere Port & Bromborough,E12000002,North West,England & Wales,0.033,0.028,0.939,0.041,0.075,0.883,0.06,0.101,0.84
E14001223,Eltham & Chislehurst,E12000007,London,England & Wales,0.09,0.168,0.742,0.128,0.279,0.594,0.06,0.101,0.84
E14001224,Ely & East Cambridgeshire,E12000006,East of England,England & Wales,0.065,0.063,0.873,0.066,0.083,0.851,0.06,0.101,0.84
E14001225,Enfield North,E12000007,London,England & Wales,0.112,0.239,0.649,0.128,0.279,0.594,0.06,0.101,0.84
E14001226,Epping Forest,E12000006,East of England,England & Wales,0.064,0.096,0.84,0.066,0.083,0.851,0.06,0.101,0.84
E14001227,Epsom & Ewell,E12000008,South East,England & Wales,0.065,0.135,0.8,0.06,0.097,0.842,0.06,0.101,0.84
E14001228,Erewash,E12000004,East Midlands,England & Wales,0.03,0.026,0.944,0.058,0.08,0.863,0.06,0.101,0.84
E14001229,Erith & Thamesmead,E12000007,London,England & Wales,0.1,0.295,0.605,0.128,0.279,0.594,0.06,0.101,0.84
E14001230,Esher & Walton,E12000008,South East,England & Wales,0.071,0.127,0.802,0.06,0.097,0.842,0.06,0.101,0.84
E14001231,Exeter,E12000009,South West,England & Wales,0.068,0.096,0.836,0.046,0.056,0.898,0.06,0.101,0.84
E14001232,Exmouth & Exeter East,E12000009,South West,England & Wales,0.035,0.039,0.926,0.046,0.056,0.898,0.06,0.101,0.84
E14001233,Fareham & Waterlooville,E12000008,South East,England & Wales,0.028,0.037,0.934,0.06,0.097,0.842,0.06,0.101,0.84
E14001234,Farnham & Bordon,E12000008,South East,England & Wales,0.051,0.076,0.874,0.06,0.097,0.842,0.06,0.101,0.84
E14001235,Faversham & Mid Kent,E12000008,South East,England & Wales,0.041,0.045,0.913,0.06,0.097,0.842,0.06,0.101,0.84
E14001236,Feltham & Heston,E12000007,London,England & Wales,0.105,0.398,0.496,0.128,0.279,0.594,0.06,0.101,0.84
E14001237,Filton & Bradley Stoke,E12000009,South West,England & Wales,0.068,0.101,0.831,0.046,0.056,0.898,0.06,0.101,0.84
E14001238,Finchley & Golders Green,E12000007,London,England & Wales,0.145,0.305,0.55,0.128,0.279,0.594,0.06,0.101,0.84
E14001239,Folkestone & Hythe,E12000008,South East,England & Wales,0.044,0.067,0.889,0.06,0.097,0.842,0.06,0.101,0.84
E14001240,Forest of Dean,E12000009,South West,England & Wales,0.026,0.026,0.949,0.046,0.056,0.898,0.06,0.101,0.84
E14001241,Frome & East Somerset,E12000009,South West,England & Wales,0.032,0.034,0.934,0.046,0.056,0.898,0.06,0.101,0.84
E14001242,Fylde,E12000002,North West,England & Wales,0.03,0.027,0.943,0.041,0.075,0.883,0.06,0.101,0.84
E14001243,Gainsborough,E12000004,East Midlands,England & Wales,0.025,0.024,0.951,0.058,0.08,0.863,0.06,0.101,0.84
E14001244,Gateshead Central & Whickham,E12000001,North East,England & Wales,0.038,0.063,0.899,0.023,0.044,0.932,0.06,0.101,0.84
E14001245,Gedling,E12000004,East Midlands,England & Wales,0.034,0.047,0.919,0.058,0.08,0.863,0.06,0.101,0.84
E14001246,Gillingham & Rainham,E12000008,South East,England & Wales,0.049,0.088,0.863,0.06,0.097,0.842,0.06,0.101,0.84
E14001247,Glastonbury & Somerton,E12000009,South West,England & Wales,0.033,0.037,0.93,0.046,0.056,0.898,0.06,0.101,0.84
E14001248,Gloucester,E12000009,South West,England & Wales,0.072,0.08,0.848,0.046,0.056,0.898,0.06,0.101,0.84
E14001249,Godalming & Ash,E12000008,South East,England & Wales,0.046,0.076,0.878,0.06,0.097,0.842,0.06,0.101,0.84
E14001250,Goole & Pocklington,E12000003,Yorkshire and The Humber,England & Wales,0.046,0.025,0.929,0.044,0.07,0.886,0.06,0.101,0.84
E14001251,Gorton & Denton,E12000002,North West,England & Wales,0.068,0.221,0.711,0.041,0.075,0.883,0.06,0.101,0.84
E14001252,Gosport,E12000008,South East,England & Wales,0.031,0.04,0.929,0.06,0.097,0.842,0.06,0.101,0.84
E14001253,Grantham & Bourne,E12000004,East Midlands,England & Wales,0.06,0.037,0.903,0.058,0.08,0.863,0.06,0.101,0.84
E14001254,Gravesham,E12000008,South East,England & Wales,0.076,0.116,0.808,0.06,0.097,0.842,0.06,0.101,0.84
E14001255,Great Grimsby & Cleethorpes,E12000003,Yorkshire and The Humber,England & Wales,0.047,0.026,0.926,0.044,0.07,0.886,0.06,0.101,0.84
E14001256,Great Yarmouth,E12000006,East of England,England & Wales,0.06,0.038,0.902,0.066,0.083,0.851,0.06,0.101,0.84
E14001257,Greenwich & Woolwich,E12000007,London,England & Wales,0.129,0.283,0.588,0.128,0.279,0.594,0.06,0.101,0.84
E14001258,Guildford,E12000008,South East,England & Wales,0.079,0.142,0.779,0.06,0.097,0.842,0.06,0.101,0.84
E14001259,Hackney North & Stoke Newington,E12000007,London,England & Wales,0.109,0.25,0.64,0.128,0.279,0.594,0.06,0.101,0.84
E14001260,Hackney South & Shoreditch,E12000007,London,England & Wales,0.136,0.29,0.573,0.128,0.279,0.594,0.06,0.101,0.84
E14001261,Halesowen,E12000005,West Midlands,England & Wales,0.02,0.061,0.919,0.051,0.101,0.848,0.06,0.101,0.84
E14001262,Halifax,E12000003,Yorkshire and The Humber,England & Wales,0.038,0.086,0.877,0.044,0.07,0.886,0.06,0.101,0.84
E14001263,Hamble Valley,E12000008,South East,England & Wales,0.032,0.043,0.925,0.06,0.097,0.842,0.06,0.101,0.84
E14001264,Hammersmith & Chiswick,E12000007,London,England & Wales,0.169,0.283,0.548,0.128,0.279,0.594,0.06,0.101,0.84
E14001265,Hampstead & Highgate,E12000007,London,England & Wales,0.149,0.299,0.552,0.128,0.279,0.594,0.06,0.101,0.84
E14001266,"Harborough, Oadby & Wigston",E12000004,East Midlands,England & Wales,0.031,0.112,0.857,0.058,0.08,0.863,0.06,0.101,0.84
E14001267,Harlow,E12000006,East of England,England & Wales,0.078,0.088,0.833,0.066,0.083,0.851,0.06,0.101,0.84
E14001268,Harpenden & Berkhamsted,E12000006,East of England,England & Wales,0.041,0.07,0.889,0.066,0.083,0.851,0.06,0.101,0.84
E14001269,Harrogate & Knaresborough,E12000003,Yorkshire and The Humber,England & Wales,0.046,0.056,0.898,0.044,0.07,0.886,0.06,0.101,0.84
E14001270,Harrow East,E12000007,London,England & Wales,0.175,0.359,0.465,0.128,0.279,0.594,0.06,0.101,0.84
E14001271,Harrow West,E12000007,London,England & Wales,0.148,0.39,0.462,0.128,0.279,0.594,0.06,0.101,0.84
E14001272,Hartlepool,E12000001,North East,England & Wales,0.015,0.025,0.96,0.023,0.044,0.932,0.06,0.101,0.84
E14001273,Harwich & North Essex,E12000006,East of England,England & Wales,0.034,0.039,0.927,0.066,0.083,0.851,0.06,0.101,0.84
