Station name,Station code,Operator,PCON24CD,PCON24NM,Longitude,Latitude
Ashtead,AHD,Govia Thameslink Railway (Southern),E14001227,Epsom and Ewell,-0.30757,51.31787
Ashton-Under-Lyne,AHN,Northern Trains,E14001070,Ashton-under-Lyne,-2.09431,53.49127
Ashurst (Kent),AHS,Govia Thameslink Railway (Southern),E14001555,Tunbridge Wells,0.15265,51.12866
Ashurst New Forest,ANF,South Western Railway,E14001373,New Forest East,-1.52663,50.88985
Ashwell and Morden,AWM,Govia Thameslink Railway (Great Northern),E14001481,South Cambridgeshire,-0.10979,52.03077
Askam,ASK,Northern Trains,E14001076,Barrow and Furness,-3.20451,54.18893
Aslockton,ALK,East Midlands Railway,E14001375,Newark,-0.8981,52.95155
Aspatria,ASP,Northern Trains,E14001424,Penrith and Solway,-3.33187,54.75896
Aspley Guise,APG,West Midlands Trains (London Northwestern Railway),E14001359,Mid Bedfordshire,-0.63233,52.02124
Aston,AST,West Midlands Trains (West Midlands Railway),E14001096,Birmingham Ladywood,-1.87193,52.50423
Atherstone,ATH,West Midlands Trains (London Northwestern Railway),E14001400,North Warwickshire and Bedworth,-1.55281,52.57897
Atherton,ATN,Northern Trains,E14001329,Leigh and Atherton,-2.47897,53.52915
Attadale,ATT,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.45558,57.39504
Attenborough,ATB,East Midlands Railway,E14001140,Broxtowe,-1.23142,52.90621
Attleborough,ATL,Greater Anglia,E14001365,Mid Norfolk,1.02235,52.51454
Auchinleck,AUK,ScotRail,S14000110,Kilmarnock and Loudoun,-4.29535,55.47028
Audley End,AUD,Greater Anglia,E14001402,North West Essex,0.20716,52.00444
Aughton Park,AUG,Merseyrail,E14001577,West Lancashire,-2.89522,53.55425
Aviemore,AVM,ScotRail,S14000098,"Moray West, Nairn and Strathspey",-3.82887,57.18852
Avoncliff,AVF,Great Western Railway,E14001356,Melksham and Devizes,-2.28133,51.33965
Avonmouth,AVN,Great Western Railway,E14001134,Bristol North West,-2.69947,51.50036
Axminster,AXM,South Western Railway,E14001291,Honiton and Sidmouth,-3.00472,50.77927
Aylesbury,AYS,Chiltern Railways,E14001071,Aylesbury,-0.8151,51.81389
Aylesbury Vale Parkway,AVP,Chiltern Railways,E14001360,Mid Buckinghamshire,-0.86018,51.83116
Aylesford,AYL,Southeastern,E14001349,Maidstone and Malling,0.46617,51.30132
Aylesham,AYH,Southeastern,E14001202,Dover and Deal,1.20945,51.22725
Ayr,AYR,ScotRail,S14000107,"Ayr, Carrick and Cumnock",-4.62588,55.45815
Bache,BAC,Merseyrail,E14001163,Chester North and Neston,-2.89167,53.20879
Baglan,BAJ,TfW Rail,W07000081,Aberafan Maesteg,-3.81114,51.61555
Bagshot,BAG,South Western Railway,E14001532,Surrey Heath,-0.68866,51.36437
Baildon,BLD,Northern Trains,E14001472,Shipley,-1.75364,53.85023
Baillieston,BIO,ScotRail,S14000084,Glasgow East,-4.1137,55.84451
Balcombe,BAB,Govia Thameslink Railway (Southern),E14001212,East Grinstead and Uckfield,-0.13693,51.05552
Baldock,BDK,Govia Thameslink Railway (Great Northern),E14001393,North East Hertfordshire,-0.18756,51.99287
Balham,BAL,Govia Thameslink Railway (Southern),E14001081,Battersea,-0.15242,51.44322
Balloch,BHC,ScotRail,S14000106,West Dunbartonshire,-4.58349,56.00294
Balmossie,BSI,ScotRail,S14000066,Arbroath and Broughty Ferry,-2.83896,56.47457
Bamber Bridge,BMB,Northern Trains,E14001443,Ribble Valley,-2.66078,53.72687
Bamford,BAM,Northern Trains,E14001287,High Peak,-1.68908,53.339
Banavie,BNV,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.09543,56.84331
Banbury,BAN,Chiltern Railways,E14001072,Banbury,-1.32813,52.06031
Bangor (Gwynedd),BNG,TfW Rail,W07000083,Bangor Aberconwy,-4.13588,53.22229
Bank Hall,BAH,Merseyrail,E14001338,Liverpool Riverside,-2.98751,53.4375
Banstead,BAD,Govia Thameslink Railway (Southern),E14001442,Reigate,-0.21316,51.32935
Barassie,BSS,ScotRail,S14000109,Central Ayrshire,-4.65114,55.56106
Bardon Mill,BLL,Northern Trains,E14001285,Hexham,-2.3465,54.9745
Bare Lane,BAR,Northern Trains,E14001372,Morecambe and Lunesdale,-2.83533,54.07454
Bargeddie,BGI,ScotRail,S14000070,Coatbridge and Bellshill,-4.07381,55.8513
Bargoed,BGD,TfW Rail,W07000084,Blaenau Gwent and Rhymney,-3.22968,51.69231
Barking,BKG,c2c,E14001073,Barking,0.0809,51.53949
Barking Riverside,BGV,London Overground,E14001073,Barking,0.11477,51.51911
Barming,BMG,Southeastern,E14001349,Maidstone and Malling,0.47896,51.28489
Barmouth,BRM,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.0566,52.7229
Barnehurst,BNH,Southeastern,E14001089,Bexleyheath and Crayford,0.15965,51.46496
Barnes,BNS,South Western Railway,E14001445,Richmond Park,-0.24216,51.46708
Barnes Bridge,BNI,South Western Railway,E14001445,Richmond Park,-0.25263,51.47201
Barnetby,BTB,TransPennine Express,E14001128,Brigg and Immingham,-0.40968,53.57512
Barnham,BAA,Govia Thameslink Railway (Southern),E14001067,Arundel and South Downs,-0.63968,50.83091
Barnhill,BNL,ScotRail,S14000086,Glasgow North East,-4.22301,55.87749
Barnsley,BNY,Northern Trains,E14001074,Barnsley North,-1.47716,53.5543
Barnstaple,BNP,Great Western Railway,E14001387,North Devon,-4.06312,51.07397
Barnt Green,BTG,West Midlands Trains (West Midlands Railway),E14001138,Bromsgrove,-1.99247,52.36109
Barrhead,BRR,ScotRail,S14000021,East Renfrewshire,-4.39728,55.80376
Barrhill,BRL,ScotRail,S14000107,"Ayr, Carrick and Cumnock",-4.78178,55.09701
Barrow Haven,BAV,Northern Trains,E14001128,Brigg and Immingham,-0.39296,53.69742
Barrow-In-Furness,BIF,Northern Trains,E14001076,Barrow and Furness,-3.22612,54.119
Barrow-Upon-Soar,BWS,East Midlands Railway,E14001342,Loughborough,-1.14484,52.74934
Barry,BRY,TfW Rail,W07000110,Vale of Glamorgan,-3.28498,51.39679
Barry Docks,BYD,TfW Rail,W07000110,Vale of Glamorgan,-3.2607,51.40245
Barry Island,BYI,TfW Rail,W07000110,Vale of Glamorgan,-3.27336,51.39242
Barry Links,BYL,ScotRail,S14000066,Arbroath and Broughty Ferry,-2.74544,56.49315
Barton-On-Humber,BAU,Northern Trains,E14001128,Brigg and Immingham,-0.44344,53.68892
Basildon,BSO,c2c,E14001077,Basildon and Billericay,0.45679,51.5681
Basingstoke,BSK,South Western Railway,E14001078,Basingstoke,-1.08726,51.26836
Bat and Ball,BBL,Southeastern,E14001465,Sevenoaks,0.19423,51.28976
Bath Spa,BTH,Great Western Railway,E14001080,Bath,-2.35702,51.37769
