Station name,Station code,Operator,PCON24CD,PCON24NM,Longitude,Latitude
Lapford,LAP,Great Western Railway,E14001155,Central Devon,-3.81064,50.85701
Lapworth,LPW,Chiltern Railways,E14001309,Kenilworth and Southam,-1.72569,52.34225
Larbert,LBT,ScotRail,S14000064,Alloa and Grangemouth,-3.83058,56.02271
Largs,LAR,ScotRail,S14000048,North Ayrshire and Arran,-4.8672,55.79275
Larkhall,LRH,ScotRail,S14000092,Hamilton and Clyde Valley,-3.97551,55.7386
Laurencekirk,LAU,ScotRail,S14000111,West Aberdeenshire and Kincardine,-2.46593,56.83635
Lawrence Hill,LWH,Great Western Railway,E14001132,Bristol East,-2.56443,51.45801
Layton (Lancs),LAY,Northern Trains,E14001105,Blackpool South,-3.02999,53.83527
Lazonby and Kirkoswald,LZB,Northern Trains,E14001424,Penrith and Solway,-2.70321,54.75044
Lea Bridge,LEB,Greater Anglia,E14001563,Walthamstow,-0.03667,51.56655
Lea Green,LEG,Northern Trains,E14001510,St Helens South and Whiston,-2.72498,53.42681
Lea Hall,LEH,West Midlands Trains (West Midlands Railway),E14001095,Birmingham Hodge Hill and Solihull North,-1.78601,52.48064
Leagrave,LEA,Govia Thameslink Railway (Thameslink),E14001345,Luton North,-0.4585,51.90516
Lealholm,LHM,Northern Trains,E14001461,Scarborough and Whitby,-0.82572,54.46059
Leamington Spa,LMS,Chiltern Railways,E14001566,Warwick and Leamington,-1.53621,52.28449
Leasowe,LSW,Merseyrail,E14001561,Wallasey,-3.09959,53.40805
Leatherhead,LHD,Govia Thameslink Railway (Southern),E14001227,Epsom and Ewell,-0.33323,51.29882
Ledbury,LED,West Midlands Trains (West Midlands Railway),E14001395,North Herefordshire,-2.42586,52.04525
Lee,LEE,Southeastern,E14001331,Lewisham East,0.01349,51.44975
Leeds,LDS,Network Rail,E14001323,Leeds South,-1.54803,53.79563
Leicester,LEI,East Midlands Railway,E14001327,Leicester South,-1.12528,52.63143
Leigh (Kent),LIH,Govia Thameslink Railway (Southern),E14001549,Tonbridge,0.21049,51.1939
Leigh-On-Sea,LES,c2c,E14001502,Southend West and Leigh,0.64041,51.54127
Leighton Buzzard,LBZ,West Midlands Trains (London Northwestern Railway),E14001206,Dunstable and Leighton Buzzard,-0.67701,51.91631
Lelant,LEL,Great Western Railway,E14001511,St Ives,-5.43655,50.18413
Lelant Saltings,LTS,Great Western Railway,E14001511,St Ives,-5.44093,50.17878
Lenham,LEN,Southeastern,E14001235,Faversham and Mid Kent,0.70776,51.23448
Lenzie,LNZ,ScotRail,S14000097,Mid Dunbartonshire,-4.15389,55.92132
Leominster,LEO,TfW Rail,E14001395,North Herefordshire,-2.73034,52.22568
Letchworth Garden City,LET,Govia Thameslink Railway (Great Northern),E14001393,North East Hertfordshire,-0.22926,51.97996
Leuchars (For St. Andrews),LEU,ScotRail,S14000100,North East Fife,-2.89371,56.37511
Leven,LEV,LNER,S14000100,North East Fife,-3.002,56.1923
Levenshulme,LVM,Northern Trains,E14001251,Gorton and Denton,-2.19267,53.44416
Lewes,LWS,Govia Thameslink Railway (Southern),E14001330,Lewes,0.01133,50.87063
Lewisham,LEW,Southeastern,E14001332,Lewisham North,-0.01402,51.46569
Leyland,LEY,Northern Trains,E14001491,South Ribble,-2.68715,53.69886
Leyton Midland Road,LEM,London Overground,E14001334,Leyton and Wanstead,-0.00805,51.56972
Leytonstone High Road,LER,London Overground,E14001334,Leyton and Wanstead,0.00842,51.56355
Lichfield City,LIC,West Midlands Trains (West Midlands Railway),E14001335,Lichfield,-1.82542,52.68015
Lichfield Trent Valley,LTV,West Midlands Trains (West Midlands Railway),E14001335,Lichfield,-1.80023,52.6869
Lidlington,LID,West Midlands Trains (London Northwestern Railway),E14001359,Mid Bedfordshire,-0.55893,52.04154
Limehouse,LHS,c2c,E14001086,Bethnal Green and Stepney,-0.0398,51.51254
Lincoln,LCN,East Midlands Railway,E14001336,Lincoln,-0.53992,53.22609
Lingfield,LFD,Govia Thameslink Railway (Southern),E14001215,East Surrey,-0.00716,51.17645
Lingwood,LGD,Greater Anglia,E14001136,Broadland and Fakenham,1.48994,52.6221
Linlithgow,LIN,ScotRail,S14000068,Bathgate and Linlithgow,-3.59585,55.97646
Liphook,LIP,South Western Railway,E14001234,Farnham and Bordon,-0.80023,51.07132
Liskeard,LSK,Great Western Railway,E14001486,South East Cornwall,-4.46958,50.44687
Liss,LIS,South Western Railway,E14001214,East Hampshire,-0.89287,51.04357
Lisvane and Thornhill,LVT,TfW Rail,W07000090,Cardiff North,-3.1856,51.54458
Little Kimble,LTK,Chiltern Railways,E14001360,Mid Buckinghamshire,-0.80845,51.75223
Little Sutton,LTT,Merseyrail,E14001222,Ellesmere Port and Bromborough,-2.94329,53.28552
Littleborough,LTL,Northern Trains,E14001446,Rochdale,-2.09465,53.643
Littlehampton,LIT,Govia Thameslink Railway (Southern),E14001108,Bognor Regis and Littlehampton,-0.54599,50.81011
Littlehaven,LVN,Govia Thameslink Railway (Southern),E14001294,Horsham,-0.30798,51.07975
Littleport,LTP,Govia Thameslink Railway (Great Northern),E14001224,Ely and East Cambridgeshire,0.31656,52.46238
Liverpool Central,LVC,Merseyrail,E14001338,Liverpool Riverside,-2.97917,53.4046
Liverpool James Street,LVJ,Merseyrail,E14001338,Liverpool Riverside,-2.99196,53.40477
Liverpool Lime Street,LIV,Network Rail,E14001338,Liverpool Riverside,-2.97773,53.40731
Liverpool South Parkway,LPY,Merseyrail,E14001337,Liverpool Garston,-2.88914,53.35775
Liverpool Street,LST,Network Rail,E14001172,Cities of London and Westminster,-0.08143,51.51799
Livingston North,LSN,ScotRail,S14000095,Livingston,-3.54435,55.90139
Livingston South,LVG,ScotRail,S14000095,Livingston,-3.50157,55.8717
Llanaber,LLA,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.07718,52.74151
Llanbedr,LBR,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.1102,52.82086
Llanbister Road,LLT,TfW Rail,W07000085,"Brecon, Radnor and Cwm Tawe",-3.21342,52.33643
Llanbradach,LNB,TfW Rail,W07000088,Caerphilly,-3.23305,51.60326
Llandaf,LLN,TfW Rail,W07000090,Cardiff North,-3.22861,51.50844
Llandanwg,LDN,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.12386,52.83617
Llandecwyn,LLC,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.05704,52.92069
Llandeilo,LLL,TfW Rail,W07000087,Caerfyrddin,-3.98689,51.88535
Llandovery,LLV,TfW Rail,W07000087,Caerfyrddin,-3.80283,51.99532
Llandrindod,LLO,TfW Rail,W07000085,"Brecon, Radnor and Cwm Tawe",-3.37914,52.24236
Llandudno,LLD,TfW Rail,W07000083,Bangor Aberconwy,-3.827,53.32092
Llandudno Junction,LLJ,TfW Rail,W07000083,Bangor Aberconwy,-3.8091,53.28395
Llandybie,LLI,TfW Rail,W07000087,Caerfyrddin,-4.00365,51.82104
Llanelli,LLE,TfW Rail,W07000098,Llanelli,-4.1613,51.67387
Llanfairfechan,LLF,TfW Rail,W07000083,Bangor Aberconwy,-3.9832,53.25729
Llanfairpwll,LPG,TfW Rail,W07000112,Ynys Môn,-4.20922,53.22095
Llangadog,LLG,TfW Rail,W07000087,Caerfyrddin,-3.89315,51.94022
Llangammarch,LLM,TfW Rail,W07000085,"Brecon, Radnor and Cwm Tawe",-3.55482,52.1143
Llangennech,LLH,TfW Rail,W07000098,Llanelli,-4.07893,51.69114
Llangynllo,LGO,TfW Rail,W07000085,"Brecon, Radnor and Cwm Tawe",-3.16137,52.34963
Llanharan,LLR,TfW Rail,W07000106,Pontypridd,-3.44078,51.53759
Llanhilleth,LTH,TfW Rail,W07000084,Blaenau Gwent and Rhymney,-3.13519,51.7003
Llanishen,LLS,TfW Rail,W07000090,Cardiff North,-3.18198,51.53275
Llanrwst,LWR,TfW Rail,W07000083,Bangor Aberconwy,-3.7944,53.13885
Llansamlet,LAS,TfW Rail,W07000103,Neath and Swansea East,-3.88469,51.66151
Llantwit Major,LWM,TfW Rail,W07000110,Vale of Glamorgan,-3.48162,51.40975
Llanwrda,LNR,TfW Rail,W07000087,Caerfyrddin,-3.87167,51.96259
Llanwrtyd,LNW,TfW Rail,W07000085,"Brecon, Radnor and Cwm Tawe",-3.63216,52.10472
Llwyngwril,LLW,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.08768,52.66679
Llwynypia,LLY,TfW Rail,W07000107,Rhondda and Ogmore,-3.45351,51.63401
Loch Awe,LHA,ScotRail,S14000067,"Argyll, Bute and South Lochaber",-5.04198,56.40202
Loch Eil Outward Bound,LHE,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.19158,56.85527
Lochailort,LCL,ScotRail,S14000067,"Argyll, Bute and South Lochaber",-5.6634,56.88097
Locheilside,LCS,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.29004,56.85541
Lochgelly,LCG,ScotRail,S14000090,Glenrothes and Mid Fife,-3.31294,56.13533
Lochluichart,LCC,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-4.80905,57.62176
Lochwinnoch,LHW,ScotRail,S14000102,Paisley and Renfrewshire South,-4.61608,55.78716
Lockerbie,LOC,ScotRail,S14000074,"Dumfriesshire, Clydesdale and Tweeddale",-3.35353,55.12306
Lockwood,LCK,Northern Trains,E14001297,Huddersfield,-1.80079,53.63473
London Bridge,LBG,Network Rail,E14001085,Bermondsey and Old Southwark,-0.08609,51.50502
London Fields,LOF,London Overground,E14001260,Hackney South and Shoreditch,-0.05775,51.54115
London Road (Brighton),LRB,Govia Thameslink Railway (Southern),E14001130,Brighton Pavilion,-0.1365,50.83666
London Road (Guildford),LRD,South Western Railway,E14001258,Guildford,-0.56507,51.24065
Long Buckby,LBK,West Midlands Trains (London Northwestern Railway),E14001192,Daventry,-1.08647,52.29472
Long Eaton,LGE,East Midlands Railway,E14001228,Erewash,-1.28752,52.88499
Long Preston,LPR,Northern Trains,E14001475,Skipton and Ripon,-2.25559,54.01684
Longbeck,LGK,Northern Trains,E14001440,Redcar,-1.03047,54.58922
Longbridge,LOB,West Midlands Trains (West Midlands Railway),E14001097,Birmingham Northfield,-1.98129,52.39642
Longcross,LNG,South Western Railway,E14001456,Runnymede and Weybridge,-0.59457,51.38517
Longfield,LGF,Southeastern,E14001191,Dartford,0.30036,51.39615
Longniddry,LND,ScotRail,S14000096,Lothian East,-2.88834,55.97649
Longport,LPT,East Midlands Railway,E14001521,Stoke-on-Trent North,-2.21645,53.04188
Longton,LGN,East Midlands Railway,E14001520,Stoke-on-Trent Central,-2.13701,52.98995
Looe,LOO,Great Western Railway,E14001486,South East Cornwall,-4.45616,50.35923
Lostock,LOT,Northern Trains,E14001112,Bolton West,-2.49427,53.57293
Lostock Gralam,LTG,Northern Trains,E14001539,Tatton,-2.4652,53.26767
Lostock Hall,LOH,Northern Trains,E14001443,Ribble Valley,-2.68748,53.72425
Lostwithiel,LOS,Great Western Railway,E14001486,South East Cornwall,-4.66597,50.40718
Loughborough,LBO,East Midlands Railway,E14001342,Loughborough,-1.19593,52.77895
Loughborough Junction,LGJ,Govia Thameslink Railway (Thameslink),E14001205,Dulwich and West Norwood,-0.10218,51.4663
Low Moor,LMR,Northern Trains,E14001119,Bradford South,-1.7534,53.74993
Lowdham,LOW,East Midlands Railway,E14001471,Sherwood Forest,-0.99842,53.00628
Lower Sydenham,LSY,Southeastern,E14001331,Lewisham East,-0.03335,51.42483
Lowestoft,LWT,Greater Anglia,E14001344,Lowestoft,1.74971,52.47443
Ludlow,LUD,TfW Rail,E14001493,South Shropshire,-2.71622,52.37128
Luton,LUT,Govia Thameslink Railway (Thameslink),E14001346,Luton South and South Bedfordshire,-0.41404,51.8823
Luton Airport Parkway,LTN,Govia Thameslink Railway (Thameslink),E14001346,Luton South and South Bedfordshire,-0.39588,51.87244
Luxulyan,LUX,Great Western Railway,E14001486,South East Cornwall,-4.74739,50.39004
Lydney,LYD,TfW Rail,E14001240,Forest of Dean,-2.53086,51.71414
Lye (West Midlands),LYE,West Midlands Trains (West Midlands Railway),E14001524,Stourbridge,-2.11593,52.45992
Lymington Pier,LYP,South Western Railway,E14001373,New Forest East,-1.52945,50.7583
Lymington Town,LYT,South Western Railway,E14001374,New Forest West,-1.53716,50.76091
Lympstone Commando,LYC,Great Western Railway,E14001232,Exmouth and Exeter East,-3.44084,50.66224
Lympstone Village,LYM,Great Western Railway,E14001232,Exmouth and Exeter East,-3.43101,50.6483
Lytham,LTM,Northern Trains,E14001242,Fylde,-2.96404,53.73928
Macclesfield,MAC,Avanti West Coast,E14001347,Macclesfield,-2.12198,53.25934
Machynlleth,MCN,TfW Rail,W07000102,Montgomeryshire and Glyndwr,-3.85453,52.59514
Maesteg,MST,TfW Rail,W07000081,Aberafan Maesteg,-3.65465,51.60994
Maesteg (Ewenny Road),MEW,TfW Rail,W07000081,Aberafan Maesteg,-3.64899,51.60535
Maghull,MAG,Merseyrail,E14001463,Sefton Central,-2.93085,53.50647
Maghull North,MNS,Merseyrail,E14001463,Sefton Central,-2.9213,53.51666
Maiden Newton,MDN,Great Western Railway,E14001575,West Dorset,-2.56943,50.78001
Maidenhead,MAI,Great Western Railway,E14001348,Maidenhead,-0.72266,51.51867
Maidstone Barracks,MDB,Southeastern,E14001349,Maidstone and Malling,0.51396,51.27717
Maidstone East,MDE,Southeastern,E14001349,Maidstone and Malling,0.5213,51.27783
Maidstone West,MDW,Southeastern,E14001349,Maidstone and Malling,0.51577,51.27046
Malden Manor,MAL,South Western Railway,E14001586,Wimbledon,-0.26127,51.38473
Mallaig,MLG,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.8296,57.006
Malton,MLT,TransPennine Express,E14001544,Thirsk and Malton,-0.79722,54.13208
Malvern Link,MVL,West Midlands Trains (West Midlands Railway),E14001579,West Worcestershire,-2.31951,52.12547
Manchester Airport,MIA,TransPennine Express,E14001602,Wythenshawe and Sale East,-2.27298,53.36504
Manchester Oxford Road,MCO,Northern Trains,E14001352,Manchester Central,-2.242,53.47403
Manchester Piccadilly,MAN,Network Rail,E14001352,Manchester Central,-2.23091,53.47736
Manchester United Football Ground,MUF,Northern Trains,E14001528,Stretford and Urmston,-2.29065,53.4622
Manchester Victoria,MCV,Northern Trains,E14001352,Manchester Central,-2.2426,53.48747
Manea,MNE,Greater Anglia,E14001390,North East Cambridgeshire,0.17769,52.49784
Manningtree,MNG,Greater Anglia,E14001273,Harwich and North Essex,1.04524,51.94905
Manor Park,MNP,TfL Rail,E14001213,East Ham,0.04634,51.55247
Manor Road,MNR,Merseyrail,E14001589,Wirral West,-3.17144,53.39478
Manorbier,MRB,TfW Rail,W07000100,Mid and South Pembrokeshire,-4.79183,51.66016
Manors,MAS,Northern Trains,E14001377,Newcastle upon Tyne Central and West,-1.60474,54.97277
Mansfield,MFT,East Midlands Railway,E14001355,Mansfield,-1.19843,53.1421
Mansfield Woodhouse,MSW,East Midlands Railway,E14001355,Mansfield,-1.20185,53.16356
March,MCH,Greater Anglia,E14001390,North East Cambridgeshire,0.0912,52.55989
Marden (Kent),MRN,Southeastern,E14001570,Weald of Kent,0.49317,51.17517
Margate,MAR,Southeastern,E14001282,Herne Bay and Sandwich,1.372,51.38542
Market Harborough,MHR,East Midlands Railway,E14001266,"Harborough, Oadby and Wigston",-0.90933,52.47972
Market Rasen,MKR,East Midlands Railway,E14001243,Gainsborough,-0.3369,53.38391
Markinch,MNC,ScotRail,S14000090,Glenrothes and Mid Fife,-3.13079,56.20102
Marks Tey,MKT,Greater Anglia,E14001590,Witham,0.78333,51.88094
Marlow,MLW,Great Western Railway,E14001082,Beaconsfield,-0.76643,51.57099
Marple,MPL,Northern Trains,E14001277,Hazel Grove,-2.05726,53.40069
Marsden (Yorks),MSN,Northern Trains,E14001177,Colne Valley,-1.93075,53.60319
Marsh Barton,MBT,Great Western Railway,E14001231,Exeter,-3.521,50.704
Marske,MSK,Northern Trains,E14001440,Redcar,-1.01891,54.58742
Marston Green,MGN,West Midlands Trains (West Midlands Railway),E14001358,Meriden and Solihull East,-1.75561,52.46719
Martin Mill,MTM,Southeastern,E14001202,Dover and Deal,1.34822,51.17067
Martins Heron,MAO,South Western Railway,E14001117,Bracknell,-0.7244,51.40741
Marton,MTO,Northern Trains,E14001440,Redcar,-1.19848,54.54434
Maryhill,MYH,ScotRail,S14000085,Glasgow North,-4.30075,55.89764
Maryland,MYL,TfL Rail,E14001525,Stratford and Bow,0.00582,51.54608
Marylebone,MYB,Chiltern Railways,E14001172,Cities of London and Westminster,-0.16291,51.52252
Maryport,MRY,Northern Trains,E14001424,Penrith and Solway,-3.49408,54.71132
Matlock,MAT,East Midlands Railway,E14001195,Derbyshire Dales,-1.55891,53.13841
Matlock Bath,MTB,East Midlands Railway,E14001195,Derbyshire Dales,-1.55676,53.12236
Mauldeth Road,MAU,Northern Trains,E14001251,Gorton and Denton,-2.20925,53.43306
Maxwell Park,MAX,ScotRail,S14000088,Glasgow South West,-4.28869,55.83773
Maybole,MAY,ScotRail,S14000107,"Ayr, Carrick and Cumnock",-4.68529,55.35474
Maze Hill,MZH,Southeastern,E14001257,Greenwich and Woolwich,0.00291,51.48262
Meadowhall,MHS,Northern Trains,E14001466,Sheffield Brightside and Hillsborough,-1.41285,53.41747
Meldreth,MEL,Govia Thameslink Railway (Great Northern),E14001481,South Cambridgeshire,0.00894,52.09072
Melksham,MKM,Great Western Railway,E14001356,Melksham and Devizes,-2.1445,51.37982
Melton (Suffolk),MES,Greater Anglia,E14001530,Suffolk Coastal,1.33824,52.10444
Melton Mowbray,MMO,East Midlands Railway,E14001357,Melton and Syston,-0.88587,52.76103
Menheniot,MEN,Great Western Railway,E14001486,South East Cornwall,-4.40922,50.42623
Menston,MNN,Northern Trains,E14001472,Shipley,-1.73551,53.89234
Meols,MEO,Merseyrail,E14001589,Wirral West,-3.15427,53.39944
Meols Cop,MEC,Northern Trains,E14001504,Southport,-2.9758,53.64627
Meopham,MEP,Southeastern,E14001254,Gravesham,0.35695,51.38642
Meridian Water,MRW,Greater Anglia,E14001221,Edmonton and Winchmore Hill,-0.05096,51.60831
Merryton,MEY,ScotRail,S14000092,Hamilton and Clyde Valley,-3.97825,55.74871
Merstham,MHM,Govia Thameslink Railway (Southern),E14001215,East Surrey,-0.15023,51.26415
Merthyr Tydfil,MER,TfW Rail,W07000099,Merthyr Tydfil and Aberdare,-3.37725,51.74463
Merthyr Vale,MEV,TfW Rail,W07000099,Merthyr Tydfil and Aberdare,-3.33658,51.68665
Metheringham,MGM,East Midlands Railway,E14001476,Sleaford and North Hykeham,-0.39145,53.13888
MetroCentre,MCE,Northern Trains,E14001244,Gateshead Central and Whickham,-1.66563,54.95875
Mexborough,MEX,Northern Trains,E14001436,Rawmarsh and Conisbrough,-1.28856,53.49099
Micheldever,MIC,South Western Railway,E14001587,Winchester,-1.26068,51.18239
Micklefield,MIK,Northern Trains,E14001464,Selby,-1.32679,53.78884
Middlesbrough,MBR,TransPennine Express,E14001367,Middlesbrough and Thornaby East,-1.23472,54.57911
Middlewood,MDL,Northern Trains,E14001277,Hazel Grove,-2.08335,53.35996
Midgham,MDG,Great Western Railway,E14001439,Reading West and Mid Berkshire,-1.17771,51.39598
Milford (Surrey),MLF,South Western Railway,E14001249,Godalming and Ash,-0.63695,51.16332
Milford Haven,MFH,TfW Rail,W07000100,Mid and South Pembrokeshire,-5.04097,51.71498
Mill Hill (Lancs),MLH,Northern Trains,E14001102,Blackburn,-2.50174,53.73546
Mill Hill Broadway,MIL,Govia Thameslink Railway (Thameslink),E14001279,Hendon,-0.24924,51.61309
Millbrook (Bedfordshire),MLB,West Midlands Trains (London Northwestern Railway),E14001359,Mid Bedfordshire,-0.5327,52.05384
Millbrook (Hants),MBK,South Western Railway,E14001500,Southampton Test,-1.43384,50.9115
Milliken Park,MIN,ScotRail,S14000102,Paisley and Renfrewshire South,-4.53336,55.82512
Millom,MLM,Northern Trains,E14001076,Barrow and Furness,-3.27108,54.21083
Mills Hill (Manchester),MIH,Northern Trains,E14001103,Blackley and Middleton South,-2.17151,53.55131
Milngavie,MLN,ScotRail,S14000097,Mid Dunbartonshire,-4.31458,55.94137
Milton Keynes Central,MKC,West Midlands Trains (London Northwestern Railway),E14001369,Milton Keynes Central,-0.77415,52.03429
Minffordd,MFF,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.08497,52.92614
Minster,MSR,Southeastern,E14001282,Herne Bay and Sandwich,1.31722,51.32917
Mirfield,MIR,Northern Trains,E14001506,Spen Valley,-1.69255,53.6714
Mistley,MIS,Greater Anglia,E14001273,Harwich and North Essex,1.0814,51.94363
Mitcham Eastfields,MTC,Govia Thameslink Railway (Southern),E14001371,Mitcham and Morden,-0.15465,51.40774
Mitcham Junction,MIJ,Govia Thameslink Railway (Southern),E14001371,Mitcham and Morden,-0.15776,51.39295
Mobberley,MOB,Northern Trains,E14001539,Tatton,-2.33367,53.32914
Monifieth,MON,ScotRail,S14000066,Arbroath and Broughty Ferry,-2.81825,56.48012
Monks Risborough,MRS,Chiltern Railways,E14001360,Mid Buckinghamshire,-0.82933,51.73576
Montpelier,MTP,Great Western Railway,E14001131,Bristol Central,-2.58869,51.46835
Montrose,MTS,ScotRail,S14000065,Angus and Perthshire Glens,-2.47207,56.7128
Moorfields,MRF,Merseyrail,E14001338,Liverpool Riverside,-2.98919,53.40857
Moorgate,MOG,London Underground,E14001172,Cities of London and Westminster,-0.08894,51.51849
Moorside,MSD,Northern Trains,E14001598,Worsley and Eccles,-2.3518,53.51628
Moorthorpe,MRP,Northern Trains,E14001383,Normanton and Hemsworth,-1.30495,53.595
Morar,MRR,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.82192,56.96973
Morchard Road,MRD,Great Western Railway,E14001155,Central Devon,-3.77637,50.8319
Morden South,MDS,Govia Thameslink Railway (Thameslink),E14001371,Mitcham and Morden,-0.19946,51.39611
Morecambe,MCM,Northern Trains,E14001372,Morecambe and Lunesdale,-2.86931,54.07032
Moreton (Dorset),MTN,South Western Railway,E14001485,South Dorset,-2.31345,50.70103
Moreton (Merseyside),MRT,Merseyrail,E14001561,Wallasey,-3.1135,53.40721
Moreton-In-Marsh,MIM,Great Western Railway,E14001386,North Cotswolds,-1.70038,51.99228
Morfa Mawddach,MFA,TfW Rail,W07000096,Dwyfor Meirionnydd,-4.03217,52.70713
Morley,MLY,Northern Trains,E14001324,Leeds South West and Morley,-1.59098,53.74992
Morpeth,MPT,Northern Trains,E14001397,North Northumberland,-1.68307,55.16238
Mortimer,MOR,Great Western Railway,E14001439,Reading West and Mid Berkshire,-1.03551,51.37208
Mortlake,MTL,South Western Railway,E14001445,Richmond Park,-0.26711,51.46809
Moses Gate,MSS,Northern Trains,E14001111,Bolton South and Walkden,-2.40119,53.55598
Moss Side,MOS,Northern Trains,E14001242,Fylde,-2.94293,53.76498
Mossley (Manchester),MSL,Northern Trains,E14001515,Stalybridge and Hyde,-2.04128,53.51498
Mossley Hill,MSH,Northern Trains,E14001340,Liverpool Wavertree,-2.91544,53.37904
Mosspark,MPK,ScotRail,S14000088,Glasgow South West,-4.34829,55.84083
Moston,MSO,Northern Trains,E14001103,Blackley and Middleton South,-2.17102,53.52342
Motherwell,MTH,ScotRail,S14000099,"Motherwell, Wishaw and Carluke",-3.99433,55.79168
Motspur Park,MOT,South Western Railway,E14001586,Wimbledon,-0.23953,51.3952
Mottingham,MTG,Southeastern,E14001223,Eltham and Chislehurst,0.05005,51.44022
Mottisfont and Dunbridge,DBG,Great Western Railway,E14001449,Romsey and Southampton North,-1.54708,51.03393
Mouldsworth,MLD,Northern Trains,E14001455,Runcorn and Helsby,-2.73222,53.23181
Moulsecoomb,MCB,Govia Thameslink Railway (Southern),E14001130,Brighton Pavilion,-0.11884,50.84672
Mount Florida,MFL,ScotRail,S14000087,Glasgow South,-4.26113,55.82656
Mount Vernon,MTV,ScotRail,S14000084,Glasgow East,-4.13367,55.84021
Mountain Ash,MTA,TfW Rail,W07000106,Pontypridd,-3.37634,51.68133
Muir Of Ord,MOO,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-4.46023,57.51785
Muirend,MUI,ScotRail,S14000087,Glasgow South,-4.27439,55.80946
Musselburgh,MUB,ScotRail,S14000078,Edinburgh East and Musselburgh,-3.0732,55.93359
Mytholmroyd,MYT,Northern Trains,E14001147,Calder Valley,-1.98143,53.729
Nafferton,NFN,Northern Trains,E14001127,Bridlington and The Wolds,-0.38608,54.01122
Nailsea and Backwell,NLS,Great Western Railway,E14001399,North Somerset,-2.75063,51.41941
Nairn,NRN,ScotRail,S14000098,"Moray West, Nairn and Strathspey",-3.872,57.58025
Nantwich,NAN,TfW Rail,E14001185,Crewe and Nantwich,-2.51896,53.06357
Narberth,NAR,TfW Rail,W07000100,Mid and South Pembrokeshire,-4.72718,51.79937
Narborough,NBR,East Midlands Railway,E14001488,South Leicestershire,-1.20335,52.57129
Navigation Road,NVR,Northern Trains,E14001065,Altrincham and Sale West,-2.34342,53.39538
Neath,NTH,TfW Rail,W07000103,Neath and Swansea East,-3.80722,51.66237
Needham Market,NMT,Greater Anglia,E14001156,Central Suffolk and North Ipswich,1.05526,52.15259
Neilston,NEI,ScotRail,S14000021,East Renfrewshire,-4.42695,55.78304
Nelson,NEL,Northern Trains,E14001422,Pendle and Clitheroe,-2.21376,53.83501
Neston,NES,TfW Rail,E14001163,Chester North and Neston,-3.06308,53.29185
Netherfield,NET,East Midlands Railway,E14001245,Gedling,-1.07985,52.96141
Nethertown,NRT,Northern Trains,E14001583,Whitehaven and Workington,-3.56584,54.45642
Netley,NTL,South Western Railway,E14001263,Hamble Valley,-1.3419,50.87491
New Barnet,NBA,Govia Thameslink Railway (Great Northern),E14001169,Chipping Barnet,-0.173,51.64857
New Beckenham,NBC,Southeastern,E14001083,Beckenham and Penge,-0.03527,51.41677
New Brighton,NBN,Merseyrail,E14001561,Wallasey,-3.04797,53.4374
New Clee,NCE,Northern Trains,E14001255,Great Grimsby and Cleethorpes,-0.06081,53.57438
New Cross,NWX,Southeastern,E14001085,Bermondsey and Old Southwark,-0.04972,51.49799
New Cross Gate,NXG,London Overground,E14001332,Lewisham North,-0.04041,51.47513
New Cumnock,NCK,ScotRail,S14000107,"Ayr, Carrick and Cumnock",-4.18434,55.40274
New Eltham,NEH,Southeastern,E14001223,Eltham and Chislehurst,0.07053,51.43806
New Holland,NHL,Northern Trains,E14001128,Brigg and Immingham,-0.36021,53.70192
New Hythe,NHE,Southeastern,E14001157,Chatham and Aylesford,0.45493,51.313
New Lane,NLN,Northern Trains,E14001577,West Lancashire,-2.86772,53.61167
New Malden,NEM,South Western Railway,E14001312,Kingston and Surbiton,-0.25594,51.40407
New Mills Central,NMC,Northern Trains,E14001287,High Peak,-2.00567,53.36484
New Mills Newtown,NMN,Northern Trains,E14001287,High Peak,-2.00853,53.35963
New Milton,NWM,South Western Railway,E14001374,New Forest West,-1.65781,50.75575
New Pudsey,NPD,Northern Trains,E14001325,Leeds West and Pudsey,-1.68079,53.80448
New Southgate,NSG,Govia Thameslink Railway (Great Northern),E14001503,Southgate and Wood Green,-0.14304,51.61411
Newark Castle,NCT,East Midlands Railway,E14001375,Newark,-0.81316,53.08
Newark North Gate,NNG,London North Eastern Railway,E14001375,Newark,-0.79985,53.08176
Newbridge,NBE,TfW Rail,W07000105,Newport West and Islwyn,-3.14289,51.66582
Newbury,NBY,Great Western Railway,E14001376,Newbury,-1.32286,51.39765
Newbury Racecourse,NRC,Great Western Railway,E14001376,Newbury,-1.3078,51.39846
Newcastle,NCL,London North Eastern Railway,E14001377,Newcastle upon Tyne Central and West,-1.61728,54.9684
