Time period,Station name,Scheduled stops,Recorded station stops,"Recorded station stops (percentage) [note 2]","Time to 3 (percentage) [note 3, 5]","Cancellations (percentage) [note 4, 5]"
Apr 2024 to Mar 2025 Period 11,Ashchurch for Tewkesbury,1052,1017,100.0000,70.1082,3.3270
Apr 2024 to Mar 2025 Period 11,Ashfield,1160,1116,100.0000,95.4301,3.7931
Apr 2024 to Mar 2025 Period 11,Ashford (Surrey),3926,3762,99.9203,86.7624,4.1009
Apr 2024 to Mar 2025 Period 11,Ashford International,7220,7147,100.0000,81.5867,1.0111
Apr 2024 to Mar 2025 Period 11,Ashley,1000,605,62.9553,74.7107,3.9000
Apr 2024 to Mar 2025 Period 11,Ashtead,4060,3976,99.9246,84.7586,1.9951
Apr 2024 to Mar 2025 Period 11,Ashton-Under-Lyne,912,867,99.8848,84.6597,4.8246
Apr 2024 to Mar 2025 Period 11,Ashurst (Kent),992,980,99.8981,86.2245,1.1089
Apr 2024 to Mar 2025 Period 11,Ashurst New Forest,1190,1083,92.8816,74.6999,2.0168
Apr 2024 to Mar 2025 Period 11,Ashwell and Morden,2281,2144,99.3052,75.3731,5.3485
Apr 2024 to Mar 2025 Period 11,Askam,950,882,96.8167,84.5805,4.1053
Apr 2024 to Mar 2025 Period 11,Aslockton,652,436,68.8784,86.4679,2.9141
Apr 2024 to Mar 2025 Period 11,Aspatria,921,760,85.2974,82.3684,3.2573
Apr 2024 to Mar 2025 Period 11,Aspley Guise,816,811,100.0000,94.4513,0.6127
Apr 2024 to Mar 2025 Period 11,Aston,5485,5287,100.0000,86.0034,3.6098
Apr 2024 to Mar 2025 Period 11,Atherstone,466,450,99.5575,66.8889,3.0043
Apr 2024 to Mar 2025 Period 11,Atherton,1661,1585,99.8740,85.7413,4.4551
Apr 2024 to Mar 2025 Period 11,Attadale,184,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Attenborough,1636,1579,99.9367,76.7574,3.4230
Apr 2024 to Mar 2025 Period 11,Attleborough,1123,1110,100.0000,79.2793,1.1576
Apr 2024 to Mar 2025 Period 11,Auchinleck,423,100,24.0964,[u],1.8913
Apr 2024 to Mar 2025 Period 11,Audley End,3041,3000,100.0000,90.9000,1.3482
Apr 2024 to Mar 2025 Period 11,Aughton Park,3252,3010,99.9336,92.1595,7.3801
Apr 2024 to Mar 2025 Period 11,Aviemore,532,524,100.0000,72.5191,1.5038
Apr 2024 to Mar 2025 Period 11,Avoncliff,1002,315,32.2746,[u],2.5948
Apr 2024 to Mar 2025 Period 11,Avonmouth,1772,1735,100.0000,80.1153,2.0880
Apr 2024 to Mar 2025 Period 11,Axminster,1020,1000,100.0000,70.9000,1.9608
Apr 2024 to Mar 2025 Period 11,Aylesbury,2839,2810,100.0000,92.9181,1.0215
Apr 2024 to Mar 2025 Period 11,Aylesbury Vale Parkway,1228,1200,100.0000,92.8333,2.2801
Apr 2024 to Mar 2025 Period 11,Aylesford,1834,1801,100.0000,94.6696,1.7993
Apr 2024 to Mar 2025 Period 11,Aylesham,1230,589,48.7583,[u],1.7886
Apr 2024 to Mar 2025 Period 11,Ayr,2492,2448,100.0000,87.4183,1.7657
Apr 2024 to Mar 2025 Period 11,Bache,2668,2556,99.8048,82.0814,4.0105
Apr 2024 to Mar 2025 Period 11,Baglan,679,666,100.0000,60.0601,1.9146
Apr 2024 to Mar 2025 Period 11,Bagshot,1937,1814,96.7467,95.7552,3.2008
Apr 2024 to Mar 2025 Period 11,Baildon,1301,1229,100.0000,88.2832,5.5342
Apr 2024 to Mar 2025 Period 11,Baillieston,1498,1424,100.0000,75.8427,4.9399
Apr 2024 to Mar 2025 Period 11,Balcombe,2122,2039,99.9510,78.9112,3.8643
Apr 2024 to Mar 2025 Period 11,Baldock,3025,2866,99.9303,74.3196,5.1901
Apr 2024 to Mar 2025 Period 11,Balham,8876,8753,100.0000,95.5901,1.3858
Apr 2024 to Mar 2025 Period 11,Balloch,1526,1488,100.0000,83.1989,2.4902
Apr 2024 to Mar 2025 Period 11,Balmossie,66,21,33.3333,[u],4.5455
Apr 2024 to Mar 2025 Period 11,Bamber Bridge,1015,979,99.8980,86.3126,3.4483
Apr 2024 to Mar 2025 Period 11,Bamford,907,634,71.9637,65.7729,2.8666
Apr 2024 to Mar 2025 Period 11,Banavie,199,0,0.0000,[u],2.0101
Apr 2024 to Mar 2025 Period 11,Banbury,3505,3468,100.0000,80.3922,1.0556
Apr 2024 to Mar 2025 Period 11,Bangor (Gwynedd),1305,1240,100.0000,72.7419,4.9808
Apr 2024 to Mar 2025 Period 11,Bank Hall,3702,3555,99.9438,94.1210,3.9168
Apr 2024 to Mar 2025 Period 11,Banstead,1900,918,48.8818,[u],1.1579
Apr 2024 to Mar 2025 Period 11,Barassie,1662,1637,100.0000,91.1423,1.5042
Apr 2024 to Mar 2025 Period 11,Bardon Mill,650,486,82.5127,87.0370,9.3846
Apr 2024 to Mar 2025 Period 11,Bare Lane,1160,1104,100.0000,88.5870,4.8276
Apr 2024 to Mar 2025 Period 11,Bargeddie,1498,1424,100.0000,73.2444,4.9399
Apr 2024 to Mar 2025 Period 11,Bargoed,2699,2622,100.0000,83.2189,2.8529
Apr 2024 to Mar 2025 Period 11,Barking,12200,12024,100.0000,92.3736,1.4426
Apr 2024 to Mar 2025 Period 11,Barking Riverside,3802,3711,100.0000,96.1735,2.3935
Apr 2024 to Mar 2025 Period 11,Barming,1236,1230,100.0000,81.9512,0.4854
Apr 2024 to Mar 2025 Period 11,Barmouth,375,372,100.0000,93.5484,0.8000
Apr 2024 to Mar 2025 Period 11,Barnehurst,4932,4818,99.9378,81.0295,2.2506
Apr 2024 to Mar 2025 Period 11,Barnes,5330,5165,100.0000,87.3185,3.0957
Apr 2024 to Mar 2025 Period 11,Barnes Bridge,2605,2520,99.9207,88.2937,3.1862
Apr 2024 to Mar 2025 Period 11,Barnetby,1396,1324,98.2196,71.2236,3.4384
Apr 2024 to Mar 2025 Period 11,Barnham,8742,8572,100.0000,85.2427,1.9446
Apr 2024 to Mar 2025 Period 11,Barnhill,1548,1522,99.9343,93.6268,1.6150
Apr 2024 to Mar 2025 Period 11,Barnsley,3477,3277,99.9695,76.5029,5.7233
Apr 2024 to Mar 2025 Period 11,Barnstaple,920,890,100.0000,82.0225,3.2609
Apr 2024 to Mar 2025 Period 11,Barnt Green,2939,2867,100.0000,84.6878,2.4498
Apr 2024 to Mar 2025 Period 11,Barrhead,2154,2100,99.7151,86.7619,2.2284
Apr 2024 to Mar 2025 Period 11,Barrhill,210,163,82.3232,80.9816,5.7143
Apr 2024 to Mar 2025 Period 11,Barrow Haven,384,291,77.8075,78.3505,2.6042
Apr 2024 to Mar 2025 Period 11,Barrow-In-Furness,1737,1668,100.0000,83.9329,3.9724
Apr 2024 to Mar 2025 Period 11,Barrow-Upon-Soar,820,795,99.8744,79.4969,2.9268
Apr 2024 to Mar 2025 Period 11,Barry,3248,3186,99.9686,88.7633,1.8781
Apr 2024 to Mar 2025 Period 11,Barry Docks,3248,3152,99.9683,84.5178,2.9249
Apr 2024 to Mar 2025 Period 11,Barry Island,2336,2272,100.0000,95.0704,2.7397
Apr 2024 to Mar 2025 Period 11,Barry Links,66,20,31.7460,[u],4.5455
Apr 2024 to Mar 2025 Period 11,Barton-On-Humber,384,374,100.0000,81.0160,2.6042
Apr 2024 to Mar 2025 Period 11,Basildon,4100,4054,100.0000,95.1653,1.1220
Apr 2024 to Mar 2025 Period 11,Basingstoke,8099,7951,99.9497,74.9214,1.7780
Apr 2024 to Mar 2025 Period 11,Bat and Ball,1927,1907,100.0000,90.6135,1.0379
Apr 2024 to Mar 2025 Period 11,Bath Spa,3902,3831,100.0000,79.4571,1.8196
Apr 2024 to Mar 2025 Period 11,Bathgate,2470,2403,100.0000,88.2647,2.7126
Apr 2024 to Mar 2025 Period 11,Batley,1592,1516,99.9341,59.4327,4.7111
Apr 2024 to Mar 2025 Period 11,Battersby,363,314,89.9713,84.0764,3.8567
Apr 2024 to Mar 2025 Period 11,Battersea Park,6120,6018,99.9668,95.8956,1.6340
Apr 2024 to Mar 2025 Period 11,Battle,1869,1811,99.7796,73.4401,2.8892
Apr 2024 to Mar 2025 Period 11,Battlesbridge,1257,0,0.0000,[u],1.2729
Apr 2024 to Mar 2025 Period 11,Bayford,2376,2346,99.9574,93.0094,1.2205
Apr 2024 to Mar 2025 Period 11,Beaconsfield,2642,2620,100.0000,93.8168,0.8327
Apr 2024 to Mar 2025 Period 11,Bearley,513,111,22.3340,[u],3.1189
Apr 2024 to Mar 2025 Period 11,Bearsden,2024,1676,83.9679,85.6802,1.3834
Apr 2024 to Mar 2025 Period 11,Bearsted,1548,1541,99.8057,82.4789,0.2584
Apr 2024 to Mar 2025 Period 11,Beasdale,199,0,0.0000,[u],2.0101
Apr 2024 to Mar 2025 Period 11,Beaulieu Road,509,482,96.2076,73.2365,1.5717
Apr 2024 to Mar 2025 Period 11,Beauly,576,0,0.0000,[u],4.3403
Apr 2024 to Mar 2025 Period 11,Bebington,4684,4294,99.8140,82.6968,8.1554
Apr 2024 to Mar 2025 Period 11,Beccles,891,887,100.0000,97.5197,0.4489
Apr 2024 to Mar 2025 Period 11,Beckenham Hill,2551,2501,99.9600,89.1643,1.9208
Apr 2024 to Mar 2025 Period 11,Beckenham Junction,5324,5121,100.0000,88.6936,3.8129
Apr 2024 to Mar 2025 Period 11,Bedford,7126,6805,100.0000,82.8508,4.5046
Apr 2024 to Mar 2025 Period 11,Bedford St Johns,816,812,100.0000,90.2709,0.4902
Apr 2024 to Mar 2025 Period 11,Bedhampton,1546,1503,99.1425,81.3041,1.9405
Apr 2024 to Mar 2025 Period 11,Bedminster,1200,867,73.7872,80.2768,2.0833
Apr 2024 to Mar 2025 Period 11,Bedworth,938,898,99.8888,92.7617,4.1578
Apr 2024 to Mar 2025 Period 11,Bedwyn,1170,1135,100.0000,82.0264,2.9915
Apr 2024 to Mar 2025 Period 11,Beeston,4492,4323,100.0000,75.1330,3.7622
Apr 2024 to Mar 2025 Period 11,Bekesbourne,1210,1189,100.0000,74.6846,1.7355
Apr 2024 to Mar 2025 Period 11,Belle Vue,965,835,88.4534,88.0240,2.1762
Apr 2024 to Mar 2025 Period 11,Bellgrove,4750,4660,99.9142,89.5064,1.8105
Apr 2024 to Mar 2025 Period 11,Bellingham,2671,2616,99.9618,86.0474,2.0217
Apr 2024 to Mar 2025 Period 11,Bellshill,3005,2905,99.5545,86.5404,2.8952
Apr 2024 to Mar 2025 Period 11,Belmont,1899,952,50.6114,91.8067,0.9479
Apr 2024 to Mar 2025 Period 11,Belper,1031,1004,99.9005,76.9920,2.5218
Apr 2024 to Mar 2025 Period 11,Beltring,1781,1694,96.4143,92.8571,1.3476
Apr 2024 to Mar 2025 Period 11,Belvedere,4300,4158,99.9519,92.1356,3.2558
Apr 2024 to Mar 2025 Period 11,Bempton,724,611,88.2948,71.6858,4.4199
Apr 2024 to Mar 2025 Period 11,Ben Rhydding,3186,3023,100.0000,79.7552,5.1161
Apr 2024 to Mar 2025 Period 11,Benfleet,6137,6082,100.0000,93.4561,0.8962
Apr 2024 to Mar 2025 Period 11,Bentham,402,355,92.6893,82.2535,4.7264
Apr 2024 to Mar 2025 Period 11,Bentley (Hampshire),1380,1366,100.0000,90.4100,1.0145
Apr 2024 to Mar 2025 Period 11,Bentley (South Yorkshire),1816,1752,99.6587,86.3584,3.1938
Apr 2024 to Mar 2025 Period 11,Bere Alston,464,403,88.1838,87.8412,1.5086
Apr 2024 to Mar 2025 Period 11,Bere Ferrers,444,391,89.0661,86.9565,1.1261
Apr 2024 to Mar 2025 Period 11,Berkhamsted,3713,3630,100.0000,84.8760,2.2354
Apr 2024 to Mar 2025 Period 11,Berkswell,1998,1930,100.0000,79.6891,3.4034
Apr 2024 to Mar 2025 Period 11,Bermuda Park,938,899,100.0000,93.8821,4.1578
Apr 2024 to Mar 2025 Period 11,Berney Arms,104,104,100.0000,99.0385,0.0000
Apr 2024 to Mar 2025 Period 11,Berry Brow,850,440,55.2070,82.7273,6.2353
Apr 2024 to Mar 2025 Period 11,Berrylands,1764,1712,99.8251,85.8061,2.7778
Apr 2024 to Mar 2025 Period 11,Berwick (Sussex),1370,1326,99.8494,89.2157,3.0657
Apr 2024 to Mar 2025 Period 11,Berwick-Upon-Tweed,1909,1850,100.0000,71.4054,3.0906
Apr 2024 to Mar 2025 Period 11,Bescar Lane,436,150,36.5854,[u],5.9633
Apr 2024 to Mar 2025 Period 11,Bescot Stadium,1899,1886,99.9470,92.8420,0.6319
Apr 2024 to Mar 2025 Period 11,Betchworth,609,578,99.8273,81.6609,4.9261
Apr 2024 to Mar 2025 Period 11,Bethnal Green,8107,7971,100.0000,93.3509,1.6776
Apr 2024 to Mar 2025 Period 11,Betws-y-Coed,213,155,74.8792,35.4839,2.8169
Apr 2024 to Mar 2025 Period 11,Beverley,1932,1803,99.9446,76.9828,6.6253
Apr 2024 to Mar 2025 Period 11,Bexhill,2952,2792,100.0000,88.5745,5.4201
Apr 2024 to Mar 2025 Period 11,Bexley,4478,4402,99.9773,83.3258,1.6749
Apr 2024 to Mar 2025 Period 11,Bexleyheath,4926,4807,99.8753,78.1569,2.2940
Apr 2024 to Mar 2025 Period 11,Bicester North,1712,1708,100.0000,87.3536,0.2336
Apr 2024 to Mar 2025 Period 11,Bicester Village,2022,2008,100.0000,95.4183,0.6924
Apr 2024 to Mar 2025 Period 11,Bickley,6120,5962,99.9330,85.0218,2.5163
Apr 2024 to Mar 2025 Period 11,Bidston,4092,3888,100.0000,92.6440,4.9853
Apr 2024 to Mar 2025 Period 11,Biggleswade,2045,1933,100.0000,78.6342,5.4768
Apr 2024 to Mar 2025 Period 11,Bilbrook,994,771,79.4027,83.1388,2.3139
Apr 2024 to Mar 2025 Period 11,Billericay,2942,2881,99.8960,96.1472,1.9714
Apr 2024 to Mar 2025 Period 11,Billingham,941,882,99.7738,68.3673,6.0574
Apr 2024 to Mar 2025 Period 11,Billingshurst,1790,1734,99.9424,80.3922,3.0726
Apr 2024 to Mar 2025 Period 11,Bingham,1028,971,97.5879,84.5520,3.2101
Apr 2024 to Mar 2025 Period 11,Bingley,4027,3802,100.0000,82.7722,5.5873
Apr 2024 to Mar 2025 Period 11,Birchgrove,1457,802,62.3639,87.1571,11.7364
Apr 2024 to Mar 2025 Period 11,Birchington-On-Sea,2070,2038,99.9510,83.7095,1.4976
Apr 2024 to Mar 2025 Period 11,Birchwood,2221,2050,99.9025,72.2439,7.6092
Apr 2024 to Mar 2025 Period 11,Birkbeck,1518,1494,99.7330,98.1928,1.3175
Apr 2024 to Mar 2025 Period 11,Birkdale,3702,3544,99.9436,91.4503,4.2139
Apr 2024 to Mar 2025 Period 11,Birkenhead Central,4862,4564,99.9562,82.0114,6.0880
Apr 2024 to Mar 2025 Period 11,Birkenhead Hamilton Square,11099,10481,99.9237,87.8924,5.4960
Apr 2024 to Mar 2025 Period 11,Birkenhead North,6205,5923,99.9325,92.3687,4.4803
Apr 2024 to Mar 2025 Period 11,Birkenhead Park,6205,5900,99.8984,91.9153,4.8187
Apr 2024 to Mar 2025 Period 11,Birmingham International,7617,7280,100.0000,73.1593,4.4243
Apr 2024 to Mar 2025 Period 11,Birmingham Moor Street,5121,4985,100.0000,90.2909,2.6557
Apr 2024 to Mar 2025 Period 11,Birmingham New Street,23660,22918,100.0000,74.9716,3.1361
Apr 2024 to Mar 2025 Period 11,Birmingham Snow Hill,4103,3999,100.0000,89.3973,2.5347
Apr 2024 to Mar 2025 Period 11,Bishop Auckland,824,782,100.0000,85.6777,5.0971
Apr 2024 to Mar 2025 Period 11,Bishopbriggs,2024,2004,99.9501,93.3633,0.9387
Apr 2024 to Mar 2025 Period 11,Bishops Lydeard,,,[z],[z],[z]
Apr 2024 to Mar 2025 Period 11,Bishops Stortford,6068,5912,100.0000,91.2720,2.5709
Apr 2024 to Mar 2025 Period 11,Bishopstone (Sussex),1990,1959,99.5933,89.1782,1.1558
Apr 2024 to Mar 2025 Period 11,Bishopton (Renfrewshire),2984,2961,99.9662,96.4201,0.7373
Apr 2024 to Mar 2025 Period 11,Bitterne,997,975,98.1873,82.5641,0.4012
Apr 2024 to Mar 2025 Period 11,Blackburn,4485,4210,100.0000,79.8337,6.1315
Apr 2024 to Mar 2025 Period 11,Blackheath,6567,6414,99.8910,83.0995,2.2232
Apr 2024 to Mar 2025 Period 11,Blackhorse Road,3806,3767,100.0000,95.6464,1.0247
Apr 2024 to Mar 2025 Period 11,Blackpool North,3811,3556,100.0000,82.9584,6.6912
Apr 2024 to Mar 2025 Period 11,Blackpool Pleasure Beach,899,580,68.3962,83.4483,5.6730
Apr 2024 to Mar 2025 Period 11,Blackpool South,899,850,100.0000,82.1176,5.4505
Apr 2024 to Mar 2025 Period 11,Blackridge,1757,1723,99.8841,89.2049,1.8213
Apr 2024 to Mar 2025 Period 11,Blackrod,1228,1149,100.0000,59.1819,6.4332
Apr 2024 to Mar 2025 Period 11,Blackwater,1760,993,58.8270,87.5126,4.0909
Apr 2024 to Mar 2025 Period 11,Blaenau Ffestiniog,213,206,100.0000,52.4272,3.2864
Apr 2024 to Mar 2025 Period 11,Blair Atholl,244,240,100.0000,57.9167,1.6393
Apr 2024 to Mar 2025 Period 11,Blairhill,3097,2986,98.8414,86.9056,2.4540
Apr 2024 to Mar 2025 Period 11,Blake Street,1947,1859,100.0000,87.0360,4.5198
Apr 2024 to Mar 2025 Period 11,Blakedown,1716,1680,99.9405,87.5000,2.0396
Apr 2024 to Mar 2025 Period 11,Blantyre,3102,2972,99.6312,91.9919,3.8362
Apr 2024 to Mar 2025 Period 11,Blaydon,1066,981,99.4929,82.0591,7.5047
Apr 2024 to Mar 2025 Period 11,Bleasby,561,540,99.8152,75.5556,3.5651
Apr 2024 to Mar 2025 Period 11,Bletchley,4797,4705,100.0000,81.3390,1.9179
Apr 2024 to Mar 2025 Period 11,Bloxwich,1792,1148,64.4220,94.0767,0.5580
Apr 2024 to Mar 2025 Period 11,Bloxwich North,1792,1147,64.3659,95.6408,0.5580
Apr 2024 to Mar 2025 Period 11,Blundellsands and Crosby,3702,3557,99.9719,93.4495,3.8898
Apr 2024 to Mar 2025 Period 11,Blythe Bridge,828,557,70.9554,72.5314,5.1932
Apr 2024 to Mar 2025 Period 11,Bodmin Parkway,1818,1750,99.8289,81.7714,3.5754
Apr 2024 to Mar 2025 Period 11,Bodorgan,511,181,36.8635,[u],3.9139
Apr 2024 to Mar 2025 Period 11,Bognor Regis,3655,3536,100.0000,91.7138,3.2558
Apr 2024 to Mar 2025 Period 11,Bogston,1548,1538,99.9350,95.3836,0.5814
Apr 2024 to Mar 2025 Period 11,Bolton,6360,6014,100.0000,63.8344,5.4403
Apr 2024 to Mar 2025 Period 11,Bolton-Upon-Dearne,1055,986,99.4955,66.9371,6.0664
