PCON24CD,Aldi,Asda,Co-op,Lidl,Morrisons,Other,Sainsbury's,Tesco,Spar,M&S,Waitrose,All
E14001102,2,1,1,2,2,3,0,1,1,0,0,13
E14001103,2,1,0,1,0,2,1,2,1,0,0,10
E14001104,3,1,1,1,1,3,1,0,0,0,0,11
E14001105,2,2,1,2,0,4,1,1,0,0,0,13
E14001106,1,0,4,1,2,4,0,1,1,0,0,14
E14001107,3,3,6,3,2,5,0,0,0,0,0,22
E14001108,0,0,2,1,2,3,2,3,0,0,1,14
E14001109,2,0,5,1,2,6,0,1,0,0,0,17
E14001110,2,1,2,1,3,5,0,1,2,0,0,17
E14001111,3,3,1,3,1,13,1,2,4,1,0,32
E14001112,3,1,3,1,0,5,1,2,1,0,0,17
E14001113,2,2,1,2,0,3,0,1,0,0,0,11
E14001114,2,1,1,3,1,17,0,2,5,1,0,33
E14001115,3,1,3,2,0,8,2,1,0,0,0,20
E14001116,1,1,2,2,0,10,1,1,0,1,1,20
E14001117,2,0,3,1,1,1,1,3,1,1,1,15
E14001118,3,3,2,3,2,5,1,1,0,0,0,20
E14001119,1,2,2,0,1,5,0,4,1,0,0,16
E14001120,2,0,2,0,1,8,0,1,0,1,0,15
E14001121,0,0,2,2,0,3,2,3,0,1,0,13
E14001122,1,1,0,0,1,3,1,1,0,1,0,9
E14001123,0,1,1,3,0,9,2,0,0,0,0,16
E14001124,0,2,2,2,1,13,0,2,0,0,0,22
E14001125,0,0,1,0,0,6,2,0,0,0,0,9
E14001126,2,2,1,3,1,1,1,1,0,1,0,13
E14001127,2,0,4,2,1,3,0,4,0,0,0,16
E14001128,3,0,3,2,2,6,0,4,2,0,0,22
E14001129,0,1,6,1,1,8,0,0,0,0,0,17
E14001130,2,1,3,0,0,13,2,0,1,2,1,25
E14001131,0,0,4,1,0,16,2,0,0,1,1,25
E14001132,1,0,3,3,0,13,1,1,0,1,0,23
E14001133,2,0,1,3,1,6,1,3,0,1,0,18
E14001134,2,0,8,2,0,10,0,4,0,0,1,27
E14001135,2,2,0,2,1,6,1,0,0,1,0,15
E14001136,1,0,3,3,1,4,0,2,0,0,0,14
E14001137,0,0,2,2,0,3,1,1,0,0,2,11
E14001138,2,1,2,1,1,3,0,1,1,0,1,13
E14001139,2,1,4,1,1,3,2,2,0,0,0,16
E14001140,1,0,1,1,1,1,1,2,0,2,0,10
E14001141,3,2,0,2,1,6,0,2,0,0,1,17
E14001142,2,1,0,2,0,2,1,2,1,0,0,11
E14001143,2,2,6,3,1,1,1,2,0,0,1,19
E14001144,3,1,4,1,1,3,0,2,1,0,0,16
E14001145,2,2,1,2,2,4,0,1,1,1,0,16
E14001146,2,2,2,1,0,1,1,3,0,0,1,13
E14001147,3,0,2,2,2,2,1,1,1,0,0,14
E14001148,2,1,2,2,1,4,0,3,0,0,0,15
E14001149,2,1,10,1,0,8,3,1,0,1,1,28
E14001150,4,2,3,0,2,1,1,3,0,1,0,17
E14001151,3,1,3,0,1,2,2,1,1,3,1,18
E14001152,3,2,4,2,1,2,1,1,4,2,0,22
E14001153,0,1,2,3,0,6,1,0,0,0,0,13
E14001154,1,0,1,2,3,4,2,0,0,1,0,14
E14001155,0,0,8,3,1,1,0,1,1,0,1,16
E14001156,1,1,3,1,1,6,0,1,0,0,0,14
E14001157,1,1,3,0,2,1,0,1,1,0,0,10
E14001158,0,1,4,1,0,2,1,0,0,0,1,10
E14001159,3,1,4,1,1,4,1,2,0,1,0,18
E14001160,1,0,2,1,0,7,2,0,0,0,3,16
E14001161,1,1,3,2,1,5,1,1,0,0,1,16
E14001162,0,0,1,0,0,0,1,2,0,1,2,7
E14001163,4,1,1,2,1,4,2,2,0,0,1,18
E14001164,0,1,5,0,0,1,0,0,0,0,0,7
E14001165,1,1,2,2,2,3,1,1,3,0,0,16
E14001166,2,1,5,2,0,2,2,1,0,2,1,18
E14001167,1,0,2,0,1,21,2,1,0,0,0,28
E14001168,3,0,2,2,1,0,3,1,0,1,1,14
E14001169,1,0,3,0,0,3,1,1,0,1,2,12
E14001170,2,3,2,1,1,1,0,3,1,0,0,14
E14001171,1,0,0,4,0,2,2,1,1,1,1,13
E14001172,0,0,1,0,0,25,1,0,0,7,3,37
E14001173,2,0,6,3,0,5,1,2,1,0,0,20
E14001174,2,1,0,2,2,4,0,3,1,1,0,16
E14001175,0,0,2,1,0,4,2,2,0,2,0,13
E14001176,2,1,1,2,0,13,1,2,0,0,1,23
E14001177,4,0,7,1,1,1,1,1,0,0,0,16
E14001178,4,1,3,0,1,1,1,1,1,1,1,15
E14001179,3,2,6,1,1,5,0,1,1,1,1,22
E14001180,3,1,1,2,1,9,0,3,0,1,0,21
E14001181,2,1,3,0,2,3,0,0,1,0,0,12
E14001182,2,2,4,1,0,8,2,0,1,1,0,21
E14001183,3,2,1,1,1,5,2,0,0,1,0,16
E14001184,1,1,3,1,0,5,1,1,0,1,0,14
E14001185,3,1,1,1,2,7,1,1,0,1,0,18
E14001186,1,0,4,1,0,4,1,0,1,0,0,12
E14001187,1,0,0,0,0,1,0,1,0,0,2,5
E14001188,2,0,0,5,1,15,2,0,0,0,0,25
E14001189,0,1,1,1,1,4,0,2,0,0,0,10
E14001190,3,2,3,2,1,4,1,0,0,1,0,17
E14001191,1,1,2,1,0,1,1,0,0,0,1,8
E14001192,3,0,6,0,0,2,0,1,0,0,1,13
E14001193,4,0,8,2,1,4,2,1,0,2,0,24
E14001194,2,1,4,4,0,7,2,0,0,0,0,20
E14001195,3,0,7,0,0,1,2,0,1,1,0,15
E14001196,2,2,2,1,0,6,1,1,0,0,0,15
E14001197,1,1,2,2,0,3,2,2,0,1,2,16
E14001198,3,2,5,2,2,2,2,2,0,1,0,20
E14001199,1,1,3,2,0,5,1,0,1,0,0,14
E14001200,2,2,2,2,1,6,0,0,0,0,0,15
E14001201,0,0,1,2,0,0,1,1,0,0,2,7
E14001202,2,1,3,1,1,3,1,1,0,1,0,14
E14001203,2,0,3,2,2,3,0,1,0,1,2,16
E14001204,3,2,1,0,0,3,0,1,1,0,0,11
E14001205,0,0,1,0,0,0,1,0,0,0,0,2
E14001206,3,1,2,3,2,3,1,2,0,1,1,19
E14001207,0,1,1,2,2,18,0,1,0,1,0,26
E14001208,0,0,1,3,0,11,0,1,0,1,0,17
E14001209,0,0,0,2,0,17,1,0,0,0,2,22
E14001210,3,1,2,3,1,1,0,1,0,2,1,15
E14001211,2,2,3,1,1,2,1,0,1,0,0,12
E14001212,1,0,1,1,0,2,1,1,0,1,2,10
E14001213,0,0,0,2,0,6,1,0,0,0,0,9
E14001214,2,0,0,2,1,0,1,1,0,2,2,11
E14001215,0,0,5,1,2,1,1,1,0,0,1,12
E14001216,3,2,0,1,1,5,1,4,0,0,1,18
E14001217,1,0,3,2,0,2,0,3,2,0,2,15
E14001218,0,1,7,2,0,2,1,1,0,0,1,15
E14001219,2,1,0,1,1,4,2,3,0,0,1,15
E14001220,1,2,1,2,0,0,1,0,0,1,1,9
E14001221,0,1,0,2,0,8,1,1,0,0,1,14
E14001222,3,2,3,1,1,2,1,0,0,1,0,14
E14001223,1,0,4,2,0,5,2,0,0,0,0,14
E14001224,1,1,7,0,0,1,1,2,0,0,1,14
E14001225,1,1,0,2,1,15,1,2,0,0,2,25
E14001226,1,0,1,2,1,1,2,2,0,2,1,13
E14001227,1,0,2,2,0,2,2,1,0,1,1,12
E14001228,2,2,2,2,1,2,0,2,0,1,0,14
E14001229,1,1,3,2,2,2,1,0,0,0,0,12
E14001230,1,0,1,1,0,4,1,2,0,1,2,13
E14001231,1,0,3,2,1,2,2,1,0,1,1,14
E14001232,2,0,3,2,0,5,1,3,0,1,0,17
E14001233,1,1,4,2,0,2,2,1,2,1,0,16
E14001234,0,0,4,2,0,3,3,3,0,1,2,18
E14001235,2,0,1,0,1,2,1,2,0,0,0,9
E14001236,2,1,0,3,0,8,0,3,0,0,0,17
E14001237,3,2,1,4,1,3,2,1,1,0,0,18
E14001238,1,0,2,1,0,17,2,2,0,1,3,29
E14001239,1,1,0,1,1,1,4,1,1,0,1,12
E14001240,0,0,3,3,0,1,0,2,0,0,0,8
E14001241,0,1,3,2,0,5,2,0,0,0,0,13
E14001242,4,0,0,3,2,7,1,0,2,1,0,20
E14001243,1,0,0,1,1,13,0,2,1,1,0,20
E14001244,3,2,3,2,0,7,0,1,0,0,0,18
E14001245,2,1,3,2,1,0,2,1,0,1,0,13
E14001246,2,0,1,1,0,3,1,2,0,0,0,10
E14001247,1,0,7,1,2,5,1,2,0,0,0,19
E14001248,3,2,1,4,1,3,2,2,0,0,0,18
E14001249,0,0,4,0,0,0,2,0,0,1,1,8
E14001250,3,1,5,1,2,1,1,1,0,0,0,15
E14001251,3,3,0,2,1,6,1,2,0,0,0,18
E14001252,1,2,3,2,1,2,0,1,0,1,1,14
E14001253,1,1,5,1,1,10,2,1,0,2,0,24
E14001254,1,1,3,2,1,3,1,0,0,0,0,12
E14001255,2,2,1,2,0,10,1,1,1,0,0,20
E14001256,1,1,0,2,2,3,1,3,0,1,0,14
E14001257,2,1,6,2,0,3,2,1,0,2,1,20
E14001258,1,0,2,1,0,4,2,2,0,0,1,13
E14001259,0,0,0,0,1,12,1,0,0,0,0,14
E14001260,1,0,2,2,0,15,1,2,0,2,0,25
E14001261,2,2,1,2,0,7,0,1,0,0,0,15
E14001262,1,1,0,3,1,2,1,2,0,0,0,11
E14001263,1,0,2,1,0,1,1,2,0,0,1,9
E14001264,0,0,3,2,0,15,2,1,0,3,2,28
E14001265,2,0,1,0,0,13,2,0,0,2,2,22
E14001266,2,1,5,3,0,2,3,1,0,1,1,19
E14001267,1,1,0,2,0,2,1,2,1,0,0,10
E14001268,0,0,1,0,0,0,1,1,0,3,2,8
E14001269,2,1,8,2,1,4,1,1,0,1,1,22
E14001270,1,0,0,3,1,4,1,1,0,0,1,12
E14001271,1,2,0,1,1,9,0,1,0,0,1,16
E14001272,2,1,0,2,1,3,1,1,1,1,0,13
E14001273,0,1,1,2,1,8,1,3,1,0,0,18
E14001274,2,1,1,1,1,4,1,1,0,0,0,12
E14001275,1,1,3,2,0,2,0,1,0,0,1,11
E14001276,0,1,2,2,0,2,1,1,0,0,0,9
E14001277,3,2,2,1,1,2,1,0,0,1,0,13
E14001278,3,1,2,1,0,2,2,1,0,0,0,12
E14001279,0,0,2,0,0,10,4,1,0,1,2,20
E14001280,0,1,2,0,0,1,1,2,0,0,2,9
E14001281,2,1,3,1,2,6,2,2,0,0,1,20
E14001282,1,0,4,1,1,3,1,1,1,0,0,13
E14001283,2,1,4,1,0,2,3,3,1,2,1,20
E14001284,1,0,1,2,1,2,1,4,0,1,0,13
E14001285,2,0,7,1,0,2,3,1,0,0,2,18
E14001286,1,0,4,0,1,2,0,2,0,0,0,10
E14001287,3,0,3,1,2,2,0,2,1,1,1,16
E14001288,2,1,7,1,1,1,1,1,0,0,0,15
E14001289,0,1,1,0,1,2,1,2,0,0,1,9
E14001290,2,0,2,1,1,18,1,0,0,3,2,30
E14001291,3,0,4,2,0,2,1,4,1,0,1,18
E14001292,1,0,2,2,0,1,1,2,0,1,1,11
E14001293,1,0,2,1,0,12,2,1,0,1,2,22
E14001294,1,0,6,2,0,1,1,1,0,0,1,12
E14001295,4,1,2,1,1,4,1,1,0,0,0,15
E14001296,2,0,4,1,0,2,1,2,0,0,1,13
E14001297,2,2,3,3,1,4,2,1,0,0,0,18
E14001298,2,0,5,1,1,3,1,1,0,1,1,16
E14001299,3,1,3,1,1,3,0,3,0,0,0,15
E14001300,1,0,0,1,0,6,2,2,0,0,0,12
E14001301,1,0,0,2,0,3,2,1,0,0,0,9
E14001302,1,1,1,2,0,14,2,0,0,0,1,22
E14001303,1,0,3,1,1,0,0,1,0,0,0,7
E14001304,1,1,1,1,1,3,2,1,0,1,1,13
E14001305,1,0,3,2,1,5,0,1,0,2,1,16
E14001306,2,0,2,0,0,12,1,0,0,1,3,21
E14001307,2,3,1,1,1,5,0,1,0,0,0,14
E14001308,2,1,9,0,1,4,1,1,0,0,0,19
E14001309,1,0,4,0,0,0,2,1,0,0,3,11
E14001310,0,0,0,0,0,19,2,1,0,2,3,27
E14001311,2,1,7,1,1,7,3,1,0,0,0,23
E14001312,2,1,1,3,0,8,2,0,0,2,3,22
E14001313,1,3,1,1,1,7,0,0,0,0,0,14
E14001314,2,2,3,2,0,10,0,2,0,1,0,22
E14001315,3,1,1,2,1,7,1,0,0,1,1,18
E14001316,1,0,3,1,1,0,2,0,1,0,0,9
E14001317,2,1,0,0,1,4,0,1,0,1,0,10
E14001318,3,0,2,1,0,3,2,0,3,0,0,14
E14001319,2,1,6,0,2,15,2,0,0,0,0,28
E14001320,1,1,2,2,1,10,1,2,0,1,0,21
E14001321,2,0,3,1,0,1,1,1,0,0,1,10
E14001322,2,2,3,0,3,1,1,0,0,1,1,13
E14001323,3,3,1,1,1,9,0,0,0,1,0,19
E14001324,2,2,3,0,1,2,1,0,0,0,0,11
E14001325,1,1,2,2,1,4,0,1,0,0,0,12
E14001326,1,0,2,2,0,7,1,1,0,0,0,14
E14001327,1,0,3,1,1,17,0,1,0,0,0,24
E14001328,4,1,3,2,0,10,0,2,0,0,0,22
E14001329,3,4,1,2,1,6,1,2,0,0,0,20
E14001330,1,0,2,2,1,0,1,1,0,0,1,9
E14001331,2,0,5,2,1,7,2,1,0,0,0,20
E14001332,0,2,2,2,0,5,2,1,1,0,0,15
E14001333,0,0,2,1,0,9,1,0,0,2,0,15
E14001334,1,1,2,0,0,7,1,1,0,1,1,15
E14001335,2,0,5,1,2,4,0,1,0,0,1,16
E14001336,3,1,0,2,1,18,1,2,3,1,1,33
E14001337,3,2,1,2,2,1,1,2,0,1,0,15
E14001338,2,1,0,4,0,13,1,2,0,2,0,25
E14001339,2,1,0,1,0,2,1,0,0,0,0,7
E14001340,1,2,1,2,0,6,0,2,0,0,0,14
E14001341,3,1,0,1,0,1,1,2,0,2,0,11
E14001342,3,1,6,1,1,5,1,2,0,0,1,21
E14001343,1,0,4,1,1,12,1,2,1,0,0,23
E14001344,2,1,4,2,3,4,1,2,0,0,0,19
E14001345,2,0,1,1,0,3,1,0,0,0,0,8
E14001346,2,1,4,3,0,11,1,0,0,0,0,22
E14001347,3,0,2,0,1,3,1,2,0,0,1,13
E14001348,0,0,1,1,0,4,1,0,1,0,1,8
E14001349,3,1,0,3,0,3,2,2,1,1,1,17
E14001350,2,2,3,1,0,6,1,1,1,0,0,17
E14001351,1,2,2,1,1,5,1,1,0,1,0,15
E14001352,4,2,2,5,3,10,1,1,0,2,0,30
E14001353,1,1,2,1,1,15,0,0,0,0,0,21
E14001354,1,0,4,0,1,8,1,2,0,1,0,18
E14001355,3,2,0,1,2,12,1,2,0,0,0,23
E14001356,1,1,3,2,1,1,3,0,0,1,1,13
E14001357,2,1,2,1,1,2,1,2,0,1,0,13
E14001358,0,1,2,0,0,2,1,1,0,1,0,8
E14001359,1,0,4,0,0,3,0,2,0,1,1,12
E14001360,0,0,2,0,0,3,0,1,0,1,0,7
E14001361,2,2,2,2,2,3,1,1,0,0,1,16
E14001362,1,1,9,0,1,0,0,0,0,0,0,12
E14001363,1,1,6,1,0,2,1,1,0,1,1,15
E14001364,1,0,8,0,1,1,0,0,1,0,0,12
E14001365,1,0,1,3,1,2,1,2,1,0,0,12
E14001366,0,0,3,1,0,1,1,1,0,0,2,9
E14001367,3,1,1,2,2,3,1,0,1,1,0,15
E14001368,3,2,1,1,1,4,1,1,0,1,0,15
E14001369,2,0,7,2,1,6,2,1,0,0,1,22
E14001370,2,2,4,2,0,5,1,1,0,0,1,18
E14001371,1,1,2,6,0,2,1,0,0,0,0,13
E14001372,2,2,1,1,1,3,1,1,0,0,0,12
E14001373,1,1,2,2,1,0,0,1,0,0,1,9
E14001374,1,0,3,2,1,1,1,1,0,2,2,14
E14001375,2,1,3,2,1,10,1,0,0,0,1,21
E14001376,1,0,5,2,0,0,1,3,1,0,2,15
E14001377,3,4,0,3,2,22,0,1,0,0,0,35
E14001378,3,2,2,2,1,10,1,0,0,0,0,21
E14001379,3,2,0,1,1,4,1,1,1,1,0,15
E14001380,1,2,3,1,2,5,1,0,0,0,0,15
E14001381,1,1,5,2,1,1,2,1,0,0,0,14
E14001382,2,1,3,1,0,2,1,1,1,0,0,12
E14001383,2,2,3,2,0,1,0,1,0,0,0,11
E14001384,1,1,4,2,0,2,1,1,0,0,0,12
E14001385,2,1,6,4,2,2,2,3,2,1,0,25
E14001386,1,0,1,0,0,3,0,3,0,0,0,8
E14001387,1,1,1,3,0,3,2,4,0,0,0,15
E14001388,1,1,5,4,2,2,0,2,1,1,1,20
E14001389,2,1,1,0,1,3,0,2,0,0,0,10
E14001390,4,1,2,2,0,4,1,3,0,0,0,17
E14001391,4,0,4,0,0,2,1,1,0,0,0,12
E14001392,1,0,4,0,1,2,2,2,0,1,2,15
E14001393,2,0,1,1,1,4,1,2,0,1,0,13
E14001394,1,1,2,1,0,3,0,2,0,0,1,11
E14001395,2,0,5,0,1,5,0,1,2,0,0,16
E14001396,0,0,3,2,1,6,2,3,0,0,1,18
E14001397,2,1,9,3,4,7,1,1,0,2,0,30
E14001398,4,1,4,3,2,1,2,2,0,1,0,20
E14001399,2,1,1,2,0,3,1,2,1,0,2,15
E14001400,3,0,3,0,1,4,0,2,0,0,0,13
E14001401,2,0,3,1,1,3,0,2,1,1,0,14
E14001402,1,0,6,1,1,0,0,3,0,0,1,13
E14001403,1,1,3,2,0,1,2,2,0,0,1,13
E14001404,3,1,9,2,1,1,0,1,1,1,0,20
E14001405,1,1,2,2,2,10,3,3,1,0,0,25
E14001406,3,2,4,2,2,14,0,2,0,0,1,30
E14001407,2,1,2,1,0,1,1,1,0,1,1,11
E14001408,3,1,2,2,1,4,1,2,1,0,0,17
E14001409,2,1,2,0,1,8,1,0,0,1,1,17
E14001410,4,1,2,3,0,17,2,0,0,0,0,29
E14001411,2,1,2,2,1,4,1,2,1,0,0,16
E14001412,1,0,2,3,1,8,0,0,0,0,0,15
E14001413,2,1,5,2,0,1,1,0,0,0,0,12
E14001414,0,0,2,2,2,0,0,1,0,0,0,7
E14001415,2,2,1,0,0,3,0,2,0,0,0,10
E14001416,2,2,1,2,1,8,1,1,0,0,0,18
E14001417,1,0,2,2,1,1,2,2,0,1,1,12
E14001418,1,1,6,1,0,0,0,0,0,0,0,9
E14001419,1,0,2,2,0,2,2,2,0,1,1,13
E14001420,2,0,3,1,0,5,1,3,0,2,2,19
E14001421,1,1,1,3,2,9,1,1,0,0,0,19
E14001422,3,1,3,3,1,5,2,1,0,0,0,19
E14001423,2,1,3,2,1,1,0,1,2,0,0,13
E14001424,2,0,3,3,1,7,2,0,2,1,0,21
E14001425,3,1,2,2,1,14,2,1,1,0,1,28
E14001426,2,1,3,3,0,3,0,2,0,2,0,16
E14001427,2,0,8,2,1,10,2,0,0,0,0,25
E14001428,3,2,0,2,3,2,0,1,0,1,0,14
E14001429,2,1,5,2,0,3,1,2,0,0,1,17
E14001430,0,1,0,1,0,8,0,0,0,2,2,14
E14001431,2,0,1,3,1,2,1,2,0,1,0,13
E14001432,1,1,5,1,1,5,0,2,0,0,1,17
E14001433,3,1,2,2,1,5,1,1,0,1,0,17
E14001434,0,1,0,2,0,3,2,0,0,1,2,11
E14001435,1,0,2,0,0,18,0,2,0,1,0,24
E14001436,3,4,1,0,3,1,0,1,0,1,0,14
E14001437,1,1,1,0,0,2,0,0,0,1,0,6
E14001438,1,0,0,1,0,15,2,2,0,0,1,22
E14001439,1,1,3,3,0,1,1,0,0,0,1,11
E14001440,2,2,1,1,1,2,1,2,0,1,0,13
E14001441,1,1,0,1,1,3,1,1,0,0,0,9
E14001442,0,1,2,0,1,2,1,1,0,2,1,11
E14001443,3,0,1,2,1,3,2,0,1,0,1,14
E14001444,2,1,7,3,0,3,1,2,1,1,0,20
E14001445,0,0,0,0,0,3,2,0,0,1,2,8
E14001446,3,2,2,2,1,2,0,0,1,0,0,13
E14001447,1,2,4,0,1,2,1,3,1,1,0,16
E14001448,3,1,1,1,0,1,1,2,0,0,0,10
E14001449,1,0,2,0,0,0,0,0,0,0,1,4
E14001450,2,2,0,2,1,0,1,1,1,1,0,11
E14001451,3,0,5,0,0,4,0,2,0,0,0,14
E14001452,1,1,2,2,1,4,0,2,0,0,0,13
E14001453,2,1,10,1,0,8,1,1,1,0,0,25
E14001454,1,0,1,1,1,7,1,1,0,1,2,16
E14001455,2,1,3,1,1,1,0,1,0,0,0,10
E14001456,2,0,2,1,1,0,3,4,0,0,3,16
E14001457,2,1,8,1,1,1,0,0,0,1,0,15
E14001458,2,0,9,3,1,4,1,1,0,1,1,23
E14001459,2,2,0,4,0,5,1,1,0,0,0,15
E14001460,1,0,2,1,0,2,1,1,0,0,1,9
E14001461,2,0,4,2,1,9,2,1,0,0,0,21
E14001462,3,2,4,2,1,7,1,2,0,0,0,22
E14001463,2,1,3,1,1,0,1,1,2,0,1,13
E14001464,2,0,2,1,1,3,1,1,1,1,0,13
E14001465,2,1,1,1,0,2,0,1,0,0,1,9
E14001466,2,2,0,1,1,8,1,2,0,0,0,17
E14001467,1,2,0,1,1,16,1,2,0,1,1,26
E14001468,0,0,6,1,0,1,0,1,3,0,0,11
E14001469,2,2,3,2,1,3,1,0,0,1,0,15
E14001470,2,2,3,1,1,3,1,0,0,0,0,13
E14001471,1,1,5,0,0,2,0,2,0,0,0,11
E14001472,2,1,5,2,0,0,0,0,1,0,0,11
E14001473,2,1,3,2,1,3,1,1,0,1,0,15
E14001474,2,1,4,1,2,2,1,1,0,1,0,15
E14001475,2,0,4,0,2,2,1,2,1,2,0,16
E14001476,1,1,1,2,0,11,2,1,2,0,0,21
E14001477,1,1,0,2,0,10,1,1,0,0,0,16
E14001478,2,3,1,1,0,6,1,0,0,0,0,14
E14001479,2,1,2,1,1,2,3,2,0,1,1,16
E14001480,1,0,3,1,1,0,1,2,0,0,0,9
E14001481,0,0,6,0,0,2,0,1,0,1,0,10
E14001482,2,0,5,1,0,2,0,2,0,1,2,15
E14001483,3,0,2,1,1,0,1,0,0,0,0,8
E14001484,1,1,6,2,2,3,2,1,1,0,0,19
E14001485,2,1,3,2,1,3,1,1,0,0,0,14
E14001486,1,0,7,1,1,2,1,1,1,0,1,16
E14001487,2,0,3,2,1,7,1,2,1,0,0,19
E14001488,3,1,13,0,1,2,1,0,0,0,1,22
E14001489,1,0,4,1,1,2,1,1,0,1,1,13
E14001490,1,0,4,0,0,2,1,2,0,0,2,12
E14001491,1,1,1,0,1,3,0,2,3,0,0,12
E14001492,1,1,1,2,1,6,1,0,0,0,0,13
E14001493,2,0,3,0,0,2,2,1,1,1,0,12
E14001494,2,0,3,0,1,5,1,2,0,0,1,15
E14001495,1,0,3,2,1,3,0,1,0,0,0,11
E14001496,0,0,1,1,0,1,0,1,0,0,1,5
E14001497,1,1,0,2,2,4,1,3,0,0,1,15
E14001498,2,1,0,3,2,1,1,1,0,1,1,13
E14001499,1,1,4,3,0,9,1,0,1,0,0,20
E14001500,2,0,1,3,0,8,3,1,0,1,1,20
E14001501,0,1,2,4,0,3,1,0,0,0,0,11
E14001502,2,0,2,1,1,2,0,1,0,0,2,11
E14001503,1,1,0,1,2,26,2,0,0,1,0,34
E14001504,3,1,3,1,1,2,2,1,4,0,0,18
E14001505,0,0,3,2,0,8,0,2,0,2,0,17
E14001506,1,0,6,2,1,1,0,1,1,1,0,14
E14001507,1,0,2,0,1,4,2,0,1,1,1,13
E14001508,2,2,5,2,1,2,1,1,0,0,0,16
E14001509,2,0,2,1,0,3,0,2,0,0,0,10
E14001510,3,1,2,1,2,3,0,1,0,0,0,13
E14001511,0,0,9,2,1,4,2,3,0,0,0,21
E14001512,1,0,5,2,1,0,0,2,1,1,1,14
E14001513,2,1,8,1,0,0,1,1,1,0,0,15
E14001514,3,2,0,1,2,2,2,0,0,0,0,12
E14001515,2,1,2,0,1,2,0,2,0,0,0,10
E14001516,1,1,2,0,0,4,2,3,0,0,0,13
E14001517,3,3,2,0,2,3,0,1,0,1,0,15
E14001518,4,3,1,3,0,5,1,2,1,0,0,20
E14001519,1,0,3,0,1,2,3,2,0,0,0,12
E14001520,2,2,3,3,1,7,1,2,0,0,0,21
E14001521,3,2,3,3,0,6,0,1,0,0,0,18
E14001522,2,0,3,1,0,6,0,2,0,0,0,14
E14001523,1,0,4,0,1,1,0,0,0,1,0,7
E14001524,4,2,1,3,0,1,1,1,0,0,1,14
E14001525,0,0,1,3,1,14,1,1,0,1,1,23
E14001526,2,0,4,1,1,5,0,1,0,1,2,17
E14001527,1,0,2,3,0,4,2,2,0,2,0,16
E14001528,4,1,1,1,0,10,2,1,0,1,0,20
E14001529,1,0,2,2,1,1,2,2,0,0,1,12
E14001530,1,0,2,2,1,5,2,2,0,1,1,17
E14001531,2,2,0,3,1,1,1,1,0,0,0,11
E14001532,0,0,2,0,0,3,2,0,0,0,2,9
E14001533,0,1,2,1,1,0,1,2,1,0,3,12
E14001534,1,2,0,1,1,6,3,1,0,0,2,17
E14001535,2,1,3,2,0,3,1,1,0,2,0,15
E14001536,3,1,1,3,1,1,1,0,0,0,0,11
E14001537,3,1,1,1,1,4,1,1,0,1,0,14
E14001538,3,1,6,2,2,2,1,0,3,0,0,20
E14001539,1,0,4,1,0,1,2,1,1,0,2,13
E14001540,2,2,2,3,1,4,2,1,0,0,1,18
