PCON24CD,PCON24NM,MP,Party,Party name,Share,Majority,Electorate,Turnout,Second
E14001119,"Bradford South","Judith Cummins",Lab,"Labour Party",35.8,4392,70890,46.6,Ref
E14001120,"Bradford West","Naz Shah",Lab,"Labour Party",31.6,707,71258,52.0,Ind
E14001121,"Braintree","James Cleverly",Con,"Conservative and Unionist Party",35.5,3670,75662,64.8,Lab
E14001122,"Brent East","Dawn Butler",Lab,"Labour Party",51.2,13047,75880,49.8,Con
E14001123,"Brent West","Barry Gardiner",Lab,"Labour Party",41.7,3793,76463,54.1,Con
E14001124,"Brentford and Isleworth","Ruth Cadbury",Lab,"Labour Party",44.2,9824,76354,59.3,Con
E14001125,"Brentwood and Ongar","Alex Burghart",Con,"Conservative and Unionist Party",36.7,5980,75352,64.1,Ref
E14001126,"Bridgwater","Ashley Fox",Con,"Conservative and Unionist Party",30.6,1349,71418,56.2,Lab
E14001127,"Bridlington and The Wolds","Charlie Dewhirst",Con,"Conservative and Unionist Party",34.6,3125,72501,59.2,Lab
E14001128,"Brigg and Immingham","Martin Vickers",Con,"Conservative and Unionist Party",37.4,3243,71628,59.3,Lab
E14001129,"Brighton Kemptown and Peacehaven","Chris Ward",Lab,"Labour Party",44.0,9663,69865,58.2,Con
E14001130,"Brighton Pavilion","Siân Berry",Green,"Green Party",55.0,14290,75722,69.2,Lab
E14001131,"Bristol Central","Carla Denyer",Green,"Green Party",56.6,10407,70227,61.7,Lab
E14001132,"Bristol East","Kerry McCarthy",Lab,"Labour Party",45.0,6606,75936,60.7,Green
E14001133,"Bristol North East","Damien Egan",Lab,"Labour Party",45.3,11167,69793,60.2,Green
E14001134,"Bristol North West","Darren Jones",Lab,"Labour Party",49.6,15669,76783,63.1,Green
E14001135,"Bristol South","Karin Smyth",Lab,"Labour Party",42.7,7666,74696,58.1,Green
E14001136,"Broadland and Fakenham","Jerome Mayhew",Con,"Conservative and Unionist Party",33.0,719,72907,67.9,Lab
E14001137,"Bromley and Biggin Hill","Peter Fortune",Con,"Conservative and Unionist Party",34.0,302,70418,66.4,Lab
E14001138,"Bromsgrove","Bradley Anthony Thomas",Con,"Conservative and Unionist Party",32.8,3016,75305,66.9,Lab
E14001139,"Broxbourne","Lewis Christopher Cocking",Con,"Conservative and Unionist Party",36.8,2858,75454,56.9,Lab
E14001140,"Broxtowe","Juliet Campbell",Lab,"Labour Party",40.9,8403,71923,66.5,Con
E14001141,"Buckingham and Bletchley","Callum Anderson",Lab,"Labour Party",36.9,2421,74832,63.7,Con
E14001142,"Burnley","Oliver Ryan",Lab,"Labour and Co-operative Party",31.7,3420,75436,52.7,LD
E14001143,"Burton and Uttoxeter","Jacob Collier",Lab,"Labour Party",35.6,2266,77992,58.5,Con
E14001144,"Bury North","James Frith",Lab,"Labour Party",43.1,6944,77009,59.1,Con
E14001145,"Bury South","Christian Wakeford",Lab,"Labour Party",45.6,9361,74598,56.6,Con
E14001146,"Bury St Edmunds and Stowmarket","Peter Prinsley",Lab,"Labour Party",32.9,1452,75655,67.3,Con
E14001147,"Calder Valley","Josh Fenton-Glynn",Lab,"Labour Party",44.4,8991,77364,64.1,Con
E14001148,"Camborne and Redruth","Perran Moon",Lab,"Labour Party",40.5,7806,73568,65.0,Con
E14001149,"Cambridge","Daniel Zeichner",Lab,"Labour Party",46.6,11078,70315,59.9,LD
E14001150,"Cannock Chase","Josh Newbury",Lab,"Labour Party",36.6,3214,75582,56.9,Con
E14001151,"Canterbury","Rosie Duffield",Lab,"Labour Party",41.4,8653,75499,62.6,Con
E14001152,"Carlisle","Julie Minns",Lab,"Labour Party",39.4,5200,75868,60.6,Con
E14001153,"Carshalton and Wallington","Bobby Dean",LD,"Liberal Democrats",43.1,7904,74362,62.8,Con
E14001154,"Castle Point","Rebecca Harris",Con,"Conservative and Unionist Party",38.1,3251,70923,57.3,Ref
E14001155,"Central Devon","Mel Stride",Con,"Conservative and Unionist Party",31.5,61,73491,72.7,Lab
E14001156,"Central Suffolk and North Ipswich","Patrick Spencer",Con,"Conservative and Unionist Party",32.6,4290,71020,65.4,Lab
E14001157,"Chatham and Aylesford","Tristan Osborne",Lab,"Labour Party",32.5,1998,74840,56.3,Con
E14001158,"Cheadle","Tom Morrison",LD,"Liberal Democrats",46.7,12235,73775,68.8,Con
E14001159,"Chelmsford","Marie Goldman",LD,"Liberal Democrats",39.9,4753,76972,65.9,Con
E14001160,"Chelsea and Fulham","Ben Coleman",Lab,"Labour Party",39.4,152,76481,61.6,Con
E14001161,"Cheltenham","Max Wilkinson",LD,"Liberal Democrats",50.6,7210,75292,65.8,Con
E14001162,"Chesham and Amersham","Sarah Green",LD,"Liberal Democrats",44.8,5451,74155,73.4,Con
E14001163,"Chester North and Neston","Samantha Dixon",Lab,"Labour Party",49.8,11870,72327,61.8,Con
E14001164,"Chester South and Eddisbury","Aphra Brandreth",Con,"Conservative and Unionist Party",37.9,3057,71975,72.9,Lab
E14001165,"Chesterfield","Toby Perkins",Lab,"Labour Party",46.5,10820,70722,58.8,Con
E14001166,"Chichester","Jessica Brown-Fuller",LD,"Liberal Democrats",49.2,12172,76765,67.7,Con
E14001167,"Chingford and Woodford Green","Iain Duncan Smith",Con,"Conservative and Unionist Party",35.6,4757,75178,64.5,Lab
E14001168,"Chippenham","Sarah Gibson",LD,"Liberal Democrats",45.5,8138,71648,69.1,Con
E14001169,"Chipping Barnet","Dan Tomlinson",Lab,"Labour Party",42.4,2914,76187,66.8,Con
E14001170,"Chorley","Lindsay Hoyle",Spk,"Speaker seeking re-election",74.3,20575,74800,45.4,Green
E14001171,"Christchurch","Christopher Chope",Con,"Conservative and Unionist Party",35.8,7455,71598,66.1,LD
E14001172,"Cities of London and Westminster","Rachel Blake",Lab,"Labour and Co-operative Party",39.0,2708,73140,53.6,Con
E14001173,"City of Durham","Mary Kelly Foy",Lab,"Labour Party",47.1,11757,70582,57.6,Ref
E14001174,"Clacton","Nigel Farage",Ref,"Reform UK",46.2,8405,75959,60.5,Con
E14001175,"Clapham and Brixton Hill","Bell Ribeiro-Addy",Lab,"Labour Party",56.5,18005,75460,56.6,LD
E14001176,"Colchester","Pam Cox",Lab,"Labour Party",41.9,8250,76843,58.4,Con
E14001177,"Colne Valley","Paul Davies",Lab,"Labour Party",41.0,4963,71518,64.6,Con
E14001178,"Congleton","Sarah Alison Russell",Lab,"Labour Party",37.7,3387,69836,71.8,Con
E14001179,"Corby and East Northamptonshire","Lee Barron",Lab,"Labour Party",42.4,6331,76748,64.6,Con
E14001180,"Coventry East","Mary Creagh",Lab,"Labour Party",49.5,11623,75801,48.8,Ref
E14001181,"Coventry North West","Taiwo Owatemi",Lab,"Labour Party",46.9,11174,75057,56.0,Con
E14001182,"Coventry South","Zarah Sultana",Lab,"Labour Party",47.6,10201,70998,60.2,Con
E14001183,"Cramlington and Killingworth","Emma Foody",Lab,"Labour and Co-operative Party",49.1,12820,73295,61.9,Ref
E14001184,"Crawley","Peter Lamb",Lab,"Labour Party",38.2,5235,74446,61.3,Con
E14001185,"Crewe and Nantwich","Connor Naismith",Lab,"Labour Party",44.1,9727,76236,61.9,Con
E14001186,"Croydon East","Natasha Dawn Irons",Lab,"Labour Party",42.4,6825,75346,58.1,Con
E14001187,"Croydon South","Chris Philp",Con,"Conservative and Unionist Party",40.0,2313,71541,69.0,Lab
E14001188,"Croydon West","Sarah Jones",Lab,"Labour Party",54.1,14226,70812,53.8,Con
E14001189,"Dagenham and Rainham","Margaret Mullane",Lab,"Labour Party",42.6,7173,73627,52.8,Ref
E14001190,"Darlington","Lola McEvoy",Lab,"Labour Party",39.2,2298,70672,60.0,Con
E14001191,"Dartford","Jim Dickson",Lab,"Labour Party",34.6,1192,72048,61.7,Con
E14001192,"Daventry","Stuart Andrew",Con,"Conservative and Unionist Party",33.7,3012,76539,69.4,Lab
E14001193,"Derby North","Catherine Atkinson",Lab,"Labour Party",45.5,8915,71876,56.9,Con
E14001194,"Derby South","Baggy Shanker",Lab,"Labour and Co-operative Party",38.8,6002,72067,51.9,Ref
E14001195,"Derbyshire Dales","John Whitby",Lab,"Labour Party",34.6,350,71435,71.8,Con
E14001196,"Dewsbury and Batley","Iqbal Hussain Mohamed",Ind,"Independent",41.1,6934,70226,54.2,Lab
E14001197,"Didcot and Wantage","Olly Glover",LD,"Liberal Democrats",39.8,6233,74356,73.6,Con
E14001198,"Doncaster Central","Sally Jameson",Lab,"Labour and Co-operative Party",46.2,9551,75007,50.6,Con
E14001199,"Doncaster East and the Isle of Axholme","Lee Pitcher",Lab,"Labour Party",38.6,2311,70113,55.8,Con
E14001200,"Doncaster North","Ed Miliband",Lab,"Labour Party",52.4,9126,71739,43.2,Con
E14001201,"Dorking and Horley","Chris Coghlan",LD,"Liberal Democrats",41.9,5391,70317,71.1,Con
E14001202,"Dover and Deal","Mike Tapp",Lab,"Labour Party",39.6,7585,75855,63.0,Ref
E14001203,"Droitwich and Evesham","Nigel Huddleston",Con,"Conservative and Unionist Party",40.3,8995,74345,66.7,Lab
E14001204,"Dudley","Sonia Kumar",Lab,"Labour Party",34.1,1900,71083,50.4,Con
E14001205,"Dulwich and West Norwood","Helen Hayes",Lab,"Labour Party",60.3,18789,74314,61.1,Green
E14001206,"Dunstable and Leighton Buzzard","Alex Mayer",Lab,"Labour Party",32.5,667,74069,62.2,Con
E14001207,"Ealing Central and Acton","Rupa Huq",Lab,"Labour Party",46.8,13995,78436,60.9,Con
E14001208,"Ealing North","James Murray",Lab,"Labour and Co-operative Party",47.8,12519,74820,57.8,Con
E14001209,"Ealing Southall","Deirdre Costigan",Lab,"Labour Party",49.1,15793,78669,59.5,Con
E14001210,"Earley and Woodley","Yuan Yang",Lab,"Labour Party",39.7,848,70083,65.5,Con
E14001211,"Easington","Grahame Morris",Lab,"Labour Party",48.9,6542,70043,49.0,Ref
E14001212,"East Grinstead and Uckfield","Mims Davies",Con,"Conservative and Unionist Party",38.3,8480,72356,69.6,LD
E14001213,"East Ham","Stephen Timms",Lab,"Labour Party",51.6,12863,70902,53.4,Ind
E14001214,"East Hampshire","Damian Hinds",Con,"Conservative and Unionist Party",36.9,1275,69959,71.6,LD
E14001215,"East Surrey","Claire Coutinho",Con,"Conservative and Unionist Party",35.6,7450,73145,67.3,Lab
E14001216,"East Thanet","Polly Billington",Lab,"Labour Party",39.9,6971,73790,57.9,Con
E14001217,"East Wiltshire","Danny Kruger",Con,"Conservative and Unionist Party",35.7,4716,71109,66.4,Lab
E14001218,"East Worthing and Shoreham","Tom Rutland",Lab,"Labour Party",45.1,9519,75466,65.0,Con
E14001219,"Eastbourne","Josh Babarinde",LD,"Liberal Democrats",52.1,12204,73322,62.2,Con
E14001220,"Eastleigh","Liz Jarvis",LD,"Liberal Democrats",34.4,1546,69982,66.3,Con
E14001221,"Edmonton and Winchmore Hill","Kate Osamor",Lab,"Labour and Co-operative Party",50.0,12632,75204,54.6,Con
E14001222,"Ellesmere Port and Bromborough","Justin Madders",Lab,"Labour Party",57.6,16908,71027,59.1,Ref
E14001223,"Eltham and Chislehurst","Clive Efford",Lab,"Labour Party",44.0,8429,74179,61.4,Con
E14001224,"Ely and East Cambridgeshire","Charlotte Cane",LD,"Liberal Democrats",32.7,495,76279,68.7,Con
E14001225,"Enfield North","Feryal Clark",Lab,"Labour Party",49.1,12736,78770,55.2,Con
E14001226,"Epping Forest","Neil Hudson",Con,"Conservative and Unionist Party",43.2,5682,72229,57.8,Lab
E14001227,"Epsom and Ewell","Helen Maguire",LD,"Liberal Democrats",37.9,3686,76844,71.0,Con
E14001228,"Erewash","Adam Thompson",Lab,"Labour Party",40.1,5859,71497,60.2,Con
E14001229,"Erith and Thamesmead","Abena Oppong-Asare",Lab,"Labour Party",55.1,16302,76728,52.6,Ref
E14001230,"Esher and Walton","Monica Harding",LD,"Liberal Democrats",52.6,12003,73280,73.5,Con
E14001231,"Exeter","Steve Race",Lab,"Labour Party",45.3,11937,67840,59.2,Con
E14001232,"Exmouth and Exeter East","David George Reed",Con,"Conservative and Unionist Party",28.7,121,74502,68.9,Lab
E14001233,"Fareham and Waterlooville","Suella Braverman",Con,"Conservative and Unionist Party",35.0,6079,77036,65.1,Lab
E14001234,"Farnham and Bordon","Gregory Stafford",Con,"Conservative and Unionist Party",35.7,1349,72938,72.7,LD
E14001235,"Faversham and Mid Kent","Helen Whately",Con,"Conservative and Unionist Party",31.8,1469,71798,64.9,Lab
E14001236,"Feltham and Heston","Seema Malhotra",Lab,"Labour and Co-operative Party",41.5,7944,75226,51.7,Con
E14001237,"Filton and Bradley Stoke","Claire Hazelgrove",Lab,"Labour Party",45.5,10000,73598,68.4,Con
E14001238,"Finchley and Golders Green","Sarah Sackman",Lab,"Labour Party",44.3,4581,75761,65.1,Con
E14001239,"Folkestone and Hythe","Tony Vaughan",Lab,"Labour Party",34.7,3729,70023,61.8,Con
E14001240,"Forest of Dean","Matt Bishop",Lab,"Labour Party",34.0,278,71510,67.3,Con
E14001241,"Frome and East Somerset","Anna Sabine",LD,"Liberal Democrats",35.5,5415,70177,66.6,Con
E14001242,"Fylde","Andrew Snowden",Con,"Conservative and Unionist Party",33.2,561,77100,62.2,Lab
E14001243,"Gainsborough","Sir Edward Leigh",Con,"Conservative and Unionist Party",35.6,3532,74750,62.5,Lab
E14001244,"Gateshead Central and Whickham","Mark Ferguson",Lab,"Labour Party",45.4,9644,69827,57.6,Ref
E14001245,"Gedling","Michael Payne",Lab,"Labour Party",47.8,11881,75795,64.3,Con
E14001246,"Gillingham and Rainham","Naushabah Khan",Lab,"Labour Party",37.8,3972,73951,55.6,Con
E14001247,"Glastonbury and Somerton","Sarah Joanne Dyke",LD,"Liberal Democrats",42.7,6611,70015,68.0,Con
E14001248,"Gloucester","Alex McIntyre",Lab,"Labour Party",36.1,3431,76695,59.6,Con
E14001249,"Godalming and Ash","Jeremy Hunt",Con,"Conservative and Unionist Party",42.6,891,71399,76.6,LD
E14001250,"Goole and Pocklington","David Davis",Con,"Conservative and Unionist Party",38.2,3572,76337,65.2,Lab
E14001251,"Gorton and Denton","Andrew Gwynne",Lab,"Labour and Co-operative Party",50.8,13413,74306,49.2,Ref
E14001252,"Gosport","Caroline Dinenage",Con,"Conservative and Unionist Party",40.3,6054,73261,60.4,Lab
E14001253,"Grantham and Bourne","Gareth Davies",Con,"Conservative and Unionist Party",36.4,4496,73280,62.9,Lab
E14001254,"Gravesham","Lauren Sullivan",Lab,"Labour Party",38.5,2712,73088,59.2,Con
E14001255,"Great Grimsby and Cleethorpes","Melanie Onn",Lab,"Labour Party",41.9,4803,77050,47.5,Ref
E14001256,"Great Yarmouth","Rupert Lowe",Ref,"Reform UK",35.3,1426,70077,58.1,Lab
E14001257,"Greenwich and Woolwich","Matthew Pennycook",Lab,"Labour Party",56.2,18366,69824,61.2,Green
E14001258,"Guildford","Zöe Franklin",LD,"Liberal Democrats",47.5,8429,71367,67.7,Con
E14001259,"Hackney North and Stoke Newington","Diane Abbott",Lab,"Labour Party",59.5,15080,75401,54.3,Green
E14001260,"Hackney South and Shoreditch","Meg Hillier",Lab,"Labour and Co-operative Party",59.3,14737,75197,55.5,Green
E14001261,"Halesowen","Alex Ballinger",Lab,"Labour Party",38.9,4364,69907,55.2,Con
E14001262,"Halifax","Kate Alexandra Dearden",Lab,"Labour and Co-operative Party",35.1,6269,74563,53.9,Con
E14001263,"Hamble Valley","Paul Holmes",Con,"Conservative and Unionist Party",36.4,4802,76902,70.2,LD
E14001264,"Hammersmith and Chiswick","Andy Slaughter",Lab,"Labour Party",52.3,15290,74746,61.6,Con
E14001265,"Hampstead and Highgate","Tulip Siddiq",Lab,"Labour Party",48.3,14970,74222,65.4,Con
E14001266,"Harborough, Oadby and Wigston","Neil O'Brien",Con,"Conservative and Unionist Party",36.9,2378,74810,67.4,Lab
E14001267,"Harlow","Christopher John Vince",Lab,"Labour and Co-operative Party",37.6,2504,74683,58.1,Con
E14001268,"Harpenden and Berkhamsted","Victoria Collins",LD,"Liberal Democrats",50.2,10708,71635,75.9,Con
E14001269,"Harrogate and Knaresborough","Tom Gordon",LD,"Liberal Democrats",46.1,8238,77955,66.8,Con
E14001270,"Harrow East","Bob Blackman",Con,"Conservative and Unionist Party",53.3,11680,76299,62.6,Lab
E14001271,"Harrow West","Gareth Thomas",Lab,"Labour and Co-operative Party",43.8,6642,74060,61.1,Con
E14001272,"Hartlepool","Jonathan Brash",Lab,"Labour Party",46.2,7698,71437,49.7,Ref
E14001273,"Harwich and North Essex","Bernard Jenkin",Con,"Conservative and Unionist Party",34.4,1162,74838,64.2,Lab
E14001274,"Hastings and Rye","Helena Dollimore",Lab,"Labour and Co-operative Party",41.6,8653,75581,60.8,Con
E14001275,"Havant","Alan Mak",Con,"Conservative and Unionist Party",30.8,92,72766,58.0,Lab
E14001276,"Hayes and Harlington","John McDonnell",Lab,"Labour Party",53.3,12031,72897,52.6,Con
E14001277,"Hazel Grove","Lisa Smart",LD,"Liberal Democrats",37.7,6500,72843,63.1,Lab
E14001278,"Hemel Hempstead","David Taylor",Lab,"Labour Party",38.2,4857,70496,62.6,Con
E14001279,"Hendon","David Pinto-Duschinsky",Lab,"Labour Party",38.4,15,71496,57.7,Con
E14001280,"Henley and Thame","Freddie Van Mierlo",LD,"Liberal Democrats",45.0,6267,70626,75.3,Con
E14001281,"Hereford and South Herefordshire","Jesse Norman",Con,"Conservative and Unionist Party",32.6,1279,71125,64.1,Lab
E14001282,"Herne Bay and Sandwich","Roger Gale",Con,"Conservative and Unionist Party",35.3,2499,76028,64.2,Lab
E14001283,"Hertford and Stortford","Josh Dean",Lab,"Labour Party",38.5,4748,75396,71.6,Con
E14001284,"Hertsmere","Oliver Dowden",Con,"Conservative and Unionist Party",44.7,7992,73256,65.5,Lab
E14001285,"Hexham","Joe Morris",Lab,"Labour Party",46.3,3713,72738,71.3,Con
E14001286,"Heywood and Middleton North","Elsie Blundell",Lab,"Labour Party",40.6,6082,74786,49.6,Ref
E14001287,"High Peak","Jonathan Brian Pearce",Lab,"Labour Party",45.8,7908,73960,66.5,Con
E14001288,"Hinckley and Bosworth","Luke Evans",Con,"Conservative and Unionist Party",35.6,5408,76431,62.5,LD
E14001289,"Hitchin","Alistair Strathern",Lab,"Labour Party",42.8,7109,72112,71.4,Con
E14001290,"Holborn and St Pancras","Keir Starmer",Lab,"Labour Party",48.9,11572,71300,54.1,Ind
E14001291,"Honiton and Sidmouth","Richard Foord",LD,"Liberal Democrats",45.4,6700,74365,68.1,Con
E14001292,"Hornchurch and Upminster","Julia Lopez",Con,"Conservative and Unionist Party",32.5,1943,76938,61.0,Ref
E14001293,"Hornsey and Friern Barnet","Catherine West",Lab,"Labour Party",58.7,21475,70565,68.9,Green
E14001294,"Horsham","John Milne",LD,"Liberal Democrats",39.0,2517,76981,72.1,Con
E14001295,"Houghton and Sunderland South","Bridget Phillipson",Lab,"Labour Party",47.1,7215,78448,51.1,Ref
E14001296,"Hove and Portslade","Peter Kyle",Lab,"Labour Party",52.4,19791,73726,70.4,Green
E14001297,"Huddersfield","Harpreet Uppal",Lab,"Labour Party",37.6,4533,76044,52.8,Green
E14001298,"Huntingdon","Ben Obese-Jecty",Con,"Conservative and Unionist Party",35.1,1499,75590,68.8,Lab
E14001299,"Hyndburn","Sarah Smith",Lab,"Labour Party",33.5,1687,71145,51.1,Con
E14001300,"Ilford North","Wes Streeting",Lab,"Labour Party",33.4,528,74684,62.8,Ind
E14001301,"Ilford South","Jas Athwal",Lab,"Labour Party",40.2,6894,74065,55.6,Ind
E14001302,"Ipswich","Jack Simon Abbott",Lab,"Labour and Co-operative Party",43.3,7403,76319,57.7,Con
E14001303,"Isle of Wight East","Joe Robertson",Con,"Conservative and Unionist Party",30.6,3323,56805,60.0,Ref
E14001304,"Isle of Wight West","Richard Quigley",Lab,"Labour Party",38.6,3177,54911,62.4,Con
E14001305,"Islington North","Jeremy Corbyn",Ind,"Independent",49.2,7247,72582,67.5,Lab
E14001306,"Islington South and Finsbury","Emily Thornberry",Lab,"Labour Party",53.7,15455,74122,57.7,Green
E14001307,"Jarrow and Gateshead East","Kate Osborne",Lab,"Labour Party",51.3,8964,70272,52.3,Ref
E14001308,"Keighley and Ilkley","Robbie Moore",Con,"Conservative and Unionist Party",40.3,1625,72954,63.3,Lab
E14001309,"Kenilworth and Southam","Jeremy Wright",Con,"Conservative and Unionist Party",36.4,6574,71451,74.6,Lab
E14001310,"Kensington and Bayswater","Joe Powell",Lab,"Labour Party",40.6,2903,75980,55.2,Con
E14001311,"Kettering","Rosie Wrighting",Lab,"Labour Party",35.9,3820,76163,66.0,Con
E14001312,"Kingston and Surbiton","Ed Davey",LD,"Liberal Democrats",51.1,17235,77340,65.5,Con
E14001313,"Kingston upon Hull East","Karl Turner",Lab,"Labour Party",43.8,3920,72622,41.1,Ref
E14001314,"Kingston upon Hull North and Cottingham","Diana Johnson",Lab,"Labour Party",48.3,10679,76039,50.3,Ref
E14001315,"Kingston upon Hull West and Haltemprice","Emma Hardy",Lab,"Labour Party",47.7,8979,74321,50.4,Ref
E14001316,"Kingswinford and South Staffordshire","Mike Wood",Con,"Conservative and Unionist Party",40.3,6303,71896,62.8,Lab
E14001317,"Knowsley","Anneliese Midgley",Lab,"Labour Party",67.3,18319,71228,50.6,Ref
E14001318,"Lancaster and Wyre","Cat Smith",Lab,"Labour Party",44.9,9253,74992,57.4,Con
E14001319,"Leeds Central and Headingley","Alex Sobel",Lab,"Labour and Co-operative Party",50.2,8422,75396,41.9,Green
E14001320,"Leeds East","Richard Burgon",Lab,"Labour Party",47.2,11265,75330,52.3,Ref
E14001321,"Leeds North East","Fabian Hamilton",Lab,"Labour Party",51.5,16083,70976,63.6,Con
E14001322,"Leeds North West","Katie White",Lab,"Labour Party",46.0,11896,71592,69.5,Con
