Constituency ID,Constituency Name,Region,A*-C % / 2011,A*-C % / 2012,A*-C % / 2013,A*-C % / 2014,A*-C % / 2015,A*-C % / 2016,A*-C % / 2017,A*-C % / 2018,A*-C % / 2019,A*-C % / 2020,A*-C % / 2021,A*-C % / 2022,KS4 Attainment 8 / 2011,KS4 Attainment 8 / 2012,KS4 Attainment 8 / 2013,KS4 Attainment 8 / 2014,KS4 Attainment 8 / 2015,KS4 Attainment 8 / 2016,KS4 Attainment 8 / 2017,KS4 Attainment 8 / 2018,KS4 Attainment 8 / 2019,KS4 Attainment 8 / 2020,KS4 Attainment 8 / 2021,KS4 Attainment 8 / 2022,KS2 met expected / 2022
E14000576,Bognor Regis and Littlehampton,South East,45,47,46,44,48,54,58,58,59,65,67,61,,,,,,,42.3,41.7,41.85,,,43.70,50
E14000577,Bolsover,East Midlands,51,54,49,52,49,51,58,56,64,66,66,64,,,,,,,42.7,41.2,43.53,,,44.40,60
E14000578,Bolton North East,North West,65,69,67,67,61,63,67,68,70,75,76,74,,,,,,,47.3,48.2,48.26,,,50.00,65
E14000579,Bolton South East,North West,61,56,63,59,59,57,62,60,62,70,71,66,,,,,,,43.4,44.0,44.66,,,46.80,60
E14000580,Bolton West,North West,54,55,52,50,58,54,57,54,52,58,57,53,,,,,,,40.4,40.5,38.98,,,40.30,63
E14000581,Bootle,North West,53,51,52,52,45,52,45,51,47,51,59,47,,,,,,,38.9,39.7,38.13,,,37.00,53
E14000582,Boston and Skegness,East Midlands,61,60,54,49,47,51,50,52,58,66,65,62,,,,,,,39.4,40.6,41.60,,,43.60,53
E14000583,Bosworth,East Midlands,56,51,61,55,58,65,67,71,71,78,78,75,,,,,,,45.3,47.6,48.16,,,50.80,60
E14000584,Bournemouth East,South West,67,67,69,69,68,72,74,73,70,81,81,81,,,,,,,51.1,52.7,50.87,,,56.30,63
E14000585,Bournemouth West,South West,38,48,53,49,48,53,55,61,58,70,67,64,,,,,,,41.1,43.7,41.53,,,45.30,59
E14000586,Bracknell,South East,61,62,65,60,62,62,65,69,67,73,76,69,,,,,,,46.8,48.6,47.34,,,49.50,59
E14000587,Bradford East,Yorkshire and The Humber,46,48,52,50,47,53,57,57,52,60,60,55,,,,,,,41.7,42.0,41.27,,,42.00,59
E14000588,Bradford South,Yorkshire and The Humber,40,44,45,35,41,44,48,48,48,54,54,55,,,,,,,38.7,38.5,38.69,,,39.70,53
E14000589,Bradford West,Yorkshire and The Humber,45,51,53,42,45,47,56,57,58,66,65,64,,,,,,,43.2,44.3,44.27,,,46.10,54
E14000590,Braintree,East,56,54,50,46,55,59,64,62,59,66,68,64,,,,,,,44.9,44.3,43.09,,,44.20,57
E14000591,Brent Central,London,48,46,51,46,49,53,57,59,60,67,67,69,,,,,,,43.4,44.0,45.69,,,48.90,62
E14000592,Brent North,London,69,65,70,68,66,67,71,74,73,78,79,75,,,,,,,51.3,52.3,52.19,,,54.20,63
E14000593,Brentford and Isleworth,London,63,60,69,71,71,64,66,68,68,74,77,78,,,,,,,46.5,48.6,48.75,,,54.30,65
E14000594,Brentwood and Ongar,East,70,67,71,65,67,74,79,76,74,82,80,78,,,,,,,50.1,51.0,49.57,,,52.40,66
E14000595,Bridgwater and West Somerset,South West,47,47,53,46,57,52,56,57,55,64,66,59,,,,,,,44.0,42.9,42.07,,,42.30,53
E14000596,Brigg and Goole,Yorkshire and The Humber,58,63,64,62,64,65,65,66,69,73,75,71,,,,,,,45.3,46.5,48.24,,,49.40,55
E14000597,"Brighton, Kemptown",South East,43,45,51,42,46,56,51,50,46,53,53,55,,,,,,,37.7,39.0,37.47,,,40.30,53
E14000598,"Brighton, Pavilion",South East,60,58,64,54,64,66,70,74,76,82,80,83,,,,,,,48.3,50.6,51.48,,,55.60,61
E14000599,Bristol East,South West,40,39,44,51,51,52,53,54,58,63,65,68,,,,,,,41.5,42.0,44.41,,,47.80,56
E14000600,Bristol North West,South West,47,52,49,54,49,56,56,55,59,66,68,67,,,,,,,42.4,43.3,44.29,,,48.60,58
E14000601,Bristol South,South West,43,46,43,54,46,50,46,56,49,60,61,54,,,,,,,37.8,39.8,38.10,,,40.10,58
E14000602,Bristol West,South West,69,66,70,70,74,76,78,77,72,78,79,78,,,,,,,52.4,54.2,52.02,,,55.60,61
E14000603,Broadland,East,67,61,62,61,61,69,70,71,65,74,74,71,,,,,,,48.7,47.6,46.76,,,47.90,50
E14000604,Bromley and Chislehurst,London,62,65,73,63,66,69,67,66,64,71,71,70,,,,,,,47.1,47.6,45.80,,,49.70,69
E14000605,Bromsgrove,West Midlands,66,67,70,66,68,66,67,67,70,73,73,75,,,,,,,47.2,46.5,47.78,,,50.30,65
E14000606,Broxbourne,East,59,61,61,62,60,64,64,66,64,72,73,70,,,,,,,46.3,47.0,47.49,,,48.20,57
E14000607,Broxtowe,East Midlands,56,63,61,61,58,68,67,64,70,75,76,74,,,,,,,48.6,47.1,48.19,,,51.30,61
E14000608,Buckingham,South East,64,65,67,69,70,72,73,75,72,78,80,77,,,,,,,49.1,51.7,51.05,,,54.10,63
E14000609,Burnley,North West,41,46,45,44,47,52,54,52,57,62,65,54,,,,,,,39.0,38.4,41.38,,,39.60,47
E14000610,Burton,West Midlands,51,60,60,57,58,61,60,62,61,66,68,63,,,,,,,43.0,44.1,43.25,,,44.90,59
E14000611,Bury North,North West,65,63,63,61,60,65,65,64,66,71,75,70,,,,,,,46.8,45.6,44.42,,,48.20,60
E14000612,Bury South,North West,61,64,62,55,54,58,61,60,57,70,69,61,,,,,,,44.9,44.5,42.33,,,43.70,59
E14000613,Bury St Edmunds,East,64,54,62,61,61,61,65,67,64,69,69,69,,,,,,,44.8,46.0,44.72,,,47.30,56
E14000614,Calder Valley,Yorkshire and The Humber,58,58,64,60,61,63,64,67,66,75,72,69,,,,,,,46.8,47.3,46.28,,,48.50,62
E14000615,Camberwell and Peckham,London,56,59,68,67,68,72,64,68,66,76,74,75,,,,,,,49.6,50.2,49.77,,,53.60,64
E14000616,Camborne and Redruth,South West,52,55,61,64,63,65,60,57,60,72,71,62,,,,,,,46.2,43.2,44.15,,,46.30,57
E14000617,Cambridge,East,65,53,64,67,68,73,77,77,74,80,80,76,,,,,,,54.3,55.4,54.65,,,57.10,63
E14000618,Cannock Chase,West Midlands,51,54,57,50,48,47,50,47,52,63,63,60,,,,,,,42.6,40.1,41.02,,,45.00,57
E14000619,Canterbury,South East,58,58,61,64,58,63,51,64,66,72,72,69,,,,,,,45.0,47.2,47.17,,,49.50,59
E14000620,Carlisle,North West,49,48,48,45,54,58,58,60,57,65,65,61,,,,,,,45.0,43.5,41.95,,,43.60,52
E14000621,Carshalton and Wallington,London,73,72,76,73,73,77,75,78,79,84,82,79,,,,,,,56.0,57.5,58.44,,,60.10,64
E14000622,Castle Point,East,60,63,60,57,60,59,63,62,62,67,67,66,,,,,,,44.9,43.0,43.30,,,44.30,58
E14000623,Central Devon,South West,65,65,68,64,62,67,69,65,64,71,69,73,,,,,,,47.6,45.9,46.11,,,49.60,56
E14000624,Central Suffolk and North Ipswich,East,59,60,60,60,65,68,68,72,69,77,81,75,,,,,,,47.2,49.2,49.25,,,50.80,57
E14000625,Charnwood,East Midlands,48,49,59,61,55,61,66,66,66,70,72,70,,,,,,,45.4,44.7,45.10,,,46.40,66
E14000626,Chatham and Aylesford,South East,48,59,54,56,49,53,52,54,56,64,62,63,,,,,,,40.1,40.2,41.31,,,43.60,60
E14000627,Cheadle,North West,71,71,70,67,69,72,73,74,74,81,81,77,,,,,,,51.3,50.4,51.85,,,53.30,72
E14000628,Chelmsford,East,63,68,68,66,76,75,76,76,75,82,83,81,,,,,,,54.5,55.6,55.28,,,59.30,62
E14000629,Chelsea and Fulham,London,76,70,70,67,69,75,79,76,80,84,84,86,,,,,,,55.6,55.0,55.83,,,59.90,71
E14000630,Cheltenham,South West,65,56,57,59,64,68,70,69,68,76,75,72,,,,,,,52.0,51.3,51.81,,,54.60,62
E14000631,Chesham and Amersham,South East,72,72,72,71,71,76,77,78,79,82,83,79,,,,,,,53.8,55.6,56.58,,,57.40,69
E14000632,Chesterfield,East Midlands,60,59,62,56,65,68,70,69,63,75,74,69,,,,,,,48.0,47.8,45.59,,,49.20,57
E14000633,Chichester,South East,57,57,65,57,64,61,66,61,64,69,73,64,,,,,,,46.7,44.7,44.25,,,45.70,53
E14000634,Chingford and Woodford Green,London,68,67,68,70,70,73,76,75,74,77,79,78,,,,,,,51.3,52.4,52.24,,,55.80,72
E14000635,Chippenham,South West,62,59,67,63,66,67,67,71,68,72,74,70,,,,,,,47.5,48.9,48.23,,,48.20,56
E14000636,Chipping Barnet,London,72,72,73,71,74,76,79,79,81,85,87,84,,,,,,,56.4,57.5,58.56,,,60.70,69
E14000637,Chorley,North West,59,67,68,61,62,68,65,69,71,75,74,72,,,,,,,45.0,47.8,48.41,,,50.30,62
E14000638,Christchurch,South West,61,53,63,63,66,69,68,71,69,75,77,76,,,,,,,47.8,49.1,47.71,,,51.40,59
E14000639,Cities of London and Westminster,London,71,74,79,72,72,77,78,74,78,85,86,86,,,,,,,55.9,55.0,55.20,,,59.40,63
E14000640,City of Chester,North West,64,62,63,61,57,64,65,65,67,76,76,71,,,,,,,47.5,46.1,47.73,,,49.90,62
E14000641,City of Durham,North East,67,69,66,64,60,66,62,70,65,75,79,68,,,,,,,45.9,48.7,48.05,,,49.50,60
E14000642,Clacton,East,47,52,61,48,47,49,48,44,47,56,59,49,,,,,,,41.0,40.2,40.25,,,39.50,40
E14000643,Cleethorpes,Yorkshire and The Humber,63,71,65,67,63,61,64,67,68,77,77,69,,,,,,,46.8,47.2,47.89,,,48.20,58
E14000644,Colchester,East,64,62,67,58,65,67,70,68,72,74,74,71,,,,,,,50.0,50.5,51.73,,,52.10,59
E14000645,Colne Valley,Yorkshire and The Humber,65,64,67,60,64,64,66,66,65,71,74,70,,,,,,,45.8,45.8,45.96,,,50.20,62
E14000646,Congleton,North West,72,65,68,68,68,72,76,74,76,76,79,77,,,,,,,50.8,50.3,51.42,,,52.10,61
E14000647,Copeland,North West,51,57,55,60,56,61,63,67,65,72,72,72,,,,,,,45.1,48.5,46.69,,,49.90,56
E14000648,Corby,East Midlands,54,56,55,53,57,58,61,56,57,64,65,64,,,,,,,45.1,43.7,43.69,,,45.60,57
E14000649,Coventry North East,West Midlands,49,57,51,46,50,55,54,56,56,63,64,62,,,,,,,41.1,41.6,42.49,,,46.10,52
E14000650,Coventry North West,West Midlands,57,62,59,55,52,61,55,61,61,68,73,67,,,,,,,42.1,44.0,44.16,,,46.70,58
E14000651,Coventry South,West Midlands,58,59,62,63,61,67,66,64,61,70,69,67,,,,,,,45.3,44.5,44.28,,,46.30,52
E14000652,Crawley,South East,56,52,53,55,54,56,56,60,57,67,68,61,,,,,,,42.9,43.5,42.66,,,43.60,58
E14000653,Crewe and Nantwich,North West,59,55,54,56,58,56,60,57,59,65,67,62,,,,,,,43.9,43.1,43.03,,,44.00,56
E14000654,Croydon Central,London,57,59,63,57,56,52,50,54,55,62,65,65,,,,,,,39.8,40.9,43.63,,,45.80,62
E14000655,Croydon North,London,65,64,62,59,63,63,66,70,62,70,73,67,,,,,,,47.9,48.8,45.63,,,47.00,61
E14000656,Croydon South,London,62,65,73,62,68,68,68,67,66,75,73,72,,,,,,,47.9,48.0,47.16,,,50.40,66
E14000657,Dagenham and Rainham,London,55,54,57,56,54,57,62,57,57,70,66,66,,,,,,,45.0,43.4,43.64,,,48.20,61
E14000658,Darlington,North East,64,61,63,59,53,60,61,63,65,70,71,65,,,,,,,44.4,45.1,46.37,,,46.80,56
E14000659,Dartford,South East,67,70,73,70,70,74,72,71,74,77,76,76,,,,,,,51.0,51.6,52.16,,,54.90,63
E14000660,Daventry,East Midlands,62,63,66,58,55,61,63,66,68,72,77,67,,,,,,,45.3,45.5,45.84,,,45.10,57
E14000661,Denton and Reddish,North West,57,60,67,57,56,63,59,64,63,73,73,60,,,,,,,45.0,44.4,44.51,,,43.50,53
E14000662,Derby North,East Midlands,58,57,56,50,48,57,58,61,60,63,65,62,,,,,,,43.2,43.8,44.10,,,45.90,54
E14000663,Derby South,East Midlands,50,53,52,49,44,44,52,52,54,60,60,54,,,,,,,39.0,39.8,39.78,,,40.60,49
E14000664,Derbyshire Dales,East Midlands,70,67,70,65,70,71,75,71,73,78,78,76,,,,,,,50.0,50.3,51.29,,,51.80,58
E14000665,Devizes,South West,59,56,55,50,54,59,57,61,64,70,65,65,,,,,,,42.6,45.2,46.16,,,46.50,57
E14000666,Dewsbury,Yorkshire and The Humber,58,63,62,54,53,58,62,65,63,69,70,70,,,,,,,44.8,45.6,44.99,,,47.90,55
E14000667,Don Valley,Yorkshire and The Humber,57,55,58,56,55,58,60,60,64,65,67,67,,,,,,,44.4,43.3,44.63,,,46.30,58
E14000668,Doncaster Central,Yorkshire and The Humber,56,56,57,49,49,60,60,58,61,70,66,62,,,,,,,45.0,42.8,44.35,,,44.40,53
E14000669,Doncaster North,Yorkshire and The Humber,49,53,56,53,55,61,55,57,60,68,67,66,,,,,,,40.8,41.7,42.66,,,44.40,56
E14000670,Dover,South East,53,54,53,55,54,59,54,57,60,63,66,59,,,,,,,42.8,42.1,42.56,,,42.30,50
E14000671,Dudley North,West Midlands,55,48,56,53,55,52,54,55,56,60,61,62,,,,,,,41.3,41.3,41.91,,,44.30,51
E14000672,Dudley South,West Midlands,62,62,66,55,54,52,60,59,58,65,66,68,,,,,,,43.9,43.0,43.09,,,47.80,49
E14000673,Dulwich and West Norwood,London,61,52,62,59,58,60,59,57,56,71,76,70,,,,,,,45.7,45.5,44.62,,,50.30,66
E14000674,Ealing Central and Acton,London,60,56,62,67,70,65,69,70,71,78,80,75,,,,,,,48.6,51.5,52.42,,,55.00,71
E14000675,Ealing North,London,61,60,64,64,63,67,71,70,73,77,76,74,,,,,,,48.8,50.5,50.59,,,52.00,62
E14000676,"Ealing, Southall",London,52,57,58,57,62,62,71,68,72,76,76,81,,,,,,,48.6,48.0,50.48,,,55.50,69
E14000677,Easington,North East,56,56,67,62,58,65,52,58,62,66,70,61,,,,,,,41.7,42.9,46.20,,,45.20,54
E14000678,East Devon,South West,66,61,60,66,68,69,68,67,67,76,77,72,,,,,,,45.5,46.1,46.30,,,49.20,55
E14000679,East Ham,London,63,68,64,60,64,65,68,70,68,75,76,78,,,,,,,50.6,51.4,49.92,,,55.60,70
E14000680,East Hampshire,South East,67,66,66,68,65,74,77,75,76,82,82,79,,,,,,,50.0,50.5,52.09,,,53.70,63
E14000681,East Surrey,South East,56,63,64,59,53,59,67,64,64,69,74,64,,,,,,,45.4,44.5,44.94,,,44.90,62
E14000682,East Worthing and Shoreham,South East,56,52,54,60,59,63,61,63,70,73,79,75,,,,,,,45.7,45.6,49.16,,,51.40,55
E14000683,East Yorkshire,Yorkshire and The Humber,54,53,58,56,58,64,65,67,65,73,78,67,,,,,,,45.8,47.2,45.62,,,45.20,52
E14000684,Eastbourne,South East,56,59,62,54,58,62,58,59,61,69,69,67,,,,,,,43.9,43.9,43.34,,,47.00,52
E14000685,Eastleigh,South East,66,61,62,62,63,66,70,64,70,72,78,71,,,,,,,48.5,46.1,49.58,,,50.10,60
E14000686,Eddisbury,North West,57,57,61,61,56,65,61,65,68,72,72,63,,,,,,,46.3,47.5,48.49,,,46.80,57
E14000687,Edmonton,London,57,54,60,56,54,57,57,56,57,63,68,64,,,,,,,46.2,45.8,45.46,,,48.90,58
E14000688,Ellesmere Port and Neston,North West,53,50,57,49,55,59,50,54,54,63,72,60,,,,,,,42.5,42.5,41.65,,,43.50,55
E14000689,Elmet and Rothwell,Yorkshire and The Humber,60,60,59,57,64,63,66,70,68,72,74,78,,,,,,,47.5,47.3,46.94,,,52.70,65
E14000690,Eltham,London,51,62,67,62,59,61,59,59,63,69,70,72,,,,,,,46.1,44.9,45.83,,,51.50,63
E14000691,Enfield North,London,60,57,66,65,54,62,62,62,63,69,71,68,,,,,,,45.3,45.8,46.29,,,47.60,63
E14000692,"Enfield, Southgate",London,64,55,68,65,65,72,67,67,67,76,76,71,,,,,,,48.0,48.0,48.32,,,50.60,69
E14000693,Epping Forest,East,60,62,70,65,60,65,67,67,67,75,72,72,,,,,,,47.7,46.3,46.35,,,50.30,56
E14000694,Epsom and Ewell,London,73,77,77,77,76,80,77,80,80,84,85,84,,,,,,,54.2,56.1,56.19,,,60.40,67
E14000695,Erewash,East Midlands,56,52,60,48,59,58,61,59,59,67,66,63,,,,,,,42.4,43.1,42.63,,,44.40,55
E14000696,Erith and Thamesmead,London,52,55,51,51,58,59,59,60,61,69,65,61,,,,,,,43.6,42.2,43.52,,,44.30,64
E14000697,Esher and Walton,South East,65,64,69,65,58,68,74,75,75,83,84,76,,,,,,,48.7,52.5,51.38,,,53.60,71
E14000698,Exeter,South West,48,54,59,51,51,58,62,61,63,71,72,72,,,,,,,45.9,43.6,45.51,,,47.40,58
E14000699,Fareham,South East,62,57,63,62,63,67,70,70,69,76,77,70,,,,,,,47.1,47.7,47.16,,,49.00,65
E14000700,Faversham and Mid Kent,South East,61,64,61,60,59,62,61,64,67,74,73,64,,,,,,,44.6,45.1,46.10,,,44.80,61
E14000701,Feltham and Heston,London,63,64,67,65,62,68,71,70,69,75,73,72,,,,,,,49.8,50.3,50.01,,,50.60,59
E14000702,Filton and Bradley Stoke,South West,60,60,63,55,54,66,65,65,66,74,76,72,,,,,,,45.8,46.0,46.88,,,49.00,58
E14000703,Finchley and Golders Green,London,71,74,73,71,73,76,80,76,79,82,83,78,,,,,,,56.5,57.1,58.17,,,58.40,66
E14000704,Folkestone and Hythe,South East,58,60,59,56,52,53,55,53,58,64,70,62,,,,,,,43.6,42.3,43.84,,,46.70,60
E14000705,Forest of Dean,South West,54,56,55,52,51,57,62,64,63,72,70,62,,,,,,,43.1,44.7,44.14,,,45.50,52
E14000706,Fylde,North West,64,64,65,62,62,65,67,65,67,75,75,66,,,,,,,45.2,45.5,47.10,,,47.30,62
E14000707,Gainsborough,East Midlands,69,69,68,64,60,63,68,70,72,76,76,70,,,,,,,50.5,50.3,50.82,,,51.60,55
E14000708,Garston and Halewood,North West,49,51,51,37,39,46,48,43,48,57,55,52,,,,,,,40.3,36.0,36.33,,,37.30,53
E14000709,Gateshead,North East,57,62,63,63,61,61,65,65,67,72,74,67,,,,,,,45.1,45.3,46.77,,,48.80,56
E14000710,Gedling,East Midlands,59,59,60,57,62,69,68,67,68,72,75,71,,,,,,,48.6,48.4,48.47,,,48.70,58
E14000711,Gillingham and Rainham,South East,53,57,61,58,52,60,54,61,61,67,69,61,,,,,,,43.0,45.1,44.56,,,45.20,50
E14000712,Gloucester,South West,67,67,66,69,65,67,73,71,69,76,78,79,,,,,,,51.6,51.9,51.33,,,56.50,56
E14000713,Gosport,South East,51,51,54,53,54,54,56,56,54,61,63,55,,,,,,,42.3,42.7,41.34,,,40.30,48
E14000714,Grantham and Stamford,East Midlands,65,65,69,51,68,70,73,74,73,78,80,77,,,,,,,50.1,52.3,53.10,,,56.20,52
E14000715,Gravesham,South East,58,58,66,69,64,71,64,68,68,75,72,71,,,,,,,45.8,46.9,47.58,,,48.40,63
E14000716,Great Grimsby,Yorkshire and The Humber,35,41,45,41,38,48,49,50,43,46,51,45,,,,,,,38.6,37.7,32.70,,,33.50,62
E14000717,Great Yarmouth,East,53,53,48,48,52,55,54,53,60,66,69,65,,,,,,,42.3,43.0,44.61,,,46.50,47
E14000718,Greenwich and Woolwich,London,60,62,62,57,50,52,63,52,59,67,69,64,,,,,,,44.6,43.2,43.72,,,46.50,70
E14000719,Guildford,South East,65,67,70,71,71,73,76,75,77,82,82,81,,,,,,,52.1,52.8,52.81,,,56.50,60
E14000720,Hackney North and Stoke Newington,London,57,59,63,58,61,69,68,69,72,75,73,71,,,,,,,48.6,49.2,49.14,,,49.40,68
E14000721,Hackney South and Shoreditch,London,59,64,62,62,63,70,65,67,67,76,74,76,,,,,,,50.1,48.8,49.33,,,53.70,71
E14000722,Halesowen and Rowley Regis,West Midlands,59,60,59,57,57,58,57,59,59,64,65,62,,,,,,,45.2,43.4,43.69,,,46.50,56
E14000723,Halifax,Yorkshire and The Humber,62,67,68,64,68,69,68,70,71,75,75,70,,,,,,,50.4,52.6,53.57,,,47.50,56
E14000724,Haltemprice and Howden,Yorkshire and The Humber,54,56,62,62,63,75,74,77,73,78,78,72,,,,,,,50.5,50.6,49.16,,,48.30,63
E14000725,Halton,North West,57,60,63,59,58,60,55,60,60,67,66,64,,,,,,,44.8,44.6,45.62,,,46.60,58
E14000726,Hammersmith,London,65,62,64,68,54,64,62,64,68,73,78,73,,,,,,,46.5,48.7,50.94,,,52.80,73
E14000727,Hampstead and Kilburn,London,60,56,55,55,54,63,67,61,68,72,72,70,,,,,,,47.3,45.2,47.30,,,48.80,70
