Code,Parliamentary constituency,Constituency type,Total electors 2015,Total electors 2016,Total electors 2017,Total electors 2018,Electoral registrations December 2019,Electoral registrations March 2020,Electoral registrations December 2020,Electoral registrations December 2021,Electoral registrations December 2022
E14000857,North West Hampshire,C,78019,80447,80902,80165,83297,83303,83013,82384,82966
E14000858,North West Leicestershire,C,71377,74767,76225,77909,78748,79551,78954,78474,79016
E14000859,North West Norfolk,C,70679,70789,71241,70507,72586,71719,71204,70334,69949
E14000860,North Wiltshire,C,66692,69032,70473,69978,73818,73678,72878,73582,73917
E14000861,Northampton North,B,57032,57463,58324,58398,59188,59114,58008,56705,55549
E14000862,Northampton South,B,57389,60204,60993,60927,62553,62516,60789,59481,58476
E14000863,Norwich North,B,63487,65293,65593,65043,66716,66294,66120,65688,66439
E14000864,Norwich South,B,68963,69361,71321,68713,78565,73481,70389,68414,69634
E14000865,Nottingham East,B,57132,59207,63628,58930,66623,66279,59899,57432,56893
E14000866,Nottingham North,B,64727,66426,68434,65727,67119,66914,65095,64075,64923
E14000867,Nottingham South,B,65512,66653,74362,67583,79928,79684,67080,63313,61413
E14000868,Nuneaton,C,65757,67594,68637,68404,69103,70335,69529,69503,69887
E14000869,Old Bexley and Sidcup,B,64196,65285,65559,64598,65103,66407,65426,64700,63604
E14000870,Oldham East and Saddleworth,C,69222,70446,70897,70508,72731,72997,72146,70972,69652
E14000871,Oldham West and Royton,B,69456,70917,70945,71072,73715,74183,73050,72329,73511
E14000872,Orpington,B,66724,67837,67821,67928,67989,69102,68410,67488,67161
E14000873,Oxford East,B,70293,73139,72492,71040,71304,79145,73315,71095,70369
E14000874,Oxford West and Abingdon,C,73647,75206,74248,73474,74353,77421,74994,72811,73240
E14000875,Pendle,B,62891,63972,64257,63996,64543,65784,65215,64200,64192
E14000876,Penistone and Stocksbridge,C,68579,70872,71531,69985,70311,71377,70181,69747,69148
E14000877,Penrith and The Border,C,62676,63676,65549,65471,66231,66564,66130,65636,65974
E14000878,Peterborough,B,70623,72207,70424,69224,73062,73241,72224,72326,71273
E14000879,"Plymouth, Moor View",B,65905,67209,68035,68057,69369,69368,69880,69407,69423
E14000880,"Plymouth, Sutton and Devonport",B,68987,70530,72304,71693,77507,77505,76197,73908,75516
E14000881,Poole,B,69636,71885,72665,72432,74492,74240,73525,72987,72848
E14000882,Poplar and Limehouse,B,76149,76295,85211,84355,92905,92893,91220,90634,92277
E14000883,Portsmouth North,B,70315,70879,70748,70108,70213,71844,70135,69148,69086
E14000884,Portsmouth South,B,64577,68741,71266,67696,70098,74253,71570,70057,69767
E14000885,Preston,B,56110,56623,55937,55512,57077,58679,56340,55958,58950
E14000886,Pudsey,B,68624,70863,70517,70447,71166,73700,72827,71970,71767
E14000887,Putney,B,59822,60652,61765,59382,61211,65665,61264,59177,59693
E14000888,Rayleigh and Wickford,C,75456,77782,78120,77977,79538,79158,78679,78001,77876
E14000889,Reading East,B,67846,71600,72647,70817,77741,76655,74539,73116,74028
E14000890,Reading West,C,69709,72272,73006,72458,75140,74838,73644,72756,72878
E14000891,Redcar,B,64025,65589,65524,65270,64805,66423,65827,64100,64064
E14000892,Redditch,C,64071,64682,63385,62863,64460,65507,65451,64914,64964
E14000893,Reigate,B,71778,72840,72855,72322,73801,74602,74081,72678,72864
E14000894,Ribble Valley,C,75348,75365,76974,75883,78626,80285,79240,79030,79450
E14000895,Richmond (Yorks),C,76357,80137,80215,80399,83219,82031,81821,81844,81009
E14000896,Richmond Park,B,74740,77934,78107,77207,79791,81743,79669,77708,78377
E14000897,Rochdale,C,72530,76576,78002,77929,79735,79901,78995,78455,77782
E14000898,Rochester and Strood,C,75317,79084,79484,80271,79744,82493,81043,82159,81087
E14000899,Rochford and Southend East,C,69533,71552,72203,72568,75117,75404,73716,73098,73099
E14000900,Romford,B,70953,72309,73415,72046,71247,72267,71368,70533,69450
E14000901,Romsey and Southampton North,C,63901,65116,65289,64295,68447,68430,66152,65446,64941
E14000902,Rossendale and Darwen,B,70738,72406,71616,71461,72668,73133,72612,71415,71447
E14000903,Rother Valley,C,73511,74387,74654,73996,74050,75469,75041,74217,73738
E14000904,Rotherham,B,62017,62714,62058,61218,61119,62303,61608,60555,60176
E14000905,Rugby,C,68478,70751,71252,70390,70917,72323,71730,71743,71229
E14000906,"Ruislip, Northwood and Pinner",B,71331,72458,72357,71356,71843,73053,72054,70579,69896
E14000907,Runnymede and Weybridge,C,70639,73078,71694,71961,73604,76671,74573,72762,72101
E14000908,Rushcliffe,C,71897,73282,73951,73411,76669,77338,76894,76036,76742
E14000909,Rutland and Melton,C,73995,77432,77784,78190,79841,80764,81084,81550,81933
E14000910,Saffron Walden,C,79092,81988,81581,82534,85417,86605,85854,84903,86014
E14000911,Salford and Eccles,B,74161,74300,75775,75255,86306,82834,81919,81782,83579
E14000912,Salisbury,C,68261,70247,71614,71142,75023,74865,73703,73647,73962
E14000913,Scarborough and Whitby,C,70708,71857,72357,71546,72191,73862,72497,72132,71649
E14000914,Scunthorpe,C,60411,61335,61138,63071,60345,62511,61917,61529,61959
E14000915,Sedgefield,C,62060,63294,63518,63196,64533,64581,64340,64262,64631
E14000916,Sefton Central,C,66208,67961,69428,68803,70239,70085,69455,69007,68160
E14000917,Selby and Ainsty,C,72685,74872,75424,75700,77654,78678,78968,79325,80023
E14000918,Sevenoaks,C,69288,70289,70620,70271,71060,72173,71989,71042,70288
E14000919,Sheffield Central,B,67917,72703,78490,79375,79414,89266,80473,79956,73074
E14000920,Sheffield South East,B,66987,69039,69784,67029,67031,68719,67189,66395,65353
E14000921,"Sheffield, Brightside and Hillsborough",B,67717,70095,71359,67879,67888,70200,68169,67480,66441
E14000922,"Sheffield, Hallam",C,70415,72821,74626,69285,69323,73269,70339,69302,66643
E14000923,"Sheffield, Heeley",B,65857,67993,68394,65373,65391,67627,65743,65012,63876
E14000924,Sherwood,C,72051,74381,75797,76220,78358,77759,77501,77224,77596
E14000925,Shipley,C,69357,71839,72242,71682,74522,74095,73395,72753,72148
E14000926,Shrewsbury and Atcham,C,75528,78641,78625,78564,82897,82649,80693,82549,82206
E14000927,Sittingbourne and Sheppey,C,75638,79966,81092,81552,82045,83845,83894,83678,83782
E14000928,Skipton and Ripon,C,74270,76841,77167,76632,77541,79295,79204,79581,79699
E14000929,Sleaford and North Hykeham,C,86652,89167,90229,90874,94619,93278,93488,92976,93645
E14000930,Slough,B,76668,80827,80679,81950,83162,84222,83892,83336,83269
E14000931,Solihull,B,75121,78112,77078,76205,77513,78069,77018,75963,75827
E14000932,Somerton and Frome,C,77797,81932,82487,82345,85142,85945,85527,85441,86840
E14000933,South Basildon and East Thurrock,C,70192,71888,73617,73271,74435,74689,73814,72718,72303
E14000934,South Cambridgeshire,C,81368,83721,83790,83069,87988,87667,86840,86802,87571
E14000935,South Derbyshire,C,71577,75362,78689,76831,79941,80515,81683,80817,79853
E14000936,South Dorset,C,68211,71155,71224,70790,74313,73063,72621,71108,70671
E14000937,South East Cambridgeshire,C,82557,84981,84668,83958,86011,87032,86418,85308,86000
E14000938,South East Cornwall,C,66757,69069,70599,70302,72258,72204,71519,71305,71380
E14000939,South Holland and The Deepings,C,74332,77627,76722,75872,76409,76139,75688,75840,76863
E14000940,South Leicestershire,C,75926,77812,78779,79218,81126,81023,80733,80322,80799
E14000941,South Norfolk,C,78552,82876,82930,83940,86427,86421,85762,86496,86821
E14000942,South Northamptonshire,C,84427,88813,87516,88039,90039,91358,89368,88331,88619
E14000943,South Ribble,C,72809,74363,74937,74275,75875,75845,75368,74712,74921
E14000944,South Shields,B,63155,63259,63003,62353,63081,62796,62270,61915,61457
E14000945,South Staffordshire,C,72132,73660,73658,73286,73293,73895,73333,72500,72667
E14000946,South Suffolk,C,71445,74648,75255,74331,76606,74492,74106,73883,74338
E14000947,South Swindon,C,70428,70936,72223,73666,70850,72994,71797,71201,71230
E14000948,South Thanet,C,70012,70413,70891,70450,73725,72611,71975,71338,68194
E14000949,South West Bedfordshire,C,76959,78185,79137,78189,79733,80002,78462,77470,78680
E14000950,South West Devon,C,68665,70061,70039,69907,72654,72555,72673,72551,72665
E14000951,South West Hertfordshire,C,78233,79582,79970,78703,79897,80833,80297,78749,77727
E14000952,South West Norfolk,C,76225,77325,77453,75723,78889,77925,78613,77800,78779
E14000953,South West Surrey,C,74494,77351,77319,76346,77749,79297,78439,78285,78132
E14000954,South West Wiltshire,C,71658,74745,75628,74892,78364,78207,76726,76873,77272
E14000955,"Southampton, Itchen",B,67131,68696,69071,68589,72152,72150,69967,69082,67499
E14000956,"Southampton, Test",B,64773,65936,66857,65990,70023,69960,67884,66595,64192
E14000957,Southend West,B,64952,66305,66480,66469,68619,68778,67317,66358,65976
E14000958,Southport,B,65081,68118,69971,69410,71299,71037,70281,69426,68324
E14000959,Spelthorne,B,70299,71962,72030,71341,71197,72897,71918,71654,71978
E14000960,St Albans,C,70192,71861,71856,71026,73543,74058,73131,72642,73098
E14000961,St Austell and Newquay,C,71674,74673,77338,77451,80561,80488,79628,79312,79104
E14000962,St Helens North,B,72060,73902,75205,74715,76090,76082,75110,76143,74067
E14000963,St Helens South and Whiston,B,74885,76918,78271,77837,79590,79543,79297,79925,78530
E14000964,St Ives,C,62711,64435,65966,65291,67565,67545,66567,65698,65231
E14000965,Stafford,C,67805,70015,70533,70848,71149,73608,72297,71773,71577
E14000966,Staffordshire Moorlands,C,62337,62530,62401,62917,63449,63156,62685,62003,61996
E14000967,Stalybridge and Hyde,C,69177,70800,71432,71578,73129,73028,70850,70615,70972
E14000968,Stevenage,C,67560,69555,69764,68994,70595,70370,70015,69716,69612
E14000969,Stockport,B,60664,62255,62906,62688,65772,64239,63773,63954,64013
E14000970,Stockton North,B,64617,65594,65023,64326,65964,66780,66518,65720,65717
E14000971,Stockton South,B,73221,74327,74698,74308,76251,77001,76718,76140,75936
E14000972,Stoke-on-Trent Central,B,58259,56358,57802,55898,54286,54551,54039,53210,53196
E14000973,Stoke-on-Trent North,B,69709,69037,70742,69831,68041,67381,67138,66116,65949
E14000974,Stoke-on-Trent South,B,66835,65986,67249,65646,64159,64155,63669,63030,62586
E14000975,Stone,C,66267,67251,67755,68307,68774,69860,68676,68259,68260
E14000976,Stourbridge,B,69303,69791,69763,69058,70280,69364,67553,66939,66878
E14000977,Stratford-on-Avon,C,69211,71331,71031,70800,71723,74110,73747,73909,75409
E14000978,Streatham,B,70286,73840,74414,73570,81910,80581,76046,72927,72221
E14000979,Stretford and Urmston,B,67424,69001,70615,70622,73086,73212,72468,72053,71719
E14000980,Stroud,C,80909,81849,82616,81913,84452,84573,83952,83854,84069
E14000981,Suffolk Coastal,C,75678,77671,78528,76934,80512,80449,80019,80266,80317
E14000982,Sunderland Central,B,71232,70478,71432,70637,72673,72688,72012,71585,71872
E14000983,Surrey Heath,C,77585,79973,79684,79386,81661,81663,81099,80520,81140
E14000984,Sutton and Cheam,B,67700,69578,70119,70821,71136,71494,71650,70704,70557
E14000985,Sutton Coldfield,B,73172,73419,73443,72461,75215,74584,73368,72441,71895
E14000986,Tamworth,C,70997,71605,71818,70200,71357,71684,71723,71135,71238
E14000987,Tatton,C,63358,67631,67750,67480,69134,68477,67804,67292,66895
E14000988,Taunton Deane,C,78187,83150,84295,83657,86767,87333,88844,88310,87614
E14000989,Telford,B,64816,66157,66579,66766,69362,69331,69402,69027,68638
E14000990,Tewkesbury,C,78462,80456,82436,81853,82647,83818,82487,81876,81922
E14000991,The Cotswolds,C,76210,78090,79617,79490,80771,82052,80379,79937,79442
E14000992,The Wrekin,C,65008,66778,68026,68629,71237,71077,71229,71391,70932
E14000993,Thirsk and Malton,C,74152,77766,78101,78177,79964,81062,80720,81515,80026
E14000994,Thornbury and Yate,C,65569,66818,64368,66712,69801,69688,70649,71016,69139
E14000995,Thurrock,B,75935,77425,77788,77629,77730,80392,79246,77311,77444
E14000996,Tiverton and Honiton,C,75818,78553,81116,81164,81392,82872,82150,82348,81676
E14000997,Tonbridge and Malling,C,73617,76689,77545,77383,78372,80368,79322,79190,78808
E14000998,Tooting,B,71428,71383,73213,68879,71370,76986,71386,68197,68547
E14000999,Torbay,B,71459,73277,74377,71954,74942,74783,74165,73251,73848
E14001000,Torridge and West Devon,C,77004,78810,79112,78279,78954,80599,79509,79718,79366
E14001001,Totnes,C,65472,66791,67404,66234,69787,69458,68526,67835,67816
E14001002,Tottenham,B,66629,70558,72537,71660,77250,77361,75424,74088,72535
E14001003,Truro and Falmouth,C,67197,69558,71977,71546,77213,77129,74706,73373,72271
E14001004,Tunbridge Wells,C,69765,73596,72726,72271,75382,75213,75002,74007,74473
E14001005,Twickenham,B,78247,80689,81420,80215,82338,83264,81466,78981,79476
E14001006,Tynemouth,B,74618,76447,75991,75341,75923,77382,76976,76161,75468
E14001007,Uxbridge and South Ruislip,B,66606,68108,67738,65975,67100,70560,68330,67335,66131
E14001008,Vauxhall,B,71358,76234,77735,75055,85427,84390,79038,75306,74563
E14001009,Wakefield,C,66552,67696,69031,68078,70509,70419,69684,69165,69144
E14001010,Wallasey,B,63940,65535,65845,64451,66709,66806,65925,64698,64711
E14001011,Walsall North,B,64186,65731,66367,66438,66435,67801,67056,66165,65460
E14001012,Walsall South,B,64415,66039,66512,66766,67052,68836,67925,67418,66926
E14001013,Walthamstow,C ,63959,65095,66553,65935,67450,70867,70475,69845,70937
E14001014,Wansbeck,C,58883,59441,61162,60898,62473,63451,62992,63388,63671
E14001015,Wantage,C,80859,83636,84587,86243,90336,91759,92060,93702,94607
E14001016,Warley,B,61346,62633,63219,59604,62874,62671,63063,62270,62169
E14001017,Warrington North,B,70035,70469,70559,71699,71756,72515,71142,69924,69416
E14001018,Warrington South,B,82954,83650,83840,84741,85477,86422,85323,84610,84952
E14001019,Warwick and Leamington,B,67641,69963,73439,72167,72916,76109,72663,72259,72592
E14001020,Washington and Sunderland West,B,66985,65567,65953,65461,66342,66339,65736,64861,64318
E14001021,Watford,B,81860,82339,82280,81607,83703,83946,82827,82046,82649
E14001022,Waveney,C,77408,79168,79937,82425,81099,81070,80262,80070,79784
E14001023,Wealden,C,78544,81238,81821,81543,83758,83628,83482,83669,84003
E14001024,Weaver Vale,C,67134,68324,70129,69393,71083,71150,70273,69808,68684
E14001025,Wellingborough,C,74916,78423,78313,78776,80609,80191,78690,77940,78432
E14001026,Wells,C,76873,80608,81473,81126,83574,84374,82737,81911,82318
E14001027,Welwyn Hatfield,C,69042,71467,71749,71063,71225,74922,72797,71705,71870
E14001028,Wentworth and Dearne,C,72152,73574,74111,73635,73863,74970,73829,73457,72704
E14001029,West Bromwich East,B,62033,62968,64007,60297,62514,62324,62912,62427,61946
E14001030,West Bromwich West,B,63963,64953,65839,62152,64950,64762,65379,64756,64251
E14001031,West Dorset,C,74623,77474,78196,78240,82516,81091,80564,79458,79736
E14001032,West Ham,B,86902,91076,90695,90048,93444,97888,96243,94777,96604
E14001033,West Lancashire,C,70260,70998,72049,69908,73678,73652,73934,72336,72752
E14001034,West Suffolk,C,72809,77198,76516,76491,79388,79394,77876,77908,77772
E14001035,West Worcestershire,C,72674,74153,74050,74048,75099,76638,76038,76385,76491
E14001036,Westminster North,B,59436,62892,63592,61320,64412,64420,62315,60583,60566
E14001037,Westmorland and Lonsdale,C,63885,65240,66011,65786,66754,66986,65731,65364,65281
E14001038,Weston-Super-Mare,C,75333,80017,79819,80604,83375,83417,82456,81568,81440
E14001039,Wigan,C,72733,73656,74241,73782,75661,75607,75049,75370,75518
E14001040,Wimbledon,B,63505,65457,64935,64329,66207,68145,65320,64232,65032
E14001041,Winchester,C,70041,71136,71328,70479,71227,74688,73516,71860,71640
E14001042,Windsor,C,68834,72196,73136,72756,75131,76015,74161,74092,74778
E14001043,Wirral South,C,55972,56754,56931,56350,57713,57670,56821,56039,56153
E14001044,Wirral West,C,54232,54927,55084,54249,55935,55926,55107,54365,54158
E14001045,Witham,C,66270,68910,68325,68538,70374,70623,70473,69761,70498
E14001046,Witney,C,78455,80868,80906,79644,83510,83613,84239,84330,84608
E14001047,Woking,C,72144,74252,74110,72691,74260,76210,75337,73747,74221
E14001048,Wokingham,C,76905,79545,78846,78647,84551,82872,83821,83082,84575
E14001049,Wolverhampton North East,B,59962,60383,60495,59367,62058,60709,60203,59485,59549
E14001050,Wolverhampton South East,B,62556,62117,61768,60536,63486,61884,61863,61741,63586
E14001051,Wolverhampton South West,B,57301,58843,59080,57478,60884,59260,58816,58391,58302
E14001052,Worcester,B,70542,72543,72702,73889,73930,73928,72878,71547,72014
E14001053,Workington,C,58367,58655,59812,59623,60231,61396,61544,61122,61614
E14001054,Worsley and Eccles South,C,72316,71927,73054,72941,76767,74404,73962,73362,72947
E14001055,Worthing West,B,73452,76622,77270,76444,77433,78754,77795,77342,77073
E14001056,Wycombe,C,71712,75469,76046,75409,78696,78718,77964,76778,76895
E14001057,Wyre and Preston North,C,68872,71279,72254,73116,73831,75094,74796,74529,75542
E14001058,Wyre Forest,C,75226,77342,77231,75718,77018,77015,76712,76271,75812
E14001059,Wythenshawe and Sale East,B,75919,74673,75373,74902,77053,76971,75928,75213,75241
E14001060,Yeovil,C,76351,80924,81075,79907,80934,82470,82384,81930,84177
E14001061,York Central,B,71586,71822,74181,69076,69608,73445,72596,69490,70676
E14001062,York Outer,C,75778,73331,75489,72364,72739,74129,74413,72090,72568
W07000049,Aberavon,C,48346,49474,49662,49609,50907,51053,51672,51619,52317
W07000058,Aberconwy,C,44153,44036,44583,43804,44919,44852,44156,43764,43319
W07000043,Alyn and Deeside,C,60550,60549,62535,61876,63079,63045,62179,62314,62276
W07000057,Arfon,C,37739,39136,40146,38864,42664,42657,40999,41056,41026
W07000072,Blaenau Gwent,C,49661,50073,50514,50012,49737,50900,49973,50164,50095
W07000068,Brecon and Radnorshire,C,52273,55596,53277,52691,54981,54854,54603,54114,53900
W07000073,Bridgend,C,58932,60526,61934,60766,61564,63338,63318,64414,64603
W07000076,Caerphilly,C,61158,62991,62913,62797,64555,64531,64044,63971,63336
W07000050,Cardiff Central,B,49403,54872,55118,52827,64502,60192,60055,57214,57770
W07000051,Cardiff North,B,63574,65833,65920,64953,68986,68205,67483,67535,67298
W07000080,Cardiff South and Penarth,B,72392,74561,75314,74000,79534,78238,77541,77343,76930
W07000079,Cardiff West,B,63892,65328,65438,64760,69156,67886,67464,67862,68044
W07000067,Carmarthen East and Dinefwr,C,53991,55661,56037,55817,57757,57700,57496,57980,58046
W07000066,Carmarthen West and South Pembrokeshire,C,55118,56472,57041,56360,59342,59264,59270,59330,59169
W07000064,Ceredigion,C,50432,52053,52655,51520,53930,56151,56151,55937,55713
W07000062,Clwyd South,C,53094,55054,53774,53410,54009,53921,53338,53406,52816
W07000059,Clwyd West,C,56862,56625,57124,56484,57882,57786,57436,57176,56704
W07000070,Cynon Valley,C,49405,49925,50258,49841,51423,51147,51335,50899,50952
W07000042,Delyn,C,52388,52382,53878,53341,54757,54718,54199,54339,54119
W07000061,Dwyfor Meirionnydd,C,42353,43405,43791,42982,44748,44584,43907,44185,44319
W07000046,Gower,C,59478,60734,61484,60091,61436,62410,61517,61873,61734
W07000077,Islwyn,C,53306,55128,55066,55068,56481,56501,56286,56344,55898
W07000045,Llanelli,C,57202,59007,59381,59008,60896,60766,60641,60978,61148
W07000071,Merthyr Tydfil and Rhymney,C,53166,54658,55119,53720,55106,56589,56204,55776,55390
W07000054,Monmouth,C,62729,64215,64716,64701,66826,66975,66655,66899,66497
W07000063,Montgomeryshire,C,46989,50030,47664,47120,49225,49100,48830,48424,48567
W07000069,Neath,C,54691,55725,55513,55427,56595,56777,57506,57554,58598
W07000055,Newport East,C,53959,55996,57590,56115,57625,59029,57709,57705,57915
W07000056,Newport West,C,60101,63265,65836,63280,65253,67040,65235,65239,64761
W07000074,Ogmore,C,54614,55677,56882,55938,56708,57673,57833,58380,58581
W07000075,Pontypridd,C,56525,58863,58690,58102,60739,60408,60112,59792,60040
W07000065,Preseli Pembrokeshire,C,54638,56176,56831,56542,59649,59580,59161,59680,59708
W07000052,Rhondda,C,49161,49272,49323,48819,50556,50262,50431,49980,49692
W07000048,Swansea East,B,55392,56880,57923,56395,57842,59156,58060,58096,58025
W07000047,Swansea West,B,51952,53210,55903,53169,55677,57680,55203,54872,55208
W07000053,Torfaen,C,58562,60447,61228,61043,61385,62718,62567,64188,63213
W07000060,Vale of Clwyd,C,55839,56112,55694,55499,56011,55936,54831,55436,55420
W07000078,Vale of Glamorgan,C,69673,72092,73359,73510,76998,76811,77892,79091,80100
W07000044,Wrexham,C,48861,51140,49726,49511,49901,49829,49210,49214,48813
W07000041,Ynys Môn,C,49287,50740,51393,50332,50510,52415,52138,53734,52663
S14000001,Aberdeen North,B,62280,61880,60872,58620,62623,62714,61161,59766,58943
S14000002,Aberdeen South,B,64274,64457,63857,62067,65838,66227,65396,65153,64569
S14000003,Airdrie and Shotts,C,63552,62719,63073,62425,62493,64687,63283,63564,63511
S14000004,Angus,C,62649,63110,62990,62706,63144,65126,63701,63568,63229
S14000005,Argyll and Bute,C,65944,66557,66142,64982,65401,67565,66332,67349,66725
S14000006,"Ayr, Carrick and Cumnock",C,69299,70586,71098,70865,71387,72057,71645,72054,71272
S14000007,Banff and Buchan,C,67153,67837,67203,66550,67096,67117,67008,66128,66112
S14000008,"Berwickshire, Roxburgh and Selkirk",C,70565,72247,73018,71987,73144,74687,74220,74694,74221
S14000009,"Caithness, Sutherland and Easter Ross",C,45898,46464,46584,46407,46963,46924,46794,47267,46577
S14000010,Central Ayrshire,C,66870,68274,68917,68890,69445,69779,69689,70302,69641
S14000011,"Coatbridge, Chryston and Bellshill",B,70068,69555,70944,70744,71305,73996,72769,73918,73560
S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",C,65097,65010,65019,64373,64488,66962,65979,66643,66103
S14000013,Dumfries and Galloway,C,72327,73017,72828,71613,75255,75332,72872,73742,75018
S14000014,"Dumfriesshire, Clydesdale and Tweeddale",C,65739,66578,66753,65945,68131,68874,67445,67882,68652
S14000015,Dundee East,B,65007,65328,66783,64827,65188,67345,65783,66232,66030
S14000016,Dundee West,B,60913,61216,64056,61190,61658,65446,62498,62963,62812
S14000017,Dunfermline and West Fife,C,73965,75059,75475,75147,77101,77382,77415,78397,79067
S14000018,East Dunbartonshire,C,65362,66054,66182,65385,65656,67504,66532,67600,66090
S14000019,"East Kilbride, Strathaven and Lesmahagow",C,79311,78253,79214,78606,79025,82201,80928,81059,81595
S14000020,East Lothian,C,76153,77712,77908,77984,80340,82479,81707,83279,84026
S14000021,East Renfrewshire,C,67706,68978,69852,70103,71612,72959,72258,72913,72752
S14000022,Edinburgh East,B,60452,62024,62371,61410,65484,69020,65804,66701,65579
S14000023,Edinburgh North and Leith,B,72954,73678,74757,73451,76984,80344,77526,77640,77365
S14000024,Edinburgh South,B,60328,61810,61759,60945,63684,66520,63895,64374,64046
S14000025,Edinburgh South West,B,66458,67937,68370,67826,70274,73315,70917,71373,70886
S14000026,Edinburgh West,B,68472,70716,70186,70259,71589,73102,71256,71130,71106
S14000028,Falkirk,C,80755,81497,82919,82830,83583,86183,83957,84000,84003
S14000029,Glasgow Central,B,64307,64182,63253,63526,64655,67914,65708,65078,64209
S14000030,Glasgow East,B,66934,66531,66556,67095,66725,66945,66572,65486,65628
S14000031,Glasgow North,B,54699,53303,52931,52059,53252,55722,53368,52012,50557
S14000032,Glasgow North East,B,60671,60065,59646,59545,59180,59954,58863,58221,57612
S14000033,Glasgow North West,B,65762,63892,63369,62918,62022,63110,62078,61238,60352
S14000034,Glasgow South,B,70642,67896,68505,68490,68906,69956,68585,68584,67965
S14000035,Glasgow South West,B,63699,63062,63272,63578,63537,63691,62735,62690,61943
S14000036,Glenrothes,C,65584,66140,65925,64991,65981,66468,65880,65887,66098
S14000037,Gordon,C,77836,78517,78532,77858,80000,80535,80371,79661,79982
S14000038,Inverclyde,C,56956,58258,58732,58915,59516,61096,60017,60317,59512
S14000039,"Inverness, Nairn, Badenoch and Strathspey",C,74354,75605,76446,76398,78346,78254,78121,79063,78419
S14000040,Kilmarnock and Loudoun,C,71195,72763,73557,73694,74175,74801,74729,75429,74771
S14000041,Kirkcaldy and Cowdenbeath,C,71698,72431,72304,71754,72901,73288,72735,73141,73373
S14000042,Lanark and Hamilton East,C,75761,75124,76003,75615,75621,78444,77233,77449,77628
S14000043,Linlithgow and East Falkirk,C,83593,85156,85694,85436,86203,88506,86879,87404,87377
S14000044,Livingston,C,78737,80552,80478,80487,81602,83508,82219,83412,84202
S14000045,Midlothian,C,65308,66838,67974,68336,69506,71210,70312,71351,71771
S14000046,Moray,C,69405,70416,70589,69629,71364,71537,71525,71221,71288
S14000047,Motherwell and Wishaw,B,67612,66687,67123,67009,66980,69413,68124,68133,68034
S14000027,Na h-Eileanan an Iar,C,20887,21163,21227,20952,21202,21177,21151,21304,21143
S14000048,North Ayrshire and Arran,C,70779,72553,73242,72819,73028,73588,73529,73910,72540
S14000049,North East Fife,C,56716,57854,57856,57143,60852,60877,60181,60680,59725
S14000050,Ochil and South Perthshire,C,74680,75962,76756,76866,77592,80381,78676,79739,79962
S14000051,Orkney and Shetland,C,33229,33876,33975,33751,34419,34824,34387,34518,34369
S14000052,Paisley and Renfrewshire North,C,64246,66011,67646,70297,70605,72576,72072,73321,72806
S14000053,Paisley and Renfrewshire South,C,58803,60320,61101,63305,62935,64884,63870,64269,63669
S14000054,Perth and North Perthshire,C,69964,71003,71194,70994,71032,73523,72179,72348,72393
S14000055,"Ross, Skye and Lochaber",C,51817,52931,53300,53220,54345,54325,54193,54803,54091
S14000056,Rutherglen and Hamilton West,B,78671,77831,78525,78164,78477,81744,80580,80317,81073
S14000057,Stirling,C,63704,64909,66419,65761,66450,70085,66941,67452,67318
S14000058,West Aberdeenshire and Kincardine,C,72327,72621,72158,71161,72781,73634,73144,72605,72845
S14000059,West Dunbartonshire,C,66725,66958,67225,65917,65469,67795,66702,67983,66573
N06000001,Belfast East,B,63358,62265,63412,63572,66343,66273,65939,67551,67569
N06000002,Belfast North,B,69041,65368,68262,68522,72350,72332,71857,73485,73664
N06000003,Belfast South,B,64876,63986,65855,66099,70096,70134,69795,70181,70526
N06000004,Belfast West,B,62643,58460,62402,62921,65772,65761,65470,67866,67979
N06000005,East Antrim,C,63304,61936,62774,62985,64948,64907,64712,66818,66787
N06000006,East Londonderry,C,67359,65702,67049,67284,69367,69359,68947,71628,71686
N06000007,Fermanagh and South Tyrone,C,70238,68152,70370,70473,72996,72945,72634,74233,74418
N06000008,Foyle,C,70602,67155,70530,71187,74498,74431,74363,76306,76801
N06000009,Lagan Valley,C,71855,70757,72379,73100,75842,75884,75845,79622,79713
N06000010,Mid Ulster,C,68327,66261,68391,68552,70597,70501,70249,72702,72966
N06000011,Newry and Armagh,C,78158,75193,78384,78713,81391,81329,81043,83479,83874
N06000012,North Antrim,C,76278,74576,75408,75469,77253,77156,76808,79871,79826
N06000013,North Down,C,64700,63455,64338,64623,67220,67109,66897,69084,69079
N06000014,South Antrim,C,68020,66169,68298,68820,71841,71915,71805,75161,75460
N06000015,South Down,C,75606,72875,75986,76438,79343,79295,79004,82374,82627
N06000016,Strangford,C,64750,63401,64344,64766,67032,66990,66874,69958,70052
N06000017,Upper Bann,C,80251,78446,80298,80601,83042,83028,82685,85859,85949
N06000018,West Tyrone,C,64003,61526,63820,64295,66376,66339,66010,68251,68393
