Westminster Parliamentary constituencies Code,Westminster Parliamentary constituencies,Does not apply,Does not apply %,Straight or Heterosexual,Straight or Heterosexual %,Gay or Lesbian,Gay or Lesbian %,Bisexual,Bisexual %,All other sexual orientations,All other sexual orientations %,Not answered,Not answered %
E14000557,Bexhill and Battle,0,0.0,80099,90.2,1222,1.4,774,0.9,181,0.2,6531,7.4
E14000558,Bexleyheath and Crayford,0,0.0,68262,91.2,721,1.0,574,0.8,172,0.2,5131,6.9
E14000559,Birkenhead,0,0.0,64932,89.4,1432,2.0,957,1.3,217,0.3,5106,7.0
E14000560,"Birmingham, Edgbaston",0,0.0,70235,86.8,1568,1.9,1506,1.9,379,0.5,7187,8.9
E14000561,"Birmingham, Erdington",0,0.0,71602,87.8,1130,1.4,829,1.0,246,0.3,7712,9.5
E14000562,"Birmingham, Hall Green",0,0.0,81500,87.5,981,1.1,951,1.0,364,0.4,9326,10.0
E14000563,"Birmingham, Hodge Hill",0,0.0,83399,87.6,509,0.5,612,0.6,335,0.4,10377,10.9
E14000564,"Birmingham, Ladywood",0,0.0,93858,83.6,2359,2.1,2187,1.9,739,0.7,13180,11.7
E14000565,"Birmingham, Northfield",0,0.0,73635,89.1,1231,1.5,1012,1.2,227,0.3,6548,7.9
E14000566,"Birmingham, Perry Barr",0,0.0,76771,88.4,612,0.7,670,0.8,390,0.4,8436,9.7
E14000567,"Birmingham, Selly Oak",0,0.0,77621,86.3,1763,2.0,2261,2.5,499,0.6,7759,8.6
E14000568,"Birmingham, Yardley",0,0.0,77953,88.4,952,1.1,699,0.8,245,0.3,8329,9.4
E14000569,Bishop Auckland,0,0.0,68565,92.0,978,1.3,658,0.9,154,0.2,4177,5.6
E14000570,Blackburn,0,0.0,76952,88.9,728,0.8,634,0.7,249,0.3,8037,9.3
E14000571,Blackley and Broughton,0,0.0,79811,85.0,2146,2.3,1208,1.3,417,0.4,10292,11.0
E14000572,Blackpool North and Cleveleys,0,0.0,62021,89.3,2073,3.0,813,1.2,184,0.3,4334,6.2
E14000573,Blackpool South,0,0.0,58788,88.6,2046,3.1,905,1.4,171,0.3,4472,6.7
E14000574,Blaydon,0,0.0,67767,92.6,1117,1.5,673,0.9,138,0.2,3507,4.8
E14000575,Blyth Valley,0,0.0,65032,92.4,989,1.4,672,1.0,116,0.2,3540,5.0
E14000576,Bognor Regis and Littlehampton,0,0.0,82791,89.8,1346,1.5,1027,1.1,230,0.2,6804,7.4
E14000577,Bolsover,0,0.0,75151,90.9,1206,1.5,778,0.9,155,0.2,5341,6.5
E14000578,Bolton North East,0,0.0,71967,90.4,1021,1.3,835,1.0,183,0.2,5589,7.0
E14000579,Bolton South East,0,0.0,76181,89.9,915,1.1,929,1.1,260,0.3,6415,7.6
E14000580,Bolton West,0,0.0,73952,91.8,1080,1.3,682,0.8,144,0.2,4669,5.8
E14000581,Bootle,0,0.0,75114,91.1,1613,2.0,893,1.1,204,0.2,4644,5.6
E14000582,Boston and Skegness,0,0.0,80308,88.6,1019,1.1,789,0.9,239,0.3,8294,9.1
E14000583,Bosworth,0,0.0,81098,91.8,1045,1.2,826,0.9,192,0.2,5135,5.8
E14000584,Bournemouth East,0,0.0,77390,87.7,1934,2.2,1487,1.7,387,0.4,7051,8.0
E14000585,Bournemouth West,0,0.0,78761,85.8,2347,2.6,2249,2.5,492,0.5,7895,8.6
E14000586,Bracknell,0,0.0,83329,91.3,1138,1.2,950,1.0,275,0.3,5546,6.1
E14000587,Bradford East,0,0.0,78756,87.7,784,0.9,878,1.0,320,0.4,9094,10.1
E14000588,Bradford South,0,0.0,73226,89.9,991,1.2,754,0.9,184,0.2,6254,7.7
E14000589,Bradford West,0,0.0,78185,86.3,744,0.8,925,1.0,335,0.4,10415,11.5
E14000590,Braintree,0,0.0,77061,91.3,940,1.1,739,0.9,167,0.2,5489,6.5
E14000591,Brent Central,0,0.0,101643,84.7,1890,1.6,1652,1.4,680,0.6,14137,11.8
E14000592,Brent North,0,0.0,100986,85.6,732,0.6,1350,1.1,761,0.6,14125,12.0
E14000593,Brentford and Isleworth,0,0.0,100105,86.8,2262,2.0,1401,1.2,486,0.4,11077,9.6
E14000594,Brentwood and Ongar,0,0.0,73920,92.0,773,1.0,468,0.6,127,0.2,5033,6.3
E14000595,Bridgwater and West Somerset,0,0.0,87120,89.9,1192,1.2,1005,1.0,283,0.3,7354,7.6
E14000596,Brigg and Goole,0,0.0,66696,91.3,717,1.0,599,0.8,135,0.2,4878,6.7
E14000597,"Brighton, Kemptown",0,0.0,64935,81.5,5068,6.4,2420,3.0,704,0.9,6592,8.3
E14000598,"Brighton, Pavilion",0,0.0,71076,78.9,5133,5.7,4412,4.9,1208,1.3,8248,9.2
E14000599,Bristol East,0,0.0,74319,87.0,1726,2.0,1901,2.2,583,0.7,6856,8.0
E14000600,Bristol North West,0,0.0,77785,88.0,1242,1.4,1754,2.0,443,0.5,7156,8.1
E14000601,Bristol South,0,0.0,83315,87.7,1988,2.1,2204,2.3,566,0.6,6919,7.3
E14000602,Bristol West,0,0.0,97589,80.7,3612,3.0,6160,5.1,1469,1.2,12120,10.0
E14000603,Broadland,0,0.0,76531,91.1,967,1.2,751,0.9,162,0.2,5568,6.6
E14000604,Bromley and Chislehurst,0,0.0,68641,90.0,1113,1.5,689,0.9,179,0.2,5687,7.5
E14000605,Bromsgrove,0,0.0,74613,92.0,896,1.1,612,0.8,137,0.2,4840,6.0
E14000606,Broxbourne,0,0.0,76951,91.4,745,0.9,533,0.6,183,0.2,5738,6.8
E14000607,Broxtowe,0,0.0,72456,90.1,1103,1.4,1222,1.5,293,0.4,5384,6.7
E14000608,Buckingham,0,0.0,82576,91.5,915,1.0,818,0.9,202,0.2,5695,6.3
E14000609,Burnley,0,0.0,67539,89.8,974,1.3,741,1.0,236,0.3,5709,7.6
E14000610,Burton,0,0.0,81936,90.1,1064,1.2,942,1.0,275,0.3,6721,7.4
E14000611,Bury North,0,0.0,67197,91.1,983,1.3,698,0.9,193,0.3,4730,6.4
E14000612,Bury South,0,0.0,73112,90.2,1460,1.8,826,1.0,203,0.3,5472,6.7
E14000613,Bury St Edmunds,0,0.0,89169,90.9,1239,1.3,1083,1.1,249,0.3,6311,6.4
E14000614,Calder Valley,0,0.0,75728,89.8,1777,2.1,1073,1.3,338,0.4,5430,6.4
E14000615,Camberwell and Peckham,0,0.0,87596,83.6,3905,3.7,2785,2.7,977,0.9,9563,9.1
E14000616,Camborne and Redruth,0,0.0,70078,89.1,1082,1.4,1104,1.4,272,0.3,6108,7.8
E14000617,Cambridge,0,0.0,91929,80.3,3080,2.7,4526,4.0,1147,1.0,13766,12.0
E14000618,Cannock Chase,0,0.0,75947,92.1,1094,1.3,781,0.9,192,0.2,4464,5.4
E14000619,Canterbury,0,0.0,82830,86.2,1885,2.0,2515,2.6,623,0.6,8263,8.6
E14000620,Carlisle,0,0.0,65970,90.5,1051,1.4,898,1.2,205,0.3,4773,6.5
E14000621,Carshalton and Wallington,0,0.0,74004,90.0,1016,1.2,822,1.0,199,0.2,6202,7.5
E14000622,Castle Point,0,0.0,68673,92.3,624,0.8,448,0.6,104,0.1,4563,6.1
E14000623,Central Devon,0,0.0,71836,90.1,847,1.1,843,1.1,215,0.3,5948,7.5
E14000624,Central Suffolk and North Ipswich,0,0.0,77792,91.1,937,1.1,747,0.9,172,0.2,5739,6.7
E14000625,Charnwood,0,0.0,78575,91.5,955,1.1,676,0.8,152,0.2,5534,6.4
E14000626,Chatham and Aylesford,0,0.0,73470,91.2,997,1.2,872,1.1,225,0.3,4983,6.2
E14000627,Cheadle,0,0.0,71199,92.1,939,1.2,550,0.7,133,0.2,4504,5.8
E14000628,Chelmsford,0,0.0,82933,90.7,1173,1.3,1012,1.1,247,0.3,6105,6.7
E14000629,Chelsea and Fulham,0,0.0,74496,86.4,2237,2.6,1142,1.3,246,0.3,8139,9.4
E14000630,Cheltenham,0,0.0,78916,89.0,1472,1.7,1686,1.9,415,0.5,6141,6.9
E14000631,Chesham and Amersham,0,0.0,70750,91.3,685,0.9,631,0.8,184,0.2,5220,6.7
E14000632,Chesterfield,0,0.0,70190,90.6,1147,1.5,922,1.2,168,0.2,5082,6.6
E14000633,Chichester,0,0.0,87474,90.5,1317,1.4,1191,1.2,293,0.3,6338,6.6
E14000634,Chingford and Woodford Green,0,0.0,68948,89.4,1047,1.4,662,0.9,248,0.3,6227,8.1
E14000635,Chippenham,0,0.0,75980,90.8,986,1.2,918,1.1,209,0.2,5579,6.7
E14000636,Chipping Barnet,0,0.0,84121,89.0,1024,1.1,877,0.9,303,0.3,8215,8.7
E14000637,Chorley,0,0.0,78396,91.7,1141,1.3,844,1.0,151,0.2,4997,5.8
E14000638,Christchurch,0,0.0,68698,91.0,813,1.1,542,0.7,124,0.2,5278,7.0
E14000639,Cities of London and Westminster,0,0.0,74223,82.1,4095,4.5,1650,1.8,443,0.5,9966,11.0
E14000640,City of Chester,0,0.0,75107,89.3,1597,1.9,1374,1.6,331,0.4,5702,6.8
E14000641,City of Durham,0,0.0,74488,87.6,1548,1.8,2002,2.4,398,0.5,6576,7.7
E14000642,Clacton,0,0.0,69633,90.0,862,1.1,601,0.8,128,0.2,6157,8.0
E14000643,Cleethorpes,0,0.0,71619,91.7,881,1.1,648,0.8,137,0.2,4857,6.2
E14000644,Colchester,0,0.0,87698,88.5,1645,1.7,1819,1.8,449,0.5,7458,7.5
E14000645,Colne Valley,0,0.0,83052,90.8,1209,1.3,918,1.0,249,0.3,6012,6.6
E14000646,Congleton,0,0.0,79551,92.4,1007,1.2,650,0.8,144,0.2,4779,5.5
E14000647,Copeland,0,0.0,58858,91.6,740,1.2,540,0.8,105,0.2,4027,6.3
E14000648,Corby,0,0.0,94092,90.8,1194,1.2,988,1.0,309,0.3,7042,6.8
E14000649,Coventry North East,0,0.0,84963,88.8,1007,1.1,1095,1.1,423,0.4,8221,8.6
E14000650,Coventry North West,0,0.0,77051,89.1,1126,1.3,1132,1.3,321,0.4,6824,7.9
E14000651,Coventry South,0,0.0,81608,86.2,1206,1.3,1905,2.0,545,0.6,9445,10.0
E14000652,Crawley,0,0.0,84098,89.9,1399,1.5,1018,1.1,302,0.3,6752,7.2
E14000653,Crewe and Nantwich,0,0.0,84487,90.3,1373,1.5,1054,1.1,420,0.4,6253,6.7
E14000654,Croydon Central,0,0.0,87528,88.0,1621,1.6,1384,1.4,343,0.3,8620,8.7
E14000655,Croydon North,0,0.0,99540,86.2,1859,1.6,1434,1.2,533,0.5,12071,10.5
E14000656,Croydon South,0,0.0,85454,89.5,1216,1.3,843,0.9,298,0.3,7653,8.0
E14000657,Dagenham and Rainham,0,0.0,79299,89.7,706,0.8,712,0.8,320,0.4,7353,8.3
E14000658,Darlington,0,0.0,68602,91.2,1188,1.6,903,1.2,204,0.3,4357,5.8
E14000659,Dartford,0,0.0,87371,91.3,1079,1.1,847,0.9,188,0.2,6258,6.5
E14000660,Daventry,0,0.0,80812,91.5,971,1.1,864,1.0,221,0.3,5426,6.1
E14000661,Denton and Reddish,0,0.0,64771,90.7,1482,2.1,806,1.1,214,0.3,4173,5.8
E14000662,Derby North,0,0.0,74164,87.8,1455,1.7,1556,1.8,401,0.5,6872,8.1
E14000663,Derby South,0,0.0,80079,87.2,930,1.0,1188,1.3,457,0.5,9214,10.0
E14000664,Derbyshire Dales,0,0.0,62803,91.3,760,1.1,520,0.8,117,0.2,4621,6.7
E14000665,Devizes,0,0.0,76923,91.6,855,1.0,881,1.0,180,0.2,5169,6.2
E14000666,Dewsbury,0,0.0,81043,90.0,974,1.1,778,0.9,206,0.2,7020,7.8
E14000667,Don Valley,0,0.0,76535,91.4,1113,1.3,698,0.8,160,0.2,5270,6.3
E14000668,Doncaster Central,0,0.0,78664,90.0,1281,1.5,940,1.1,309,0.4,6210,7.1
E14000669,Doncaster North,0,0.0,72761,91.2,1071,1.3,769,1.0,175,0.2,4969,6.2
E14000670,Dover,0,0.0,75655,90.2,1403,1.7,976,1.2,191,0.2,5673,6.8
E14000671,Dudley North,0,0.0,62410,90.8,771,1.1,536,0.8,152,0.2,4871,7.1
E14000672,Dudley South,0,0.0,60275,90.8,762,1.1,539,0.8,108,0.2,4703,7.1
E14000673,Dulwich and West Norwood,0,0.0,78106,84.6,3255,3.5,1911,2.1,667,0.7,8372,9.1
E14000674,Ealing Central and Acton,0,0.0,90948,85.1,2827,2.6,1731,1.6,591,0.6,10748,10.1
E14000675,Ealing North,0,0.0,90075,87.6,866,0.8,898,0.9,388,0.4,10618,10.3
E14000676,"Ealing, Southall",0,0.0,73926,86.3,791,0.9,1217,1.4,548,0.6,9199,10.7
E14000677,Easington,0,0.0,61715,92.4,846,1.3,605,0.9,114,0.2,3505,5.2
E14000678,East Devon,0,0.0,84757,90.7,1131,1.2,920,1.0,232,0.2,6447,6.9
E14000679,East Ham,0,0.0,109834,85.8,1425,1.1,1770,1.4,934,0.7,14039,11.0
E14000680,East Hampshire,0,0.0,77439,91.2,952,1.1,823,1.0,195,0.2,5538,6.5
E14000681,East Surrey,0,0.0,84410,91.3,1084,1.2,757,0.8,201,0.2,6040,6.5
E14000682,East Worthing and Shoreham,0,0.0,73349,89.7,1643,2.0,1050,1.3,256,0.3,5467,6.7
E14000683,East Yorkshire,0,0.0,79888,90.5,1020,1.2,741,0.8,137,0.2,6503,7.4
E14000684,Eastbourne,0,0.0,80495,88.3,1850,2.0,1293,1.4,304,0.3,7233,7.9
E14000685,Eastleigh,0,0.0,85371,91.7,1194,1.3,1065,1.1,225,0.2,5269,5.7
E14000686,Eddisbury,0,0.0,74417,92.0,969,1.2,682,0.8,173,0.2,4657,5.8
E14000687,Edmonton,0,0.0,78894,87.5,572,0.6,689,0.8,549,0.6,9485,10.5
E14000688,Ellesmere Port and Neston,0,0.0,69563,91.8,1033,1.4,671,0.9,185,0.2,4339,5.7
E14000689,Elmet and Rothwell,0,0.0,79155,92.1,940,1.1,720,0.8,179,0.2,4921,5.7
E14000690,Eltham,0,0.0,68242,88.4,1531,2.0,891,1.2,285,0.4,6268,8.1
E14000691,Enfield North,0,0.0,74222,88.8,749,0.9,690,0.8,320,0.4,7559,9.0
E14000692,"Enfield, Southgate",0,0.0,73589,88.2,1021,1.2,694,0.8,335,0.4,7813,9.4
E14000693,Epping Forest,0,0.0,75766,91.1,870,1.0,629,0.8,191,0.2,5688,6.8
E14000694,Epsom and Ewell,0,0.0,81642,91.2,897,1.0,728,0.8,183,0.2,6039,6.7
E14000695,Erewash,0,0.0,71247,90.7,1124,1.4,1006,1.3,189,0.2,5004,6.4
E14000696,Erith and Thamesmead,0,0.0,80826,88.9,1098,1.2,953,1.0,432,0.5,7573,8.3
E14000697,Esher and Walton,0,0.0,82770,91.4,965,1.1,699,0.8,179,0.2,5981,6.6
E14000698,Exeter,0,0.0,84488,85.7,1952,2.0,2891,2.9,631,0.6,8680,8.8
E14000699,Fareham,0,0.0,76465,91.8,1095,1.3,776,0.9,184,0.2,4760,5.7
E14000700,Faversham and Mid Kent,0,0.0,75046,91.6,979,1.2,703,0.9,170,0.2,5058,6.2
E14000701,Feltham and Heston,0,0.0,99228,87.5,878,0.8,1345,1.2,517,0.5,11382,10.0
E14000702,Filton and Bradley Stoke,0,0.0,77629,89.5,1320,1.5,1383,1.6,300,0.3,6147,7.1
E14000703,Finchley and Golders Green,0,0.0,86043,86.0,1573,1.6,1300,1.3,558,0.6,10561,10.6
E14000704,Folkestone and Hythe,0,0.0,87014,90.6,1398,1.5,1011,1.1,245,0.3,6379,6.6
E14000705,Forest of Dean,0,0.0,69708,90.7,770,1.0,734,1.0,217,0.3,5431,7.1
E14000706,Fylde,0,0.0,68866,91.9,1090,1.5,608,0.8,148,0.2,4232,5.6
E14000707,Gainsborough,0,0.0,74159,91.2,891,1.1,824,1.0,169,0.2,5258,6.5
E14000708,Garston and Halewood,0,0.0,75329,91.6,1199,1.5,642,0.8,162,0.2,4949,6.0
E14000709,Gateshead,0,0.0,66916,89.4,1756,2.3,1126,1.5,308,0.4,4767,6.4
E14000710,Gedling,0,0.0,70692,91.0,1176,1.5,861,1.1,191,0.2,4800,6.2
E14000711,Gillingham and Rainham,0,0.0,74400,90.6,963,1.2,908,1.1,266,0.3,5537,6.7
E14000712,Gloucester,0,0.0,88682,89.6,1414,1.4,1373,1.4,361,0.4,7142,7.2
E14000713,Gosport,0,0.0,72534,91.2,1174,1.5,956,1.2,211,0.3,4694,5.9
E14000714,Grantham and Stamford,0,0.0,83958,90.9,1037,1.1,948,1.0,178,0.2,6224,6.7
E14000715,Gravesham,0,0.0,76943,91.0,892,1.1,821,1.0,278,0.3,5621,6.6
E14000716,Great Grimsby,0,0.0,61859,89.9,953,1.4,932,1.4,202,0.3,4851,7.1
E14000717,Great Yarmouth,0,0.0,74017,89.5,1080,1.3,879,1.1,293,0.4,6450,7.8
E14000718,Greenwich and Woolwich,0,0.0,93859,85.6,3620,3.3,1973,1.8,670,0.6,9546,8.7
E14000719,Guildford,0,0.0,81598,88.0,1323,1.4,1746,1.9,395,0.4,7631,8.2
E14000720,Hackney North and Stoke Newington,0,0.0,81347,77.1,4018,3.8,2926,2.8,906,0.9,16261,15.4
E14000721,Hackney South and Shoreditch,0,0.0,85348,82.1,4584,4.4,2993,2.9,962,0.9,10123,9.7
E14000722,Halesowen and Rowley Regis,0,0.0,67316,90.2,986,1.3,631,0.8,172,0.2,5516,7.4
E14000723,Halifax,0,0.0,74087,90.0,1034,1.3,895,1.1,215,0.3,6058,7.4
E14000724,Haltemprice and Howden,0,0.0,69980,92.2,666,0.9,539,0.7,106,0.1,4633,6.1
E14000725,Halton,0,0.0,72411,91.7,1231,1.6,743,0.9,167,0.2,4425,5.6
E14000726,Hammersmith,0,0.0,83877,83.9,3435,3.4,1899,1.9,515,0.5,10250,10.3
E14000727,Hampstead and Kilburn,0,0.0,90309,84.6,3128,2.9,1898,1.8,563,0.5,10871,10.2
E14000728,Harborough,0,0.0,81468,90.8,918,1.0,787,0.9,200,0.2,6375,7.1
E14000729,Harlow,0,0.0,74959,90.9,988,1.2,747,0.9,236,0.3,5508,6.7
E14000730,Harrogate and Knaresborough,0,0.0,78649,90.2,1101,1.3,807,0.9,205,0.2,6444,7.4
E14000731,Harrow East,0,0.0,77908,86.8,397,0.4,735,0.8,485,0.5,10277,11.4
E14000732,Harrow West,0,0.0,81252,86.9,803,0.9,974,1.0,453,0.5,9996,10.7
E14000733,Hartlepool,0,0.0,68070,91.1,1121,1.5,784,1.0,157,0.2,4554,6.1
E14000734,Harwich and North Essex,0,0.0,72534,90.6,918,1.1,860,1.1,208,0.3,5519,6.9
E14000735,Hastings and Rye,0,0.0,79281,87.6,2009,2.2,1518,1.7,352,0.4,7393,8.2
E14000736,Havant,0,0.0,71461,91.3,1011,1.3,738,0.9,172,0.2,4856,6.2
E14000737,Hayes and Harlington,0,0.0,85620,87.9,735,0.8,995,1.0,428,0.4,9663,9.9
E14000738,Hazel Grove,0,0.0,60871,91.9,813,1.2,570,0.9,136,0.2,3854,5.8
E14000739,Hemel Hempstead,0,0.0,77348,90.6,944,1.1,919,1.1,244,0.3,5890,6.9
E14000740,Hemsworth,0,0.0,74539,91.4,1086,1.3,751,0.9,153,0.2,4998,6.1
E14000741,Hendon,0,0.0,99822,87.0,1267,1.1,1108,1.0,622,0.5,11959,10.4
E14000742,Henley,0,0.0,78135,91.5,860,1.0,719,0.8,196,0.2,5488,6.4
E14000743,Hereford and South Herefordshire,0,0.0,72293,89.2,906,1.1,793,1.0,222,0.3,6876,8.5
E14000744,Hertford and Stortford,0,0.0,84378,91.1,1171,1.3,908,1.0,236,0.3,5961,6.4
E14000745,Hertsmere,0,0.0,77939,90.4,846,1.0,707,0.8,256,0.3,6445,7.5
E14000746,Hexham,0,0.0,59577,92.3,605,0.9,466,0.7,89,0.1,3811,5.9
E14000747,Heywood and Middleton,0,0.0,79551,91.6,1114,1.3,730,0.8,202,0.2,5294,6.1
E14000748,High Peak,0,0.0,68820,91.0,1038,1.4,885,1.2,216,0.3,4701,6.2
E14000749,Hitchin and Harpenden,0,0.0,74789,91.4,957,1.2,816,1.0,203,0.2,5019,6.1
E14000750,Holborn and St Pancras,0,0.0,88081,81.3,4505,4.2,3172,2.9,820,0.8,11747,10.8
E14000751,Hornchurch and Upminster,0,0.0,82720,91.4,817,0.9,638,0.7,207,0.2,6148,6.8
E14000752,Hornsey and Wood Green,0,0.0,87267,84.6,3027,2.9,2126,2.1,722,0.7,9963,9.7
E14000753,Horsham,0,0.0,87264,91.2,1308,1.4,1022,1.1,228,0.2,5880,6.1
E14000754,Houghton and Sunderland South,0,0.0,68657,92.8,981,1.3,544,0.7,125,0.2,3716,5.0
E14000755,Hove,0,0.0,70524,83.4,4237,5.0,2300,2.7,759,0.9,6757,8.0
E14000756,Huddersfield,0,0.0,68044,88.1,1125,1.5,1233,1.6,359,0.5,6513,8.4
E14000757,Huntingdon,0,0.0,91013,90.9,1303,1.3,1226,1.2,293,0.3,6310,6.3
E14000758,Hyndburn,0,0.0,67846,90.4,921,1.2,730,1.0,159,0.2,5381,7.2
E14000759,Ilford North,0,0.0,80861,88.7,645,0.7,777,0.9,374,0.4,8481,9.3
E14000760,Ilford South,0,0.0,97624,87.1,590,0.5,1118,1.0,577,0.5,12170,10.9
E14000761,Ipswich,0,0.0,81112,88.1,1469,1.6,1520,1.7,561,0.6,7369,8.0
E14000762,Isle of Wight,0,0.0,106995,89.5,1550,1.3,1415,1.2,320,0.3,9306,7.8
E14000763,Islington North,0,0.0,76057,82.5,3943,4.3,2540,2.8,732,0.8,8924,9.7
E14000764,Islington South and Finsbury,0,0.0,75138,82.2,4477,4.9,2433,2.7,587,0.6,8795,9.6
E14000765,Jarrow,0,0.0,63434,92.4,1011,1.5,640,0.9,128,0.2,3468,5.0
E14000766,Keighley,0,0.0,71848,89.9,958,1.2,827,1.0,211,0.3,6087,7.6
E14000767,Kenilworth and Southam,0,0.0,69669,91.2,843,1.1,832,1.1,190,0.2,4889,6.4
E14000768,Kensington,0,0.0,77246,84.4,2516,2.8,1242,1.4,329,0.4,10147,11.1
E14000769,Kettering,0,0.0,76772,90.3,1056,1.2,903,1.1,246,0.3,6006,7.1
E14000770,Kingston and Surbiton,0,0.0,88761,87.9,1621,1.6,1611,1.6,401,0.4,8601,8.5
E14000771,Kingston upon Hull East,0,0.0,65746,89.9,1020,1.4,768,1.0,170,0.2,5450,7.5
E14000772,Kingston upon Hull North,0,0.0,69499,86.5,1477,1.8,1816,2.3,469,0.6,7061,8.8
E14000773,Kingston upon Hull West and Hessle,0,0.0,64789,88.4,1324,1.8,1078,1.5,250,0.3,5835,8.0
E14000774,Kingswood,0,0.0,67946,91.3,919,1.2,784,1.1,187,0.3,4577,6.2
E14000775,Knowsley,0,0.0,82002,92.0,1333,1.5,651,0.7,139,0.2,5017,5.6
E14000776,Lancaster and Fleetwood,0,0.0,66053,86.4,1616,2.1,1915,2.5,432,0.6,6434,8.4
E14000777,Leeds Central,0,0.0,103280,83.9,3197,2.6,4016,3.3,939,0.8,11683,9.5
E14000778,Leeds East,0,0.0,72300,89.6,1041,1.3,875,1.1,299,0.4,6141,7.6
E14000779,Leeds North East,0,0.0,68538,89.1,1308,1.7,1136,1.5,319,0.4,5654,7.3
E14000780,Leeds North West,0,0.0,64609,86.1,1477,2.0,2387,3.2,449,0.6,6128,8.2
E14000781,Leeds West,0,0.0,70260,87.4,1991,2.5,1942,2.4,507,0.6,5697,7.1
E14000782,Leicester East,0,0.0,86443,87.1,449,0.5,1370,1.4,382,0.4,10610,10.7
E14000783,Leicester South,0,0.0,87782,84.6,1565,1.5,2409,2.3,611,0.6,11367,11.0
E14000784,Leicester West,0,0.0,75928,86.3,1276,1.4,1524,1.7,428,0.5,8870,10.1
E14000785,Leigh,0,0.0,81727,92.0,1380,1.6,825,0.9,183,0.2,4730,5.3
E14000786,Lewes,0,0.0,67858,89.2,1436,1.9,990,1.3,255,0.3,5536,7.3
E14000787,Lewisham East,0,0.0,74656,85.9,1949,2.2,1325,1.5,501,0.6,8429,9.7
E14000788,Lewisham West and Penge,0,0.0,76519,85.7,2478,2.8,1651,1.8,555,0.6,8069,9.0
E14000789,"Lewisham, Deptford",0,0.0,86310,82.0,4022,3.8,3347,3.2,1103,1.0,10480,10.0
E14000790,Leyton and Wanstead,0,0.0,74740,85.9,2184,2.5,1421,1.6,528,0.6,8098,9.3
E14000791,Lichfield,0,0.0,75824,92.6,956,1.2,673,0.8,117,0.1,4337,5.3
E14000792,Lincoln,0,0.0,84033,85.5,2025,2.1,3109,3.2,691,0.7,8412,8.6
