const_id,const_name,2023,GE 2019,2019 party,2019 MP,2019 electorate,2019 turnout,Pre GE 2019,GE 2017,2017 turnout,GE 2015
E14001016,Warley,Lab,Lab,Labour Party,John Francis Spellar,62421,59.7,Lab,Lab,63.3,Lab
E14001017,Warrington North,Lab,Lab,Labour Party,Charlotte Nichols,72565,64.3,Lab,Lab,67.6,Lab
E14001018,Warrington South,Con,Con,Conservative and Unionist Party,Andy Carter,86895,71.2,Lab,Lab,72.5,Con
E14001019,Warwick and Leamington,Lab,Lab,Labour Party,Matt Western,76373,71,Lab,Lab,73,Con
E14001020,Washington and Sunderland West,Lab,Lab,Labour Party,Sharon Hodgson,,,Lab,Lab,60.4,Lab
E14001021,Watford,Con,Con,Conservative and Unionist Party,Dean Russell,,,Ind,Con,67.9,Con
E14001022,Waveney,Con,Con,Conservative and Unionist Party,Peter Aldous,82791,61.8,Con,Con,65.3,Con
E14001023,Wealden,Con,Con,Conservative and Unionist Party,Nus Ghani,82990,73.4,Con,Con,74.4,Con
E14001024,Weaver Vale,Lab,Lab,Labour Party,Mike Amesbury,70551,71.9,Lab,Lab,73.5,Con
E14001025,Wellingborough,Con,Con,Conservative and Unionist Party,Peter Bone,,,Con,Con,67.3,Con
E14001026,Wells,Con,Con,Conservative and Unionist Party,James Heappey,86522,71.2,Con,Con,74,Con
E14001027,Welwyn Hatfield,Con,Con,Conservative and Unionist Party,Grant Shapps,74892,69.5,Con,Con,71,Con
E14001028,Wentworth and Dearne,Lab,Lab,Labour Party,John Healey,74536,55.8,Lab,Lab,59.1,Lab
E14001029,West Bromwich East,Con,Con,Conservative and Unionist Party,Nicola Faye Richards,62111,57.9,Lab,Lab,61.5,Lab
E14001030,West Bromwich West,Con,Con,Conservative and Unionist Party,Shaun Stephen Bailey,64576,53.4,Lab,Lab,54.9,Lab
E14001031,West Dorset,Con,Con,Conservative and Unionist Party,Chris Loder,80963,75.3,Ind,Con,75.6,Con
E14001032,West Ham,Lab,Lab,Labour Party,Lyn Brown,98871,60.9,Lab,Lab,65.9,Lab
E14001033,West Lancashire,Lab,Lab,Labour Party,Rosie Cooper,,,Lab,Lab,74.4,Lab
E14001034,West Suffolk,Con,Con,Conservative and Unionist Party,Matt Hancock,,,Con,Con,67,Con
E14001035,West Worcestershire,Con,Con,Conservative and Unionist Party,Harriett Mary Morrison Baldwin,76267,75.4,Con,Con,76.1,Con
E14001036,Westminster North,Lab,Lab,Labour Party,Karen Buck,65519,65.5,Lab,Lab,68.1,Lab
E14001037,Westmorland and Lonsdale,LD,LD,Liberal Democrats,Tim Farron,,,LD,LD,78,LD
E14001038,Weston-Super-Mare,Con,Con,Conservative and Unionist Party,John Penrose,82526,67.4,Con,Con,68.8,Con
E14001039,Wigan,Lab,Lab,Labour Party,Lisa Nandy,,,Lab,Lab,63.2,Lab
E14001040,Wimbledon,Con,Con,Conservative and Unionist Party,Stephen Hammond,68232,77.7,Ind,Con,77.3,Con
E14001041,Winchester,Con,Con,Conservative and Unionist Party,Steve Brine,,,Ind,Con,79,Con
E14001042,Windsor,Con,Con,Conservative and Unionist Party,Adam Afriyie,,,Con,Con,73.5,Con
E14001043,Wirral South,Lab,Lab,Labour Party,Alison McGovern,57280,76,Lab,Lab,78.5,Lab
E14001044,Wirral West,Lab,Lab,Labour Party,Margaret Greenwood,55550,77.3,Lab,Lab,78.6,Lab
