ONSConstID,ConstituencyName,RegNationID,RegNationName,NatComparator,Con_num→Families with dependent children,Con_num→One-person households,Con_num→Other household types,Con_num→Other single-family households,Con_pc→Families with dependent children,Con_pc→One-person households,Con_pc→Other household types,Con_pc→Other single-family households,RN_pc→Families with dependent children,RN_pc→One-person households,RN_pc→Other household types,RN_pc→Other single-family households,Nat_pc→Families with dependent children,Nat_pc→One-person households,Nat_pc→Other household types,Nat_pc→Other single-family households
E14001097,Birmingham Northfield,E12000005,West Midlands,UK,14319,14918,1629,14619,0.314807,0.327976,0.035814,0.321403,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001098,Birmingham Perry Barr,E12000005,West Midlands,UK,16066,10707,2718,9955,0.407291,0.271434,0.068905,0.252371,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001099,Birmingham Selly Oak,E12000005,West Midlands,UK,11902,13013,4150,12306,0.28769,0.314544,0.100312,0.297455,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001100,Birmingham Yardley,E12000005,West Midlands,UK,15002,11040,1964,11366,0.381033,0.280402,0.049883,0.288681,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001101,Bishop Auckland,E12000001,North East,UK,10300,14827,924,16681,0.241038,0.346977,0.021623,0.390363,0.260419,0.336761,0.031151,0.371669,0.280006,0.308126,0.04752,0.364348
E14001102,Blackburn,E12000002,North West,UK,15376,11730,1524,11672,0.381519,0.291052,0.037814,0.289613,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001103,Blackley & Middleton South,E12000002,North West,UK,15368,14227,1933,12228,0.35122,0.325144,0.044177,0.279458,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001104,Blackpool North & Fleetwood,E12000002,North West,UK,10210,15187,1327,17223,0.232326,0.345575,0.030195,0.391903,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001105,Blackpool South,E12000002,North West,UK,12780,19001,2395,15549,0.257013,0.382122,0.048165,0.3127,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001106,Blaydon & Consett,E12000001,North East,UK,10697,13721,895,16424,0.256295,0.328749,0.021444,0.393512,0.260419,0.336761,0.031151,0.371669,0.280006,0.308126,0.04752,0.364348
E14001107,Blyth & Ashington,E12000001,North East,UK,12009,16232,974,17539,0.256855,0.347179,0.020832,0.375134,0.260419,0.336761,0.031151,0.371669,0.280006,0.308126,0.04752,0.364348
E14001108,Bognor Regis & Littlehampton,E12000008,South East,UK,11037,15483,2094,18662,0.233459,0.327502,0.044293,0.394745,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001109,Bolsover,E12000004,East Midlands,UK,11390,13299,1218,18275,0.257798,0.301005,0.027567,0.413631,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001110,Bolton North East,E12000002,North West,UK,14430,15327,1438,16060,0.305364,0.324346,0.030431,0.339859,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001111,Bolton South & Walkden,E12000002,North West,UK,16732,14481,1693,14232,0.354957,0.307205,0.035916,0.301921,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001112,Bolton West,E12000002,North West,UK,12087,12039,1074,16053,0.292997,0.291833,0.026034,0.389135,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001113,Bootle,E12000002,North West,UK,12258,16085,1583,14946,0.273177,0.358464,0.035278,0.333081,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001114,Boston & Skegness,E12000004,East Midlands,UK,12821,14769,2257,20531,0.254496,0.293164,0.044802,0.407539,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001115,Bournemouth East,E12000009,South West,UK,12574,15922,3277,15030,0.268658,0.340192,0.070017,0.321134,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001116,Bournemouth West,E12000009,South West,UK,10505,15101,4209,15210,0.233314,0.335392,0.093481,0.337812,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001117,Bracknell,E12000008,South East,UK,13131,11009,1819,14831,0.321917,0.269894,0.044594,0.363594,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001118,Bradford East,E12000003,Yorkshire and The Humber,UK,16790,11723,1706,11310,0.404296,0.282285,0.04108,0.27234,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001119,Bradford South,E12000003,Yorkshire and The Humber,UK,15182,13308,1431,13735,0.347765,0.304837,0.032779,0.314618,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001120,Bradford West,E12000003,Yorkshire and The Humber,UK,16161,11864,1881,9385,0.411316,0.301952,0.047873,0.238859,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001121,Braintree,E12000006,East of England,UK,12420,11495,1383,17870,0.287713,0.266285,0.032038,0.413964,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001122,Brent East,E12000007,London,UK,16308,14520,5281,13202,0.330717,0.294458,0.107096,0.26773,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001123,Brent West,E12000007,London,UK,15173,8680,4907,12403,0.368607,0.210869,0.119209,0.301313,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001124,Brentford & Isleworth,E12000007,London,UK,17107,12074,4126,14011,0.361533,0.255167,0.087198,0.296103,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001125,Brentwood & Ongar,E12000006,East of England,UK,11954,11586,1302,16017,0.292567,0.28356,0.031866,0.392007,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001126,Bridgwater,E12000009,South West,UK,11174,12817,1710,17170,0.260643,0.298967,0.039888,0.400504,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001127,Bridlington & The Wolds,E12000003,Yorkshire and The Humber,UK,9019,13826,1131,18393,0.212868,0.326323,0.026694,0.434115,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001128,Brigg & Immingham,E12000003,Yorkshire and The Humber,UK,9951,11357,901,17674,0.249505,0.284758,0.022592,0.443146,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001129,Brighton Kemptown & Peacehaven,E12000008,South East,UK,9368,14096,4140,13847,0.226002,0.340064,0.099877,0.334058,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001130,Brighton Pavilion,E12000008,South East,UK,10128,14814,5616,13281,0.231028,0.337918,0.128106,0.302949,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001131,Bristol Central,E12000009,South West,UK,6357,13144,7489,11208,0.166423,0.344102,0.196057,0.29342,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001132,Bristol East,E12000009,South West,UK,12755,14081,4101,14690,0.27955,0.308611,0.089881,0.321959,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001133,Bristol North East,E12000009,South West,UK,11638,11859,3120,13406,0.290783,0.296305,0.077955,0.334958,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001134,Bristol North West,E12000009,South West,UK,13076,11726,3616,14191,0.306884,0.2752,0.084865,0.333052,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001135,Bristol South,E12000009,South West,UK,12457,12425,3677,14903,0.286619,0.285882,0.084603,0.342897,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001136,Broadland & Fakenham,E12000006,East of England,UK,10065,11331,1065,18344,0.246661,0.277687,0.026099,0.449553,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001137,Bromley & Biggin Hill,E12000007,London,UK,12968,10454,1725,14132,0.330151,0.266147,0.043917,0.359785,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001138,Bromsgrove,E12000005,West Midlands,UK,11852,11293,958,17162,0.287217,0.273671,0.023216,0.415897,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001139,Broxbourne,E12000006,East of England,UK,14029,12025,1647,15838,0.322217,0.276189,0.037828,0.363766,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001140,Broxtowe,E12000004,East Midlands,UK,10156,12646,1860,16716,0.245445,0.305622,0.044951,0.403983,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001141,Buckingham & Bletchley,E12000008,South East,UK,13883,10170,1647,15840,0.334208,0.244824,0.039648,0.381319,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001142,Burnley,E12000002,North West,UK,13595,14624,1685,15218,0.301295,0.324099,0.037343,0.337263,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001143,Burton & Uttoxeter,E12000005,West Midlands,UK,13574,13513,1722,17626,0.292323,0.291009,0.037084,0.379585,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001144,Bury North,E12000002,North West,UK,12730,13267,1281,15969,0.294356,0.306773,0.029621,0.369251,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001145,Bury South,E12000002,North West,UK,13446,13323,1497,14493,0.31446,0.311583,0.03501,0.338946,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001146,Bury St Edmunds & Stowmarket,E12000006,East of England,UK,11168,14302,1389,18316,0.247217,0.316591,0.030747,0.405446,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001147,Calder Valley,E12000003,Yorkshire and The Humber,UK,11811,14896,1047,17095,0.263351,0.332137,0.023345,0.381168,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001148,Camborne & Redruth,E12000009,South West,UK,11202,13072,1774,16651,0.262348,0.306143,0.041547,0.389962,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001149,Cambridge,E12000006,East of England,UK,11162,14616,5271,13521,0.250438,0.327933,0.118264,0.303365,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001150,Cannock Chase,E12000005,West Midlands,UK,11948,12570,1167,17773,0.274932,0.289245,0.026853,0.40897,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001151,Canterbury,E12000008,South East,UK,10286,12492,4051,15449,0.243295,0.295473,0.095818,0.365415,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001152,Carlisle,E12000002,North West,UK,11457,16910,1289,17795,0.241449,0.356367,0.027165,0.375019,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001153,Carshalton & Wallington,E12000007,London,UK,14729,10544,1730,13635,0.362444,0.259461,0.042571,0.335524,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001154,Castle Point,E12000006,East of England,UK,10069,10390,1165,16498,0.264125,0.272546,0.03056,0.432768,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001155,Central Devon,E12000009,South West,UK,10021,11918,1393,17412,0.245951,0.292509,0.03419,0.427351,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001156,Central Suffolk & North Ipswich,E12000006,East of England,UK,10727,10529,1123,17127,0.271528,0.266516,0.028426,0.43353,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001157,Chatham & Aylesford,E12000008,South East,UK,14099,11407,1537,15223,0.333577,0.269886,0.036365,0.360171,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001158,Cheadle,E12000002,North West,UK,11874,10847,1046,15366,0.303426,0.277183,0.026729,0.392661,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001159,Chelmsford,E12000006,East of England,UK,13391,13360,1869,16438,0.297195,0.296506,0.04148,0.364818,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001160,Chelsea & Fulham,E12000007,London,UK,11639,20622,7400,14734,0.213972,0.379116,0.136042,0.270871,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001161,Cheltenham,E12000009,South West,UK,10786,16024,2407,15655,0.240372,0.357104,0.053641,0.348881,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001162,Chesham & Amersham,E12000008,South East,UK,12777,9974,1225,15284,0.325446,0.25405,0.031202,0.389303,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001163,Chester North & Neston,E12000002,North West,UK,9528,14288,2316,15467,0.229044,0.34347,0.055675,0.371811,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001164,Chester South & Eddisbury,E12000002,North West,UK,10783,10402,959,17681,0.27076,0.261193,0.024081,0.443968,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001165,Chesterfield,E12000004,East Midlands,UK,10458,15543,1021,16383,0.240939,0.358093,0.023522,0.377444,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001166,Chichester,E12000008,South East,UK,10460,14406,2170,18489,0.229765,0.316441,0.047666,0.406129,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001167,Chingford & Woodford Green,E12000007,London,UK,14546,11263,2328,14382,0.342105,0.264894,0.054752,0.338249,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001168,Chippenham,E12000009,South West,UK,11401,11564,1192,16840,0.278094,0.282069,0.029075,0.410762,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001169,Chipping Barnet,E12000007,London,UK,14617,11462,2392,15002,0.336232,0.263658,0.055022,0.345088,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001170,Chorley,E12000002,North West,UK,12537,13101,1062,17074,0.286402,0.299287,0.024261,0.390049,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001171,Christchurch,E12000009,South West,UK,8274,12394,1334,17975,0.206969,0.310029,0.033369,0.449634,0.254306,0.302719,0.047839,0.395137,0.280006,0.308126,0.04752,0.364348
E14001172,Cities of London & Westminster,E12000007,London,UK,9259,27336,6945,15664,0.156391,0.461725,0.117307,0.264576,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001173,City of Durham,E12000001,North East,UK,9747,13758,2504,15084,0.237194,0.334802,0.060935,0.367069,0.260419,0.336761,0.031151,0.371669,0.280006,0.308126,0.04752,0.364348
E14001174,Clacton,E12000006,East of England,UK,9151,16127,1579,18538,0.201586,0.35526,0.034783,0.408371,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001175,Clapham & Brixton Hill,E12000007,London,UK,9368,13624,9685,12035,0.209519,0.304706,0.216609,0.269166,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001176,Colchester,E12000006,East of England,UK,14727,14150,2804,15572,0.311662,0.299452,0.059341,0.329546,0.28991,0.289035,0.040527,0.380529,0.280006,0.308126,0.04752,0.364348
E14001177,Colne Valley,E12000003,Yorkshire and The Humber,UK,11301,12461,904,16187,0.276626,0.30502,0.022128,0.396225,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001178,Congleton,E12000002,North West,UK,10351,11728,824,16937,0.259815,0.294378,0.020683,0.425126,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001179,Corby & East Northamptonshire,E12000004,East Midlands,UK,14744,11791,2190,18315,0.313436,0.250659,0.046556,0.389349,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001180,Coventry East,E12000005,West Midlands,UK,16109,13955,2523,13792,0.347334,0.30089,0.0544,0.297375,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001181,Coventry North West,E12000005,West Midlands,UK,13096,13792,2441,14974,0.295601,0.31131,0.055098,0.337991,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001182,Coventry South,E12000005,West Midlands,UK,12742,13030,4471,13221,0.293162,0.299789,0.102867,0.304183,0.293795,0.298748,0.040634,0.366823,0.280006,0.308126,0.04752,0.364348
E14001183,Cramlington & Killingworth,E12000001,North East,UK,11615,14309,761,17369,0.263653,0.324806,0.017274,0.394266,0.260419,0.336761,0.031151,0.371669,0.280006,0.308126,0.04752,0.364348
E14001184,Crawley,E12000008,South East,UK,15724,11517,3103,15160,0.345551,0.253099,0.068192,0.333157,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001185,Crewe & Nantwich,E12000002,North West,UK,13062,14809,1852,17862,0.274498,0.311212,0.03892,0.37537,0.279803,0.321846,0.040194,0.358156,0.280006,0.308126,0.04752,0.364348
E14001186,Croydon East,E12000007,London,UK,14389,11451,2373,14454,0.337239,0.26838,0.055617,0.338763,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001187,Croydon South,E12000007,London,UK,13165,10150,1930,14425,0.331863,0.255861,0.048652,0.363626,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001188,Croydon West,E12000007,London,UK,16760,14934,3975,12505,0.347905,0.310001,0.082513,0.259581,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001189,Dagenham & Rainham,E12000007,London,UK,16995,10575,2299,12720,0.399047,0.248303,0.053981,0.298668,0.312833,0.292645,0.097114,0.297408,0.280006,0.308126,0.04752,0.364348
E14001190,Darlington,E12000001,North East,UK,11764,15522,1192,15935,0.264878,0.349492,0.026839,0.358792,0.260419,0.336761,0.031151,0.371669,0.280006,0.308126,0.04752,0.364348
E14001191,Dartford,E12000008,South East,UK,15571,10979,1665,14310,0.366162,0.258177,0.039154,0.336508,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001192,Daventry,E12000004,East Midlands,UK,12267,11178,1398,18840,0.280818,0.255889,0.032003,0.431289,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001193,Derby North,E12000004,East Midlands,UK,11789,13915,2625,14932,0.272509,0.321653,0.060678,0.34516,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001194,Derby South,E12000004,East Midlands,UK,15090,14044,2296,13644,0.334783,0.311576,0.050938,0.302702,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001195,Derbyshire Dales,E12000004,East Midlands,UK,9240,11900,867,17770,0.232295,0.299168,0.021797,0.446741,0.277747,0.293117,0.042047,0.387089,0.280006,0.308126,0.04752,0.364348
E14001196,Dewsbury & Batley,E12000003,Yorkshire and The Humber,UK,13871,10532,1331,11964,0.367951,0.279378,0.035307,0.317365,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001197,Didcot & Wantage,E12000008,South East,UK,13481,11552,1779,17245,0.30599,0.262206,0.040379,0.391424,0.290582,0.284072,0.047814,0.377531,0.280006,0.308126,0.04752,0.364348
E14001198,Doncaster Central,E12000003,Yorkshire and The Humber,UK,13329,16470,2005,17223,0.271871,0.335937,0.040895,0.351297,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001199,Doncaster East & the Isle of Axholme,E12000003,Yorkshire and The Humber,UK,10718,10822,1044,16762,0.272405,0.275047,0.026534,0.426015,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
E14001200,Doncaster North,E12000003,Yorkshire and The Humber,UK,11847,12972,1181,16487,0.278838,0.305317,0.027797,0.388048,0.276821,0.314743,0.037987,0.370449,0.280006,0.308126,0.04752,0.364348
