PCON24CD,2025-03,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10
E14001127,21,18,18,18,18,18,18
E14001128,20,19,19,19,19,19,19
E14001129,16,15,15,15,15,15,15
E14001130,13,13,13,13,13,13,13
E14001131,12,8,8,8,8,8,8
E14001132,12,9,9,9,9,9,9
E14001133,9,7,7,7,8,8,8
E14001134,14,11,11,11,11,11,11
E14001135,14,10,10,10,10,9,9
E14001136,33,28,28,28,28,28,28
E14001137,7,6,6,6,6,6,6
E14001138,13,13,13,13,13,13,13
E14001139,9,8,8,8,8,8,8
E14001140,15,10,10,10,10,10,10
E14001141,12,10,10,10,10,10,11
E14001142,2,1,1,1,1,2,2
E14001143,19,15,15,15,15,15,15
E14001144,12,10,10,10,10,10,10
E14001145,5,4,4,4,4,5,5
E14001146,27,23,23,23,23,23,23
E14001147,22,15,15,15,15,15,15
E14001148,24,24,24,24,24,24,24
E14001149,18,17,17,17,17,17,17
E14001150,12,12,12,12,12,12,12
E14001151,16,14,14,14,14,14,14
E14001152,30,27,27,27,27,27,27
E14001153,11,10,10,10,10,10,10
E14001154,8,6,6,6,6,6,6
E14001155,44,39,39,39,39,40,40
E14001156,19,17,17,17,17,17,17
E14001157,12,11,11,11,11,11,11
E14001158,9,8,8,8,8,8,8
E14001159,11,8,8,8,8,8,8
E14001160,11,9,9,9,9,9,9
E14001161,12,9,9,9,9,9,9
E14001162,10,8,8,8,8,8,8
E14001163,15,12,12,12,12,12,12
E14001164,21,19,19,19,19,19,19
E14001165,16,15,15,15,15,15,15
E14001166,19,19,19,19,19,19,19
E14001167,9,7,7,7,7,7,7
E14001168,14,13,13,13,13,13,13
E14001169,4,3,3,3,3,3,3
E14001170,15,14,14,14,14,14,14
E14001171,16,12,12,12,12,12,12
E14001172,37,30,30,30,30,30,30
E14001173,17,14,14,14,14,14,14
E14001174,25,16,16,16,16,16,16
E14001175,7,7,7,7,7,7,7
E14001176,12,9,9,9,9,9,9
E14001177,18,16,17,17,17,17,17
E14001178,9,8,8,8,8,8,8
E14001179,23,18,18,18,18,18,18
E14001180,18,16,16,16,16,16,16
E14001181,11,10,10,10,10,10,10
E14001182,15,11,11,11,11,11,12
E14001183,9,9,9,9,9,9,9
E14001184,12,13,13,15,15,15,15
E14001185,6,6,6,6,6,6,6
E14001186,9,9,9,9,9,9,9
E14001187,11,9,9,9,9,9,9
E14001188,9,6,6,6,6,6,6
E14001189,12,7,7,7,7,7,7
E14001190,17,16,16,16,16,16,16
E14001191,10,10,10,10,10,10,10
E14001192,27,23,23,23,23,23,23
E14001193,11,8,8,8,8,8,8
E14001194,16,11,11,11,11,11,11
E14001195,33,27,27,27,27,27,27
E14001196,17,14,14,14,14,14,14
E14001197,25,20,19,19,19,19,19
E14001198,19,18,18,18,18,18,18
E14001199,20,19,19,19,19,18,18
E14001200,18,18,18,18,18,18,18
E14001201,13,11,11,11,11,11,11
E14001202,20,16,16,16,16,16,16
E14001203,27,23,23,23,23,23,23
E14001204,11,10,10,10,10,10,10
E14001205,5,5,5,5,5,5,5
E14001206,15,11,11,11,11,11,11
E14001207,10,10,10,10,10,10,10
E14001208,9,8,8,8,8,8,8
E14001209,8,7,7,7,7,7,7
E14001210,11,9,9,9,9,9,9
E14001211,24,22,22,22,22,22,22
E14001212,24,18,18,18,18,18,18
E14001213,9,9,9,9,9,9,9
E14001214,17,16,16,16,16,16,16
E14001215,16,14,14,14,14,14,14
E14001216,14,14,14,14,14,14,14
E14001217,25,20,20,20,20,20,20
E14001218,18,12,12,12,11,11,11
E14001219,10,7,7,7,7,7,7
E14001220,10,8,8,8,8,8,8
E14001221,8,8,8,8,8,8,8
E14001222,8,8,8,8,8,8,8
E14001223,12,10,10,10,10,10,10
E14001224,20,17,17,17,17,17,17
E14001225,10,7,7,7,7,7,7
E14001226,14,14,14,14,14,14,14
E14001227,15,14,14,14,14,14,14
E14001228,18,13,13,13,13,13,13
E14001229,10,8,8,8,8,8,8
E14001230,8,9,9,9,9,9,9
E14001231,10,9,9,9,9,9,9
E14001232,16,16,16,16,16,16,16
E14001233,15,15,15,15,15,15,15
E14001234,18,16,16,16,16,16,18
E14001235,19,18,18,18,18,18,18
E14001236,6,6,6,6,6,6,6
E14001237,11,10,10,10,10,10,10
E14001238,7,7,7,7,7,7,7
E14001239,16,15,16,16,16,16,16
E14001240,20,19,19,19,19,19,19
E14001241,15,14,14,14,14,14,14
E14001242,14,14,14,14,14,14,14
E14001243,21,20,20,20,20,20,20
E14001244,9,9,9,9,9,9,9
E14001245,20,12,12,12,12,12,12
E14001246,9,8,8,8,8,8,8
E14001247,22,20,21,21,21,21,21
E14001248,16,11,11,11,11,11,11
E14001249,25,18,18,18,18,18,18
E14001250,25,24,24,24,24,24,24
E14001251,8,6,6,6,6,6,6
E14001252,11,10,10,10,10,10,10
E14001253,18,16,16,16,16,16,16
E14001254,16,14,14,14,14,14,14
E14001255,12,12,12,12,11,11,11
E14001256,19,19,19,19,19,19,19
E14001257,10,9,9,9,9,9,9
E14001258,12,13,13,13,13,13,13
E14001259,10,7,7,7,7,7,7
E14001260,14,11,11,11,11,11,11
E14001261,7,7,7,7,7,7,7
E14001262,12,11,11,11,11,11,11
E14001263,13,11,11,11,11,11,11
E14001264,9,8,8,8,8,8,8
E14001265,13,10,10,10,10,10,9
E14001266,11,11,11,11,11,11,11
E14001267,7,7,7,7,7,7,7
E14001268,17,13,13,13,13,13,13
E14001269,10,8,8,8,8,8,8
E14001270,9,7,7,7,7,7,7
E14001271,9,9,9,9,9,9,9
E14001272,7,7,8,8,8,8,8
E14001273,34,24,24,24,24,24,24
E14001274,14,14,14,14,14,14,14
E14001275,10,10,10,10,10,10,10
E14001276,4,3,3,3,3,3,3
E14001277,9,8,8,8,8,8,8
E14001278,6,6,6,6,6,6,6
E14001279,14,9,9,8,8,8,8
E14001280,23,19,19,19,19,19,19
E14001281,34,27,27,27,27,27,27
E14001282,17,15,15,15,15,15,15
E14001283,15,12,12,12,12,12,12
E14001284,15,13,13,13,13,13,13
E14001285,21,20,20,21,21,20,20
E14001286,5,5,5,5,5,5,5
E14001287,18,15,15,15,15,15,15
E14001288,10,9,9,9,9,9,9
E14001289,20,16,16,16,16,16,16
E14001290,20,17,17,16,16,16,16
E14001291,29,24,23,23,23,23,23
E14001292,9,7,7,7,7,7,7
E14001293,8,6,6,6,6,6,6
E14001294,14,12,12,12,12,12,12
E14001295,16,15,15,15,15,15,14
E14001296,14,12,12,12,12,12,12
E14001297,20,14,14,14,14,14,14
E14001298,18,17,17,17,18,18,18
E14001299,10,10,10,10,10,10,10
E14001300,7,7,7,7,7,7,7
E14001301,8,8,8,8,8,8,8
E14001302,18,17,17,17,16,16,16
E14001303,16,16,16,16,16,16,16
E14001304,19,17,17,17,17,17,17
E14001305,10,8,8,8,8,8,8
E14001306,15,12,12,12,12,12,13
E14001307,14,14,14,14,14,13,13
E14001308,13,12,12,12,12,12,12
E14001309,32,29,29,29,29,29,29
E14001310,15,13,13,13,13,13,13
E14001311,11,11,11,11,11,11,11
E14001312,11,8,8,8,8,8,8
E14001313,11,8,8,8,8,8,8
E14001314,11,9,9,9,9,9,9
E14001315,13,10,10,10,10,10,10
E14001316,17,16,16,16,16,16,16
E14001317,12,12,12,12,12,12,12
E14001318,18,19,20,20,20,20,20
E14001319,12,12,12,12,12,12,12
E14001320,13,11,11,11,11,11,11
E14001321,11,10,10,10,10,10,10
E14001322,8,7,7,7,7,7,7
E14001323,19,16,16,16,16,16,16
E14001324,11,10,10,10,10,10,10
E14001325,12,11,11,11,11,11,11
E14001326,15,14,13,13,13,13,13
E14001327,17,14,14,14,14,14,14
E14001328,19,15,14,14,14,14,14
E14001329,14,12,12,12,12,12,12
E14001330,15,14,14,14,14,14,14
E14001331,7,5,5,5,5,5,5
E14001332,15,12,12,12,12,12,12
E14001333,9,6,6,6,6,6,6
E14001334,9,7,7,7,7,7,7
E14001335,16,15,15,15,15,15,15
E14001336,14,12,12,12,12,12,12
E14001337,15,12,12,12,12,12,12
E14001338,11,10,10,10,10,10,10
E14001339,17,14,14,14,14,14,14
E14001340,11,9,9,9,9,9,9
E14001341,12,11,11,11,11,11,11
E14001342,13,12,12,12,12,12,12
E14001343,32,25,25,25,25,24,24
E14001344,15,13,13,13,14,14,13
E14001345,18,12,12,12,12,12,12
E14001346,9,7,7,7,7,7,7
E14001347,7,7,7,7,7,7,7
E14001348,9,9,9,9,9,9,9
E14001349,13,13,13,13,13,13,13
E14001350,14,11,11,11,11,11,11
E14001351,15,12,14,14,14,14,14
E14001352,20,19,19,19,19,19,19
E14001353,7,7,7,7,7,7,7
E14001354,8,6,6,6,6,6,6
E14001355,14,13,13,13,13,13,13
E14001356,15,15,15,15,15,15,15
E14001357,15,13,13,13,13,13,13
E14001358,14,12,12,12,12,12,12
E14001359,16,13,13,13,13,13,13
E14001360,25,23,23,23,23,23,23
E14001361,19,13,13,13,13,13,13
E14001362,12,11,11,11,11,11,11
E14001363,20,17,17,17,17,17,17
E14001364,11,10,10,10,10,10,10
E14001365,36,29,29,29,29,29,29
E14001366,11,8,8,9,9,9,9
E14001367,12,11,11,11,11,11,11
E14001368,16,16,16,16,16,16,16
E14001369,9,8,8,8,8,8,8
E14001370,15,15,15,15,15,15,15
E14001371,8,8,8,8,8,8,8
E14001372,33,32,32,32,32,32,32
E14001373,21,18,18,18,18,18,18
E14001374,17,16,16,16,16,16,16
E14001375,17,15,15,15,15,15,15
E14001376,12,11,11,11,11,11,11
E14001377,12,11,11,11,11,12,12
E14001378,10,10,10,10,10,10,10
E14001379,10,9,9,9,9,9,9
E14001380,15,12,12,12,12,12,12
E14001381,16,16,16,16,16,16,16
E14001382,17,16,16,16,16,16,16
E14001383,27,21,21,21,21,21,21
E14001384,21,18,18,18,18,18,18
E14001385,37,32,32,32,32,32,32
E14001386,24,22,22,22,22,22,22
E14001387,37,32,31,31,32,33,33
E14001388,25,21,21,21,21,21,21
E14001389,20,19,19,19,19,19,19
E14001390,25,19,19,19,19,19,19
E14001391,19,17,17,17,17,17,17
E14001392,10,11,11,11,11,11,11
E14001393,24,18,18,18,18,18,18
E14001394,23,16,17,17,17,17,17
E14001395,49,35,35,35,35,35,35
E14001396,38,34,34,35,35,35,36
E14001397,31,28,28,28,28,28,28
E14001398,19,15,15,15,15,15,15
E14001399,13,10,10,10,10,10,10
E14001400,20,18,18,18,18,18,18
E14001401,13,11,11,11,11,11,11
E14001402,17,14,14,14,14,14,14
E14001403,21,14,14,14,14,14,15
E14001404,15,13,13,13,13,13,13
E14001405,28,23,23,23,23,23,23
E14001406,11,9,9,9,9,9,9
E14001407,13,13,13,13,13,13,13
E14001408,16,12,12,12,12,12,12
E14001409,16,12,12,12,12,12,12
E14001410,9,9,9,9,9,9,9
E14001411,14,12,12,12,12,12,12
E14001412,13,11,11,11,11,11,11
E14001413,19,18,18,18,18,17,17
E14001414,9,7,7,7,7,7,7
E14001415,14,12,12,12,12,12,12
E14001416,12,12,12,12,13,13,12
E14001417,12,12,12,12,12,12,12
E14001418,25,20,20,20,20,20,20
E14001419,11,9,9,9,9,9,9
E14001420,13,12,12,12,12,12,12
E14001421,7,6,6,6,6,6,6
E14001422,17,14,14,14,14,14,14
E14001423,15,13,13,13,13,13,13
E14001424,32,26,26,26,26,26,26
E14001425,15,12,12,12,12,12,12
E14001426,15,15,15,15,15,15,15
E14001427,16,14,14,14,14,14,14
E14001428,22,15,15,15,15,15,15
E14001429,13,11,11,11,11,10,10
E14001430,10,8,8,8,8,8,8
E14001431,8,8,8,8,8,8,8
E14001432,12,11,11,11,11,11,11
E14001433,12,12,13,13,13,13,13
E14001434,10,6,6,6,6,6,6
E14001435,18,11,11,11,11,11,11
E14001436,16,14,14,14,14,14,14
E14001437,10,8,8,8,8,8,8
E14001438,18,15,16,16,16,16,16
E14001439,14,13,13,13,13,13,13
E14001440,12,12,12,12,12,12,12
E14001441,17,14,14,14,14,14,14
E14001442,17,17,17,17,17,17,17
E14001443,18,17,16,16,16,16,16
E14001444,18,18,18,18,19,20,20
E14001445,17,12,12,12,12,12,12
E14001446,12,11,11,11,11,11,11
E14001447,16,15,15,15,15,15,15
E14001448,2,2,2,2,2,2,2
E14001449,19,16,16,16,16,16,16
E14001450,9,7,7,7,7,7,8
E14001451,15,15,15,15,15,15,15
E14001452,19,16,16,16,16,17,17
E14001453,15,15,15,15,15,15,15
E14001454,12,9,9,9,9,9,9
E14001455,16,13,13,13,13,13,13
E14001456,13,12,13,13,13,13,13
E14001457,19,15,15,15,15,15,15
E14001458,19,17,17,17,17,17,17
E14001459,6,5,5,5,5,5,5
E14001460,30,25,24,24,24,24,24
E14001461,27,22,22,22,22,22,22
E14001462,21,20,20,20,20,20,20
E14001463,7,7,7,7,7,7,7
E14001464,26,19,19,19,19,19,19
E14001465,11,10,10,10,10,10,10
E14001466,17,14,14,14,14,14,14
E14001467,14,10,10,10,10,10,10
E14001468,14,11,11,11,11,11,11
E14001469,21,13,13,13,13,13,13
E14001470,18,14,14,14,14,14,14
E14001471,17,13,13,13,13,13,13
E14001472,21,18,18,18,18,18,18
E14001473,13,12,12,12,12,12,12
E14001474,15,13,13,13,13,13,13
E14001475,26,25,25,25,25,25,25
E14001476,18,16,16,16,16,16,16
E14001477,12,10,10,10,10,10,10
E14001478,16,13,13,13,13,13,13
E14001479,11,9,9,9,9,9,9
E14001480,13,12,12,12,12,12,12
E14001481,37,32,32,32,32,32,32
E14001482,29,25,25,25,25,25,25
E14001483,15,12,12,12,12,12,12
E14001484,43,35,35,35,35,35,35
E14001485,22,20,19,19,19,19,19
E14001486,42,36,36,36,36,36,36
E14001487,17,16,16,16,16,16,16
E14001488,22,17,17,17,17,17,17
E14001489,18,17,17,17,17,18,18
E14001490,34,27,27,27,27,27,27
E14001491,16,14,15,15,15,15,15
E14001492,10,10,10,10,10,10,10
E14001493,24,24,24,24,24,24,24
E14001494,26,21,21,21,21,21,21
E14001495,25,22,22,22,22,22,23
E14001496,15,14,14,14,14,14,14
E14001497,40,33,33,33,33,33,32
E14001498,15,12,12,12,12,12,12
E14001499,11,9,9,9,9,9,9
E14001500,11,10,10,10,10,10,10
E14001501,10,10,9,9,9,9,9
E14001502,5,5,5,5,5,5,5
E14001503,16,12,12,12,12,12,12
E14001504,14,14,14,14,14,14,14
E14001505,9,10,10,10,10,9,9
E14001506,15,13,13,13,13,13,13
E14001507,11,10,10,10,10,10,10
E14001508,31,30,30,30,30,30,30
E14001509,9,8,8,8,8,8,8
E14001510,8,7,7,7,7,7,7
E14001511,44,41,41,41,41,41,41
E14001512,24,20,21,21,21,21,21
E14001513,20,16,16,16,16,16,16
E14001514,14,12,12,12,13,13,13
E14001515,8,8,8,8,8,8,8
E14001516,9,9,9,9,9,9,9
E14001517,9,8,8,8,8,8,8
E14001518,8,7,7,7,7,7,7
E14001519,10,9,9,9,9,9,8
E14001520,13,11,11,11,11,11,11
E14001521,10,8,8,9,9,9,9
E14001522,17,15,15,15,15,15,15
E14001523,17,13,13,13,13,13,13
E14001524,15,11,11,11,11,11,11
E14001525,10,8,8,8,8,8,8
E14001526,25,22,22,22,22,22,22
E14001527,10,10,10,10,10,10,10
E14001528,13,12,12,12,12,12,12
E14001529,20,18,18,18,18,18,18
E14001530,34,29,29,29,29,28,28
E14001531,12,12,12,12,12,12,12
E14001532,14,13,13,13,13,13,13
E14001533,14,13,13,13,13,13,13
E14001534,5,5,5,5,5,5,5
E14001535,13,10,10,10,10,10,10
E14001536,10,9,9,9,9,9,9
E14001537,16,14,14,14,14,14,14
E14001538,14,13,13,13,13,13,13
E14001539,14,13,13,13,13,13,13
E14001540,22,15,15,15,15,15,15
E14001541,8,8,8,8,8,8,8
E14001542,10,10,10,10,10,10,10
E14001543,19,18,18,18,18,18,18
E14001544,21,20,20,20,20,20,20
E14001545,21,16,16,16,16,16,16
E14001546,8,8,8,8,8,9,9
E14001547,12,11,11,11,11,11,11
E14001548,32,27,27,27,27,27,27
E14001549,17,17,17,17,17,17,17
E14001550,4,4,4,4,4,4,4
E14001551,20,19,19,19,19,19,19
E14001552,35,34,34,34,34,34,34
E14001553,10,10,10,10,10,10,10
E14001554,31,31,31,31,31,31,31
E14001555,16,15,15,15,15,15,15
E14001556,16,10,10,10,10,10,10
E14001557,10,10,10,10,10,10,10
E14001558,12,12,12,12,12,12,12
E14001559,13,11,11,11,11,11,11
E14001560,18,12,12,12,12,12,12
E14001561,7,6,7,7,7,7,7
E14001562,12,11,11,11,11,11,11
E14001563,10,8,8,8,8,8,8
E14001564,15,13,12,12,12,12,12
E14001565,13,11,11,11,11,11,11
E14001566,10,9,9,9,10,10,10
E14001567,16,14,14,14,14,14,14
E14001568,9,9,9,9,9,9,9
E14001569,33,28,28,28,28,28,28
E14001570,33,29,29,29,29,29,29
E14001571,9,8,8,8,8,8,8
E14001572,21,20,20,20,20,20,20
E14001573,16,13,13,13,13,13,13
E14001574,17,12,12,12,12,12,12
E14001575,42,33,33,33,33,33,33
E14001576,18,12,12,12,12,12,12
E14001577,14,12,12,12,12,12,12
E14001578,29,22,22,22,22,22,22
E14001579,29,27,27,27,27,27,27
E14001580,38,30,30,30,30,30,30
E14001581,10,9,9,9,9,9,8
E14001582,30,28,28,28,28,28,28
E14001583,22,18,18,18,18,18,18
E14001584,10,7,7,7,7,7,7
E14001585,17,15,15,15,15,15,15
E14001586,12,9,9,9,9,9,9
E14001587,22,20,20,20,20,20,20
E14001588,19,15,15,15,15,15,15
E14001589,11,10,10,10,10,10,10
E14001590,19,14,14,14,14,14,14
E14001591,25,22,21,21,21,21,21
E14001592,9,7,7,7,7,7,7
E14001593,12,9,9,9,9,9,9
E14001594,12,11,11,11,11,11,11
E14001595,16,13,13,13,13,13,13
E14001596,17,15,15,15,15,15,15
E14001597,12,11,10,10,9,9,9
E14001598,15,11,11,11,11,11,11
E14001599,16,11,11,11,11,11,11
E14001600,11,11,11,11,11,11,11
E14001601,17,16,16,16,16,16,16
E14001602,9,8,8,8,8,8,8
E14001603,20,16,16,16,16,16,16
E14001604,14,10,10,10,10,10,10
E14001605,19,18,18,18,17,17,17
N05000001,14,15,15,15,15,15,15
N05000002,20,17,17,17,17,17,17
N05000003,17,16,17,17,17,17,17
N05000004,13,13,13,13,13,13,13
N05000005,13,12,13,13,19,19,19
N05000006,18,17,16,16,16,31,31
N05000007,22,25,36,41,41,42,47
N05000008,4,4,4,9,9,18,18
N05000009,10,12,19,22,22,23,23
N05000010,15,11,10,10,10,22,28
N05000011,20,24,25,25,25,36,40
N05000012,15,15,16,17,27,30,30
N05000013,14,16,16,16,16,16,16
N05000014,17,17,17,18,19,19,19
N05000015,22,29,29,29,29,30,30
N05000016,16,25,25,25,25,25,25
N05000017,10,11,10,11,11,16,22
N05000018,19,19,17,17,17,17,28
S14000021,12,10,10,10,10,10,10
S14000027,42,32,32,32,32,32,32
S14000045,11,10,10,10,10,10,10
S14000048,17,15,15,15,16,16,16
S14000051,59,53,53,53,53,53,53
S14000060,8,8,8,8,8,8,8
S14000061,11,10,10,10,10,10,10
S14000062,30,24,24,24,24,24,24
S14000063,13,14,14,14,14,14,14
S14000064,15,11,11,11,11,11,11
S14000065,28,22,22,22,22,22,22
S14000066,13,11,11,11,11,11,11
S14000067,82,62,62,61,61,61,61
S14000068,13,12,12,12,12,12,12
S14000069,58,48,48,48,47,47,46
S14000070,16,16,16,16,16,16,16
S14000071,13,14,14,14,14,14,14
S14000072,13,10,10,10,10,10,10
S14000073,50,40,40,40,40,40,40
S14000074,44,33,33,33,33,33,33
S14000075,13,13,13,13,13,13,13
S14000076,14,14,14,14,14,14,14
S14000077,7,5,5,5,5,5,5
S14000078,15,15,15,15,15,15,15
S14000079,13,13,13,13,13,13,12
S14000080,10,9,9,9,9,9,9
S14000081,14,14,15,15,15,15,15
S14000082,9,9,10,10,10,10,10
S14000083,19,17,17,17,17,17,17
S14000084,11,11,11,11,11,11,12
S14000085,16,15,15,15,16,16,16
S14000086,13,13,13,13,13,13,13
S14000087,11,9,9,9,9,9,9
S14000088,13,13,13,13,13,13,13
S14000089,14,12,11,11,11,11,11
S14000090,19,19,19,19,19,19,19
S14000091,19,17,17,17,17,17,17
S14000092,11,10,10,10,10,10,10
S14000093,10,11,11,11,11,11,11
S14000094,48,42,42,42,42,42,42
S14000095,22,15,15,15,15,15,15
S14000096,15,14,14,14,14,14,14
S14000097,10,9,9,9,9,10,10
S14000098,40,32,32,32,32,32,32
S14000099,9,8,8,8,8,8,8
S14000100,24,23,23,23,23,23,23
S14000101,9,9,9,9,9,9,9
S14000102,11,11,11,11,11,11,11
S14000103,24,21,21,21,21,21,21
S14000104,9,9,9,9,9,9,9
S14000105,37,31,31,31,31,31,31
S14000106,9,9,9,9,9,9,9
S14000107,25,22,22,22,22,22,22
S14000108,32,26,26,26,24,24,24
S14000109,11,10,10,10,10,9,9
S14000110,16,15,14,14,14,14,14
S14000111,31,27,27,27,27,27,27
W07000081,14,11,11,11,11,11,11
W07000082,15,15,15,15,15,15,15
W07000083,31,24,25,25,25,25,25
W07000084,22,22,22,22,22,22,22
W07000085,43,37,37,37,37,37,37
W07000086,12,10,10,10,10,10,10
W07000087,29,26,26,26,26,26,26
W07000088,11,9,10,10,10,10,10
W07000089,11,10,10,10,10,10,10
W07000090,11,11,11,11,11,11,11
W07000091,14,14,14,14,14,14,14
W07000092,16,14,14,14,14,14,14
W07000093,50,41,41,41,41,41,41
W07000094,22,17,17,17,17,17,17
W07000095,20,18,17,17,17,17,17
W07000096,42,36,35,35,35,35,35
W07000097,22,18,18,18,18,17,17
W07000098,21,15,15,15,15,15,15
W07000099,18,18,18,18,18,18,18
W07000100,27,26,26,26,26,26,26
W07000101,21,21,21,21,21,21,21
W07000102,35,30,30,30,30,30,30
W07000103,12,11,11,11,11,11,11
W07000104,14,14,14,15,15,15,15
W07000105,14,11,11,10,10,10,10
W07000106,16,11,12,12,11,11,11
W07000107,12,10,10,11,11,12,13
W07000108,16,11,11,11,10,10,10
W07000109,11,12,12,12,12,12,12
W07000110,16,10,10,10,10,10,10
W07000111,14,14,14,14,14,14,14
W07000112,32,22,22,21,21,20,20
