Westminster Parliamentary constituencies Code,Westminster Parliamentary constituencies,Does not apply,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
E14000845,North East Hertfordshire,51812,5099,3181,3635,5357,2980,1554,1528,446,20171,7026
E14000846,North East Somerset,50835,3929,3784,5772,7758,1606,310,270,471,16418,7213
E14000847,North Herefordshire,48049,3995,2507,4237,5826,3074,987,820,972,12260,6765
E14000848,North Norfolk,51730,3926,1766,3177,4595,2739,1311,557,712,8486,6621
E14000849,North Shropshire,58339,6899,3470,4269,6417,5046,1824,1777,1549,12566,8000
E14000850,North Somerset,53933,4984,2181,5381,7576,1706,404,329,499,19885,6287
E14000851,North Swindon,59651,6133,11226,8576,2614,1635,987,1621,1154,18705,8917
E14000852,North Thanet,56794,5049,5263,5415,4080,1876,607,767,1178,10265,8053
E14000853,North Tyneside,57434,4611,8761,10085,3804,597,290,271,667,14676,6445
E14000854,North Warwickshire,48939,4338,5174,7017,5987,2840,886,427,510,11132,6419
E14000855,North West Cambridgeshire,70911,6042,9264,8251,6789,3896,1595,1438,1712,23298,9620
E14000856,North West Durham,51930,4237,3055,4005,7394,4047,1482,632,621,10076,6418
E14000857,North West Hampshire,55655,6598,4917,4007,5039,3713,1700,1209,1218,21521,8957
E14000858,North West Leicestershire,52744,4923,4986,5269,8516,3455,1329,773,735,14874,7098
E14000859,North West Norfolk,54773,6812,6528,3510,4675,2636,1350,1328,1269,8185,7616
E14000860,North Wiltshire,49816,4001,1866,4543,5676,2653,1475,1496,1146,20355,6851
E14000861,Northampton North,47387,5408,10345,6348,2598,1845,678,588,856,10104,7041
E14000862,Northampton South,53238,7344,11594,6641,3099,2689,802,688,1160,11565,8005
E14000863,Norwich North,47679,5882,8868,5231,2317,1343,932,256,552,11987,7032
E14000864,Norwich South,58642,7866,9353,3761,1838,1271,980,387,981,14957,5887
E14000865,Nottingham East,63551,6146,9970,4093,2410,1445,474,245,1014,12356,5863
E14000866,Nottingham North,58348,5006,8546,8540,2823,1035,385,219,570,7450,6440
E14000867,Nottingham South,72866,6165,8576,4809,2624,1126,483,297,1133,13110,5518
E14000868,Nuneaton,51880,5638,7442,5658,6899,3185,888,404,597,11073,5824
E14000869,Old Bexley and Sidcup,46083,2583,4437,5182,5598,992,349,178,268,16882,7134
E14000870,Oldham East and Saddleworth,64128,5317,7789,6826,4938,1296,475,350,431,9643,7415
E14000871,Oldham West and Royton,68454,6801,8281,6358,4010,903,615,449,433,8653,7068
E14000872,Orpington,49441,2804,3439,3869,4896,2694,322,167,232,18694,6265
E14000873,Oxford East,71539,11587,12521,3475,2788,747,805,471,1074,20576,5872
E14000874,Oxford West and Abingdon,55251,5137,4821,6731,4056,1341,591,428,748,23552,5383
E14000875,Pendle,56134,7013,5656,5008,4699,1723,860,549,344,7461,6310
E14000876,Penistone and Stocksbridge,47259,3377,3524,7436,6773,1791,685,295,421,11389,6065
E14000877,Penrith and The Border,42872,5176,2336,3590,5746,2539,1623,1016,913,11522,7091
E14000878,Peterborough,72586,9006,12103,7876,2274,3419,1030,1011,1253,12004,8586
E14000879,"Plymouth, Moor View",53226,5523,11402,7439,1670,267,315,519,871,7273,6834
E14000880,"Plymouth, Sutton and Devonport",60530,8912,12334,6455,1563,445,372,867,1277,12028,7873
E14000881,Poole,52489,7011,9639,5237,2425,469,411,527,680,13933,7196
E14000882,Poplar and Limehouse,81694,7102,9560,10407,3907,571,336,390,527,44449,8341
E14000883,Portsmouth North,50665,7461,10254,5718,2031,1830,528,366,722,11195,9362
E14000884,Portsmouth South,59550,8989,6732,5629,2463,1930,548,364,1139,13120,7406
E14000885,Preston,54819,7019,9490,4429,3058,1418,514,488,448,8420,5847
E14000886,Pudsey,48898,4365,4241,8741,5169,1041,219,307,348,19077,5450
E14000887,Putney,45395,3304,5477,7382,3321,345,178,126,279,29629,5353
E14000888,Rayleigh and Wickford,51933,3227,3903,6262,3672,1745,1127,1985,401,17432,8398
E14000889,Reading East,59508,8711,7401,4157,2790,2062,739,1030,795,26690,6679
E14000890,Reading West,55073,6171,9122,5044,3905,1962,759,857,734,20525,8244
E14000891,Redcar,51668,3707,5334,6277,5724,713,637,439,786,6108,6019
E14000892,Redditch,47389,5972,9303,3373,4847,3088,589,290,440,11145,6614
E14000893,Reigate,54238,4642,5073,4553,5014,2132,1126,403,285,23161,6840
E14000894,Ribble Valley,51369,5303,5601,7380,6554,2587,1412,855,451,14888,6659
E14000895,Richmond (Yorks),54259,7361,3922,3620,6379,3093,1665,1501,1380,14512,7326
E14000896,Richmond Park,61328,4276,4221,4955,4616,445,241,137,338,36076,4779
E14000897,Rochdale,68708,7140,7589,5877,5453,1799,537,323,437,9265,7259
E14000898,Rochester and Strood,60024,4873,6052,5238,6385,2774,1670,2431,710,15750,10742
E14000899,Rochford and Southend East,57803,6871,6648,4822,2400,1518,760,1714,834,14465,8035
E14000900,Romford,54938,4706,5454,4347,5706,3735,601,272,340,16848,9663
E14000901,Romsey and Southampton North,49625,3304,4561,4768,3991,1703,738,539,785,15717,6195
E14000902,Rossendale and Darwen,52103,4879,5802,6164,7958,2750,730,372,438,11329,6895
E14000903,Rother Valley,53212,3534,4225,7633,8788,1676,426,695,614,10712,7514
E14000904,Rotherham,53118,4387,7141,7013,3531,826,416,412,403,6819,6554
E14000905,Rugby,53487,6402,8596,6480,5774,2764,1229,809,836,16045,6021
E14000906,"Ruislip, Northwood and Pinner",52321,2580,4008,5239,4918,2504,443,231,330,21789,5941
E14000907,Runnymede and Weybridge,57299,4606,5276,5396,4884,1901,847,248,436,23034,7098
E14000908,Rushcliffe,52721,2923,4495,6185,4929,1996,746,372,723,21402,5197
E14000909,Rutland and Melton,56213,6773,3153,4618,6033,3941,1651,1015,942,16493,7224
E14000910,Saffron Walden,59434,3910,3477,4667,6319,3296,2025,2272,742,22881,8823
E14000911,Salford and Eccles,63750,8908,11731,7251,5065,1142,562,586,696,21965,7518
E14000912,Salisbury,50559,6209,5747,3968,4646,1939,1673,1794,1156,15858,6722
E14000913,Scarborough and Whitby,54927,9844,6082,3739,1923,2874,1031,866,1201,7997,6701
E14000914,Scunthorpe,50003,7777,10943,3565,2823,1933,1574,520,601,5559,5319
E14000915,Sedgefield,48028,3279,4111,4763,6869,2945,1071,352,596,8610,5039
E14000916,Sefton Central,46354,2961,2665,5177,6994,1373,476,455,388,12841,5185
E14000917,Selby and Ainsty,53100,4224,2824,4426,8224,4937,1940,1032,895,17317,6891
E14000918,Sevenoaks,51894,2902,2594,3538,5259,2945,1442,329,300,19511,6916
E14000919,Sheffield Central,67727,8454,9077,4621,2475,976,516,625,946,17253,5151
E14000920,Sheffield South East,52397,3742,5437,9967,3981,938,241,456,414,9418,7037
E14000921,"Sheffield, Brightside and Hillsborough",65770,6171,11424,6434,2393,638,312,324,467,8301,6844
E14000922,"Sheffield, Hallam",48558,2688,6246,5654,3128,726,472,368,430,16822,3646
E14000923,"Sheffield, Heeley",51318,3337,8364,8172,2480,770,264,432,389,11454,6060
E14000924,Sherwood,55113,4029,3750,7749,8801,2627,845,497,682,12351,7741
E14000925,Shipley,51570,3652,5716,7508,5388,1204,207,209,296,16072,5600
E14000926,Shrewsbury and Atcham,57056,7361,7703,4082,4748,3648,1168,1313,1213,13740,7654
E14000927,Sittingbourne and Sheppey,66917,6708,6441,4976,6845,2944,1195,1577,1215,13316,10548
E14000928,Skipton and Ripon,52406,6125,2233,4423,6036,2790,1616,1201,928,16078,7199
E14000929,Sleaford and North Hykeham,63492,4495,4369,7237,7123,4880,1656,1377,1519,16189,8438
E14000930,Slough,81717,8947,10278,7532,7028,2956,1379,595,616,19177,11855
E14000931,Solihull,54476,3572,6086,6682,4117,1695,403,232,597,18346,5436
E14000932,Somerton and Frome,58836,5155,2922,5064,8199,2814,1324,1011,807,16535,8726
E14000933,South Basildon and East Thurrock,54039,4237,5879,5586,5846,2233,2102,1087,416,12505,9277
E14000934,South Cambridgeshire,62378,4347,4121,6640,8703,2201,931,888,1067,26936,6293
E14000935,South Derbyshire,53302,4480,5078,8835,7825,2510,1634,1164,744,14903,6732
E14000936,South Dorset,52595,6381,4277,4169,4318,1536,1689,1186,993,9721,6887
E14000937,South East Cambridgeshire,57983,4247,4244,6463,7567,4143,1053,728,893,24209,7391
E14000938,South East Cornwall,51140,4663,2508,4201,4593,2078,923,1198,1939,10809,7308
E14000939,South Holland and The Deepings,57380,6516,6788,4455,8791,4128,1531,826,1155,10036,7875
E14000940,South Leicestershire,54400,3957,5787,8425,7238,2229,1022,921,651,17399,8328
E14000941,South Norfolk,58441,3655,3683,6885,7403,3481,1704,818,804,17049,8271
E14000942,South Northamptonshire,59520,4989,5753,6319,7881,4601,1914,1192,1300,24549,8521
E14000943,South Ribble,52046,4212,5760,7042,5728,1880,957,505,422,14075,6624
E14000944,South Shields,47469,4288,5409,4759,4383,592,106,238,515,7399,5239
E14000945,South Staffordshire,51874,2688,3921,7589,6360,2499,711,518,498,11899,6819
E14000946,South Suffolk,51767,4512,2838,3826,6110,3247,1203,715,928,13811,7615
E14000947,South Swindon,55893,6878,11403,6827,1968,1592,895,1299,1035,17317,7085
E14000948,South Thanet,57575,5526,7063,4118,2555,2275,504,538,1228,10831,7412
E14000949,South West Bedfordshire,56760,7356,4973,3969,6642,3718,1732,2085,573,17650,9524
E14000950,South West Devon,49150,4079,5281,9130,4068,1228,635,686,847,11891,6651
E14000951,South West Hertfordshire,56125,3945,3786,4693,4952,2635,1145,755,358,25000,7274
E14000952,South West Norfolk,59308,6191,2860,4176,8723,4316,2063,2068,1199,10926,8605
E14000953,South West Surrey,56312,4091,3362,3320,5321,1478,864,1455,477,25220,6395
E14000954,South West Wiltshire,53735,6572,4177,5041,6245,2147,2030,1128,899,14985,7770
E14000955,"Southampton, Itchen",56445,6131,9630,8137,2890,1043,554,531,763,13922,10012
E14000956,"Southampton, Test",57372,10789,9622,5240,2704,1003,791,531,807,12950,8723
E14000957,Southend West,48438,5833,6070,2924,1973,1181,602,1916,389,15816,6481
E14000958,Southport,52107,6204,6029,2730,3981,3664,850,390,375,10467,6184
E14000959,Spelthorne,51417,3674,6305,7864,4518,1942,408,221,310,18497,7799
E14000960,St Albans,51247,4447,4178,4069,3660,2413,1112,315,291,26644,5446
E14000961,St Austell and Newquay,58672,6258,4502,4847,6180,3626,1201,1292,892,11084,9171
E14000962,St Helens North,55159,4182,6695,7269,5913,2224,844,207,417,10503,6756
E14000963,St Helens South and Whiston,57623,6007,7641,6955,7223,1013,780,219,441,10668,6866
E14000964,St Ives,48181,5516,3271,2736,4068,1897,932,861,1717,9278,6851
E14000965,Stafford,51522,6106,6457,3725,4668,4121,1299,735,766,13691,6157
E14000966,Staffordshire Moorlands,40408,3690,2365,5405,6460,1781,657,719,465,9142,5516
E14000967,Stalybridge and Hyde,52109,4430,7187,6609,6255,992,350,352,388,11860,6823
E14000968,Stevenage,49325,5720,7762,3109,4913,2204,1573,1401,340,15295,8329
E14000969,Stockport,46587,4906,7187,6577,3572,525,221,295,317,14687,5418
E14000970,Stockton North,54046,5048,7204,7272,3954,836,557,514,698,7251,5659
E14000971,Stockton South,56106,4366,6865,8731,5989,1249,540,694,865,11558,6595
E14000972,Stoke-on-Trent Central,49863,6847,9484,5784,2030,1282,283,514,571,5878,5635
E14000973,Stoke-on-Trent North,56003,4742,8569,9868,4162,1398,388,503,612,6620,6649
E14000974,Stoke-on-Trent South,50677,4902,8142,8123,3685,1279,434,601,525,6470,5905
E14000975,Stone,45374,2929,2000,5475,8595,1914,1088,710,596,12260,5562
E14000976,Stourbridge,49034,4697,7348,5430,5595,1160,311,264,403,9821,6296
E14000977,Stratford-on-Avon,50247,4709,2258,3508,6006,3049,1515,764,645,18584,5941
E14000978,Streatham,49424,2979,6094,11680,4052,535,240,156,346,34916,8091
E14000979,Stretford and Urmston,53859,4619,7443,7640,4006,641,302,304,405,16706,5844
E14000980,Stroud,54047,5198,5013,6319,6140,2393,1259,605,607,18441,7873
E14000981,Suffolk Coastal,58309,5914,3500,3548,6104,1874,1287,1334,1228,12919,6991
E14000982,Sunderland Central,56607,6077,7080,5234,5059,881,438,229,538,9729,5541
E14000983,Surrey Heath,54814,4308,4977,5848,5921,2675,1025,1016,524,22401,7397
E14000984,Sutton and Cheam,52223,4823,5892,6396,5366,981,259,164,279,20282,8291
E14000985,Sutton Coldfield,51498,2912,4557,6116,7095,1190,433,380,508,17054,4942
E14000986,Tamworth,50815,5089,7551,4278,6837,3597,977,433,591,11304,6473
E14000987,Tatton,47026,3087,2823,3817,5129,2513,1001,446,458,18365,4588
E14000988,Taunton Deane,63537,9800,7842,5092,5927,2604,1493,991,1182,15442,8596
E14000989,Telford,55095,5423,10265,6668,2466,2692,945,784,700,10529,6346
E14000990,Tewkesbury,56865,5431,6473,7496,5938,1668,674,867,835,18120,7205
E14000991,The Cotswolds,53891,5171,2263,3392,5456,3550,1560,899,963,19729,7166
E14000992,The Wrekin,53773,5154,5700,6601,5544,2523,1265,904,973,13510,6070
E14000993,Thirsk and Malton,54129,5681,2513,3583,6870,3254,2083,1378,1059,13940,7216
E14000994,Thornbury and Yate,46810,4721,2818,4675,7906,1388,453,427,498,16673,6448
E14000995,Thurrock,67121,6453,9068,5506,7415,5174,2261,568,550,15493,11821
E14000996,Tiverton and Honiton,56929,6702,2658,4190,5923,4320,1373,805,876,13807,8133
E14000997,Tonbridge and Malling,55835,3889,3146,4901,5652,2348,1444,1555,391,20794,7448
E14000998,Tooting,44943,4306,4679,7741,3982,413,159,141,282,35140,5499
E14000999,Torbay,58582,9117,6837,5767,2257,1309,642,410,591,9174,8248
E14001000,Torridge and West Devon,57707,5067,2945,3803,7188,2321,895,1088,1002,12481,8066
E14001001,Totnes,50620,4605,2837,4910,3543,1403,1171,319,570,10896,7195
E14001002,Tottenham,72126,5539,6639,12288,6988,1008,296,249,576,21166,12761
E14001003,Truro and Falmouth,54562,6630,4618,3490,5887,1818,996,534,1308,12777,6879
E14001004,Tunbridge Wells,53659,5642,5080,3772,3654,1658,1133,1630,413,21955,6832
E14001005,Twickenham,58912,4079,5259,4735,4795,908,246,158,275,32745,5659
E14001006,Tynemouth,54268,5056,6393,5696,6940,529,207,317,552,16062,5307
E14001007,Uxbridge and South Ruislip,58713,4766,5505,6983,6101,2656,416,244,413,18194,8284
E14001008,Vauxhall,50019,4663,10611,8857,2533,447,200,202,443,36824,7306
E14001009,Wakefield,54502,5479,6692,6325,7461,1162,525,292,447,11085,6880
E14001010,Wallasey,49918,4477,6266,6426,3522,1486,234,349,416,9603,5745
E14001011,Walsall North,59627,5193,8674,6994,4750,1252,376,367,440,5900,6846
E14001012,Walsall South,63794,5782,6756,6989,5490,1092,491,442,604,8016,6595
E14001013,Walthamstow,59553,4345,5285,8260,7142,867,351,204,429,25578,10403
E14001014,Wansbeck,47578,4053,3539,4878,5211,3053,516,291,698,8294,5178
E14001015,Wantage,62156,6143,4523,5724,8798,4577,1165,761,1039,27873,8588
E14001016,Warley,61853,4173,8446,8045,3528,770,511,496,667,8344,6495
E14001017,Warrington North,50691,4987,8681,5601,4264,2293,706,189,397,12923,6230
E14001018,Warrington South,57092,5077,8530,6682,4877,3669,1053,317,555,19724,6437
E14001019,Warwick and Leamington,52670,7115,6500,2956,4671,1944,733,487,655,23395,4881
E14001020,Washington and Sunderland West,49807,4805,7301,6501,3950,406,302,209,396,8306,5056
E14001021,Watford,62703,8531,6976,5601,5775,4112,740,422,400,23009,10281
E14001022,Waveney,60351,6667,5924,3382,4990,1744,1749,1506,1130,8375,7635
E14001023,Wealden,57636,4453,2324,3917,6912,3306,1265,964,600,18610,8885
E14001024,Weaver Vale,48646,4185,4916,4107,5609,3350,1272,320,492,14725,5249
E14001025,Wellingborough,58707,7169,6605,6154,8699,4149,1143,736,1054,13084,8317
E14001026,Wells,58035,7039,3550,4217,6436,3400,1552,552,666,14033,8053
E14001027,Welwyn Hatfield,58733,6847,5533,4818,5907,2703,1402,439,410,19767,7634
E14001028,Wentworth and Dearne,55630,4267,5963,7484,7724,1215,644,406,606,9074,7601
E14001029,West Bromwich East,56874,4189,7411,8622,3842,676,502,447,601,7308,5954
E14001030,West Bromwich West,58986,5407,8839,7962,4132,1018,354,369,560,7202,6549
E14001031,West Dorset,57344,6731,2958,3407,3944,2762,1526,1378,1175,12750,7026
E14001032,West Ham,93408,6673,10245,13639,11073,1423,638,421,900,29003,16661
E14001033,West Lancashire,55046,5571,5027,5549,7141,2797,740,492,497,11198,6379
E14001034,West Suffolk,60755,8490,4318,5095,8583,6880,1846,1429,1150,13769,9944
E14001035,West Worcestershire,53938,4232,3288,4145,5802,2465,1061,846,669,15288,6489
E14001036,Westminster North,57748,4764,8002,4546,1565,278,117,117,326,28949,5371
E14001037,Westmorland and Lonsdale,43820,6733,3516,2880,5221,2034,1187,602,845,11034,6548
E14001038,Weston-Super-Mare,60093,7402,7399,3726,5458,4826,1802,494,679,13581,8105
E14001039,Wigan,56184,7108,7624,5847,5851,2743,852,202,499,10267,7715
E14001040,Wimbledon,46882,3330,3877,4947,5210,503,216,106,255,30759,5131
E14001041,Winchester,54782,5650,3548,3484,3680,2125,1180,698,1028,20886,5210
E14001042,Windsor,54035,4006,4444,5228,5486,1975,1032,510,425,25535,6689
E14001043,Wirral South,39679,2565,3948,6436,4506,645,353,339,344,9991,3757
E14001044,Wirral West,38902,2564,3136,5117,3905,1203,257,293,427,9357,3756
E14001045,Witham,49661,3844,2789,4736,5992,2583,1280,1475,1077,15118,7876
E14001046,Witney,55311,7316,2897,6157,7387,3571,1028,551,966,20629,8424
E14001047,Woking,54726,5002,5025,5834,4097,1541,1445,542,402,25486,7521
E14001048,Wokingham,58367,3621,5174,6353,4596,2083,833,958,532,31015,6503
E14001049,Wolverhampton North East,53503,5602,8732,5393,3904,2335,389,348,597,6020,5816
E14001050,Wolverhampton South East,56854,5103,8487,7400,3735,1689,362,337,576,6246,6150
E14001051,Wolverhampton South West,49579,3446,6306,5332,3835,2543,477,507,545,9734,5255
E14001052,Worcester,52243,9031,9421,3182,4021,2412,1865,643,634,13607,6810
E14001053,Workington,42791,4583,3167,3276,4566,4142,1315,1208,538,8283,4967
E14001054,Worsley and Eccles South,58225,4965,6064,8450,6573,1297,466,317,474,14033,6889
E14001055,Worthing West,56515,6332,7241,3287,3856,2041,592,544,638,13981,7020
E14001056,Wycombe,58069,6268,6144,4486,4533,3198,1684,1471,390,20295,8483
E14001057,Wyre and Preston North,51744,4792,6696,4996,4909,2151,608,608,534,13897,6061
E14001058,Wyre Forest,55818,6084,6223,4170,5399,3833,937,530,496,10559,7560
E14001059,Wythenshawe and Sale East,61497,5933,8813,8046,3730,840,258,345,460,15299,6360
E14001060,Yeovil,59825,10626,6401,4882,5853,3259,1286,847,969,12191,7689
E14001061,York Central,52878,10455,9888,2319,1593,1064,1082,803,800,17821,5989
E14001062,York Outer,53745,3979,7500,5289,2113,1181,1032,983,692,16338,5279
W07000041,Ynys Môn,39676,3427,2483,3145,3941,2312,1024,506,1138,6573,4653
W07000042,Delyn,38184,3095,2357,4467,6634,2610,707,430,619,7214,4276
W07000043,Alyn and Deeside,42958,3424,6418,7503,6327,1681,932,574,691,9053,4805
W07000044,Wrexham,39502,5170,7235,4125,3384,1390,594,448,459,5774,3748
W07000045,Llanelli,47231,5092,4035,3230,6894,2560,384,605,918,6564,4853
W07000046,Gower,43504,2382,3275,7531,4535,876,494,393,692,9951,4425
W07000047,Swansea West,47950,4275,5444,4841,1902,375,436,424,621,8413,3735
W07000048,Swansea East,46424,4918,8946,5348,2420,544,501,477,515,7131,4794
W07000049,Aberavon,41118,3355,4476,4118,4201,1131,384,607,434,5803,3743
W07000050,Cardiff Central,55206,5615,7006,2627,2044,808,487,421,736,13382,3875
W07000051,Cardiff North,48077,4256,6049,5731,2543,1127,428,460,558,16799,4316
W07000052,Rhondda,40019,2993,2925,3871,5351,2431,736,129,440,4496,4780
W07000053,Torfaen,46206,4404,4950,5430,5117,1913,666,428,500,7919,5105
W07000054,Monmouth,46423,4563,2085,2730,4412,3170,1606,839,812,13174,5227
W07000055,Newport East,45034,4571,5709,4680,4087,3239,786,484,564,9909,4851
W07000056,Newport West,50888,4415,6445,5203,4568,1925,959,355,598,13143,4732
W07000057,Arfon,33429,3760,2265,3614,3372,1466,773,603,937,5877,3771
W07000058,Aberconwy,31527,3563,3063,2196,2099,2010,477,492,709,5945,3787
W07000059,Clwyd West,42656,3116,2963,4141,4487,1782,908,919,672,7681,4879
W07000060,Vale of Clwyd,42737,4673,3298,4953,3055,2023,1201,680,669,5504,4210
W07000061,Dwyfor Meirionnydd,32146,3434,1542,2035,2647,1681,1004,1000,1005,6382,4649
W07000062,Clwyd South,37879,2659,3990,6235,4975,1955,913,671,562,6354,4576
W07000063,Montgomeryshire,33477,4104,1775,2123,3407,2028,991,947,1507,8492,4896
W07000064,Ceredigion,41356,4011,1842,2670,2565,1549,992,992,1165,9524,4809
W07000065,Preseli Pembrokeshire,43874,4454,2815,4030,4652,1879,714,592,950,7876,5796
W07000066,Carmarthen West and South Pembrokeshire,44026,4765,2975,2840,4572,2104,1110,750,838,8223,5417
W07000067,Carmarthen East and Dinefwr,41410,2468,2121,2698,5527,2703,981,841,916,8759,5214
W07000068,Brecon and Radnorshire,37966,3944,1364,1889,2909,1982,1084,1341,1487,10206,5251
W07000069,Neath,41982,2833,2136,5338,5853,2058,569,602,497,6660,4387
W07000070,Cynon Valley,41154,2844,2765,4409,4291,2774,1174,246,451,5608,4908
W07000071,Merthyr Tydfil and Rhymney,42575,4353,4539,3835,3998,2498,1145,316,441,5585,5183
W07000072,Blaenau Gwent,38105,3488,4271,3603,5359,2106,852,618,437,4036,4030
W07000073,Bridgend,47655,5442,4918,3804,3690,3020,1377,456,614,9723,5058
W07000074,Ogmore,42799,2536,3560,5439,6796,2418,1034,241,429,6872,4952
W07000075,Pontypridd,44138,2797,3982,4952,7223,1697,308,381,475,10238,5316
W07000076,Caerphilly,47940,3864,4275,5153,6606,1697,251,345,405,10079,5336
W07000077,Islwyn,41202,3566,4108,4570,6291,1413,456,357,392,7475,4535
W07000078,Vale of Glamorgan,56215,4832,3896,6356,6458,2096,588,494,620,14923,6123
W07000079,Cardiff West,52236,4235,7209,6027,2378,1188,333,442,483,15359,5158
W07000080,Cardiff South and Penarth,62159,7219,7873,7131,2675,1182,693,448,587,17787,6287
