Pcon,Constituency name,MP name,Party name,Emissions from homes (%),EPC band DEFG (%),Fuel poor hhlds (UK Gov data) (%),Air pollution: LSOAs above WHO (%),Air pollution: LSOAs twice WHO (%),Air pollution: LSOAs above WHO (number),Air pollution: LSOAs twice WHO (number),Respiratory disease (%),Bustrips: 2010 to 2023 change (%),Car ownership: households without cars/vans (%),EV chargers: current number,EV chargers: target,Commuters: bicycle (%),Commuters: potential bikes/ebikes (%),Greenspace: m2 per person,Flooding: Properties at risk from rivers or seas,Flooding: Properties at risk from surface water,High heat and enhanced risk: MSOAs (number),High heat and enhanced risk: MSOA (%),High heat and enhanced risk: population,High heat 2022 max temp (°C),Tree canopy (%),Sewage overflows: number of outflows,Sewage overflows: total spills,Sewage overflows: total spill duration hours,Opinion poll: Climate change should a high priority,Opinion poll: Government should go faster on climate change,Opinion poll: Support onshore wind in local area,Opinion poll: Nature is most important issue,Green economy: jobs FTE
E14001107,Blyth and Ashington,Ian Lavery,Lab,23.0,48.3,10.9,98.5,0.0,64,0,11.5,-59.9,26.6,112,450,1.1,20.2,86,1229,9609,0,0.0,0,35,11.0,27,750,3258,51.0,52.4,69.9,70.0,852
E14001108,Bognor Regis and Littlehampton,Alison Griffiths,Con,38.4,54.9,9.6,100.0,0.0,63,0,10.2,-63.3,19.4,144,474,2.6,28.2,11,6195,5280,4,33.3,33575,32,7.1,12,117,415,51.0,50.0,69.2,72.4,642
E14001109,Bolsover,Natalie Fleet,Lab,11.9,51.4,13.7,100.0,0.0,62,0,10.1,-60.6,18.1,89,449,0.5,18.3,93,543,4612,1,8.3,6167,39,13.1,49,1414,10529,48.0,51.9,69.0,72.0,1030
E14001110,Bolton North East,Kirith Entwistle,Lab,30.4,54.2,12.8,100.0,0.0,69,0,9.5,-32.0,26.7,42,504,0.6,25.0,49,1318,6880,2,15.4,18969,37,15.3,43,1386,5455,51.0,49.9,66.1,70.7,1182
E14001111,Bolton South and Walkden,Yasmin Qureshi,Lab,27.4,47.1,13.7,100.0,0.0,70,0,8.9,-14.8,30.0,40,553,0.8,26.8,16,717,7440,4,28.6,33534,37,13.3,44,1641,6246,50.0,55.4,62.3,69.0,1321
E14001112,Bolton West,Phil Brickell,Lab,30.2,54.5,10.1,100.0,0.0,61,0,9.1,-27.5,17.8,23,436,0.7,25.0,110,1313,5688,0,0.0,0,37,11.8,28,916,3723,52.0,53.1,65.7,72.3,1045
E14001113,Bootle,Peter Dowd,Lab,27.8,54.2,13.5,100.0,0.0,70,0,10.6,-41.1,37.3,17,447,1.5,30.5,24,33,25000,9,60.0,65938,37,6.6,2,4,4,55.0,62.9,70.7,72.0,612
E14001114,Boston and Skegness,Richard Tice,RUK,19.3,60.2,13.2,100.0,0.0,67,0,9.5,-26.9,20.5,126,514,3.3,31.1,31,85314,12680,4,26.7,39053,40,2.7,20,380,3604,45.0,40.8,64.9,68.3,1016
E14001115,Bournemouth East,Tom Hayes,Lab,35.8,54.4,10.3,100.0,0.0,62,0,8.6,-53.7,22.0,46,470,3.4,32.3,29,631,2427,7,53.9,65558,32,15.4,3,31,58,56.0,56.6,66.4,73.0,1111
E14001116,Bournemouth West,Jessica Toale,Lab,35.8,54.4,10.9,100.0,0.0,63,0,8.7,-58.1,23.1,84,481,2.7,32.3,29,537,2864,2,16.7,17615,32,20.6,1,37,407,54.0,53.9,68.8,72.0,1129
E14001117,Bracknell,Peter Swallow,Lab,35.7,43.0,6.6,100.0,0.0,67,0,7.5,-43.2,12.7,110,453,1.8,23.1,55,1512,6015,0,0.0,0,38,38.2,0,0,0,54.0,54.3,67.4,75.1,1076
E14001118,Bradford East,Imran Hussain,Lab,32.9,64.0,18.7,100.0,0.0,68,0,9.3,-38.8,32.0,64,540,0.4,21.8,13,480,5069,11,78.6,95278,38,7.3,37,1043,3387,53.0,58.3,69.4,68.0,920
E14001119,Bradford South,Judith Cummins,Lab,33.1,63.0,15.9,100.0,0.0,63,0,9.8,-34.8,28.6,56,485,0.5,21.8,19,119,4498,10,83.3,90471,38,6.9,19,368,986,50.0,52.8,67.7,68.0,864
E14001120,Bradford West,Naz Shah,Lab,33.1,65.1,19.1,100.0,0.0,62,0,8.8,-34.0,34.4,51,531,0.3,21.8,11,1607,9311,11,84.6,101974,38,5.1,36,622,1540,56.0,61.1,68.2,66.0,906
E14001121,Braintree,James Cleverly,Con,22.6,52.8,10.2,100.0,0.0,58,0,9.0,-13.5,12.6,80,463,1.0,18.6,34,1964,4384,2,16.7,16886,38,10.7,25,661,3919,50.0,47.3,67.6,72.2,856
E14001122,Brent East,Dawn Butler,Lab,33.7,51.6,11.5,100.0,56.6,76,43,5.4,15.1,46.4,463,590,1.6,27.3,19,2499,16694,13,92.9,125564,40,11.0,7,113,276,58.0,66.0,67.2,69.7,1020
E14001123,Brent West,Barry Gardiner,Lab,33.6,41.9,10.8,100.0,14.7,68,10,4.4,47.0,37.3,313,599,0.7,27.3,15,3802,17085,11,78.6,106934,40,11.9,5,11,18,57.0,62.7,62.8,69.0,925
E14001124,Brentford and Isleworth,Ruth Cadbury,Lab,27.6,44.3,9.0,100.0,4.5,67,3,5.7,22.7,33.4,337,567,2.2,30.5,27,2537,11858,8,61.5,83916,40,14.0,0,0,0,58.0,63.2,69.4,72.2,1433
E14001125,Brentwood and Ongar,Alex Burghart,Con,22.3,56.7,8.1,100.0,0.0,59,0,7.2,-26.3,12.8,46,433,0.6,16.3,108,1099,8711,0,0.0,0,39,15.0,17,807,9572,53.0,50.0,67.5,73.0,1004
E14001126,Bridgwater,Ashley Fox,Con,16.7,48.7,9.9,93.3,0.0,56,0,9.7,-81.1,16.4,72,439,3.6,24.0,220,36836,9007,4,36.4,34059,34,10.3,28,636,4514,52.0,50.3,66.1,73.7,1011
E14001127,Bridlington and The Wolds,Charlie Dewhirst,Con,15.1,60.9,14.9,100.0,0.0,58,0,11.9,-50.6,19.4,69,410,1.7,25.3,190,3295,8234,0,0.0,0,39,5.7,43,1800,22864,50.0,46.3,68.7,71.2,855
E14001128,Brigg and Immingham,Martin Vickers,Con,6.1,54.2,12.4,100.0,0.0,56,0,9.6,-43.6,14.2,80,403,1.9,33.2,50,11341,7482,0,0.0,0,40,6.7,24,402,2829,48.0,47.1,65.6,70.0,968
E14001129,Brighton Kemptown and Peacehaven,Chris Ward,Lab,35.9,50.8,12.0,100.0,0.0,57,0,8.9,-24.1,34.3,111,422,2.0,23.8,44,959,6190,5,45.5,41991,34,7.6,0,0,0,57.0,61.8,68.8,73.0,1045
E14001130,Brighton Pavilion,Siân Berry,Green,37.5,58.1,12.8,100.0,0.0,59,0,6.6,-27.9,40.3,254,455,3.6,25.4,79,0,9909,3,25.0,27758,35,20.6,1,0,0,71.0,68.4,67.1,76.0,1183
E14001131,Bristol Central,Carla Denyer,Green,29.7,53.5,11.0,100.0,0.0,54,0,5.6,-42.8,34.6,50,429,6.6,30.1,8,10174,15048,5,45.5,40588,35,12.5,24,247,620,70.0,71.6,69.4,77.0,1489
E14001132,Bristol East,Kerry McCarthy,Lab,29.9,55.9,10.6,100.0,0.0,60,0,8.5,-41.8,26.6,41,487,4.7,30.1,27,3826,14661,8,57.1,69502,36,13.6,48,628,1321,60.0,66.6,71.5,75.0,1682
E14001133,Bristol North East,Damien Egan,Lab,23.5,52.2,10.1,100.0,0.0,55,0,8.4,-49.1,20.9,48,432,3.8,27.8,46,388,5927,3,25.0,22498,36,14.4,42,894,2009,55.0,59.5,69.9,74.1,1387
E14001134,Bristol North West,Darren Jones,Lab,29.7,56.5,9.2,100.0,0.0,62,0,8.4,-41.2,19.9,47,482,4.9,30.1,44,2770,13200,4,33.3,43523,35,16.4,34,1011,3769,59.0,61.5,69.1,75.2,1709
E14001135,Bristol South,Karin Smyth,Lab,29.9,51.1,10.1,100.0,0.0,63,0,9.3,-32.9,26.0,19,459,4.3,30.1,20,3060,17561,6,46.2,47377,35,10.7,13,167,521,56.0,60.6,66.8,74.0,1709
E14001136,Broadland and Fakenham,Jerome Mayhew,Con,22.7,59.8,10.8,100.0,0.0,59,0,10.2,-6.6,9.8,111,416,1.8,24.8,100,1305,2918,0,0.0,0,39,14.7,10,263,3727,54.0,50.4,68.0,75.0,917
E14001137,Bromley and Biggin Hill,Peter Fortune,Con,45.8,59.8,7.9,100.0,0.0,57,0,6.6,66.2,20.0,55,428,1.0,20.3,37,1725,7066,1,8.3,11751,39,25.1,0,0,0,56.0,56.6,69.3,73.4,643
E14001138,Bromsgrove,Bradley Thomas,Con,19.2,58.0,11.9,100.0,0.0,60,0,8.5,-51.1,11.4,129,440,0.7,18.0,64,1322,5077,0,0.0,0,37,18.9,11,233,763,54.0,52.5,70.3,75.0,787
E14001139,Broxbourne,Lewis Cocking,Con,34.9,49.3,7.5,100.0,0.0,64,0,8.0,-55.0,16.0,91,476,0.9,22.4,50,6512,9922,1,7.1,8577,40,25.8,2,121,1484,51.0,50.8,67.8,72.2,906
E14001140,Broxtowe,Juliet Campbell,Lab,22.4,63.6,11.2,100.0,0.0,60,0,8.6,-73.4,20.8,62,422,3.1,26.7,25,8188,7846,2,16.7,15302,40,13.4,29,727,4422,52.0,56.8,68.8,73.4,1053
E14001141,Buckingham and Bletchley,Callum Anderson,Lab,25.3,41.7,8.8,100.0,0.0,61,0,8.4,-41.3,14.0,132,476,1.2,23.8,50,497,6065,3,25.0,28041,40,8.8,25,1480,21077,54.0,53.4,68.1,74.3,1273
E14001142,Burnley,Oliver Ryan,Lab,27.6,67.8,16.1,100.0,0.0,69,0,10.4,-53.0,28.3,64,486,0.6,24.0,298,3184,7445,0,0.0,0,37,6.4,23,836,3727,50.0,51.4,66.0,68.1,847
E14001143,Burton and Uttoxeter,Jacob Collier,Lab,19.1,52.2,15.8,100.0,0.0,64,0,8.4,-62.7,19.6,116,501,2.2,27.6,26,13283,11501,5,38.5,46037,39,11.6,44,692,3515,51.0,50.1,67.6,70.0,1244
E14001144,Bury North,James Frith,Lab,27.4,60.0,10.9,100.0,0.0,63,0,9.3,-33.3,21.9,30,451,0.8,25.6,48,1962,7125,3,21.4,26413,37,10.4,26,807,1669,53.0,55.5,69.2,73.1,735
E14001145,Bury South,Christian Wakeford,Lab,26.8,59.4,11.7,100.0,0.0,64,0,8.3,-23.6,23.7,21,475,1.0,26.2,41,3165,5790,3,21.4,23830,38,15.6,36,1139,4669,52.0,53.7,68.5,73.0,822
E14001146,Bury St Edmunds and Stowmarket,Peter Prinsley,Lab,17.1,45.0,9.2,100.0,0.0,64,0,10.5,-14.0,14.9,202,456,2.7,22.9,56,1359,12937,1,7.7,6159,39,13.0,16,342,3525,54.0,50.2,67.2,73.7,1365
E14001147,Calder Valley,Josh Fenton-Glynn,Lab,27.9,64.6,14.5,100.0,0.0,63,0,9.8,-27.5,20.3,80,434,0.7,17.9,1182,7443,6556,1,8.3,10302,39,5.0,87,3192,17957,54.0,54.3,70.4,72.0,1032
E14001148,Camborne and Redruth,Perran Moon,Lab,20.2,59.5,12.3,43.1,0.0,25,0,10.4,-51.1,15.0,114,439,1.0,17.2,153,2196,5665,0,0.0,0,31,12.7,24,768,5360,54.0,53.1,70.4,73.2,1008
E14001149,Cambridge,Daniel Zeichner,Lab,25.1,41.2,9.4,100.0,0.0,66,0,5.7,-24.2,35.9,277,556,18.5,47.5,23,2534,16193,2,16.7,20031,40,15.4,1,0,0,65.0,69.3,70.1,74.0,1704
E14001150,Cannock Chase,Josh Newbury,Lab,36.2,55.5,14.7,100.0,0.0,61,0,9.5,-63.5,16.9,78,444,0.9,21.9,224,1190,6051,4,30.8,31143,38,25.6,25,340,756,50.0,49.5,64.4,71.0,1046
E14001151,Canterbury,Rosie Duffield,Lab,31.6,52.1,13.0,100.0,0.0,63,0,7.4,-10.3,22.7,109,474,1.8,23.8,110,9159,10928,2,16.7,16144,39,24.5,6,55,288,58.0,55.7,67.5,73.0,800
E14001152,Carlisle,Julie Minns,Lab,16.5,57.5,12.1,63.6,0.0,42,0,9.6,-30.8,22.8,143,450,1.8,25.0,1939,8023,7159,0,0.0,0,35,13.5,52,1493,4199,51.0,50.6,67.2,71.7,1126
E14001153,Carshalton and Wallington,Bobby Dean,LD,37.9,55.0,8.2,100.0,0.0,62,0,7.5,37.2,22.0,135,461,1.5,25.9,24,3232,8212,3,23.1,27077,39,14.8,1,10,48,55.0,56.9,67.7,73.0,817
E14001154,Castle Point,Rebecca Harris,Con,36.2,72.0,8.5,100.0,0.0,58,0,9.3,-52.8,14.8,19,403,1.0,20.9,111,21752,20657,0,0.0,0,38,12.6,21,392,3319,48.0,45.1,66.2,71.0,432
E14001155,Central Devon,Mel Stride,Con,15.4,59.8,12.2,7.4,0.0,4,0,9.8,-16.4,11.0,92,415,1.0,16.3,1395,3976,4016,0,0.0,0,32,20.2,146,6622,70212,55.0,54.1,71.2,76.0,871
E14001156,Central Suffolk and North Ipswich,Patrick Spencer,Con,22.6,53.0,10.3,100.0,0.0,51,0,8.6,-21.8,11.5,81,421,2.7,25.8,46,1379,7917,0,0.0,0,37,10.6,13,345,3782,54.0,51.6,66.8,74.0,898
E14001157,Chatham and Aylesford,Tristan Osborne,Lab,28.4,53.5,10.1,100.0,0.0,66,0,8.1,-50.1,17.7,41,470,0.6,18.4,35,1270,4797,3,23.1,20453,39,21.5,2,24,190,50.0,49.8,68.7,72.0,1318
E14001158,Cheadle,Tom Morrison,LD,34.6,64.0,8.4,100.0,0.0,63,0,8.5,-40.6,13.0,38,425,1.3,28.8,28,1789,8446,0,0.0,0,38,16.4,23,563,3619,58.0,57.4,68.5,77.0,2443
E14001159,Chelmsford,Marie Goldman,LD,23.2,47.5,7.2,100.0,0.0,68,0,7.7,-22.2,17.8,63,476,2.7,23.0,16,3612,5627,3,27.3,21594,39,11.6,7,124,381,55.0,56.6,68.4,74.0,1104
E14001160,Chelsea and Fulham,Ben Coleman,Lab,30.6,50.5,8.1,100.0,96.3,80,77,4.9,-8.1,54.7,1411,531,4.6,35.9,6,9507,40348,15,88.2,108080,40,14.0,6,105,961,61.0,64.2,68.3,75.7,2102
E14001161,Cheltenham,Max Wilkinson,LD,37.0,55.0,9.3,100.0,0.0,65,0,8.7,-15.4,20.8,203,443,4.6,33.9,19,2786,14338,3,25.0,24089,37,15.9,3,11,22,59.0,58.7,67.4,77.0,1123
E14001162,Chesham and Amersham,Sarah Green,LD,25.7,57.2,8.1,100.0,0.0,58,0,7.3,-47.2,10.7,64,438,0.6,19.7,36,1319,5223,0,0.0,0,39,24.6,2,351,7524,57.0,54.8,69.1,77.5,1017
E14001163,Chester North and Neston,Samantha Dixon,Lab,12.6,51.8,10.7,100.0,0.0,60,0,9.0,-3.9,22.6,113,419,2.2,24.5,21,2888,7137,1,8.3,8567,37,9.9,25,975,6248,56.0,58.5,70.0,73.8,1053
E14001164,Chester South and Eddisbury,Aphra Brandreth,Con,13.9,55.2,10.7,100.0,0.0,52,0,8.6,-43.8,9.6,60,418,1.4,24.4,103,975,5115,0,0.0,0,38,10.7,52,1978,13214,54.0,53.6,70.3,74.5,963
E14001165,Chesterfield,Toby Perkins,Lab,22.5,56.6,12.6,100.0,0.0,62,0,10.7,-54.1,24.2,104,413,0.7,25.0,32,2227,5461,3,25.0,23887,39,14.0,44,1162,5185,51.0,52.4,68.4,74.0,1072
E14001166,Chichester,Jess Brown-Fuller,LD,31.0,48.0,9.9,100.0,0.0,62,0,9.4,-33.8,16.1,89,466,3.5,25.6,127,11482,5062,0,0.0,0,34,14.8,19,746,13315,55.0,52.9,69.5,75.4,842
E14001167,Chingford and Woodford Green,Iain Duncan Smith,Con,42.3,61.0,8.9,100.0,0.0,62,0,6.8,10.8,24.1,249,482,1.1,24.5,47,3168,10807,2,16.7,18934,40,27.0,20,297,913,56.0,60.4,66.7,72.7,640
E14001168,Chippenham,Sarah Gibson,LD,20.4,47.5,8.1,100.0,0.0,57,0,9.5,-54.8,13.7,111,434,2.2,21.5,65,788,4676,0,0.0,0,36,11.4,32,1162,11983,55.0,53.2,68.6,76.0,942
