PCON24CD,PCON24NM,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 2,Scenario 3,Scenario 3,Scenario 3,Scenario 4,Scenario 4,Scenario 4,Scenario 5,Scenario 5,Scenario 5,Scenario 6,Scenario 6,Scenario 6,Scenario 7,Scenario 7,Scenario 7
E14001109,Bolsover,47821,43895,91.8,47821,46983,98.2,47821,10200,21.3,47821,3887,8.1,47821,4921,10.3,47821,953,2.0,47821,10557,22.1
E14001110,Bolton North East,51012,50901,99.8,51012,50925,99.8,51012,8069,15.8,51012,8734,17.1,51012,34058,66.8,51012,4542,8.9,51012,11877,23.3
E14001111,Bolton South and Walkden,51033,49124,96.3,51033,49348,96.7,51033,7939,15.6,51033,7477,14.7,51033,16309,32.0,51033,1888,3.7,51033,9672,19.0
E14001112,Bolton West,43931,42330,96.4,43931,43841,99.8,43931,6076,13.8,43931,4928,11.2,43931,11398,25.9,43931,829,1.9,43931,6882,15.7
E14001113,Bootle,49263,43538,88.4,49263,43547,88.4,49263,9526,19.3,49263,9927,20.2,49263,17534,35.6,49263,2236,4.5,49263,11720,23.8
E14001114,Boston and Skegness,68055,35327,51.9,68055,52836,77.6,68055,4370,6.4,68055,1551,2.3,68055,5605,8.2,68055,424,0.6,68055,4671,6.9
E14001115,Bournemouth East,52673,46966,89.2,52673,46996,89.2,52673,7239,13.7,52673,7085,13.5,52673,25704,48.8,52673,2840,5.4,52673,9351,17.8
E14001116,Bournemouth West,49751,47696,95.9,49751,47974,96.4,49751,8588,17.3,49751,11367,22.8,49751,22552,45.3,49751,3886,7.8,49751,11661,23.4
E14001117,Bracknell,43776,42078,96.1,43776,42078,96.1,43776,7979,18.2,43776,8849,20.2,43776,24958,57.0,43776,3408,7.8,43776,10847,24.8
E14001118,Bradford East,43310,41674,96.2,43310,41817,96.6,43310,6722,15.5,43310,3096,7.1,43310,14501,33.5,43310,1242,2.9,43310,7767,17.9
E14001119,Bradford South,44798,41766,93.2,44798,43370,96.8,44798,9693,21.6,44798,6519,14.6,44798,17487,39.0,44798,1528,3.4,44798,10810,24.1
E14001120,Bradford West,45332,35594,78.5,45332,35939,79.3,45332,8559,18.9,45332,4645,10.2,45332,12433,27.4,45332,806,1.8,45332,9401,20.7
E14001121,Braintree,45860,40984,89.4,45860,45780,99.8,45860,8258,18.0,45860,4922,10.7,45860,14303,31.2,45860,2562,5.6,45860,9768,21.3
E14001122,Brent East,53038,47734,90.0,53038,47734,90.0,53038,5483,10.3,53038,4977,9.4,53038,30229,57.0,53038,2427,4.6,53038,7578,14.3
E14001123,Brent West,50718,42420,83.6,50718,42420,83.6,50718,6421,12.7,50718,3913,7.7,50718,25074,49.4,50718,1747,3.4,50718,8325,16.4
E14001124,Brentford and Isleworth,51574,48705,94.4,51574,48705,94.4,51574,6569,12.7,51574,4802,9.3,51574,17226,33.4,51574,691,1.3,51574,7474,14.5
E14001125,Brentwood and Ongar,44414,40461,91.1,44414,43508,98.0,44414,5580,12.6,44414,3130,7.0,44414,14814,33.4,44414,1070,2.4,44414,6378,14.4
E14001126,Bridgwater,46601,35242,75.6,46601,45636,97.9,46601,6274,13.5,46601,2668,5.7,46601,4681,10.0,46601,783,1.7,46601,6819,14.6
E14001127,Bridlington and The Wolds,56601,34061,60.2,56601,44837,79.2,56601,5216,9.2,56601,1539,2.7,56601,960,1.7,56601,116,0.2,56601,5251,9.3
E14001128,Brigg and Immingham,41984,30151,71.8,41984,33692,80.2,41984,4306,10.3,41984,917,2.2,41984,5554,13.2,41984,311,0.7,41984,4597,10.9
E14001129,Brighton Kemptown and Peacehaven,48354,44161,91.3,48354,47529,98.3,48354,6196,12.8,48354,9125,18.9,48354,23813,49.2,48354,3480,7.2,48354,8719,18.0
E14001130,Brighton Pavilion,54416,52538,96.5,54416,52539,96.6,54416,7121,13.1,54416,6457,11.9,54416,28823,53.0,54416,2690,4.9,54416,9633,17.7
E14001131,Bristol Central,49092,45404,92.5,49092,45404,92.5,49092,8146,16.6,49092,11154,22.7,49092,20148,41.0,49092,3539,7.2,49092,10827,22.1
E14001132,Bristol East,49933,49623,99.4,49933,49623,99.4,49933,9453,18.9,49933,11494,23.0,49933,23729,47.5,49933,4703,9.4,49933,12907,25.8
E14001133,Bristol North East,42973,42652,99.3,42973,42673,99.3,42973,8359,19.5,42973,9698,22.6,42973,22551,52.5,42973,3965,9.2,42973,11483,26.7
E14001134,Bristol North West,45125,43945,97.4,45125,43945,97.4,45125,7523,16.7,45125,10192,22.6,45125,27636,61.2,45125,3873,8.6,45125,10520,23.3
E14001135,Bristol South,47353,44472,93.9,47353,44868,94.8,47353,9472,20.0,47353,11542,24.4,47353,26507,56.0,47353,5678,12.0,47353,13327,28.1
E14001136,Broadland and Fakenham,44484,28252,63.5,44484,37110,83.4,44484,3885,8.7,44484,2095,4.7,44484,4564,10.3,44484,561,1.3,44484,4170,9.4
E14001137,Bromley and Biggin Hill,41578,41101,98.9,41578,41111,98.9,41578,7477,18.0,41578,4044,9.7,41578,15482,37.2,41578,1534,3.7,41578,8545,20.6
E14001138,Bromsgrove,43340,36236,83.6,43340,42654,98.4,43340,5052,11.7,43340,2298,5.3,43340,9033,20.8,43340,996,2.3,43340,5878,13.6
E14001139,Broxbourne,45971,43543,94.7,45971,44699,97.2,45971,6730,14.6,45971,5410,11.8,45971,17956,39.1,45971,2158,4.7,45971,8002,17.4
E14001140,Broxtowe,44676,41669,93.3,44676,42907,96.0,44676,7132,16.0,44676,4642,10.4,44676,8906,19.9,44676,1012,2.3,44676,7856,17.6
E14001141,Buckingham and Bletchley,45235,40225,88.9,45235,44978,99.4,45235,7635,16.9,45235,6288,13.9,45235,15109,33.4,45235,2476,5.5,45235,9287,20.5
E14001142,Burnley,48538,47050,96.9,48538,48530,100.0,48538,11708,24.1,48538,9210,19.0,48538,21498,44.3,48538,3134,6.5,48538,14391,29.6
E14001143,Burton and Uttoxeter,50064,34484,68.9,50064,41792,83.5,50064,4544,9.1,50064,1030,2.1,50064,1236,2.5,50064,44,0.1,50064,4590,9.2
E14001144,Bury North,46170,44106,95.5,46170,45642,98.9,46170,7355,15.9,46170,6814,14.8,46170,18135,39.3,46170,2834,6.1,46170,9491,20.6
E14001145,Bury South,45900,44125,96.1,45900,44621,97.2,45900,7257,15.8,45900,8639,18.8,45900,21488,46.8,45900,3149,6.9,45900,10018,21.8
E14001146,Bury St Edmunds and Stowmarket,49475,42551,86.0,49475,47768,96.5,49475,5019,10.1,49475,3098,6.3,49475,3070,6.2,49475,391,0.8,49475,5445,11.0
E14001147,Calder Valley,47534,46813,98.5,47534,47361,99.6,47534,6282,13.2,47534,3142,6.6,47534,11727,24.7,47534,1146,2.4,47534,7024,14.8
E14001148,Camborne and Redruth,46819,37964,81.1,46819,45531,97.2,46819,6883,14.7,46819,3289,7.0,46819,14056,30.0,46819,2056,4.4,46819,8043,17.2
E14001149,Cambridge,53200,50433,94.8,53200,50690,95.3,53200,9329,17.5,53200,9329,17.5,53200,33949,63.8,53200,5385,10.1,53200,13270,24.9
E14001150,Cannock Chase,45781,43025,94.0,45781,44210,96.6,45781,7494,16.4,45781,6268,13.7,45781,21140,46.2,45781,2931,6.4,45781,9363,20.5
E14001151,Canterbury,52438,48089,91.7,52438,50706,96.7,52438,6025,11.5,52438,2590,4.9,52438,4643,8.9,52438,389,0.7,52438,6387,12.2
E14001152,Carlisle,51632,44119,85.4,51632,49150,95.2,51632,8988,17.4,51632,4742,9.2,51632,19644,38.0,51632,2221,4.3,51632,10646,20.6
E14001153,Carshalton and Wallington,42825,40578,94.8,42825,40578,94.8,42825,7160,16.7,42825,8403,19.6,42825,20918,48.8,42825,3816,8.9,42825,9608,22.4
E14001154,Castle Point,41654,34904,83.8,41654,37442,89.9,41654,3695,8.9,41654,3375,8.1,41654,18073,43.4,41654,1725,4.1,41654,5183,12.4
E14001155,Central Devon,44042,29172,66.2,44042,40581,92.1,44042,4586,10.4,44042,2919,6.6,44042,5210,11.8,44042,770,1.7,44042,5039,11.4
E14001156,Central Suffolk and North Ipswich,42136,36434,86.5,42136,41670,98.9,42136,5599,13.3,42136,4017,9.5,42136,8429,20.0,42136,1372,3.3,42136,6593,15.6
E14001157,Chatham and Aylesford,44722,42341,94.7,44722,42842,95.8,44722,5320,11.9,44722,3783,8.5,44722,14683,32.8,44722,1622,3.6,44722,6389,14.3
E14001158,Cheadle,41158,39524,96.0,41158,39748,96.6,41158,5384,13.1,41158,4123,10.0,41158,15326,37.2,41158,1555,3.8,41158,6804,16.5
E14001159,Chelmsford,48520,45253,93.3,48520,47148,97.2,48520,6088,12.5,48520,5417,11.2,48520,14180,29.2,48520,1159,2.4,48520,7613,15.7
E14001160,Chelsea and Fulham,68335,64161,93.9,68335,64161,93.9,68335,9712,14.2,68335,5019,7.3,68335,5299,7.8,68335,40,0.1,68335,9784,14.3
E14001161,Cheltenham,49808,47594,95.6,49808,48671,97.7,49808,7684,15.4,49808,5497,11.0,49808,7153,14.4,49808,701,1.4,49808,8086,16.2
E14001162,Chesham and Amersham,41723,38242,91.7,41723,40357,96.7,41723,6655,16.0,41723,6498,15.6,41723,13611,32.6,41723,2774,6.6,41723,8078,19.4
E14001163,Chester North and Neston,46459,33483,72.1,46459,39320,84.6,46459,5617,12.1,46459,4517,9.7,46459,8354,18.0,46459,1088,2.3,46459,6336,13.6
E14001164,Chester South and Eddisbury,43720,27232,62.3,43720,40002,91.5,43720,4017,9.2,43720,1654,3.8,43720,2726,6.2,43720,825,1.9,43720,4325,9.9
E14001165,Chesterfield,46259,45099,97.5,46259,45723,98.8,46259,8266,17.9,46259,1948,4.2,46259,7569,16.4,46259,895,1.9,46259,8876,19.2
E14001166,Chichester,51760,36840,71.2,51760,47248,91.3,51760,5483,10.6,51760,2242,4.3,51760,10973,21.2,51760,1017,2.0,51760,6236,12.0
E14001167,Chingford and Woodford Green,44531,43213,97.0,44531,43213,97.0,44531,14184,31.9,44531,14888,33.4,44531,29442,66.1,44531,9067,20.4,44531,18149,40.8
E14001168,Chippenham,44211,35571,80.5,44211,43663,98.8,44211,7754,17.5,44211,5938,13.4,44211,7010,15.9,44211,1482,3.4,44211,9035,20.4
E14001169,Chipping Barnet,46929,44785,95.4,46929,44785,95.4,46929,6916,14.7,46929,7255,15.5,46929,28914,61.6,46929,3580,7.6,46929,9638,20.5
E14001170,Chorley,46263,38388,83.0,46263,43316,93.6,46263,6289,13.6,46263,4374,9.5,46263,21392,46.2,46263,2378,5.1,46263,8169,17.7
E14001171,Christchurch,43122,36581,84.8,43122,37999,88.1,43122,6316,14.6,43122,7509,17.4,43122,26152,60.6,43122,4214,9.8,43122,9054,21.0
E14001172,Cities of London and Westminster,96582,86019,89.1,96582,86019,89.1,96582,11111,11.5,96582,10468,10.8,96582,55785,57.8,96582,4260,4.4,96582,16998,17.6
E14001173,City of Durham,45762,43008,94.0,45762,45377,99.2,45762,6281,13.7,45762,3746,8.2,45762,13539,29.6,45762,1197,2.6,45762,7085,15.5
E14001174,Clacton,51175,34240,66.9,51175,41805,81.7,51175,5162,10.1,51175,2553,5.0,51175,3507,6.9,51175,345,0.7,51175,5484,10.7
E14001175,Clapham and Brixton Hill,48885,41494,84.9,48885,41494,84.9,48885,10199,20.9,48885,9874,20.2,48885,30318,62.0,48885,4891,10.0,48885,12991,26.6
E14001176,Colchester,50873,46743,91.9,50873,48111,94.6,50873,7148,14.1,50873,6703,13.2,50873,26642,52.4,50873,3107,6.1,50873,9786,19.2
E14001177,Colne Valley,43394,42605,98.2,43394,43238,99.6,43394,7891,18.2,43394,1572,3.6,43394,4480,10.3,43394,417,1.0,43394,8291,19.1
E14001178,Congleton,43424,33029,76.1,43424,41216,94.9,43424,4006,9.2,43424,1472,3.4,43424,3700,8.5,43424,338,0.8,43424,4216,9.7
E14001179,Corby and East Northamptonshire,50049,35140,70.2,50049,43300,86.5,50049,5615,11.2,50049,1555,3.1,50049,2225,4.4,50049,105,0.2,50049,5742,11.5
E14001180,Coventry East,51045,47801,93.6,51045,48031,94.1,51045,6842,13.4,51045,7161,14.0,51045,18311,35.9,51045,1824,3.6,51045,8540,16.7
E14001181,Coventry North West,47946,32385,67.5,47946,32508,67.8,47946,3961,8.3,47946,3721,7.8,47946,9564,19.9,47946,839,1.7,47946,4990,10.4
E14001182,Coventry South,66400,54848,82.6,66400,54848,82.6,66400,6650,10.0,66400,6190,9.3,66400,17839,26.9,66400,1390,2.1,66400,7872,11.9
E14001183,Cramlington and Killingworth,46055,37366,81.1,46055,39648,86.1,46055,7576,16.4,46055,3732,8.1,46055,7164,15.6,46055,1025,2.2,46055,8347,18.1
E14001184,Crawley,47378,46511,98.2,47378,46524,98.2,47378,4555,9.6,47378,3148,6.6,47378,13200,27.9,47378,824,1.7,47378,5407,11.4
E14001185,Crewe and Nantwich,53000,38280,72.2,53000,45878,86.6,53000,9443,17.8,53000,7519,14.2,53000,19410,36.6,53000,2388,4.5,53000,11483,21.7
E14001186,Croydon East,46210,40264,87.1,46210,40265,87.1,46210,6290,13.6,46210,5547,12.0,46210,18431,39.9,46210,1966,4.3,46210,7715,16.7
E14001187,Croydon South,43855,36478,83.2,43855,36478,83.2,43855,4651,10.6,43855,3975,9.1,43855,18705,42.7,43855,1967,4.5,43855,5735,13.1
E14001188,Croydon West,55278,51122,92.5,55278,51122,92.5,55278,6500,11.8,55278,4060,7.3,55278,11871,21.5,55278,683,1.2,55278,7156,12.9
E14001189,Dagenham and Rainham,46132,41242,89.4,46132,41264,89.4,46132,5857,12.7,46132,7908,17.1,46132,33408,72.4,46132,4054,8.8,46132,9655,20.9
E14001190,Darlington,48528,41921,86.4,48528,42143,86.8,48528,9758,20.1,48528,8857,18.3,48528,14246,29.4,48528,2184,4.5,48528,11737,24.2
E14001191,Dartford,46088,41109,89.2,46088,41623,90.3,46088,6740,14.6,46088,6411,13.9,46088,20519,44.5,46088,3057,6.6,46088,8165,17.7
E14001192,Daventry,46620,31756,68.1,46620,44037,94.5,46620,5905,12.7,46620,2347,5.0,46620,6643,14.2,46620,818,1.8,46620,6515,14.0
E14001193,Derby North,49478,46077,93.1,49478,47507,96.0,49478,6572,13.3,49478,1879,3.8,49478,15850,32.0,49478,945,1.9,49478,7506,15.2
E14001194,Derby South,50532,48070,95.1,50532,48878,96.7,50532,6487,12.8,50532,3411,6.8,50532,17907,35.4,50532,1748,3.5,50532,7825,15.5
E14001195,Derbyshire Dales,43861,35465,80.9,43861,42909,97.8,43861,7179,16.4,43861,2581,5.9,43861,8704,19.8,43861,1031,2.4,43861,7909,18.0
E14001196,Dewsbury and Batley,40205,39906,99.3,40205,40014,99.5,40205,7932,19.7,40205,4441,11.0,40205,12679,31.5,40205,1439,3.6,40205,9390,23.4
E14001197,Didcot and Wantage,48302,41608,86.1,48302,46972,97.2,48302,7775,16.1,48302,4454,9.2,48302,318,0.7,48302,100,0.2,48302,7801,16.2
E14001198,Doncaster Central,53567,37783,70.5,53567,40224,75.1,53567,4167,7.8,53567,2827,5.3,53567,7825,14.6,53567,373,0.7,53567,4546,8.5
E14001199,Doncaster East and the Isle of Axholme,42033,27280,64.9,42033,38103,90.7,42033,3202,7.6,42033,988,2.4,42033,2928,7.0,42033,278,0.7,42033,3485,8.3
E14001200,Doncaster North,45402,41100,90.5,45402,44167,97.3,45402,7789,17.2,45402,2366,5.2,45402,7619,16.8,45402,719,1.6,45402,8299,18.3
E14001201,Dorking and Horley,42107,40578,96.4,42107,41496,98.5,42107,8367,19.9,42107,6650,15.8,42107,12572,29.9,42107,3720,8.8,42107,9582,22.8
E14001202,Dover and Deal,49443,42831,86.6,49443,48435,98.0,49443,9000,18.2,49443,9207,18.6,49443,20075,40.6,49443,5372,10.9,49443,12481,25.2
E14001203,Droitwich and Evesham,47580,39279,82.6,47580,47168,99.1,47580,5560,11.7,47580,3351,7.0,47580,5903,12.4,47580,789,1.7,47580,6179,13.0
E14001204,Dudley,42980,42397,98.6,42980,42625,99.2,42980,6173,14.4,42980,5630,13.1,42980,26546,61.8,42980,3007,7.0,42980,8204,19.1
E14001205,Dulwich and West Norwood,47589,45596,95.8,47589,45596,95.8,47589,8381,17.6,47589,7744,16.3,47589,35817,75.3,47589,4281,9.0,47589,11616,24.4
E14001206,Dunstable and Leighton Buzzard,50674,48061,94.8,50674,50069,98.8,50674,7739,15.3,50674,4983,9.8,50674,14969,29.5,50674,1458,2.9,50674,8998,17.8
E14001207,Ealing Central and Acton,65051,63903,98.2,65051,63903,98.2,65051,14474,22.3,65051,15983,24.6,65051,37565,57.7,65051,6421,9.9,65051,18502,28.4
E14001208,Ealing North,48495,41633,85.9,48495,41633,85.9,48495,6835,14.1,48495,8220,17.0,48495,22738,46.9,48495,3351,6.9,48495,9588,19.8
E14001209,Ealing Southall,45732,44127,96.5,45732,44127,96.5,45732,7163,15.7,45732,6858,15.0,45732,26707,58.4,45732,2606,5.7,45732,9839,21.5
E14001210,Earley and Woodley,42014,38188,90.9,42014,39464,93.9,42014,4870,11.6,42014,4240,10.1,42014,20212,48.1,42014,2044,4.9,42014,6307,15.0
E14001211,Easington,45953,44459,96.7,45953,45855,99.8,45953,8373,18.2,45953,6300,13.7,45953,12547,27.3,45953,1991,4.3,45953,9685,21.1
E14001212,East Grinstead and Uckfield,43836,41436,94.5,43836,42809,97.7,43836,6790,15.5,43836,4698,10.7,43836,9884,22.5,43836,2199,5.0,43836,7810,17.8
E14001213,East Ham,39369,39170,99.5,39369,39170,99.5,39369,6465,16.4,39369,9249,23.5,39369,12706,32.3,39369,1853,4.7,39369,7783,19.8
E14001214,East Hampshire,41026,35888,87.5,41026,39747,96.9,41026,6049,14.7,41026,4315,10.5,41026,11017,26.9,41026,1486,3.6,41026,6963,17.0
E14001215,East Surrey,42988,41731,97.1,42988,42294,98.4,42988,8140,18.9,42988,6961,16.2,42988,14980,34.8,42988,2702,6.3,42988,9557,22.2
E14001216,East Thanet,52006,46484,89.4,52006,48643,93.5,52006,7527,14.5,52006,3445,6.6,52006,6174,11.9,52006,386,0.7,52006,7864,15.1
E14001217,East Wiltshire,44029,35676,81.0,44029,41905,95.2,44029,4751,10.8,44029,977,2.2,44029,4750,10.8,44029,523,1.2,44029,5105,11.6
E14001218,East Worthing and Shoreham,44770,41062,91.7,44770,41570,92.9,44770,5917,13.2,44770,3722,8.3,44770,10141,22.7,44770,601,1.3,44770,6596,14.7
E14001219,Eastbourne,50416,41127,81.6,50416,42942,85.2,50416,7739,15.4,50416,4758,9.4,50416,18228,36.2,50416,2041,4.0,50416,9174,18.2
E14001220,Eastleigh,41107,39977,97.3,41107,40360,98.2,41107,4474,10.9,41107,3962,9.6,41107,14222,34.6,41107,1454,3.5,41107,5873,14.3
E14001221,Edmonton and Winchmore Hill,48812,43858,89.9,48812,43858,89.9,48812,8226,16.9,48812,5707,11.7,48812,30290,62.1,48812,2585,5.3,48812,10451,21.4
E14001222,Ellesmere Port and Bromborough,44294,39629,89.5,44294,39851,90.0,44294,8701,19.6,44294,6518,14.7,44294,23367,52.8,44294,2445,5.5,44294,10651,24.0
E14001223,Eltham and Chislehurst,47036,44055,93.7,47036,44055,93.7,47036,9323,19.8,47036,9327,19.8,47036,21942,46.6,47036,6062,12.9,47036,11344,24.1
E14001224,Ely and East Cambridgeshire,48538,36202,74.6,48538,44007,90.7,48538,6922,14.3,48538,2766,5.7,48538,6193,12.8,48538,629,1.3,48538,7435,15.3
