PCON24CD,Constituency,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care
E14001177,Colne Valley,40,39,3,31,3,2,8,79,8,5,34,87,2,2,0,2,0,0,0,100,0,0,2,100,109,77,8,67,1,1,10,87,1,1,75,97,9,9,2,5,1,1,22,56,11,11,7,78
E14001178,Congleton,36,36,4,28,3,1,11,78,8,3,32,89,0,0,0,0,0,0,,,,,0,,65,50,7,43,0,0,14,86,0,0,50,100,3,3,0,2,1,0,0,67,33,0,2,67
E14001179,Corby and East Northamptonshire,47,46,4,40,2,0,9,87,4,0,44,96,3,3,0,0,3,0,0,0,100,0,0,0,91,76,16,58,0,2,21,76,0,3,74,97,10,10,1,7,2,0,10,70,20,0,8,80
E14001180,Coventry East,47,47,5,33,9,0,11,70,19,0,38,81,2,2,0,2,0,0,0,100,0,0,2,100,92,84,11,71,1,1,13,85,1,1,82,98,6,6,0,4,2,0,0,67,33,0,4,67
E14001181,Coventry North West,37,37,3,32,2,0,8,86,5,0,35,95,5,5,0,4,1,0,0,80,20,0,4,80,89,83,11,71,1,0,13,86,1,0,82,99,6,6,0,4,2,0,0,67,33,0,4,67
E14001182,Coventry South,33,33,4,24,5,0,12,73,15,0,28,85,13,9,0,5,4,0,0,56,44,0,5,56,62,55,11,41,3,0,20,75,5,0,52,95,7,6,0,6,0,0,0,100,0,0,6,100
E14001183,Cramlington and Killingworth,36,36,3,30,3,0,8,83,8,0,33,92,6,5,0,4,1,0,0,80,20,0,4,80,70,56,7,48,1,0,13,86,2,0,55,98,8,8,0,8,0,0,0,100,0,0,8,100
E14001184,Crawley,34,34,4,27,3,0,12,79,9,0,31,91,5,5,0,4,1,0,0,80,20,0,4,80,109,85,7,76,2,0,8,89,2,0,83,98,8,8,0,8,0,0,0,100,0,0,8,100
E14001185,Crewe and Nantwich,41,41,5,32,4,0,12,78,10,0,37,90,4,3,0,3,0,0,0,100,0,0,3,100,73,63,6,54,2,1,10,86,3,2,60,95,15,13,1,9,3,0,8,69,23,0,10,77
E14001186,Croydon East,37,37,5,29,3,0,14,78,8,0,34,92,0,0,0,0,0,0,,,,,0,,128,88,7,81,0,0,8,92,0,0,88,100,5,4,0,3,0,1,0,75,0,25,3,75
E14001187,Croydon South,34,34,10,22,2,0,29,65,6,0,32,94,2,2,0,1,1,0,0,50,50,0,1,50,119,87,11,76,0,0,13,87,0,0,87,100,6,4,1,3,0,0,25,75,0,0,4,100
E14001188,Croydon West,36,36,5,28,2,1,14,78,6,3,33,92,7,7,0,5,0,2,0,71,0,29,5,71,119,79,6,66,5,2,8,84,6,3,72,91,16,14,3,11,0,0,21,79,0,0,14,100
E14001189,Dagenham and Rainham,38,38,5,31,2,0,13,82,5,0,36,95,4,3,0,2,1,0,0,67,33,0,2,67,118,89,15,68,4,2,17,76,4,2,83,93,6,5,1,3,1,0,20,60,20,0,4,80
E14001190,Darlington,38,38,3,31,3,1,8,82,8,3,34,89,5,5,1,4,0,0,20,80,0,0,5,100,65,57,6,51,0,0,11,89,0,0,57,100,19,19,2,11,6,0,11,58,32,0,13,68
E14001191,Dartford,38,38,6,28,4,0,16,74,11,0,34,89,2,2,0,2,0,0,0,100,0,0,2,100,131,97,8,83,5,1,8,86,5,1,91,94,5,5,1,4,0,0,20,80,0,0,5,100
E14001192,Daventry,56,55,4,45,6,0,7,82,11,0,49,89,3,2,0,2,0,0,0,100,0,0,2,100,101,81,9,71,0,1,11,88,0,1,80,99,10,10,0,9,1,0,0,90,10,0,9,90
E14001193,Derby North,45,45,5,34,4,2,11,76,9,4,39,87,5,4,1,2,1,0,25,50,25,0,3,75,58,46,3,42,1,0,7,91,2,0,45,98,14,13,4,8,1,0,31,62,8,0,12,92
E14001194,Derby South,52,50,8,36,6,0,16,72,12,0,44,88,11,10,2,7,0,1,20,70,0,10,9,90,74,62,2,58,2,0,3,94,3,0,60,97,14,12,1,6,5,0,8,50,42,0,7,58
E14001195,Derbyshire Dales,72,72,6,59,6,1,8,82,8,1,65,90,1,1,0,1,0,0,0,100,0,0,1,100,62,46,3,43,0,0,7,93,0,0,46,100,10,10,2,8,0,0,20,80,0,0,10,100
E14001196,Dewsbury and Batley,47,47,2,34,9,2,4,72,19,4,36,77,2,2,0,2,0,0,0,100,0,0,2,100,64,52,6,46,0,0,12,88,0,0,52,100,8,8,2,4,1,1,25,50,13,13,6,75
E14001197,Didcot and Wantage,50,48,6,39,3,0,13,81,6,0,45,94,0,0,0,0,0,0,,,,,0,,114,85,8,75,1,1,9,88,1,1,83,98,1,1,0,1,0,0,0,100,0,0,1,100
E14001198,Doncaster Central,44,44,2,33,8,1,5,75,18,2,35,80,12,10,0,8,2,0,0,80,20,0,8,80,98,83,8,75,0,0,10,90,0,0,83,100,12,12,4,8,0,0,33,67,0,0,12,100
E14001199,Doncaster East and the Isle of Axholme,41,41,3,36,2,0,7,88,5,0,39,95,5,5,2,2,1,0,40,40,20,0,4,80,61,43,9,34,0,0,21,79,0,0,43,100,8,7,0,6,1,0,0,86,14,0,6,86
E14001200,Doncaster North,44,44,4,35,5,0,9,80,11,0,39,89,2,2,0,2,0,0,0,100,0,0,2,100,110,84,10,72,1,1,12,86,1,1,82,98,8,8,3,4,0,1,38,50,0,13,7,88
E14001201,Dorking and Horley,34,34,4,26,4,0,12,76,12,0,30,88,0,0,0,0,0,0,,,,,0,,125,95,22,72,0,1,23,76,0,1,94,99,2,2,0,1,0,1,0,50,0,50,1,50
E14001202,Dover and Deal,44,44,8,31,5,0,18,70,11,0,39,89,1,1,1,0,0,0,100,0,0,0,1,100,49,45,8,37,0,0,18,82,0,0,45,100,24,22,5,17,0,0,23,77,0,0,22,100
E14001203,Droitwich and Evesham,45,45,4,35,6,0,9,78,13,0,39,87,2,1,0,1,0,0,0,100,0,0,1,100,65,51,8,42,0,1,16,82,0,2,50,98,11,10,2,8,0,0,20,80,0,0,10,100
E14001204,Dudley,32,32,2,23,6,1,6,72,19,3,25,78,3,3,1,2,0,0,33,67,0,0,3,100,37,28,2,25,1,0,7,89,4,0,27,96,8,5,0,5,0,0,0,100,0,0,5,100
E14001205,Dulwich and West Norwood,29,29,7,19,2,1,24,66,7,3,26,90,2,1,0,1,0,0,0,100,0,0,1,100,139,102,8,92,2,0,8,90,2,0,100,98,3,3,2,1,0,0,67,33,0,0,3,100
E14001206,Dunstable and Leighton Buzzard,47,46,3,35,5,3,7,76,11,7,38,83,0,0,0,0,0,0,,,,,0,,135,108,9,98,1,0,8,91,1,0,107,99,3,3,0,3,0,0,0,100,0,0,3,100
E14001207,Ealing Central and Acton,32,32,11,20,1,0,34,63,3,0,31,97,8,6,0,4,2,0,0,67,33,0,4,67,110,78,7,69,2,0,9,88,3,0,76,97,1,1,0,1,0,0,0,100,0,0,1,100
E14001208,Ealing North,39,39,9,29,1,0,23,74,3,0,38,97,0,0,0,0,0,0,,,,,0,,120,84,6,74,2,2,7,88,2,2,80,95,5,4,0,3,1,0,0,75,25,0,3,75
E14001209,Ealing Southall,34,34,11,23,0,0,32,68,0,0,34,100,0,0,0,0,0,0,,,,,0,,80,60,6,54,0,0,10,90,0,0,60,100,5,4,1,3,0,0,25,75,0,0,4,100
E14001210,Earley and Woodley,34,34,8,22,3,1,24,65,9,3,30,88,2,2,0,2,0,0,0,100,0,0,2,100,121,89,12,76,1,0,13,85,1,0,88,99,5,4,2,2,0,0,50,50,0,0,4,100
E14001211,Easington,46,46,5,40,1,0,11,87,2,0,45,98,3,3,0,3,0,0,0,100,0,0,3,100,41,37,7,27,2,1,19,73,5,3,34,92,6,5,0,4,1,0,0,80,20,0,4,80
E14001212,East Grinstead and Uckfield,41,41,4,34,3,0,10,83,7,0,38,93,3,1,0,1,0,0,0,100,0,0,1,100,97,66,13,53,0,0,20,80,0,0,66,100,1,1,0,1,0,0,0,100,0,0,1,100
E14001213,East Ham,32,32,13,19,0,0,41,59,0,0,32,100,2,2,1,1,0,0,50,50,0,0,2,100,60,48,3,39,5,1,6,81,10,2,42,88,9,6,0,6,0,0,0,100,0,0,6,100
E14001214,East Hampshire,41,41,2,37,2,0,5,90,5,0,39,95,2,2,1,1,0,0,50,50,0,0,2,100,97,73,12,61,0,0,16,84,0,0,73,100,3,3,2,1,0,0,67,33,0,0,3,100
E14001215,East Surrey,37,37,7,30,0,0,19,81,0,0,37,100,3,3,2,1,0,0,67,33,0,0,3,100,131,94,15,78,0,1,16,83,0,1,93,99,6,5,1,4,0,0,20,80,0,0,5,100
E14001216,East Thanet,35,35,9,24,2,0,26,69,6,0,33,94,3,3,1,2,0,0,33,67,0,0,3,100,64,54,7,47,0,0,13,87,0,0,54,100,22,21,4,14,3,0,19,67,14,0,18,86
E14001217,East Wiltshire,53,53,5,37,9,2,9,70,17,4,42,79,3,2,0,2,0,0,0,100,0,0,2,100,137,103,19,80,2,2,18,78,2,2,99,96,3,3,0,3,0,0,0,100,0,0,3,100
E14001218,East Worthing and Shoreham,28,28,4,23,1,0,14,82,4,0,27,96,3,3,0,3,0,0,0,100,0,0,3,100,98,78,10,66,2,0,13,85,3,0,76,97,7,7,3,4,0,0,43,57,0,0,7,100
E14001219,Eastbourne,30,29,2,19,6,2,7,66,21,7,21,72,1,1,0,1,0,0,0,100,0,0,1,100,60,47,3,44,0,0,6,94,0,0,47,100,3,3,0,2,1,0,0,67,33,0,2,67
E14001220,Eastleigh,29,29,3,26,0,0,10,90,0,0,29,100,2,2,1,1,0,0,50,50,0,0,2,100,106,83,8,74,1,0,10,89,1,0,82,99,3,3,0,3,0,0,0,100,0,0,3,100
E14001221,Edmonton and Winchmore Hill,27,27,3,23,1,0,11,85,4,0,26,96,2,1,0,1,0,0,0,100,0,0,1,100,116,87,8,74,3,2,9,85,3,2,82,94,3,3,0,0,3,0,0,0,100,0,0,0
E14001222,Ellesmere Port and Bromborough,35,35,4,27,4,0,11,77,11,0,31,89,3,2,0,2,0,0,0,100,0,0,2,100,64,55,5,50,0,0,9,91,0,0,55,100,3,3,0,2,1,0,0,67,33,0,2,67
E14001223,Eltham and Chislehurst,40,40,6,33,1,0,15,83,3,0,39,98,2,2,0,1,1,0,0,50,50,0,1,50,184,132,17,109,5,1,13,83,4,1,126,95,3,3,0,3,0,0,0,100,0,0,3,100
E14001224,Ely and East Cambridgeshire,42,42,1,37,3,1,2,88,7,2,38,90,5,3,0,2,1,0,0,67,33,0,2,67,134,97,25,71,1,0,26,73,1,0,96,99,2,2,0,2,0,0,0,100,0,0,2,100
E14001225,Enfield North,48,47,4,42,1,0,9,89,2,0,46,98,3,3,0,2,1,0,0,67,33,0,2,67,122,90,6,84,0,0,7,93,0,0,90,100,9,7,1,5,1,0,14,71,14,0,6,86
E14001226,Epping Forest,32,32,3,29,0,0,9,91,0,0,32,100,1,1,0,1,0,0,0,100,0,0,1,100,123,90,10,79,1,0,11,88,1,0,89,99,6,6,2,2,2,0,33,33,33,0,4,67
E14001227,Epsom and Ewell,36,36,13,21,1,1,36,58,3,3,34,94,3,2,0,2,0,0,0,100,0,0,2,100,174,124,27,96,1,0,22,77,1,0,123,99,4,3,1,2,0,0,33,67,0,0,3,100
E14001228,Erewash,38,38,1,30,7,0,3,79,18,0,31,82,1,1,0,1,0,0,0,100,0,0,1,100,65,50,1,47,2,0,2,94,4,0,48,96,12,12,5,7,0,0,42,58,0,0,12,100
E14001229,Erith and Thamesmead,46,44,7,33,4,0,16,75,9,0,40,91,2,2,0,1,1,0,0,50,50,0,1,50,193,135,6,122,5,2,4,90,4,1,128,95,10,8,0,7,1,0,0,88,13,0,7,88
E14001230,Esher and Walton,28,27,5,22,0,0,19,81,0,0,27,100,3,2,1,1,0,0,50,50,0,0,2,100,168,133,23,108,2,0,17,81,2,0,131,98,2,2,0,2,0,0,0,100,0,0,2,100
E14001231,Exeter,29,29,4,19,6,0,14,66,21,0,23,79,8,8,2,4,2,0,25,50,25,0,6,75,52,33,7,25,1,0,21,76,3,0,32,97,6,6,2,3,1,0,33,50,17,0,5,83
E14001232,Exmouth and Exeter East,41,41,3,31,5,2,7,76,12,5,34,83,4,3,0,3,0,0,0,100,0,0,3,100,79,56,7,47,1,1,13,84,2,2,54,96,4,4,2,1,1,0,50,25,25,0,3,75
E14001233,Fareham and Waterlooville,35,35,5,26,3,1,14,74,9,3,31,89,4,1,0,1,0,0,0,100,0,0,1,100,109,77,8,67,2,0,10,87,3,0,75,97,9,9,2,6,1,0,22,67,11,0,8,89
E14001234,Farnham and Bordon,37,37,9,25,2,1,24,68,5,3,34,92,3,3,1,2,0,0,33,67,0,0,3,100,91,67,9,56,1,1,13,84,1,1,65,97,3,3,1,1,0,1,33,33,0,33,2,67
E14001235,Faversham and Mid Kent,44,44,10,30,3,1,23,68,7,2,40,91,2,2,1,1,0,0,50,50,0,0,2,100,90,70,12,57,0,1,17,81,0,1,69,99,9,8,1,7,0,0,13,88,0,0,8,100
E14001236,Feltham and Heston,35,34,9,24,1,0,26,71,3,0,33,97,2,2,0,1,1,0,0,50,50,0,1,50,93,66,9,54,2,1,14,82,3,2,63,95,4,4,2,2,0,0,50,50,0,0,4,100
E14001237,Filton and Bradley Stoke,38,38,3,33,2,0,8,87,5,0,36,95,5,4,0,4,0,0,0,100,0,0,4,100,110,75,12,60,3,0,16,80,4,0,72,96,2,2,0,2,0,0,0,100,0,0,2,100
E14001238,Finchley and Golders Green,39,38,10,26,2,0,26,68,5,0,36,95,4,3,1,0,1,1,33,0,33,33,1,33,114,75,14,60,0,1,19,80,0,1,74,99,2,2,0,1,1,0,0,50,50,0,1,50
E14001239,Folkestone and Hythe,35,35,4,30,1,0,11,86,3,0,34,97,5,3,0,3,0,0,0,100,0,0,3,100,43,34,4,29,0,1,12,85,0,3,33,97,4,4,1,2,1,0,25,50,25,0,3,75
E14001240,Forest of Dean,55,55,2,46,6,1,4,84,11,2,48,87,1,1,1,0,0,0,100,0,0,0,1,100,68,48,4,41,3,0,8,85,6,0,45,94,6,6,0,3,3,0,0,50,50,0,3,50
E14001241,Frome and East Somerset,50,50,4,35,10,1,8,70,20,2,39,78,2,0,0,0,0,0,,,,,0,,94,74,17,57,0,0,23,77,0,0,74,100,4,3,1,2,0,0,33,67,0,0,3,100
E14001242,Fylde,37,37,7,26,4,0,19,70,11,0,33,89,4,3,0,3,0,0,0,100,0,0,3,100,70,52,10,39,3,0,19,75,6,0,49,94,47,34,2,29,2,1,6,85,6,3,31,91
E14001243,Gainsborough,55,55,3,48,3,1,5,87,5,2,51,93,3,1,0,1,0,0,0,100,0,0,1,100,84,71,1,68,2,0,1,96,3,0,69,97,3,3,0,2,1,0,0,67,33,0,2,67
E14001244,Gateshead Central and Whickham,41,41,11,28,2,0,27,68,5,0,39,95,7,7,0,5,1,1,0,71,14,14,5,71,72,54,8,44,2,0,15,81,4,0,52,96,5,4,0,3,1,0,0,75,25,0,3,75
E14001245,Gedling,44,43,4,34,3,2,9,79,7,5,38,88,1,1,0,1,0,0,0,100,0,0,1,100,123,92,3,87,2,0,3,95,2,0,90,98,9,9,2,4,3,0,22,44,33,0,6,67
E14001246,Gillingham and Rainham,33,32,0,29,3,0,0,91,9,0,29,91,1,0,0,0,0,0,,,,,0,,92,73,6,65,0,2,8,89,0,3,71,97,5,4,0,4,0,0,0,100,0,0,4,100
E14001247,Glastonbury and Somerton,47,47,1,38,5,3,2,81,11,6,39,83,2,1,0,1,0,0,0,100,0,0,1,100,64,51,5,45,1,0,10,88,2,0,50,98,6,6,0,5,1,0,0,83,17,0,5,83
E14001248,Gloucester,40,40,5,30,4,1,13,75,10,3,35,88,6,6,0,6,0,0,0,100,0,0,6,100,89,70,5,63,1,1,7,90,1,1,68,97,11,10,2,5,2,1,20,50,20,10,7,70
E14001249,Godalming and Ash,41,41,6,30,2,3,15,73,5,7,36,88,2,2,1,1,0,0,50,50,0,0,2,100,117,76,14,61,0,1,18,80,0,1,75,99,5,4,1,3,0,0,25,75,0,0,4,100
E14001250,Goole and Pocklington,46,46,3,37,6,0,7,80,13,0,40,87,3,2,0,1,1,0,0,50,50,0,1,50,92,66,8,58,0,0,12,88,0,0,66,100,7,7,0,6,1,0,0,86,14,0,6,86
E14001251,Gorton and Denton,42,42,13,24,3,2,31,57,7,5,37,88,0,0,0,0,0,0,,,,,0,,106,86,1,81,3,1,1,94,3,1,82,95,19,18,1,16,1,0,6,89,6,0,17,94
E14001252,Gosport,37,37,3,31,2,1,8,84,5,3,34,92,5,3,1,2,0,0,33,67,0,0,3,100,74,51,6,45,0,0,12,88,0,0,51,100,1,1,0,1,0,0,0,100,0,0,1,100
W07000097,Gower,0,0,0,0,0,0,,,,,0,,1,1,0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001253,Grantham and Bourne,49,49,7,37,5,0,14,76,10,0,44,90,1,1,0,1,0,0,0,100,0,0,1,100,81,61,2,57,1,1,3,93,2,2,59,97,8,8,2,4,2,0,25,50,25,0,6,75
E14001254,Gravesham,39,39,6,31,2,0,15,79,5,0,37,95,1,1,0,0,1,0,0,0,100,0,0,0,103,74,5,69,0,0,7,93,0,0,74,100,4,4,1,1,0,2,25,25,0,50,2,50
E14001255,Great Grimsby and Cleethorpes,42,42,3,36,3,0,7,86,7,0,39,93,6,5,1,3,1,0,20,60,20,0,4,80,66,54,4,44,6,0,7,81,11,0,48,89,7,7,0,4,3,0,0,57,43,0,4,57
E14001256,Great Yarmouth,39,38,2,31,5,0,5,82,13,0,33,87,3,2,0,2,0,0,0,100,0,0,2,100,41,36,4,32,0,0,11,89,0,0,36,100,5,4,1,2,1,0,25,50,25,0,3,75
E14001257,Greenwich and Woolwich,30,30,8,20,2,0,27,67,7,0,28,93,7,6,0,6,0,0,0,100,0,0,6,100,143,93,13,75,2,3,14,81,2,3,88,95,1,1,0,1,0,0,0,100,0,0,1,100
E14001258,Guildford,33,33,10,23,0,0,30,70,0,0,33,100,1,1,0,1,0,0,0,100,0,0,1,100,115,84,14,69,1,0,17,82,1,0,83,99,5,4,2,2,0,0,50,50,0,0,4,100
E14001259,Hackney North and Stoke Newington,37,37,12,23,2,0,32,62,5,0,35,95,1,1,0,1,0,0,0,100,0,0,1,100,135,106,15,86,2,3,14,81,2,3,101,95,2,2,2,0,0,0,100,0,0,0,2,100
E14001260,Hackney South and Shoreditch,38,38,15,23,0,0,39,61,0,0,38,100,9,6,1,4,1,0,17,67,17,0,5,83,80,62,6,53,2,1,10,85,3,2,59,95,1,1,0,1,0,0,0,100,0,0,1,100
E14001261,Halesowen,29,29,2,24,3,0,7,83,10,0,26,90,4,4,1,2,0,1,25,50,0,25,3,75,54,45,3,42,0,0,7,93,0,0,45,100,7,7,0,4,1,2,0,57,14,29,4,57
E14001262,Halifax,46,46,6,34,5,1,13,74,11,2,40,87,6,6,2,4,0,0,33,67,0,0,6,100,78,63,13,50,0,0,21,79,0,0,63,100,22,22,6,13,3,0,27,59,14,0,19,86
E14001263,Hamble Valley,31,31,2,28,1,0,6,90,3,0,30,97,4,3,1,2,0,0,33,67,0,0,3,100,123,91,11,79,0,1,12,87,0,1,90,99,10,9,3,5,0,1,33,56,0,11,8,89
E14001264,Hammersmith and Chiswick,37,37,18,19,0,0,49,51,0,0,37,100,6,5,1,3,1,0,20,60,20,0,4,80,100,72,13,58,1,0,18,81,1,0,71,99,1,1,0,1,0,0,0,100,0,0,1,100
E14001265,Hampstead and Highgate,26,26,9,16,1,0,35,62,4,0,25,96,3,2,0,2,0,0,0,100,0,0,2,100,100,71,9,60,2,0,13,85,3,0,69,97,1,1,0,1,0,0,0,100,0,0,1,100
E14001266,"Harborough, Oadby and Wigston",37,37,6,26,5,0,16,70,14,0,32,86,1,1,0,1,0,0,0,100,0,0,1,100,78,66,7,57,2,0,11,86,3,0,64,97,8,7,2,4,1,0,29,57,14,0,6,86
E14001267,Harlow,47,45,1,37,6,1,2,82,13,2,38,84,3,3,0,1,2,0,0,33,67,0,1,33,102,78,11,62,3,2,14,79,4,3,73,94,8,8,0,6,2,0,0,75,25,0,6,75
E14001268,Harpenden and Berkhamsted,46,46,13,29,4,0,28,63,9,0,42,91,2,2,0,1,1,0,0,50,50,0,1,50,144,100,17,80,2,1,17,80,2,1,97,97,2,2,1,1,0,0,50,50,0,0,2,100
E14001269,Harrogate and Knaresborough,37,37,6,27,4,0,16,73,11,0,33,89,4,4,1,3,0,0,25,75,0,0,4,100,69,52,11,40,1,0,21,77,2,0,51,98,2,2,0,2,0,0,0,100,0,0,2,100
E14001270,Harrow East,31,31,5,23,3,0,16,74,10,0,28,90,2,2,0,1,1,0,0,50,50,0,1,50,87,63,9,49,4,1,14,78,6,2,58,92,7,7,0,6,1,0,0,86,14,0,6,86
E14001271,Harrow West,25,25,7,18,0,0,28,72,0,0,25,100,4,3,1,2,0,0,33,67,0,0,3,100,96,72,8,61,1,2,11,85,1,3,69,96,7,7,2,4,1,0,29,57,14,0,6,86
E14001272,Hartlepool,38,38,6,29,2,1,16,76,5,3,35,92,5,5,0,5,0,0,0,100,0,0,5,100,56,50,7,43,0,0,14,86,0,0,50,100,13,12,2,10,0,0,17,83,0,0,12,100
E14001273,Harwich and North Essex,38,38,2,31,3,2,5,82,8,5,33,87,1,1,0,1,0,0,0,100,0,0,1,100,87,67,11,55,0,1,16,82,0,1,66,99,10,10,0,8,1,1,0,80,10,10,8,80
E14001274,Hastings and Rye,32,32,4,23,3,2,13,72,9,6,27,84,1,1,0,0,1,0,0,0,100,0,0,0,49,44,9,34,0,1,20,77,0,2,43,98,3,3,0,3,0,0,0,100,0,0,3,100
E14001275,Havant,37,37,3,31,3,0,8,84,8,0,34,92,1,1,0,1,0,0,0,100,0,0,1,100,72,54,8,46,0,0,15,85,0,0,54,100,6,6,1,4,1,0,17,67,17,0,5,83
E14001276,Hayes and Harlington,38,38,2,34,2,0,5,89,5,0,36,95,2,0,0,0,0,0,,,,,0,,80,65,5,56,4,0,8,86,6,0,61,94,4,4,0,2,1,1,0,50,25,25,2,50
E14001277,Hazel Grove,30,30,2,25,2,1,7,83,7,3,27,90,1,1,0,1,0,0,0,100,0,0,1,100,106,85,9,76,0,0,11,89,0,0,85,100,13,12,1,7,3,1,8,58,25,8,8,67
E14001278,Hemel Hempstead,47,46,5,38,3,0,11,83,7,0,43,93,2,1,0,1,0,0,0,100,0,0,1,100,118,90,12,75,3,0,13,83,3,0,87,97,2,2,0,2,0,0,0,100,0,0,2,100
E14001279,Hendon,36,36,7,26,3,0,19,72,8,0,33,92,1,1,0,1,0,0,0,100,0,0,1,100,121,93,14,76,2,1,15,82,2,1,90,97,4,3,1,2,0,0,33,67,0,0,3,100
E14001280,Henley and Thame,49,49,3,42,1,3,6,86,2,6,45,92,2,2,1,1,0,0,50,50,0,0,2,100,107,75,9,65,1,0,12,87,1,0,74,99,4,4,1,2,0,1,25,50,0,25,3,75
E14001281,Hereford and South Herefordshire,48,48,10,32,5,1,21,67,10,2,42,88,8,8,3,5,0,0,38,63,0,0,8,100,63,49,8,41,0,0,16,84,0,0,49,100,9,8,2,5,1,0,25,63,13,0,7,88
E14001282,Herne Bay and Sandwich,31,31,5,26,0,0,16,84,0,0,31,100,0,0,0,0,0,0,,,,,0,,75,61,12,48,1,0,20,79,2,0,60,98,24,20,5,14,1,0,25,70,5,0,19,95
E14001283,Hertford and Stortford,51,49,12,35,2,0,24,71,4,0,47,96,6,6,0,5,1,0,0,83,17,0,5,83,148,99,16,82,1,0,16,83,1,0,98,99,8,8,0,8,0,0,0,100,0,0,8,100
E14001284,Hertsmere,43,43,5,31,6,1,12,72,14,2,36,84,2,2,0,2,0,0,0,100,0,0,2,100,129,92,14,74,3,1,15,80,3,1,88,96,1,1,0,1,0,0,0,100,0,0,1,100
E14001285,Hexham,62,62,7,53,1,1,11,85,2,2,60,97,4,3,0,2,1,0,0,67,33,0,2,67,59,49,13,36,0,0,27,73,0,0,49,100,7,6,1,4,1,0,17,67,17,0,5,83
E14001286,Heywood and Middleton North,38,38,5,27,5,1,13,71,13,3,32,84,1,1,0,1,0,0,0,100,0,0,1,100,107,87,7,78,2,0,8,90,2,0,85,98,26,26,3,20,2,1,12,77,8,4,23,88
E14001287,High Peak,54,54,2,46,6,0,4,85,11,0,48,89,0,0,0,0,0,0,,,,,0,,75,59,7,50,1,1,12,85,2,2,57,97,16,15,5,8,2,0,33,53,13,0,13,87
E14001288,Hinckley and Bosworth,42,41,3,35,3,0,7,85,7,0,38,93,1,0,0,0,0,0,,,,,0,,126,91,5,84,2,0,5,92,2,0,89,98,12,10,3,6,1,0,30,60,10,0,9,90
E14001289,Hitchin,45,45,9,32,4,0,20,71,9,0,41,91,1,1,0,1,0,0,0,100,0,0,1,100,157,114,19,91,2,2,17,80,2,2,110,96,2,1,0,1,0,0,0,100,0,0,1,100
E14001290,Holborn and St Pancras,32,32,13,19,0,0,41,59,0,0,32,100,27,20,2,16,1,1,10,80,5,5,18,90,90,67,7,59,1,0,10,88,1,0,66,99,6,6,2,4,0,0,33,67,0,0,6,100
E14001291,Honiton and Sidmouth,40,40,3,30,6,1,8,75,15,3,33,83,0,0,0,0,0,0,,,,,0,,70,57,15,42,0,0,26,74,0,0,57,100,8,7,0,6,1,0,0,86,14,0,6,86
E14001292,Hornchurch and Upminster,36,36,6,29,1,0,17,81,3,0,35,97,3,3,0,2,1,0,0,67,33,0,2,67,119,82,10,70,0,2,12,85,0,2,80,98,5,4,0,4,0,0,0,100,0,0,4,100
E14001293,Hornsey and Friern Barnet,34,34,9,24,1,0,26,71,3,0,33,97,0,0,0,0,0,0,,,,,0,,107,86,13,71,2,0,15,83,2,0,84,98,8,8,2,5,1,0,25,63,13,0,7,88
E14001294,Horsham,41,41,4,34,2,1,10,83,5,2,38,93,2,2,0,2,0,0,0,100,0,0,2,100,135,97,21,75,0,1,22,77,0,1,96,99,6,6,1,5,0,0,17,83,0,0,6,100
E14001295,Houghton and Sunderland South,43,43,8,32,3,0,19,74,7,0,40,93,1,1,0,0,1,0,0,0,100,0,0,0,36,32,11,21,0,0,34,66,0,0,32,100,10,8,0,7,1,0,0,88,13,0,7,88
E14001296,Hove and Portslade,23,23,2,20,1,0,9,87,4,0,22,96,6,6,1,5,0,0,17,83,0,0,6,100,84,63,16,46,0,1,25,73,0,2,62,98,4,4,1,2,1,0,25,50,25,0,3,75
E14001297,Huddersfield,38,38,4,29,4,1,11,76,11,3,33,87,9,9,2,7,0,0,22,78,0,0,9,100,86,68,7,61,0,0,10,90,0,0,68,100,12,11,0,8,3,0,0,73,27,0,8,73
E14001298,Huntingdon,41,41,4,35,2,0,10,85,5,0,39,95,2,2,0,2,0,0,0,100,0,0,2,100,121,91,18,71,2,0,20,78,2,0,89,98,2,2,0,2,0,0,0,100,0,0,2,100
E14001299,Hyndburn,52,52,6,39,5,2,12,75,10,4,45,87,4,3,0,0,3,0,0,0,100,0,0,0,113,95,11,81,1,2,12,85,1,2,92,97,21,20,4,12,4,0,20,60,20,0,16,80
E14001300,Ilford North,35,35,7,26,2,0,20,74,6,0,33,94,2,2,1,1,0,0,50,50,0,0,2,100,104,77,8,65,3,1,10,84,4,1,73,95,16,13,0,12,1,0,0,92,8,0,12,92
