Code,All dwellings,Detached,Semi-detached,Terraced,Flats and maisonettes,Owner-occupied,Private rent,Social rent,Pre-1929,1930 to 1982,1983 to 2011,2012 onwards,Existing dwellings,New dwellings
E14000669,66,66,66,64,73,64,64,67,60,65,70,83,64,83
E14000670,69,67,67,67,73,65,66,71,61,67,72,84,66,84
E14000671,67,65,66,67,71,65,65,69,60,66,71,83,66,83
E14000672,67,66,65,67,71,64,64,68,59,65,70,83,66,82
E14000673,68,58,57,64,69,65,67,70,63,69,75,84,67,84
E14000674,70,58,59,64,73,65,67,70,64,67,76,85,66,84
E14000675,69,61,62,66,73,65,67,72,63,66,75,85,67,85
E14000676,69,60,61,64,76,65,66,71,63,65,74,85,66,85
E14000677,68,70,67,68,73,66,67,69,64,67,72,83,68,83
E14000678,71,69,69,71,73,67,66,71,60,66,72,84,67,84
E14000679,72,69,64,63,78,65,67,71,62,71,74,85,67,84
E14000680,71,67,69,72,75,67,67,72,56,67,72,85,68,85
E14000681,69,64,65,70,75,65,68,72,57,65,73,84,66,84
E14000682,66,62,64,67,69,65,65,69,61,65,73,84,65,84
E14000683,68,68,67,68,70,65,64,71,56,66,69,84,65,84
E14000684,68,66,66,68,71,67,68,72,65,67,74,83,68,83
E14000685,72,70,70,71,78,69,71,71,64,67,72,86,69,86
E14000686,69,68,68,70,77,64,61,70,52,65,68,84,64,84
E14000687,66,59,60,63,70,64,65,68,62,65,72,85,65,85
E14000688,69,68,67,70,74,66,67,72,62,67,71,84,67,84
E14000689,67,67,66,66,74,65,65,70,58,65,71,84,65,84
E14000690,68,58,60,65,74,64,67,72,61,65,74,84,65,84
E14000691,66,60,60,64,70,64,67,70,60,65,73,84,66,84
E14000692,67,62,59,63,71,64,67,68,61,65,74,85,65,85
E14000693,67,63,63,66,72,65,67,70,58,65,73,84,66,84
E14000694,67,62,61,68,73,63,68,72,59,63,74,84,65,84
E14000695,65,65,64,66,72,63,64,70,58,65,70,83,64,83
E14000696,69,61,61,67,73,66,68,72,62,67,73,84,68,84
E14000697,68,65,63,68,74,66,68,71,60,64,74,84,66,84
E14000698,69,68,68,67,73,66,68,73,63,67,73,84,68,84
E14000699,69,67,67,69,76,67,69,72,62,66,71,84,68,84
E14000700,70,69,68,70,75,65,65,71,57,67,71,84,67,84
E14000701,69,61,63,67,74,66,67,71,61,66,74,84,68,84
E14000702,70,68,67,70,76,67,70,71,59,64,71,84,68,84
E14000703,69,59,59,62,71,64,68,70,62,68,75,84,67,83
E14000704,68,64,67,67,71,65,65,71,61,65,72,84,66,84
E14000705,67,63,66,70,74,62,66,66,52,62,71,84,62,84
E14000706,68,69,65,69,70,65,64,69,59,63,71,84,64,84
E14000707,68,67,67,69,73,65,63,70,55,65,71,83,65,83
E14000708,70,70,68,69,73,67,69,71,63,68,72,84,69,84
E14000709,69,67,67,68,70,67,69,70,63,68,74,83,68,83
E14000710,66,63,64,67,73,63,66,70,58,64,72,83,65,83
E14000711,67,66,65,65,74,64,64,71,61,67,72,84,66,84
E14000712,69,68,66,68,72,66,68,70,60,66,72,83,67,83
E14000713,69,67,67,68,73,67,69,72,64,67,73,83,68,83
E14000714,69,67,68,69,74,66,67,71,57,67,70,84,67,84
E14000715,68,63,66,67,74,64,66,73,60,67,75,84,67,84
E14000716,66,67,65,64,70,64,64,69,61,66,70,82,65,82
E14000717,67,65,67,66,72,63,66,72,62,66,71,83,66,83
E14000718,78,64,61,65,82,71,71,72,63,70,79,85,70,85
E14000719,68,65,65,69,73,65,67,71,59,66,73,84,66,84
E14000720,71,72,66,64,72,69,69,70,66,69,78,84,69,84
E14000721,74,74,60,67,75,73,71,71,66,70,77,84,71,84
E14000722,67,66,65,66,72,65,67,70,58,65,72,84,66,84
E14000723,64,66,64,59,72,59,60,71,55,66,73,83,63,83
E14000724,68,69,65,69,73,66,67,71,57,64,71,84,66,84
E14000725,69,68,67,67,75,66,68,70,62,67,73,83,67,83
E14000726,70,60,59,63,72,68,68,70,66,70,77,85,68,85
E14000727,69,60,57,63,70,66,68,71,66,69,78,84,68,84
E14000728,69,70,67,67,75,66,66,71,59,65,71,84,66,84
E14000729,70,69,69,68,74,68,69,71,56,67,72,83,68,83
E14000730,67,68,67,65,69,65,65,71,61,65,71,84,65,84
E14000731,66,62,61,66,72,63,66,70,61,64,76,83,65,84
E14000732,70,57,61,66,75,64,67,72,62,64,77,84,66,84
E14000733,68,74,67,65,74,66,64,70,57,67,72,83,67,83
E14000734,67,66,65,66,73,63,64,71,56,64,70,84,64,84
E14000735,67,64,66,67,69,64,67,71,63,66,72,83,66,83
E14000736,69,66,67,69,72,66,68,70,60,66,72,84,67,84
E14000737,69,62,63,66,74,64,67,70,62,65,73,84,67,84
E14000738,66,63,64,67,73,64,66,71,59,65,73,84,65,84
E14000739,70,65,65,68,75,66,69,71,59,67,73,83,68,83
E14000740,67,67,67,66,73,65,65,68,59,66,71,84,66,84
E14000741,75,62,62,68,79,67,70,68,64,66,76,84,68,84
E14000742,68,66,67,68,74,64,63,70,55,64,70,84,64,84
E14000743,67,63,66,68,71,64,66,70,54,66,70,83,65,83
E14000744,70,67,67,69,76,67,69,71,59,65,72,84,68,84
E14000745,69,65,64,68,75,66,68,71,59,66,73,84,67,84
E14000746,65,65,64,62,73,63,54,69,50,65,70,84,62,83
E14000747,69,67,68,67,74,66,67,72,62,67,72,84,67,84
E14000748,67,67,67,65,72,65,65,69,60,67,71,84,66,84
E14000749,69,66,66,68,74,66,68,71,58,67,73,84,68,84
E14000750,71,57,56,63,72,69,69,70,66,70,77,84,69,84
E14000751,66,62,61,66,73,63,66,69,59,63,74,84,64,84
E14000752,67,64,58,63,69,65,66,67,63,68,77,85,66,84
E14000753,71,68,68,72,76,67,68,71,56,65,71,84,67,84
E14000754,69,81,68,67,74,67,66,69,61,68,72,83,68,83
E14000755,67,63,63,65,68,65,66,73,64,67,75,83,66,83
E14000756,65,65,64,61,73,62,64,71,58,65,73,83,64,81
E14000757,70,68,69,71,76,67,69,71,58,67,71,84,68,84
E14000758,64,67,65,61,73,60,63,71,59,66,70,83,63,83
E14000759,66,66,60,65,71,63,67,67,62,64,74,84,65,84
E14000760,67,61,60,63,73,64,68,71,63,64,76,84,66,83
E14000761,68,65,64,65,74,65,69,72,61,67,76,83,68,83
E14000762,67,63,66,70,71,64,67,71,59,64,74,83,66,83
E14000763,70,61,57,63,71,68,69,70,66,70,78,84,69,83
E14000764,72,75,61,66,73,71,71,70,66,69,79,84,70,84
E14000765,68,75,67,68,71,66,67,68,62,67,72,83,67,83
E14000766,64,66,65,58,71,61,61,70,55,64,71,84,62,84
E14000767,70,69,69,69,73,66,62,69,54,65,69,84,65,84
E14000768,69,58,58,62,69,67,68,69,66,69,77,84,68,84
E14000769,84,84,84,84,82,84,61,80,63,66,[x],84,84,84
E14000770,68,58,61,66,71,65,67,70,62,66,74,84,66,84
E14000771,68,69,68,67,73,66,67,70,61,68,70,84,67,84
E14000772,68,76,68,67,71,65,65,69,62,67,72,83,67,83
E14000773,68,74,68,66,72,65,65,71,62,67,71,83,67,83
E14000774,68,67,66,68,76,66,69,72,60,65,71,84,67,84
E14000775,72,83,71,71,74,69,69,72,61,70,72,84,71,84
E14000776,66,66,65,64,73,64,65,72,60,65,72,83,64,83
E14000777,71,67,68,61,76,67,70,71,58,69,76,83,69,83
E14000778,67,72,67,60,72,64,58,70,56,66,73,84,64,84
E14000779,65,64,64,62,70,64,65,70,58,64,72,84,65,84
E14000780,65,66,64,61,72,63,61,72,59,65,73,84,63,84
E14000781,65,66,66,61,70,63,62,69,58,65,72,83,64,83
E14000782,66,69,65,64,71,64,64,70,59,65,74,84,65,84
E14000783,65,63,63,61,71,62,63,69,61,65,74,81,63,79
E14000784,67,68,66,63,74,64,64,70,60,67,73,83,65,83
E14000785,69,77,68,67,74,65,67,71,63,66,71,84,67,84
E14000786,67,64,66,67,73,65,66,70,58,65,72,84,66,84
E14000787,67,56,58,64,70,64,66,71,62,67,74,84,65,84
E14000788,68,56,58,65,69,65,67,70,63,68,75,84,67,83
E14000789,71,59,56,64,74,67,69,70,63,69,75,84,68,84
E14000790,66,58,58,63,69,63,65,71,63,68,75,84,65,84
E14000791,70,68,68,70,75,67,67,71,57,65,71,84,67,84
E14000792,68,67,68,65,73,66,67,70,61,67,71,83,67,83
E14000793,72,69,69,67,76,70,70,71,66,71,74,83,70,82
E14000794,67,69,69,65,72,64,64,71,64,69,72,83,67,83
E14000795,67,66,64,65,72,64,65,70,64,64,73,83,66,84
E14000796,69,70,69,68,72,67,65,71,64,67,71,83,67,83
E14000797,69,69,67,67,74,65,67,71,60,66,72,83,67,83
E14000798,66,62,67,68,71,62,63,70,54,63,69,83,63,83
E14000799,63,57,63,66,73,60,56,69,46,63,68,83,61,83
E14000800,67,65,64,67,75,64,67,73,60,65,70,84,66,84
E14000801,68,68,64,63,74,63,65,72,60,66,72,82,65,82
E14000802,67,65,65,66,74,64,65,70,61,65,71,84,65,84
E14000803,69,63,65,68,75,65,68,71,58,66,73,83,67,83
E14000804,70,69,66,68,76,66,68,72,60,66,74,84,67,84
E14000805,67,69,66,66,74,65,67,71,62,65,70,83,66,83
E14000806,67,66,66,68,74,64,65,70,53,62,69,84,64,84
E14000807,76,78,72,69,79,74,72,72,63,71,75,84,72,84
E14000808,66,68,65,63,71,62,64,70,61,68,74,84,65,83
E14000809,67,67,64,65,70,66,66,70,63,65,74,84,67,84
E14000810,68,68,67,65,74,66,65,70,60,66,72,83,66,83
E14000811,71,67,69,71,76,67,68,71,54,65,71,84,67,84
E14000812,70,68,66,70,75,67,70,72,55,67,71,84,68,84
E14000813,72,75,70,71,78,67,66,70,57,66,70,84,67,84
E14000814,66,65,65,66,73,65,65,71,58,64,69,84,65,84
E14000815,68,66,69,70,74,66,67,72,58,66,70,84,67,84
E14000816,69,67,67,71,75,65,64,69,52,63,69,84,65,84
E14000817,70,67,68,71,75,67,68,71,59,66,73,84,68,84
E14000818,70,68,69,70,74,65,69,70,56,65,70,84,66,84
E14000819,67,83,66,64,74,63,63,70,60,67,74,83,66,83
E14000820,69,70,67,67,73,65,65,71,58,67,71,84,67,83
E14000821,72,70,69,69,79,70,71,71,58,68,73,84,70,84
E14000822,72,72,71,70,79,70,69,70,58,67,71,84,69,84
E14000823,68,63,61,66,71,66,68,69,65,66,73,83,67,83
E14000824,67,63,64,68,73,64,65,70,57,64,73,84,65,84
E14000825,64,65,63,62,69,63,64,71,59,63,70,83,63,83
E14000826,68,71,67,65,74,66,66,69,58,66,70,84,66,84
E14000827,67,64,67,69,74,66,67,71,56,66,71,84,67,84
E14000828,68,65,67,69,73,66,67,71,57,66,71,84,67,84
E14000829,67,66,66,67,73,65,65,70,56,65,70,84,65,84
E14000830,69,63,65,69,75,66,66,70,55,65,71,83,66,83
E14000831,69,70,67,67,71,66,68,70,65,67,74,83,68,83
E14000832,68,71,66,65,69,66,68,69,65,67,74,83,67,83
E14000833,71,83,69,69,71,68,69,70,64,68,73,84,69,84
E14000834,67,66,66,65,74,65,66,70,60,66,71,83,66,83
E14000835,68,67,68,67,71,65,65,71,60,64,70,83,65,84
E14000836,69,74,68,67,73,66,67,69,60,67,71,84,67,84
E14000837,66,61,68,67,73,61,61,70,48,61,70,84,61,84
E14000838,67,66,68,67,70,63,64,71,55,64,71,84,64,84
E14000839,67,65,66,70,74,66,64,69,52,64,70,84,66,84
E14000840,68,72,68,67,73,66,67,69,63,67,72,83,67,83
E14000841,72,71,71,71,78,68,67,71,58,66,72,84,68,84
E14000842,69,67,68,69,73,66,68,70,57,65,70,84,67,84
E14000843,67,67,67,66,73,65,65,68,59,66,69,84,66,84
E14000844,71,67,69,71,77,68,68,71,55,66,71,84,68,84
E14000845,68,66,66,67,73,65,66,69,58,66,71,84,66,84
E14000846,68,67,66,68,75,65,66,71,56,65,70,84,65,84
E14000847,65,61,65,68,71,61,58,68,46,63,68,84,61,83
E14000848,64,62,62,66,72,61,61,69,52,62,68,83,62,83
E14000849,67,66,66,68,73,64,63,70,54,65,69,83,64,83
E14000850,69,65,66,70,75,66,69,74,57,66,73,84,67,84
E14000851,71,71,69,70,76,69,72,70,64,66,73,84,69,84
E14000852,67,66,66,68,70,65,65,71,61,66,73,84,66,84
E14000853,70,80,68,70,71,69,69,70,65,69,72,83,69,83
E14000854,67,68,65,66,72,64,65,69,56,64,70,84,65,84
E14000855,71,69,70,72,76,67,69,72,58,67,72,84,68,84
E14000856,67,68,67,65,73,65,65,69,59,67,72,83,66,83
E14000857,71,67,69,71,77,67,67,71,54,66,72,83,67,83
E14000858,70,72,69,67,74,66,66,70,57,65,70,84,65,84
E14000859,66,63,63,66,73,62,64,69,54,63,69,84,64,84
E14000860,69,66,67,69,75,66,66,68,52,65,71,84,66,84
E14000861,67,67,65,66,73,65,66,72,60,67,71,84,66,83
E14000862,69,68,66,66,74,67,67,72,62,68,73,83,68,83
E14000863,68,67,67,67,73,66,68,71,63,67,72,84,67,84
E14000864,69,66,68,66,73,66,69,71,62,69,74,83,69,83
E14000865,67,60,60,63,74,61,65,72,60,70,76,83,66,83
E14000866,68,66,67,68,72,66,65,70,59,68,72,84,68,84
E14000867,69,62,64,67,76,64,70,71,61,67,76,82,68,82
E14000868,68,70,67,65,74,65,66,70,59,65,70,84,66,84
E14000869,64,60,60,64,71,62,66,71,59,62,73,83,63,82
E14000870,66,66,66,64,73,63,65,70,60,67,71,84,65,84
E14000871,67,68,66,64,74,64,65,71,61,67,72,84,66,84
E14000872,65,62,62,68,72,63,66,72,60,63,72,83,65,83
E14000873,70,66,65,68,73,67,68,72,62,68,74,84,69,84
E14000874,69,66,66,69,75,67,70,71,61,67,73,83,68,84
E14000875,62,67,66,59,72,59,61,71,57,66,72,83,61,83
E14000876,67,67,67,65,74,66,65,70,57,67,70,84,66,84
E14000877,64,61,64,63,73,59,55,68,46,62,67,83,59,83
E14000878,70,65,68,70,73,66,66,75,59,70,71,83,68,83
E14000879,70,67,68,70,73,66,69,72,61,68,72,84,69,84
E14000880,68,63,63,64,71,64,67,71,63,69,76,83,67,83
E14000881,70,65,67,70,75,67,70,72,62,65,76,84,68,84
E14000882,81,67,70,70,81,79,76,73,66,71,78,85,75,85
E14000883,67,66,65,65,73,65,67,71,64,66,73,85,67,85
E14000884,68,65,61,65,72,65,67,73,65,71,76,83,68,83
E14000885,68,67,67,65,74,64,66,72,61,70,72,83,68,83
E14000886,65,66,63,63,72,63,65,71,57,64,73,82,64,83
E14000887,71,59,61,65,72,69,70,72,64,70,77,84,70,84
E14000888,67,66,63,70,74,64,67,73,57,62,70,84,65,84
E14000889,69,65,65,65,75,66,68,72,62,67,74,84,67,84
E14000890,69,65,65,68,74,66,67,71,62,66,73,84,67,84
E14000891,68,69,66,68,73,64,64,71,59,66,72,84,66,83
E14000892,69,67,67,68,74,67,69,71,54,68,70,83,68,83
E14000893,70,63,65,70,74,65,70,72,59,67,75,84,68,84
E14000894,68,72,67,65,74,65,64,72,60,64,70,84,65,84
E14000895,67,64,67,67,73,63,65,70,50,65,69,83,65,83
E14000896,67,60,60,64,71,65,67,70,62,67,75,84,66,83
E14000897,69,69,68,66,74,65,65,71,62,69,72,83,67,83
E14000898,70,70,66,67,77,65,67,72,60,67,74,84,68,84
E14000899,66,63,62,64,69,63,65,71,61,63,73,84,64,84
E14000900,66,59,59,64,74,62,67,72,59,62,76,83,64,83
E14000901,68,66,66,68,73,66,66,69,57,64,70,84,66,84
E14000902,65,69,66,62,73,62,63,71,60,67,71,83,64,83
E14000903,67,67,66,66,74,66,65,69,59,65,70,84,66,84
E14000904,68,67,67,65,73,64,65,70,60,67,73,84,67,84
E14000905,70,72,68,68,76,66,67,73,61,65,73,84,67,84
E14000906,66,61,61,68,71,64,68,69,58,64,74,84,65,84
E14000907,69,65,64,69,76,66,68,72,59,65,74,83,67,83
E14000908,69,68,67,71,74,66,66,71,58,65,70,84,66,84
E14000909,68,67,66,68,74,66,64,68,54,64,70,84,65,84
E14000910,71,71,68,70,77,66,63,70,53,64,72,84,66,84
E14000911,76,72,67,69,80,70,73,73,62,70,75,83,71,83
E14000912,70,67,69,70,76,66,67,71,60,66,72,84,67,84
E14000913,66,64,65,63,69,63,63,70,59,64,71,83,63,83
E14000914,67,67,65,68,72,65,66,71,61,65,72,83,66,83
E14000915,69,72,68,68,73,67,67,69,60,67,71,84,67,84
E14000916,67,67,64,70,72,65,67,71,58,65,72,84,66,84
E14000917,68,68,67,69,74,64,64,70,55,64,69,84,65,84
E14000918,66,64,64,66,73,65,65,69,58,64,72,84,65,84
E14000919,71,62,68,59,76,65,70,71,57,69,76,81,69,81
E14000920,68,67,67,65,73,65,65,71,55,68,70,84,67,84
E14000921,66,65,66,60,73,62,60,70,55,67,73,84,65,84
E14000922,65,65,64,60,72,64,61,71,57,66,72,84,64,84
E14000923,67,65,66,65,73,64,66,71,57,67,75,84,67,84
E14000924,70,70,68,69,75,67,66,70,57,66,72,83,67,83
E14000925,65,66,63,61,72,63,65,69,57,64,72,84,64,84
E14000926,69,69,68,69,73,66,66,71,57,66,70,83,66,83
E14000927,69,68,68,68,73,66,66,70,60,66,72,84,67,83
E14000928,66,65,66,65,73,63,63,70,56,64,70,84,64,84
E14000929,68,67,68,71,75,66,66,68,52,64,69,83,66,83
E14000930,70,66,65,69,73,67,70,71,60,66,73,82,69,81
E14000931,66,64,62,69,74,64,66,70,59,63,71,83,65,83
E14000932,68,65,67,69,74,64,66,70,53,65,71,84,65,84
E14000933,68,69,65,67,72,66,68,70,58,66,70,84,67,84
E14000934,71,68,69,72,81,66,67,72,55,64,72,84,67,84
E14000935,72,74,70,71,76,68,67,70,58,66,71,84,67,84
E14000936,68,65,67,67,72,65,67,72,59,66,73,83,67,83
E14000937,70,67,68,71,77,66,67,71,56,64,71,84,67,84
E14000938,66,61,67,66,72,61,63,70,50,63,70,83,62,83
E14000939,68,66,68,70,72,65,67,68,57,65,69,84,65,84
E14000940,69,69,67,70,75,65,66,70,58,64,69,83,66,83
E14000941,69,66,66,73,77,64,63,70,50,61,71,84,64,83
E14000942,71,69,69,73,78,67,68,71,53,65,70,84,68,84
E14000943,68,68,66,69,74,65,67,72,61,65,70,84,66,84
E14000944,68,69,67,68,70,66,67,70,64,68,73,83,68,83
E14000945,68,65,66,69,75,65,66,72,56,65,70,84,66,84
E14000946,68,65,67,69,74,64,63,71,52,65,70,84,65,84
E14000947,69,68,68,67,74,68,69,70,64,67,72,84,68,84
