Code,Name,All dwellings,Detached,Semi-detached,Terraced,Flats and maisonettes,Owner-occupied,Private rent,Social rent,Pre 1930,1930 to 1982,1983 to 2011,2012 onwards,Existing dwellings,New dwellings
E14000737,Hayes and Harlington,68,62,62,66,73,64,67,70,61,64,73,84,66,84
E14000738,Hazel Grove,65,63,63,66,73,63,65,71,58,65,73,84,64,84
E14000739,Hemel Hempstead,69,64,64,68,75,66,69,71,58,66,73,83,67,83
E14000740,Hemsworth,67,67,67,66,73,64,64,67,59,66,70,84,66,84
E14000741,Hendon,73,61,62,68,79,66,69,68,64,65,76,84,67,84
E14000742,Henley,67,65,66,67,73,64,63,70,54,64,69,84,64,84
E14000743,Hereford and South Herefordshire,66,62,64,67,71,63,65,69,53,65,70,83,65,83
E14000744,Hertford and Stortford,69,66,65,68,76,66,69,71,58,65,72,84,67,84
E14000745,Hertsmere,69,64,63,67,74,65,67,71,59,65,73,84,66,84
E14000746,Hexham,64,64,64,62,73,63,53,68,50,64,70,84,62,83
E14000747,Heywood and Middleton,67,66,67,66,74,65,66,71,61,66,71,83,66,83
E14000748,High Peak,66,66,66,65,72,64,64,69,60,66,71,84,65,84
E14000749,Hitchin and Harpenden,68,65,65,67,73,65,67,71,58,66,73,84,67,84
E14000750,Holborn and St Pancras,71,57,55,62,71,68,69,69,66,69,77,84,69,84
E14000751,Hornchurch and Upminster,65,61,60,66,71,62,65,68,58,63,74,85,63,85
E14000752,Hornsey and Wood Green,67,63,58,62,69,64,66,67,63,67,76,85,65,84
E14000753,Horsham,70,67,67,72,75,66,67,70,55,65,70,84,66,84
E14000754,Houghton and Sunderland South,68,77,67,67,74,65,65,69,60,67,71,83,67,83
E14000755,Hove,66,62,62,64,68,64,65,73,63,67,75,84,65,83
E14000756,Huddersfield,64,64,63,61,73,61,63,71,58,65,72,82,64,82
E14000757,Huntingdon,70,67,68,70,75,66,68,70,57,66,71,84,68,84
E14000758,Hyndburn,63,67,64,60,73,60,62,71,58,66,70,83,62,83
E14000759,Ilford North,65,66,60,64,71,63,66,67,61,63,74,84,64,84
E14000760,Ilford South,67,60,60,62,72,63,67,70,62,64,75,84,65,83
E14000761,Ipswich,68,64,64,65,74,64,68,72,60,67,75,83,67,83
E14000762,Isle of Wight,66,63,65,69,71,63,66,71,58,63,74,83,65,83
E14000763,Islington North,70,61,56,62,71,67,69,70,65,70,77,84,69,83
E14000764,Islington South and Finsbury,72,75,61,65,73,70,71,70,66,69,79,83,70,83
E14000765,Jarrow,67,74,66,68,70,66,66,68,61,67,72,83,67,83
E14000766,Keighley,63,66,64,58,71,60,60,69,55,64,71,84,61,84
E14000767,Kenilworth and Southam,69,68,68,68,73,65,62,69,53,64,69,84,65,84
E14000768,Kensington,68,57,57,61,69,66,67,69,66,69,76,84,67,83
E14000769,Kettering,68,69,67,64,74,65,66,72,59,65,71,84,66,84
E14000770,Kingston and Surbiton,66,57,60,66,70,63,66,69,61,64,73,84,65,83
E14000771,Kingston upon Hull East,67,68,67,66,73,65,65,69,60,67,69,83,66,83
E14000772,Kingston upon Hull North,67,75,67,66,71,65,64,69,61,67,71,82,66,82
E14000773,Kingston upon Hull West and Hessle,67,72,67,64,71,64,64,70,60,66,70,83,65,83
E14000774,Kingswood,68,66,65,68,75,65,69,71,59,64,70,84,66,84
E14000775,Knowsley,71,82,69,71,73,68,67,72,60,69,71,84,70,84
E14000776,Lancaster and Fleetwood,66,66,65,63,73,63,64,72,59,64,71,83,64,83
E14000777,Leeds Central,70,66,67,60,75,65,69,71,58,68,76,83,68,83
E14000778,Leeds East,65,72,66,59,71,63,58,69,55,65,73,84,63,84
E14000779,Leeds North East,64,63,63,62,70,63,65,70,57,63,72,83,64,83
E14000708,Garston and Halewood,69,68,67,68,73,66,68,71,61,67,71,84,68,84
E14000709,Gateshead,68,65,66,67,70,66,67,69,62,68,74,83,67,83
E14000710,Gedling,65,62,63,65,72,62,65,70,58,63,71,83,64,83
E14000711,Gillingham and Rainham,66,65,64,64,73,63,64,70,60,66,72,84,65,83
E14000712,Gloucester,68,67,65,68,72,65,68,69,59,65,71,83,66,83
E14000713,Gosport,68,66,66,68,72,66,68,71,64,66,73,83,68,83
E14000714,Grantham and Stamford,68,67,67,68,75,65,66,70,56,66,70,83,66,83
E14000715,Gravesham,67,63,65,66,73,64,65,71,60,66,74,84,65,84
E14000716,Great Grimsby,65,66,64,64,70,63,64,69,60,66,70,82,64,82
E14000717,Great Yarmouth,67,65,65,66,72,63,66,72,61,66,70,83,65,82
E14000718,Greenwich and Woolwich,78,62,60,65,81,70,70,72,63,70,78,85,70,85
E14000719,Guildford,67,64,64,68,73,64,66,71,58,65,73,84,65,84
E14000720,Hackney North and Stoke Newington,70,71,64,63,71,68,68,70,65,69,77,84,69,84
E14000721,Hackney South and Shoreditch,73,66,59,66,74,73,71,71,65,70,77,84,71,84
E14000722,Halesowen and Rowley Regis,66,65,65,65,72,64,66,70,57,65,71,84,65,84
E14000723,Halifax,62,65,63,58,71,59,60,70,54,65,72,83,61,83
E14000724,Haltemprice and Howden,67,68,64,67,73,65,66,70,56,63,70,84,65,84
E14000725,Halton,68,67,66,66,75,65,67,70,61,65,72,83,66,83
E14000726,Hammersmith,70,59,57,62,71,67,68,69,66,69,77,85,68,85
E14000727,Hampstead and Kilburn,69,59,56,62,69,66,68,69,65,69,78,84,67,84
E14000728,Harborough,68,69,66,66,74,65,65,70,57,64,70,84,65,84
E14000729,Harlow,68,68,68,67,71,67,68,68,55,66,72,83,67,83
E14000930,Slough,69,65,64,68,73,67,69,71,59,66,73,83,68,83
E14000931,Solihull,65,64,62,68,73,63,65,70,58,62,71,83,64,83
E14000932,Somerton and Frome,67,64,66,68,73,63,65,69,53,65,71,84,64,84
E14000933,South Basildon and East Thurrock,67,68,64,67,71,65,67,70,58,65,70,84,66,84
E14000934,South Cambridgeshire,71,67,69,72,81,65,67,71,55,64,71,84,66,84
E14000935,South Derbyshire,71,72,70,70,76,66,67,69,57,65,70,84,66,83
E14000936,South Dorset,67,64,66,66,72,65,66,72,59,65,72,83,66,83
E14000937,South East Cambridgeshire,69,66,67,70,76,65,67,70,55,63,70,84,66,84
E14000938,South East Cornwall,64,60,65,65,72,61,62,70,50,63,70,83,62,83
E14000939,South Holland and The Deepings,67,65,68,70,73,64,66,67,56,64,68,84,65,83
E14000940,South Leicestershire,68,68,66,69,74,65,66,70,56,64,68,83,65,83
E14000941,South Norfolk,68,65,65,72,77,64,62,69,50,61,70,83,63,83
E14000942,South Northamptonshire,70,68,69,73,77,67,68,70,53,65,70,84,67,84
E14000943,South Ribble,67,67,65,68,74,64,66,71,60,65,70,84,66,84
E14000944,South Shields,68,69,67,68,69,66,66,69,63,68,73,83,67,83
E14000945,South Staffordshire,67,65,65,69,74,65,65,71,55,65,69,84,65,84
E14000946,South Suffolk,67,65,66,69,74,63,63,71,52,65,69,84,65,83
E14000947,South Swindon,68,68,67,67,73,67,69,70,63,66,72,83,67,83
E14000948,South Thanet,66,65,65,65,70,64,65,71,61,66,74,84,65,84
E14000949,South West Bedfordshire,70,67,68,69,75,66,69,70,57,66,72,84,67,84
E14000950,South West Devon,68,66,67,70,74,65,66,71,54,65,70,84,66,84
E14000951,South West Hertfordshire,67,64,63,66,74,64,68,71,57,65,73,84,66,84
E14000952,South West Norfolk,65,63,63,68,74,62,65,68,48,61,69,83,63,83
E14000953,South West Surrey,67,63,65,68,73,64,67,71,58,65,72,84,65,84
E14000954,South West Wiltshire,67,64,66,69,73,64,65,71,53,64,70,84,65,84
E14000955,"Southampton, Itchen",69,62,64,68,73,66,69,68,63,65,75,85,67,85
E14000956,"Southampton, Test",68,62,64,67,70,66,67,68,64,65,74,84,67,84
E14000957,Southend West,62,58,59,63,67,60,62,73,59,61,73,84,61,84
E14000958,Southport,63,60,59,67,69,61,63,70,56,64,74,84,62,84
E14000959,Spelthorne,67,61,63,67,72,64,68,69,58,65,73,84,66,83
E14000960,St Albans,69,65,65,67,73,65,68,71,59,66,73,84,67,83
E14000961,St Austell and Newquay,67,63,66,66,73,62,63,68,52,61,70,83,62,83
E14000962,St Helens North,66,67,65,65,73,63,65,69,60,64,70,83,65,83
E14000963,St Helens South and Whiston,68,70,66,66,74,65,66,71,61,66,71,83,66,83
E14000964,St Ives,61,57,63,60,69,57,58,69,48,61,70,83,58,82
E14000965,Stafford,68,66,66,67,75,65,65,71,58,64,70,83,65,84
E14000966,Staffordshire Moorlands,63,61,64,62,74,61,62,67,55,63,69,83,62,83
E14000967,Stalybridge and Hyde,68,67,67,66,74,64,67,71,60,69,72,83,67,83
E14000968,Stevenage,68,66,66,68,73,66,68,70,58,67,70,82,68,82
E14000969,Stockport,66,66,63,63,72,62,63,71,59,66,72,84,65,83
E14000970,Stockton North,68,70,66,67,73,65,66,70,60,66,71,84,66,84
E14000971,Stockton South,68,69,66,66,74,66,67,70,60,65,70,82,66,82
E14000972,Stoke-on-Trent Central,66,66,66,63,73,62,64,69,60,66,73,83,65,83
E14000973,Stoke-on-Trent North,66,66,66,64,73,64,65,69,61,66,70,83,65,83
E14000974,Stoke-on-Trent South,66,66,66,63,72,64,63,68,58,66,68,84,65,84
E14000975,Stone,66,65,64,67,73,63,63,69,53,63,69,84,64,84
E14000976,Stourbridge,65,63,63,63,71,63,63,68,56,64,70,83,64,83
E14000977,Stratford-on-Avon,70,68,68,69,74,65,65,70,53,66,71,84,67,84
E14000978,Streatham,67,55,57,64,68,66,66,68,63,67,75,83,65,83
E14000979,Stretford and Urmston,66,61,62,63,74,62,65,68,59,65,73,83,64,82
E14000980,Stroud,67,65,66,69,72,63,65,68,54,64,70,84,64,84
E14000981,Suffolk Coastal,67,65,65,68,73,64,62,70,55,64,69,83,64,83
E14000982,Sunderland Central,66,76,65,61,72,61,63,69,59,67,74,83,65,83
E14000983,Surrey Heath,68,65,66,69,74,65,69,71,58,65,71,84,66,84
E14000984,Sutton and Cheam,67,59,59,64,72,64,68,73,60,64,74,84,66,84
E14000985,Sutton Coldfield,65,63,62,66,71,63,67,70,57,63,70,84,64,84
E14000986,Tamworth,67,67,66,68,72,66,66,69,57,65,70,84,66,84
E14000987,Tatton,67,64,64,67,74,64,64,70,56,64,70,84,65,84
E14000988,Taunton Deane,69,67,69,69,73,66,67,70,58,66,71,83,67,83
E14000989,Telford,71,69,71,70,74,67,69,71,58,68,69,83,68,83
E14000990,Tewkesbury,70,69,67,71,72,67,68,69,54,65,70,84,66,84
E14000991,The Cotswolds,67,65,64,67,74,63,59,68,50,63,69,84,62,84
E14000992,The Wrekin,70,68,68,71,76,66,67,70,55,66,69,84,66,84
E14000993,Thirsk and Malton,65,64,65,64,75,62,58,67,50,62,68,84,62,84
E14000994,Thornbury and Yate,70,68,68,70,81,66,65,68,50,65,68,84,65,84
E14000995,Thurrock,69,68,65,67,73,66,68,69,61,66,71,84,67,84
E14000996,Tiverton and Honiton,67,63,66,69,73,63,64,71,52,64,69,83,64,83
E14000997,Tonbridge and Malling,68,67,64,68,78,65,66,69,57,64,72,84,66,84
E14000998,Tooting,67,63,59,63,69,66,67,69,64,69,75,84,66,83
E14000999,Torbay,65,62,64,65,68,64,64,71,60,64,73,83,64,83
E14001000,Torridge and West Devon,64,61,63,65,72,61,62,70,52,62,70,83,62,83
E14001001,Totnes,64,62,64,65,69,62,62,70,53,62,69,84,62,84
E14001002,Tottenham,68,69,60,63,71,65,66,70,63,70,74,84,66,84
E14001003,Truro and Falmouth,66,63,65,64,73,62,62,70,54,62,70,83,62,83
E14001004,Tunbridge Wells,67,63,62,66,71,63,64,70,59,65,73,84,64,84
E14001005,Twickenham,66,57,60,64,70,64,66,71,62,65,74,84,65,83
E14001006,Tynemouth,68,73,66,66,70,66,68,71,63,67,74,84,67,83
E14001007,Uxbridge and South Ruislip,67,61,62,65,74,63,67,70,60,64,73,84,65,84
E14001008,Vauxhall,72,57,57,64,73,69,69,68,64,69,77,84,69,84
E14001009,Wakefield,67,66,65,65,73,64,66,68,58,66,72,83,66,83
E14001010,Wallasey,65,64,60,65,71,62,64,70,60,66,72,83,64,83
E14001011,Walsall North,67,65,66,67,72,64,68,69,57,66,71,83,66,83
E14001012,Walsall South,65,62,64,62,72,62,62,70,57,64,74,83,64,83
E14001013,Walthamstow,68,59,61,63,72,64,65,70,63,68,75,85,65,85
E14001014,Wansbeck,69,72,67,67,72,67,65,68,62,67,71,83,67,83
E14001015,Wantage,72,73,70,71,78,68,67,71,55,64,70,84,67,84
E14001016,Warley,63,67,63,60,70,60,61,69,57,64,72,83,62,83
E14001017,Warrington North,67,66,65,67,75,65,68,71,62,66,70,83,67,83
E14001018,Warrington South,68,68,64,68,76,65,69,72,61,64,72,83,66,83
E14001019,Warwick and Leamington,69,70,68,68,71,67,67,69,59,66,71,84,67,84
E14001020,Washington and Sunderland West,69,69,68,69,73,67,68,70,65,69,71,83,69,83
E14001021,Watford,68,62,62,65,75,65,69,71,61,64,74,84,66,84
E14001022,Waveney,66,65,66,66,72,64,66,71,61,66,70,83,66,83
E14001023,Wealden,68,65,67,69,74,64,65,71,55,64,70,84,65,84
E14001024,Weaver Vale,69,68,67,69,75,66,66,71,58,67,69,83,67,83
E14001025,Wellingborough,69,68,67,68,76,66,67,72,59,67,71,83,67,83
E14001026,Wells,68,65,66,69,73,65,66,70,56,65,71,84,66,84
E14001027,Welwyn Hatfield,70,65,66,68,76,67,71,71,60,67,74,83,69,83
E14001028,Wentworth and Dearne,67,67,67,64,72,65,64,69,59,66,70,82,66,82
E14001029,West Bromwich East,66,65,63,65,72,63,65,70,58,64,73,83,65,83
E14001030,West Bromwich West,68,67,65,67,71,66,66,70,58,65,71,83,67,83
E14001031,West Dorset,67,62,64,68,75,64,60,72,53,63,71,83,64,83
E14001032,West Ham,73,64,61,64,79,67,68,72,62,70,77,84,68,84
E14001033,West Lancashire,68,67,66,67,72,65,65,70,58,67,71,83,67,83
E14001034,West Suffolk,68,64,66,69,75,64,66,71,54,65,70,83,66,83
E14001035,West Worcestershire,66,63,65,69,73,61,63,70,52,64,69,84,63,84
E14001036,Westminster North,70,57,57,64,70,68,68,71,66,70,76,85,69,84
E14001037,Westmorland and Lonsdale,65,62,64,65,70,62,61,69,54,65,70,83,63,83
E14001038,Weston-Super-Mare,69,66,67,71,70,66,66,74,59,66,72,84,67,84
E14001039,Wigan,67,70,66,64,73,64,66,70,60,66,70,83,65,83
E14001040,Wimbledon,68,62,59,63,72,64,67,71,63,65,75,84,66,84
E14001041,Winchester,69,66,67,69,75,66,68,72,59,66,73,86,67,85
E14001042,Windsor,68,66,65,68,74,65,67,72,59,65,71,84,66,84
E14001043,Wirral South,65,65,62,65,74,63,64,67,59,63,73,83,64,83
E14001044,Wirral West,66,64,63,66,71,63,65,69,58,65,72,84,65,84
E14001045,Witham,69,67,67,70,75,66,66,71,52,64,71,84,66,84
E14001046,Witney,71,67,70,70,77,66,67,71,52,65,72,84,66,84
E14001047,Woking,69,65,65,69,74,67,70,70,59,66,73,85,68,85
E14001048,Wokingham,71,68,70,72,76,67,68,71,57,65,70,84,67,84
E14001049,Wolverhampton North East,67,65,64,68,73,63,65,70,60,65,70,83,66,83
E14001050,Wolverhampton South East,67,66,66,66,72,63,65,70,60,65,71,83,66,83
E14001051,Wolverhampton South West,63,61,60,62,70,61,61,71,58,62,72,83,62,83
E14001052,Worcester,67,66,65,66,72,64,66,71,58,66,70,83,66,83
E14001053,Workington,65,66,65,62,72,61,60,68,55,65,69,83,63,83
E14001054,Worsley and Eccles South,69,69,67,68,74,66,67,71,62,68,71,83,68,83
E14001055,Worthing West,66,62,65,67,68,64,64,71,61,64,73,84,64,83
E14001056,Wycombe,68,63,64,69,74,64,67,71,59,66,73,83,67,83
E14001057,Wyre and Preston North,68,70,64,70,74,64,65,70,55,63,69,84,64,84
E14001058,Wyre Forest,65,63,64,64,72,62,64,69,55,63,71,83,64,83
E14001059,Wythenshawe and Sale East,69,65,66,68,73,65,69,70,60,68,73,83,68,84
E14001060,Yeovil,69,66,67,69,74,65,68,71,57,67,71,83,67,83
E14001061,York Central,67,66,66,65,74,65,67,71,62,66,74,83,66,83
E14001062,York Outer,67,66,66,70,73,66,67,70,58,65,69,83,66,83
W07000041,Ynys Môn,62,54,65,65,74,56,55,72,48,64,68,83,60,83
W07000042,Delyn,66,64,66,67,75,63,64,71,55,66,69,83,65,84
W07000043,Alyn and Deeside,68,68,68,68,75,66,65,72,58,66,70,83,66,83
W07000044,Wrexham,68,67,67,66,74,65,65,71,60,68,71,84,67,84
W07000045,Llanelli,64,66,64,62,73,60,62,71,58,64,72,83,63,83
W07000046,Gower,65,65,63,65,72,62,65,71,56,63,71,84,64,83
W07000047,Swansea West,65,64,62,61,73,62,65,72,60,63,74,83,65,83
W07000048,Swansea East,66,66,66,63,75,62,65,71,59,66,73,83,65,83
W07000049,Aberavon,68,68,68,63,74,62,64,73,60,70,73,83,67,83
W07000050,Cardiff Central,66,64,63,64,70,64,65,71,63,67,75,83,66,83
W07000051,Cardiff North,68,67,65,68,73,65,68,71,62,65,71,84,66,83
W07000052,Rhondda,61,64,61,61,71,60,62,70,60,68,73,83,61,83
W07000053,Torfaen,69,72,67,67,75,64,65,73,60,69,71,84,68,84
W07000054,Monmouth,68,65,66,68,74,64,64,74,54,66,71,84,65,84
W07000055,Newport East,69,70,68,66,77,66,65,73,61,66,72,83,66,83
W07000056,Newport West,69,72,66,67,73,67,67,71,62,66,73,84,67,83
W07000057,Arfon,63,55,63,62,72,56,62,69,56,64,72,83,61,83
W07000058,Aberconwy,64,61,62,63,69,61,61,70,56,63,71,84,62,84
W07000059,Clwyd West,64,62,62,64,70,61,63,69,55,62,70,84,62,84
W07000060,Vale of Clwyd,64,62,63,65,70,62,63,70,58,62,71,83,63,83
W07000061,Dwyfor Meirionnydd,55,47,56,56,65,50,54,66,46,58,66,83,53,83
W07000062,Clwyd South,65,60,66,65,74,62,62,70,53,66,72,83,64,83
W07000063,Montgomeryshire,61,55,63,64,72,57,56,70,43,61,68,83,59,83
W07000064,Ceredigion,59,52,63,61,69,55,58,70,48,62,68,83,58,83
W07000065,Preseli Pembrokeshire,64,58,66,63,71,59,61,72,52,62,70,84,61,84
W07000066,Carmarthen West and South Pembrokeshire,65,60,66,64,70,60,62,71,55,63,70,83,62,83
W07000067,Carmarthen East and Dinefwr,58,55,59,60,68,54,56,66,47,58,67,83,56,83
W07000068,Brecon and Radnorshire,61,57,62,63,68,58,60,70,50,61,70,83,59,83
W07000069,Neath,67,65,67,64,73,61,64,72,57,69,72,83,66,83
W07000070,Cynon Valley,64,71,64,62,73,61,63,71,61,66,72,83,63,83
W07000071,Merthyr Tydfil and Rhymney,66,70,68,64,73,62,65,71,61,69,73,83,66,83
W07000072,Blaenau Gwent,64,69,65,62,72,62,63,70,60,66,73,83,63,83
W07000073,Bridgend,69,69,66,69,74,65,67,73,58,65,71,83,67,83
W07000074,Ogmore,66,71,66,62,73,62,63,73,59,66,72,83,64,83
W07000075,Pontypridd,66,70,65,64,74,64,65,72,60,65,71,83,65,83
W07000076,Caerphilly,67,69,67,64,73,64,65,71,60,67,71,83,66,83
W07000077,Islwyn,67,70,66,64,73,63,64,71,60,67,73,84,65,84
W07000078,Vale of Glamorgan,69,68,67,67,75,64,65,72,60,66,70,84,66,84
W07000079,Cardiff West,69,69,66,66,72,65,66,72,61,68,72,84,67,84
W07000080,Cardiff South and Penarth,71,68,66,67,76,67,72,72,61,68,74,83,70,83
