PCON24CD,PCON24NM,Total,Total,Total,Total,Total,Total,Total,Total,Total,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP
E14001212,East Grinstead and Uckfield,1611,1531,1503,2387,2064,1584,1638,1158,,395,382,421,769,813,623,599,429,,38,41,45,101,102,78,73,38,,6,10,11,40,26,22,20,8,
E14001213,East Ham,822,665,576,916,917,582,557,480,,46,33,87,141,150,125,101,110,,0,1,0,1,5,2,7,3,,0,0,0,1,2,0,1,0,
E14001214,East Hampshire,1677,1622,1249,2054,1529,1102,1267,1061,,441,456,401,755,655,411,501,414,,44,41,48,102,111,73,70,58,,11,8,16,21,36,24,24,22,
E14001215,East Surrey,1494,1546,1414,2164,1738,1231,1339,1083,,471,514,539,868,799,540,593,491,,92,98,113,163,172,105,108,82,,22,24,41,50,52,27,26,24,
E14001216,East Thanet,1932,1765,1624,2685,2024,1457,1644,1306,,79,92,120,284,240,207,150,118,,5,10,11,19,11,11,7,5,,1,3,0,2,2,2,1,2,
E14001217,East Wiltshire,1336,1456,1192,1932,1578,1308,1401,967,,175,164,199,370,346,258,245,196,,18,16,28,50,56,33,39,23,,4,8,2,20,23,7,14,4,
E14001218,East Worthing and Shoreham,1638,1694,1500,2117,1667,1395,1442,1096,,147,149,193,357,347,267,295,211,,4,4,11,23,34,15,13,6,,0,0,2,3,6,7,0,2,
E14001219,Eastbourne,1967,1828,1668,2597,2138,1608,1724,1383,,94,106,123,192,213,147,160,104,,4,3,6,15,14,7,14,8,,0,0,3,3,2,3,2,3,
E14001220,Eastleigh,1646,1593,1461,2054,1633,1283,1350,1153,,117,140,141,280,281,229,204,190,,2,4,1,16,17,12,11,4,,0,0,0,2,0,3,0,1,
E14001221,Edmonton and Winchmore Hill,1007,994,861,1501,1118,835,969,793,,219,270,209,492,387,274,335,276,,24,33,28,60,67,48,55,46,,7,5,8,16,19,11,16,7,
E14001222,Ellesmere Port and Bromborough,1692,1672,1398,1927,1652,1450,1328,1146,,4,2,5,14,17,17,21,12,,0,0,2,0,0,1,0,0,,0,0,2,0,0,0,0,0,
E14001223,Eltham and Chislehurst,1597,1458,1386,2099,1364,1206,1352,1027,,470,491,543,806,614,488,606,506,,49,65,63,97,103,70,79,65,,20,17,18,34,33,21,27,24,
E14001224,Ely and East Cambridgeshire,1803,1636,1522,2459,2212,1615,1620,1250,,146,181,180,320,361,288,312,233,,2,4,5,12,21,11,16,11,,0,1,0,2,3,1,6,1,
E14001225,Enfield North,1242,1378,1159,1846,1493,1074,1180,1009,,200,214,227,454,405,308,332,316,,15,7,11,15,14,19,16,10,,1,1,2,1,2,4,9,0,
E14001226,Epping Forest,1554,1440,1363,2076,1597,1197,1390,1146,,642,600,613,1030,765,535,672,579,,118,130,107,212,175,100,152,95,,36,45,35,70,61,35,50,33,
E14001227,Epsom and Ewell,1575,1615,1579,2309,1832,1490,1480,1164,,687,656,735,1156,941,759,770,618,,68,59,75,142,151,120,113,73,,13,15,20,27,31,19,24,14,
E14001228,Erewash,1795,1840,1605,2049,1764,1265,1482,1247,,10,17,20,36,32,32,34,26,,0,1,2,0,0,0,1,1,,0,0,0,0,0,0,0,1,
E14001229,Erith and Thamesmead,1212,1110,1014,1590,1388,1110,1145,867,,47,31,43,121,125,113,114,95,,0,0,1,1,0,1,2,3,,0,0,0,1,0,0,0,0,
E14001230,Esher and Walton,1605,1689,1652,2593,1997,1385,1566,1215,,840,892,934,1523,1267,827,991,782,,248,274,288,493,503,307,366,223,,73,97,114,202,180,136,152,92,
E14001231,Exeter,1486,1465,1253,1820,1433,1249,1283,1010,,79,87,78,135,169,159,115,99,,10,7,6,15,21,11,8,10,,4,3,0,1,4,1,1,3,
E14001232,Exmouth and Exeter East,2248,2216,1952,3013,2599,1844,1924,1377,,210,202,229,372,441,381,380,250,,11,10,18,28,48,43,34,15,,1,1,0,5,12,10,4,6,
E14001233,Fareham and Waterlooville,1858,1784,1497,2236,1761,1338,1576,1278,,71,75,100,165,164,143,166,141,,2,5,5,3,5,17,7,4,,0,0,1,0,1,4,2,1,
E14001234,Farnham and Bordon,1655,1724,1795,2552,1905,1481,1528,1225,,574,560,692,1007,877,628,676,498,,99,91,149,210,223,169,161,130,,29,25,54,76,89,56,45,46,
E14001235,Faversham and Mid Kent,1584,1424,1646,2422,1773,1187,1400,1153,,166,155,248,475,394,238,274,235,,6,11,10,25,30,20,18,13,,1,1,1,2,10,1,3,5,
E14001236,Feltham and Heston,916,939,854,1218,1022,833,816,631,,52,57,77,172,202,177,182,171,,3,1,0,2,1,3,3,0,,2,0,0,0,1,2,0,0,
E14001237,Filton and Bradley Stoke,2149,1892,1688,2526,2098,1821,1878,1284,,81,76,96,195,257,241,286,181,,0,1,2,4,2,2,5,2,,0,1,1,0,1,1,1,0,
E14001238,Finchley and Golders Green,1402,1291,1144,1736,1589,1189,1390,928,,762,739,702,1130,1034,754,876,576,,288,235,241,432,411,321,369,227,,111,90,97,184,195,155,172,102,
E14001239,Folkestone and Hythe,1872,1704,1499,2327,1765,1582,1499,1261,,105,111,135,259,248,183,185,140,,3,5,7,18,37,11,17,10,,0,1,0,6,4,0,3,2,
E14001240,Forest of Dean,1457,1416,1309,2091,1599,1181,1265,972,,79,77,121,198,176,138,139,115,,4,0,0,9,6,4,4,4,,0,0,0,2,2,1,1,0,
E14001241,Frome and East Somerset,1663,1422,1309,1822,1501,1263,1275,1115,,161,119,181,286,278,255,212,190,,16,14,32,43,48,32,32,23,,3,3,11,12,21,12,13,4,
E14001242,Fylde,2166,2183,1985,2800,2456,1774,1899,1436,,64,54,91,164,154,124,125,96,,6,7,9,12,15,8,12,8,,1,4,3,0,5,4,3,3,
E14001243,Gainsborough,1863,1929,1642,2713,2260,1560,1659,1386,,25,33,44,113,143,69,70,36,,0,0,4,5,8,5,1,1,,0,0,3,0,0,0,0,0,
E14001244,Gateshead Central and Whickham,1628,1400,1339,1733,1681,1503,1457,1042,,6,14,12,17,22,23,15,19,,0,0,0,1,0,0,2,0,,0,0,0,0,0,0,0,0,
E14001245,Gedling,1877,2039,1712,2351,2064,1670,1822,1334,,17,24,21,78,69,61,62,24,,0,0,1,4,5,2,1,1,,0,0,0,1,1,2,0,0,
E14001246,Gillingham and Rainham,1560,1626,1285,2059,1583,1328,1526,1150,,60,60,90,145,98,92,91,94,,1,3,0,0,2,1,3,2,,0,0,0,0,0,0,1,0,
E14001247,Glastonbury and Somerton,1586,1645,1541,2310,1745,1239,1371,1159,,118,108,180,354,318,221,212,141,,7,11,5,32,31,29,24,10,,2,4,2,8,8,8,7,2,
E14001248,Gloucester,2200,2089,1755,2465,2152,1732,1793,1439,,16,20,14,36,53,56,51,18,,1,0,2,2,2,0,0,0,,0,0,0,0,1,0,0,0,
E14001249,Godalming and Ash,1540,1583,1606,2466,2006,1635,1526,1193,,612,563,663,1108,950,847,741,577,,111,111,119,211,193,175,132,100,,31,31,43,80,83,54,48,31,
E14001250,Goole and Pocklington,2085,2342,2017,2811,2369,1983,1934,1519,,69,79,109,152,141,120,112,100,,2,2,5,8,9,6,8,5,,1,0,0,0,4,1,1,0,
E14001251,Gorton and Denton,1542,1500,1203,1611,1503,1290,1248,984,,0,1,4,5,5,3,5,9,,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001252,Gosport,1576,1669,1459,2082,1581,1252,1462,1206,,68,75,73,132,124,103,140,97,,1,0,5,5,8,5,6,1,,0,0,2,1,5,1,1,0,
E14001253,Grantham and Bourne,1938,1883,1632,2398,1971,1627,1703,1334,,45,34,55,111,131,81,104,76,,0,3,0,7,5,1,9,0,,0,1,0,1,1,0,3,0,
E14001254,Gravesham,1473,1380,1142,1779,1555,1136,1177,1009,,96,93,116,220,269,144,125,174,,4,8,7,11,10,6,8,10,,2,1,1,0,2,1,1,1,
E14001255,Great Grimsby and Cleethorpes,1785,1923,1546,2388,2207,1695,1836,1422,,3,0,1,1,6,2,3,3,,0,0,0,0,2,0,0,0,,0,0,0,0,2,0,0,0,
E14001256,Great Yarmouth,1696,1936,1723,2312,1949,1335,1604,1280,,11,15,14,39,59,46,35,42,,0,0,1,1,3,0,1,1,,0,0,0,1,1,0,0,0,
E14001257,Greenwich and Woolwich,2032,2205,1943,2044,2085,1265,1641,1031,,914,1141,984,1006,1089,590,780,464,,75,86,96,121,122,73,85,51,,19,17,29,37,37,25,29,15,
E14001258,Guildford,1474,1302,1263,1960,1748,1245,1382,1155,,598,506,557,920,927,630,693,592,,147,121,139,221,253,181,178,115,,44,46,52,78,109,66,69,39,
E14001259,Hackney North and Stoke Newington,885,949,826,1338,1216,971,1018,733,,481,481,476,766,696,570,609,430,,106,124,138,236,226,190,188,125,,8,9,15,28,55,56,53,49,
E14001260,Hackney South and Shoreditch,1013,1477,1126,1846,1227,1027,1169,799,,569,1028,777,1082,777,688,776,499,,91,311,192,262,186,178,165,93,,27,87,63,68,81,56,60,28,
E14001261,Halesowen,1375,1479,1218,1732,1383,1010,1217,922,,3,4,5,9,11,10,21,14,,0,0,1,1,1,0,1,0,,0,0,0,0,1,0,1,0,
E14001262,Halifax,1946,1739,1436,2153,1769,1530,1531,1343,,17,16,21,39,36,30,34,38,,0,0,1,0,0,1,0,1,,0,0,0,0,0,0,0,0,
E14001263,Hamble Valley,2118,1966,1780,2603,2246,1724,1910,1367,,258,223,269,485,493,341,384,261,,21,9,13,43,44,28,17,12,,6,7,3,14,14,11,11,3,
E14001264,Hammersmith and Chiswick,1780,1247,1303,1841,1849,1420,1468,984,,1334,837,901,1237,1177,933,991,660,,566,385,426,518,488,443,438,256,,212,167,177,239,231,207,216,135,
E14001265,Hampstead and Highgate,1297,1248,1223,1893,1617,1263,1599,998,,1023,970,964,1501,1288,996,1322,770,,456,490,465,711,628,495,631,337,,257,262,285,409,397,295,372,213,
E14001266,"Harborough, Oadby and Wigston",1700,1890,1695,2522,2136,1723,1704,1207,,130,142,141,236,244,242,219,151,,5,7,12,9,16,20,16,15,,0,1,2,0,1,6,3,2,
E14001267,Harlow,1597,1731,1501,2157,1689,1404,1411,1089,,155,168,182,324,265,191,188,172,,15,17,15,32,23,12,16,15,,1,1,2,4,6,5,2,1,
E14001268,Harpenden and Berkhamsted,1471,1444,1386,2186,1661,1354,1433,1118,,842,806,819,1321,1075,910,908,715,,212,199,213,355,321,249,284,192,,54,57,72,130,127,92,114,67,
E14001269,Harrogate and Knaresborough,2077,2017,1722,3061,2373,1981,2109,1529,,271,341,282,596,527,443,470,342,,27,41,27,74,77,56,61,34,,5,9,6,21,24,20,10,9,
E14001270,Harrow East,824,807,806,1262,939,669,840,602,,414,371,358,706,566,393,487,377,,52,42,35,79,62,45,56,27,,18,15,14,26,22,16,20,7,
E14001271,Harrow West,1430,1587,1267,1470,1215,1018,1058,796,,376,392,375,563,484,385,412,331,,11,8,5,15,12,13,28,7,,3,1,2,3,4,3,4,1,
E14001272,Hartlepool,1531,1555,1550,2193,2070,1860,1926,1372,,14,17,18,34,46,38,23,23,,0,2,1,1,2,4,0,3,,0,1,1,0,0,0,0,1,
E14001273,Harwich and North Essex,1810,1746,1689,2444,2014,1557,1694,1293,,145,145,184,286,316,286,289,209,,3,5,9,20,32,30,26,15,,1,0,0,6,3,3,2,0,
E14001274,Hastings and Rye,2136,1909,1780,2662,2175,1748,1759,1340,,94,90,128,262,288,193,189,119,,5,3,8,16,18,21,18,10,,1,1,1,4,5,4,3,2,
E14001275,Havant,1484,1397,1321,1956,1592,1235,1301,1037,,104,57,119,233,250,185,176,124,,7,4,5,23,23,11,10,9,,1,2,1,4,9,4,2,4,
E14001276,Hayes and Harlington,1130,934,864,1437,1401,1041,985,673,,76,56,73,191,246,232,292,236,,0,0,0,2,2,1,2,3,,0,0,0,0,2,1,0,2,
E14001277,Hazel Grove,1625,1526,1432,2022,1579,1218,1479,1251,,54,48,69,140,120,106,117,107,,1,1,1,4,2,4,3,1,,0,0,0,1,0,0,0,0,
E14001278,Hemel Hempstead,1587,1386,1319,2134,1764,1143,1201,1089,,219,216,248,456,459,268,312,305,,13,10,21,35,48,35,39,29,,4,3,6,9,16,14,11,14,
E14001279,Hendon,1584,1726,1321,1902,1478,1219,1072,872,,612,673,542,850,697,596,506,397,,92,79,87,149,139,107,98,60,,27,21,41,52,47,48,29,16,
E14001280,Henley and Thame,1573,1474,1493,2251,1768,1340,1439,1038,,644,596,739,1156,880,695,751,512,,129,100,154,284,224,167,146,115,,33,29,54,93,94,68,45,38,
E14001281,Hereford and South Herefordshire,1545,1542,1402,2083,1595,1340,1447,1127,,64,65,104,202,182,172,162,105,,1,0,4,9,9,6,12,2,,0,0,1,1,1,2,3,1,
E14001282,Herne Bay and Sandwich,1875,1810,1656,2479,2134,1529,1657,1333,,135,114,145,326,334,196,170,174,,2,4,5,11,19,15,9,9,,0,0,1,0,2,3,2,1,
E14001283,Hertford and Stortford,2111,1778,1816,2625,2359,1761,1865,1438,,511,484,529,790,919,642,675,491,,48,56,51,73,91,67,67,45,,8,11,13,17,21,12,12,6,
E14001284,Hertsmere,1461,1556,1438,1995,1447,1091,1284,1014,,577,615,699,1089,847,629,715,561,,113,106,150,238,220,160,169,104,,48,32,59,86,80,55,74,38,
E14001285,Hexham,1609,1546,1714,2353,1994,1727,1616,1175,,138,119,192,355,358,236,279,192,,8,4,14,51,42,21,33,24,,1,1,3,17,14,6,9,8,
E14001286,Heywood and Middleton North,1577,1724,1359,1901,1724,1364,1417,1139,,12,18,15,24,45,35,37,21,,2,2,1,2,1,3,1,1,,0,1,0,0,1,0,0,0,
E14001287,High Peak,1747,1679,1431,2134,1834,1425,1519,1167,,41,44,75,115,109,85,113,81,,1,1,1,1,3,6,4,2,,0,0,0,1,1,4,0,0,
E14001288,Hinckley and Bosworth,1868,1845,1591,2239,1924,1461,1637,1326,,80,68,71,146,152,125,141,101,,3,4,10,14,14,5,11,6,,1,0,0,2,3,0,2,1,
E14001289,Hitchin,1747,1713,1646,2669,2055,1571,1718,1329,,325,360,403,706,664,504,561,416,,29,21,26,53,55,44,48,44,,6,2,6,8,16,9,10,15,
E14001290,Holborn and St Pancras,1005,808,1002,1210,1206,1140,1043,602,,778,589,733,872,937,868,764,420,,324,232,341,411,355,357,290,121,,173,101,161,213,158,169,149,61,
E14001291,Honiton and Sidmouth,1995,1917,1567,2368,1709,1500,1612,1293,,206,227,230,416,346,308,305,267,,14,10,13,29,37,38,24,18,,1,3,0,6,12,6,7,2,
E14001292,Hornchurch and Upminster,1531,1355,1337,2073,1479,1272,1403,1051,,315,318,330,655,556,427,502,432,,27,29,21,63,52,48,43,33,,9,6,8,24,15,16,11,6,
E14001293,Hornsey and Friern Barnet,1368,1276,1099,1661,1557,1258,1273,1030,,764,713,679,1052,1026,834,819,635,,221,238,238,345,356,282,303,224,,69,78,71,133,153,119,135,105,
E14001294,Horsham,1901,2016,1831,2506,1942,1546,1586,1275,,357,434,509,717,625,480,520,384,,25,33,42,67,60,46,63,31,,3,7,12,15,15,19,12,7,
E14001295,Houghton and Sunderland South,1512,1535,1442,2032,2128,1599,1596,1084,,3,3,2,10,19,7,11,4,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001296,Hove and Portslade,1759,1772,1561,2441,2082,1543,1803,1254,,400,413,410,727,707,566,601,441,,43,52,63,136,169,118,132,92,,4,11,16,36,63,33,41,18,
E14001297,Huddersfield,1491,1390,1314,1819,1627,1498,1374,976,,12,13,13,37,39,33,35,25,,0,0,1,5,2,5,2,1,,0,0,0,0,0,1,0,0,
E14001298,Huntingdon,1926,2006,1783,2617,2092,1548,1682,1346,,139,167,177,279,316,189,238,176,,6,1,8,21,22,11,12,10,,1,1,0,4,3,2,3,2,
E14001299,Hyndburn,1442,1672,1520,1972,1884,1471,1487,1155,,3,6,7,9,12,6,10,7,,0,0,0,1,1,0,0,0,,0,0,0,1,1,0,0,0,
E14001300,Ilford North,1073,1092,881,1389,1020,843,865,747,,306,329,312,585,468,377,403,344,,3,3,1,6,6,4,5,5,,0,0,0,0,1,0,2,1,
E14001301,Ilford South,1087,1039,678,1232,924,713,837,620,,92,73,81,223,234,197,210,198,,0,0,0,2,0,2,2,1,,0,0,0,0,0,1,0,0,
E14001302,Ipswich,1877,1739,1474,2315,1866,1491,1565,1203,,28,33,31,86,65,63,49,38,,2,2,1,5,5,2,2,2,,0,0,0,1,0,0,0,1,
E14001303,Isle of Wight East,1517,1496,1328,1972,1461,1083,1162,907,,60,67,94,218,162,119,113,92,,7,3,13,18,10,20,11,0,,2,2,1,5,2,8,3,0,
E14001304,Isle of Wight West,1436,1390,1447,1719,1514,1155,1074,891,,58,55,91,140,141,108,96,76,,2,1,11,13,19,21,13,2,,1,0,3,4,9,6,6,0,
E14001305,Islington North,953,985,1160,1359,1292,1071,1082,804,,489,545,702,853,834,704,682,539,,114,136,169,254,250,247,221,145,,40,40,66,87,96,100,95,60,
E14001306,Islington South and Finsbury,1158,1167,1002,1477,1271,1243,1623,824,,780,826,782,1081,942,971,1222,603,,272,239,254,405,337,373,508,166,,112,107,104,196,192,150,202,88,
E14001307,Jarrow and Gateshead East,1200,1243,1003,1498,1367,1057,1195,871,,0,1,1,3,2,3,3,1,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001308,Keighley and Ilkley,2014,1911,1549,2202,1856,1430,1545,1282,,84,120,114,160,142,140,138,104,,9,9,13,19,21,25,23,8,,3,3,3,3,4,6,7,0,
E14001309,Kenilworth and Southam,1782,1695,1665,2469,2108,1557,1732,1354,,351,272,318,584,458,404,430,335,,25,24,26,64,64,36,41,23,,9,3,5,14,9,12,14,5,
E14001310,Kensington and Bayswater,1569,1604,1491,2198,2068,1779,1851,1141,,1351,1365,1308,1932,1841,1560,1623,952,,889,867,826,1196,1209,997,1027,537,,641,592,572,839,850,709,709,355,
E14001311,Kettering,2197,1975,1738,2634,2309,1726,1972,1421,,53,42,43,110,100,88,84,65,,3,2,3,9,5,5,5,1,,0,0,1,4,1,0,0,0,
E14001312,Kingston and Surbiton,1551,1599,1384,2260,1937,1570,1572,1208,,621,571,575,980,923,803,744,619,,64,62,58,124,143,113,100,87,,10,15,19,24,42,32,25,16,
E14001313,Kingston upon Hull East,1463,1422,1279,1772,1629,1372,1412,1043,,0,0,1,0,4,1,1,1,,0,0,1,0,2,0,0,0,,0,0,0,0,2,0,0,0,
E14001314,Kingston upon Hull North and Cottingham,1942,1927,1672,2326,2110,1598,1675,1300,,10,1,3,9,12,11,8,7,,0,1,1,0,0,0,0,1,,0,0,1,0,0,0,0,0,
E14001315,Kingston upon Hull West and Haltemprice,2043,1940,1695,2291,2172,1866,1835,1381,,21,21,30,55,47,25,25,20,,0,1,2,3,1,0,3,2,,0,0,0,1,0,0,0,0,
E14001316,Kingswinford and South Staffordshire,1415,1335,1241,1869,1392,1004,1182,949,,48,52,75,131,124,93,96,90,,2,2,2,8,8,4,5,4,,0,2,2,3,1,1,1,2,
E14001317,Knowsley,1263,1595,1316,1531,1414,1107,1171,842,,0,3,1,3,17,17,6,2,,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001318,Lancaster and Wyre,1836,1763,1632,2369,1817,1485,1555,1114,,20,31,34,72,75,59,60,33,,1,0,3,4,2,1,1,3,,0,0,3,0,1,0,0,0,
E14001319,Leeds Central and Headingley,1467,1337,1240,1648,1119,1140,1147,834,,21,30,35,54,56,68,55,43,,2,1,3,4,5,1,4,1,,0,1,0,3,0,0,2,0,
E14001320,Leeds East,1545,1725,1612,1871,1744,1411,1607,1080,,9,7,11,19,17,31,27,15,,0,1,0,0,0,1,0,1,,0,1,0,0,0,0,0,0,
E14001321,Leeds North East,1485,1441,1333,1761,1383,1209,1267,960,,104,93,109,192,199,169,182,148,,3,7,9,22,35,18,14,7,,1,3,1,7,16,5,4,4,
E14001322,Leeds North West,1836,1933,1637,2202,1703,1428,1599,1234,,153,159,158,275,262,246,237,184,,5,2,5,17,20,12,14,13,,0,0,0,3,1,4,2,2,
E14001323,Leeds South,1809,1853,1493,1767,1677,1474,1593,1112,,1,2,2,5,12,10,13,0,,0,0,1,0,2,0,0,0,,0,0,0,0,1,0,0,0,
E14001324,Leeds South West and Morley,1887,1798,1651,2168,1926,1593,1705,1314,,9,9,17,33,22,20,26,25,,0,0,0,2,2,0,0,0,,0,0,0,0,0,0,0,0,
E14001325,Leeds West and Pudsey,1908,1831,1494,2028,1666,1423,1437,1231,,9,13,26,28,30,22,24,22,,0,0,1,3,1,1,1,2,,0,0,0,0,0,1,0,0,
E14001326,Leicester East,1144,1008,749,1086,905,698,739,641,,8,10,13,11,5,16,13,12,,1,1,2,0,0,1,0,0,,1,0,1,0,0,0,0,0,
E14001327,Leicester South,1263,1048,887,1208,1042,802,887,638,,35,23,30,56,78,55,43,39,,3,1,1,1,5,2,1,3,,0,0,0,0,0,0,0,1,
E14001328,Leicester West,1524,1460,1121,1604,1486,1253,1114,904,,17,2,5,14,12,8,9,7,,16,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,
E14001329,Leigh and Atherton,2187,2308,2032,2429,2239,1797,1793,1369,,3,0,7,16,19,11,22,14,,0,0,1,1,1,1,2,0,,0,0,1,1,1,0,0,0,
E14001330,Lewes,1732,1662,1484,2327,1866,1420,1504,1229,,235,246,266,496,469,361,342,280,,29,25,31,77,66,58,47,26,,4,3,10,19,19,14,11,7,
E14001331,Lewisham East,1293,1263,1128,1727,1515,1121,1178,958,,263,322,327,552,521,387,411,369,,3,8,13,18,34,22,29,21,,0,1,2,4,5,7,4,3,
E14001332,Lewisham North,1663,1315,1257,1618,1422,1213,1356,1009,,497,460,517,666,602,453,547,386,,46,39,71,72,96,61,84,66,,14,13,9,18,30,23,21,18,
E14001333,Lewisham West and East Dulwich,1360,1379,1331,1951,1740,1220,1406,1137,,668,659,688,1053,970,636,797,650,,74,100,122,191,220,130,177,110,,9,9,11,15,37,18,38,25,
E14001334,Leyton and Wanstead,1157,1102,1067,1828,1384,1183,1304,1071,,476,437,470,917,709,593,682,597,,38,25,41,94,110,97,117,75,,7,3,2,14,14,14,19,12,
E14001335,Lichfield,2016,1869,1604,2412,2059,1577,1687,1316,,123,123,153,251,253,198,223,192,,7,9,6,17,17,10,12,12,,1,5,2,3,2,1,4,1,
E14001336,Lincoln,2077,1983,1602,2345,2152,1514,1613,1335,,11,14,25,34,36,23,22,17,,0,2,0,7,3,5,1,1,,0,1,0,6,0,1,0,0,
E14001337,Liverpool Garston,1508,1529,1177,1594,1376,1065,1160,893,,67,62,69,151,148,119,109,106,,5,1,2,7,11,7,5,6,,0,1,0,3,1,2,1,1,
E14001338,Liverpool Riverside,3095,2973,1608,2023,2098,1915,1874,1012,,13,8,8,27,23,36,23,8,,1,0,1,14,1,28,3,0,,0,0,0,13,0,0,1,0,
E14001339,Liverpool Walton,1384,1297,1106,1472,1442,1198,1239,895,,1,1,1,2,0,0,0,0,,0,1,0,1,0,0,0,0,,0,1,0,1,0,0,0,0,
E14001340,Liverpool Wavertree,1903,1805,1528,2139,1714,1838,1464,1134,,22,25,39,47,60,46,38,44,,2,1,2,1,2,4,2,1,,0,0,2,1,0,2,0,0,
E14001341,Liverpool West Derby,1535,1528,1371,1746,1581,1314,1342,975,,2,8,6,9,8,6,10,5,,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,
E14001342,Loughborough,1827,1615,1460,1942,1655,1448,1447,1125,,53,41,55,73,114,78,89,82,,3,0,3,2,5,5,9,3,,1,0,2,0,2,1,1,0,
E14001343,Louth and Horncastle,1944,1998,1788,2714,2060,1631,1672,1279,,22,30,29,82,90,85,84,61,,1,0,0,2,2,5,2,4,,1,0,0,0,0,0,1,0,
E14001344,Lowestoft,1709,1673,1462,2148,1801,1400,1412,1186,,13,23,27,60,55,40,35,36,,1,0,1,4,3,1,1,0,,0,0,0,0,0,0,0,0,
E14001345,Luton North,1309,1264,1034,1597,1378,996,1130,865,,18,20,16,51,62,59,60,49,,0,0,0,1,2,0,3,1,,0,0,0,0,0,0,2,0,
E14001346,Luton South and South Bedfordshire,1689,1654,1201,2019,1611,1180,1180,1021,,77,86,115,151,127,88,106,81,,0,7,8,7,12,10,11,7,,0,1,4,4,3,0,4,2,
E14001347,Macclesfield,1940,1900,1828,2474,2013,1681,1714,1485,,198,189,216,373,345,284,284,282,,32,28,33,59,48,29,40,32,,11,8,12,20,18,15,12,12,
E14001348,Maidenhead,1584,1835,1684,2469,2032,1615,1606,1226,,568,685,660,1156,998,700,815,642,,101,117,132,220,201,153,166,94,,28,37,45,89,77,55,51,31,
E14001349,Maidstone and Malling,2028,1748,1798,2731,2040,1790,1745,1343,,194,181,197,375,344,278,277,224,,7,5,11,16,19,9,12,6,,1,1,0,2,2,0,2,1,
E14001350,Makerfield,1639,1567,1465,1787,1605,1366,1532,1143,,2,1,8,7,6,9,7,6,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001351,Maldon,1646,1659,1694,2224,1843,1320,1447,1277,,304,315,336,577,549,346,418,354,,37,26,35,79,73,39,58,39,,11,3,10,15,20,15,12,5,
E14001352,Manchester Central,2307,2164,2850,3234,2950,2091,2063,1265,,14,22,41,97,125,59,38,30,,2,4,7,11,12,6,6,3,,2,2,6,5,7,3,4,0,
E14001353,Manchester Rusholme,1141,936,1107,1193,1048,743,876,649,,5,10,8,16,24,23,18,27,,2,1,0,0,1,1,1,0,,1,1,0,0,0,1,0,0,
E14001354,Manchester Withington,1453,1452,1238,1726,1416,1127,1142,1033,,168,185,158,286,264,227,223,239,,22,11,8,21,16,17,21,22,,3,2,0,3,2,3,6,2,
E14001355,Mansfield,1827,1746,1623,2041,1917,1542,1650,1300,,8,5,9,26,26,24,16,24,,0,0,0,1,0,0,2,4,,0,0,0,0,0,0,0,0,
E14001356,Melksham and Devizes,1634,1660,1542,2286,1827,1358,1428,1255,,167,177,203,335,307,220,252,235,,13,11,17,20,32,23,26,14,,4,6,4,10,11,4,5,2,
E14001357,Melton and Syston,1752,1705,1391,2055,1789,1637,1675,1339,,66,75,92,174,127,143,130,121,,2,2,6,17,10,9,11,4,,1,1,1,4,5,1,3,2,
E14001358,Meriden and Solihull East,1658,1396,1185,1951,1610,1229,1307,1010,,290,268,265,495,412,325,331,268,,28,34,27,54,54,46,48,33,,2,6,2,9,17,11,14,8,
E14001359,Mid Bedfordshire,2099,2160,2024,2696,1950,1363,1654,1219,,274,290,274,488,520,314,380,274,,13,13,22,38,36,28,29,19,,5,3,4,5,7,5,7,4,
E14001360,Mid Buckinghamshire,1645,1714,1628,2514,1857,1315,1336,1092,,527,550,605,1044,888,608,633,561,,60,46,68,143,154,91,97,76,,15,11,10,40,33,22,18,23,
E14001361,Mid Cheshire,2079,1958,1630,2328,2194,1731,1581,1322,,44,51,61,112,97,68,66,90,,2,2,4,6,9,5,0,4,,0,0,1,0,0,0,0,0,
E14001362,Mid Derbyshire,1743,1579,1431,1983,1636,1349,1396,1160,,60,75,74,145,135,107,132,94,,1,6,8,15,9,12,18,5,,0,1,3,4,1,3,6,3,
E14001363,Mid Dorset and North Poole,1521,1558,1586,2178,1679,1346,1406,1164,,156,191,246,408,461,340,317,262,,10,8,13,24,26,30,11,17,,4,0,3,4,7,3,4,2,
E14001364,Mid Leicestershire,1979,1898,1591,2174,1637,1314,1562,1235,,60,68,74,132,158,121,122,90,,9,11,7,14,17,14,18,5,,3,4,0,6,3,6,6,3,
