,PCON24CD,PCON24NM,Counted spills using 12-24h count method,Counted spills using 12-24h count method,Counted spills using 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method
91,E14001159,Chelmsford,39.0,50.0,126.0,34.25,302.75,386.0
92,E14001160,Chelsea and Fulham,57.0,106.0,114.0,297.08,786.45,969.11
93,E14001161,Cheltenham,46.0,39.0,11.0,77.62,554.07,21.96
94,E14001162,Chesham and Amersham,2.0,6.0,351.0,3.68,28.75,7476.0
95,E14001163,Chester North and Neston,630.0,992.0,1062.0,1876.37,4432.52,6140.3
96,E14001164,Chester South and Eddisbury,1004.0,1396.0,1653.0,5238.97,6894.56,9796.96
97,E14001165,Chesterfield,982.0,1507.0,1205.0,3927.58,7944.83,5360.0
98,E14001166,Chichester,414.0,917.0,833.0,7457.61,16689.71,14202.33
99,E14001167,Chingford and Woodford Green,280.0,386.0,313.0,938.18,1265.73,1151.73
100,E14001168,Chippenham,467.0,1171.0,1162.0,3628.03,11706.42,11958.58
101,E14001169,Chipping Barnet,19.0,45.0,106.0,35.65,80.7,357.02
102,E14001170,Chorley,935.0,1527.0,1355.0,3291.48,8065.71,6653.44
103,E14001171,Christchurch,73.0,249.0,227.0,180.71,1912.21,1225.19
104,E14001172,Cities of London and Westminster,87.0,122.0,106.0,138.07,190.35,201.7
105,E14001173,City of Durham,2225.0,3567.0,2542.0,7577.65,23085.81,16336.74
106,E14001174,Clacton,121.0,348.0,304.0,217.82,2050.38,2721.87
107,E14001176,Colchester,60.0,119.0,304.0,33.65,267.99,701.98
108,E14001177,Colne Valley,1791.0,2268.0,1722.0,8525.5,16702.24,9161.74
109,E14001178,Congleton,977.0,1466.0,1379.0,3735.51,7663.44,7248.38
110,E14001179,Corby and East Northamptonshire,511.0,828.0,1207.0,3320.4,6680.11,13507.62
111,E14001181,Coventry North West,8.0,52.0,48.0,1.86,55.14,67.74
112,E14001182,Coventry South,20.0,26.0,35.0,28.72,56.39,100.71
113,E14001183,Cramlington and Killingworth,293.0,530.0,434.0,661.03,1938.15,1729.49
114,E14001184,Crawley,34.0,69.0,49.0,394.85,845.5,553.75
115,E14001185,Crewe and Nantwich,214.0,522.0,454.0,1380.93,4517.49,3462.0
116,E14001188,Croydon West,0.0,4.0,6.0,0.0,3.75,7.28
117,E14001189,Dagenham and Rainham,11.0,16.0,15.0,81.31,74.75,105.25
118,E14001190,Darlington,293.0,305.0,276.0,635.78,839.44,1004.94
119,E14001191,Dartford,1.0,3.0,4.0,0.25,9.17,9.99
120,E14001192,Daventry,1129.0,2203.0,4033.0,7686.02,25693.56,55140.64
121,E14001193,Derby North,389.0,482.0,448.0,436.07,1000.01,1376.65
122,E14001194,Derby South,171.0,254.0,167.0,393.34,897.0,558.25
123,E14001195,Derbyshire Dales,2769.0,3535.0,3767.0,19055.01,29347.82,28601.0
124,E14001196,Dewsbury and Batley,424.0,458.0,418.0,1902.58,2672.59,1771.5
125,E14001197,Didcot and Wantage,127.0,544.0,829.0,1155.42,7489.42,12633.9
126,E14001198,Doncaster Central,135.0,284.0,266.0,606.15,2284.75,1249.61
127,E14001199,Doncaster East and the Isle of Axholme,254.0,508.0,536.0,1102.72,3432.77,5669.12
128,E14001200,Doncaster North,804.0,1020.0,847.0,1719.69,5864.84,4009.1
129,E14001201,Dorking and Horley,258.0,470.0,510.0,3158.68,5749.25,5898.0
130,E14001202,Dover and Deal,3.0,25.0,19.0,2.64,37.52,171.49
131,E14001203,Droitwich and Evesham,983.0,1117.0,1447.0,6163.26,9144.73,14774.94
132,E14001204,Dudley,124.0,116.0,126.0,149.77,192.42,230.32
133,E14001206,Dunstable and Leighton Buzzard,12.0,35.0,143.0,103.6,395.75,846.05
134,E14001207,Ealing Central and Acton,18.0,20.0,,132.1,129.5,
135,E14001208,Ealing North,1.0,28.0,77.0,0.09,101.09,447.07
136,E14001209,Ealing Southall,7.0,38.0,36.0,11.68,69.37,64.14
137,E14001210,Earley and Woodley,10.0,24.0,47.0,81.55,289.75,654.0
138,E14001211,Easington,795.0,1101.0,871.0,2328.38,5278.66,4400.84
139,E14001212,East Grinstead and Uckfield,1005.0,1451.0,1586.0,10911.87,15423.22,16398.87
140,E14001213,East Ham,26.0,30.0,34.0,83.16,75.25,128.75
141,E14001214,East Hampshire,174.0,509.0,464.0,1703.82,7819.55,7012.74
142,E14001215,East Surrey,356.0,633.0,686.0,3451.27,7363.72,7861.71
143,E14001216,East Thanet,0.0,0.0,0.0,0.0,0.0,0.0
144,E14001217,East Wiltshire,217.0,1031.0,1357.0,3551.57,16135.65,20835.6
145,E14001218,East Worthing and Shoreham,13.0,13.0,6.0,4.01,5.75,3.5
146,E14001220,Eastleigh,65.0,134.0,130.0,721.82,1488.4,1440.5
147,E14001221,Edmonton and Winchmore Hill,15.0,18.0,26.0,120.63,110.75,230.75
148,E14001222,Ellesmere Port and Bromborough,220.0,178.0,198.0,383.93,536.28,730.62
149,E14001223,Eltham and Chislehurst,0.0,2.0,0.0,0.0,0.6,0.0
150,E14001224,Ely and East Cambridgeshire,386.0,925.0,1307.0,1659.15,8524.4,11692.77
151,E14001225,Enfield North,0.0,0.0,0.0,0.0,0.0,0.0
152,E14001226,Epping Forest,92.0,202.0,212.0,545.2,1160.57,1500.9
153,E14001227,Epsom and Ewell,53.0,76.0,93.0,719.65,989.75,1261.5
154,E14001228,Erewash,443.0,903.0,635.0,3450.65,9865.84,5706.25
155,E14001229,Erith and Thamesmead,6.0,0.0,,54.68,0.0,
156,E14001230,Esher and Walton,29.0,87.0,78.0,305.51,1071.25,1262.0
157,E14001231,Exeter,426.0,710.0,550.0,1057.52,1145.11,1269.18
158,E14001232,Exmouth and Exeter East,625.0,1079.0,967.0,3394.1,11369.53,8783.53
159,E14001233,Fareham and Waterlooville,311.0,579.0,403.0,2263.89,6221.04,4355.94
160,E14001234,Farnham and Bordon,186.0,242.0,203.0,1738.83,2407.2,1726.3
161,E14001235,Faversham and Mid Kent,163.0,191.0,163.0,291.47,664.92,862.41
162,E14001236,Feltham and Heston,0.0,3.0,2.0,0.0,3.25,1.47
163,E14001237,Filton and Bradley Stoke,96.0,212.0,207.0,383.81,1279.98,1538.55
164,E14001238,Finchley and Golders Green,21.0,33.0,37.0,40.93,34.21,58.9
165,E14001239,Folkestone and Hythe,33.0,46.0,25.0,564.43,852.12,365.82
166,E14001240,Forest of Dean,852.0,1262.0,1674.0,5578.59,12981.14,17542.67
167,E14001241,Frome and East Somerset,1708.0,2756.0,2858.0,8322.9,18441.36,19594.18
168,E14001242,Fylde,1067.0,1443.0,1091.0,4687.05,7807.55,5132.68
169,E14001243,Gainsborough,594.0,1119.0,876.0,3855.95,11264.52,8166.62
170,E14001244,Gateshead Central and Whickham,1354.0,1977.0,1540.0,3578.62,8514.86,6485.04
171,E14001245,Gedling,225.0,501.0,461.0,224.06,1742.12,1736.85
172,E14001246,Gillingham and Rainham,89.0,116.0,7.0,249.18,631.8,1.25
173,E14001247,Glastonbury and Somerton,1919.0,3384.0,3700.0,18407.06,42504.32,45058.31
174,E14001248,Gloucester,147.0,198.0,205.0,428.63,1486.51,1146.37
175,E14001249,Godalming and Ash,191.0,246.0,387.0,1614.99,1465.54,4297.14
176,E14001250,Goole and Pocklington,1285.0,1963.0,1850.0,4207.12,12889.67,14130.74
177,E14001251,Gorton and Denton,720.0,981.0,680.0,1607.54,4845.58,2037.28
178,E14001252,Gosport,95.0,164.0,102.0,378.37,866.23,296.36
179,E14001253,Grantham and Bourne,473.0,684.0,973.0,2524.05,6746.42,9227.25
180,E14001254,Gravesham,42.0,81.0,43.0,53.5,249.25,32.33
181,E14001255,Great Grimsby and Cleethorpes,10.0,17.0,15.0,14.33,13.63,13.38
182,E14001256,Great Yarmouth,265.0,473.0,320.0,184.1,460.65,343.82
183,E14001257,Greenwich and Woolwich,,8.0,3.0,,41.0,1.47
184,E14001258,Guildford,53.0,78.0,203.0,337.01,588.45,1725.66
185,E14001259,Hackney North and Stoke Newington,3.0,,,10.29,,
186,E14001261,Halesowen,182.0,214.0,246.0,762.62,1174.65,1315.89
187,E14001262,Halifax,1332.0,1838.0,1493.0,4608.61,10510.72,7768.03
188,E14001263,Hamble Valley,152.0,375.0,429.0,1181.37,3995.15,3836.01
189,E14001264,Hammersmith and Chiswick,11.0,10.0,6.0,24.15,5.16,7.96
190,E14001266,"Harborough, Oadby and Wigston",507.0,1088.0,1100.0,3035.63,10851.79,11258.9
191,E14001267,Harlow,176.0,404.0,364.0,2529.62,5153.75,4804.0
192,E14001268,Harpenden and Berkhamsted,29.0,45.0,427.0,168.27,288.5,5951.18
193,E14001269,Harrogate and Knaresborough,975.0,1514.0,1339.0,3081.58,6568.91,5109.25
194,E14001270,Harrow East,84.0,111.0,126.0,196.74,222.07,290.29
195,E14001271,Harrow West,0.0,,,0.0,,
196,E14001272,Hartlepool,316.0,404.0,418.0,1083.98,1791.82,1846.47
197,E14001273,Harwich and North Essex,177.0,533.0,677.0,545.42,3746.34,5642.37
198,E14001274,Hastings and Rye,524.0,929.0,827.0,2969.61,7845.09,6721.7
199,E14001275,Havant,16.0,35.0,11.0,64.32,249.78,50.96
200,E14001276,Hayes and Harlington,0.0,,,0.0,,
201,E14001277,Hazel Grove,957.0,1146.0,909.0,5051.22,7389.06,5916.18
202,E14001279,Hendon,21.0,151.0,107.0,53.73,384.2,464.62
203,E14001280,Henley and Thame,190.0,553.0,1093.0,2195.48,7205.3,16641.83
204,E14001281,Hereford and South Herefordshire,550.0,509.0,910.0,2186.0,2692.75,6101.5
205,E14001282,Herne Bay and Sandwich,37.0,91.0,73.0,189.19,589.7,465.3
206,E14001283,Hertford and Stortford,35.0,54.0,64.0,168.24,331.77,395.95
207,E14001284,Hertsmere,0.0,3.0,18.0,0.0,1.53,43.0
208,E14001285,Hexham,2722.0,4102.0,4038.0,15991.24,31474.26,28250.3
209,E14001286,Heywood and Middleton North,961.0,1509.0,944.0,6697.54,9685.35,4879.98
210,E14001287,High Peak,1760.0,2861.0,2197.0,14825.24,24014.97,14625.53
211,E14001288,Hinckley and Bosworth,840.0,1301.0,1437.0,4415.2,8698.89,10908.59
212,E14001289,Hitchin,78.0,145.0,219.0,354.28,532.89,2097.6
213,E14001291,Honiton and Sidmouth,1961.0,3436.0,3747.0,15407.83,35486.59,46396.88
214,E14001292,Hornchurch and Upminster,28.0,45.0,46.0,360.13,529.5,490.75
215,E14001293,Hornsey and Friern Barnet,2.0,1.0,1.0,3.73,1.5,2.0
216,E14001294,Horsham,533.0,892.0,801.0,6703.75,11172.45,8782.08
217,E14001295,Houghton and Sunderland South,485.0,823.0,628.0,808.43,3005.64,2239.5
218,E14001297,Huddersfield,1832.0,2319.0,1877.0,5411.23,11722.17,7112.74
219,E14001298,Huntingdon,604.0,911.0,1486.0,5967.91,10568.59,19994.12
220,E14001299,Hyndburn,672.0,997.0,754.0,2941.43,6018.92,2090.97
221,E14001300,Ilford North,24.0,97.0,106.0,34.61,61.4,109.71
222,E14001301,Ilford South,42.0,57.0,60.0,129.43,171.61,254.0
223,E14001302,Ipswich,177.0,161.0,197.0,130.2,202.63,290.98
224,E14001303,Isle of Wight East,463.0,941.0,809.0,2421.92,7606.14,5736.98
225,E14001304,Isle of Wight West,732.0,1420.0,1224.0,5213.0,13997.64,10359.77
226,E14001307,Jarrow and Gateshead East,1080.0,1648.0,1110.0,4608.95,10252.46,5540.73
227,E14001308,Keighley and Ilkley,1764.0,2436.0,1935.0,7652.96,15207.32,9750.34
228,E14001309,Kenilworth and Southam,1225.0,1826.0,2414.0,8538.99,15853.17,29575.23
229,E14001311,Kettering,320.0,678.0,1462.0,1183.75,4197.73,13373.3
230,E14001312,Kingston and Surbiton,14.0,43.0,35.0,74.55,197.04,205.24
231,E14001313,Kingston upon Hull East,23.0,176.0,194.0,95.5,2278.4,2475.0
232,E14001314,Kingston upon Hull North and Cottingham,0.0,0.0,30.0,0.0,0.0,24.25
233,E14001315,Kingston upon Hull West and Haltemprice,93.0,83.0,56.0,91.0,116.0,102.25
234,E14001316,Kingswinford and South Staffordshire,310.0,272.0,380.0,1506.69,1482.44,1369.17
235,E14001317,Knowsley,60.0,102.0,83.0,142.4,378.19,206.29
236,E14001318,Lancaster and Wyre,729.0,1191.0,1032.0,2775.85,9905.42,6621.94
237,E14001319,Leeds Central and Headingley,741.0,1058.0,977.0,1146.65,2354.87,2166.57
238,E14001320,Leeds East,263.0,332.0,383.0,839.5,919.83,1200.5
239,E14001321,Leeds North East,752.0,916.0,804.0,1456.07,2130.95,1738.03
240,E14001322,Leeds North West,756.0,1109.0,1019.0,3769.92,8503.41,5088.0
241,E14001323,Leeds South,415.0,626.0,785.0,2149.83,4318.83,3783.75
242,E14001324,Leeds South West and Morley,450.0,633.0,534.0,930.25,1454.75,1285.75
243,E14001325,Leeds West and Pudsey,772.0,1277.0,1180.0,3078.83,6309.8,5120.26
244,E14001326,Leicester East,50.0,68.0,56.0,136.04,147.85,119.82
245,E14001327,Leicester South,25.0,50.0,144.0,22.06,47.16,583.21
246,E14001328,Leicester West,99.0,133.0,193.0,187.03,374.79,980.29
247,E14001329,Leigh and Atherton,816.0,1322.0,684.0,6392.85,10417.18,3036.55
248,E14001330,Lewes,876.0,1582.0,1514.0,10085.8,19348.52,17631.25
249,E14001331,Lewisham East,0.0,,,0.0,,
250,E14001332,Lewisham North,5.0,8.0,9.0,8.84,7.4,11.97
251,E14001334,Leyton and Wanstead,39.0,69.0,103.0,95.73,120.76,230.66
252,E14001335,Lichfield,570.0,787.0,814.0,5046.48,7790.41,8021.12
253,E14001336,Lincoln,38.0,88.0,102.0,215.3,1233.42,1083.68
254,E14001337,Liverpool Garston,156.0,255.0,164.0,1335.2,2044.44,1357.62
255,E14001338,Liverpool Riverside,14.0,14.0,35.0,6.2,4.32,17.78
256,E14001339,Liverpool Walton,29.0,75.0,72.0,54.96,821.12,449.82
257,E14001340,Liverpool Wavertree,6.0,12.0,24.0,10.35,11.2,34.24
258,E14001341,Liverpool West Derby,0.0,0.0,23.0,0.0,0.0,13.27
259,E14001342,Loughborough,505.0,667.0,603.0,1668.31,3670.27,4325.92
260,E14001343,Louth and Horncastle,771.0,1447.0,1183.0,2671.97,11853.83,11459.03
261,E14001344,Lowestoft,200.0,387.0,360.0,268.9,1104.61,708.15
262,E14001345,Luton North,0.0,3.0,7.0,0.0,3.07,6.7
263,E14001346,Luton South and South Bedfordshire,28.0,159.0,282.0,124.62,2179.41,3412.07
264,E14001347,Macclesfield,411.0,696.0,650.0,1482.38,2962.88,3612.02
265,E14001348,Maidenhead,43.0,83.0,76.0,465.74,827.55,843.0
266,E14001349,Maidstone and Malling,26.0,43.0,74.0,36.49,172.59,187.81
267,E14001350,Makerfield,877.0,1520.0,1176.0,2656.97,9294.22,7614.8
268,E14001351,Maldon,363.0,618.0,555.0,2728.25,5238.62,5035.82
269,E14001352,Manchester Central,611.0,699.0,500.0,1897.65,3628.08,1346.58
270,E14001353,Manchester Rusholme,130.0,118.0,111.0,427.29,310.49,141.87
271,E14001354,Manchester Withington,194.0,410.0,334.0,397.09,1627.9,3069.59
272,E14001355,Mansfield,424.0,590.0,465.0,1078.71,2385.91,1357.23
273,E14001356,Melksham and Devizes,1228.0,2174.0,2631.0,10037.01,25682.97,27418.48
274,E14001357,Melton and Syston,1327.0,1698.0,1691.0,7579.78,13390.27,13842.71
275,E14001358,Meriden and Solihull East,283.0,545.0,453.0,3365.28,7538.14,5057.4
276,E14001359,Mid Bedfordshire,68.0,277.0,642.0,685.5,3427.29,7742.08
277,E14001360,Mid Buckinghamshire,407.0,712.0,1011.0,5296.04,9640.5,15175.63
278,E14001361,Mid Cheshire,928.0,1367.0,999.0,2560.25,4982.85,2992.49
279,E14001362,Mid Derbyshire,1085.0,1375.0,1272.0,4957.17,7224.52,6282.26
280,E14001363,Mid Dorset and North Poole,324.0,526.0,527.0,1829.74,4272.33,3800.7
281,E14001364,Mid Leicestershire,507.0,971.0,975.0,1550.9,6323.41,6662.71
282,E14001365,Mid Norfolk,64.0,309.0,470.0,216.5,3093.27,6194.72
283,E14001366,Mid Sussex,440.0,644.0,754.0,3166.77,5563.24,5950.25
284,E14001367,Middlesbrough and Thornaby East,344.0,508.0,431.0,590.45,1534.66,1611.5
285,E14001368,Middlesbrough South and East Cleveland,322.0,707.0,772.0,863.15,3561.97,4644.61
286,E14001370,Milton Keynes North,60.0,228.0,689.0,491.25,2097.33,8655.07
287,E14001371,Mitcham and Morden,0.0,2.0,1.0,0.0,1.0,3.0
288,E14001372,Morecambe and Lunesdale,1127.0,1820.0,1725.0,4346.04,15294.58,9976.47
289,E14001373,New Forest East,329.0,693.0,725.0,2980.47,8673.29,8995.55
290,E14001374,New Forest West,111.0,397.0,354.0,804.72,5615.32,4248.57
291,E14001375,Newark,857.0,1879.0,1658.0,5412.07,19130.87,17594.4
292,E14001376,Newbury,102.0,266.0,512.0,1264.78,3578.42,8956.75
293,E14001377,Newcastle upon Tyne Central and West,378.0,532.0,494.0,951.59,1864.11,1715.7
294,E14001378,Newcastle upon Tyne East and Wallsend,632.0,815.0,726.0,2165.7,4879.57,3692.49
295,E14001379,Newcastle upon Tyne North,104.0,193.0,140.0,337.47,1134.24,913.41
296,E14001380,Newcastle-under-Lyme,373.0,564.0,718.0,1301.58,2357.36,3661.69
297,E14001381,Newton Abbot,1402.0,2001.0,1606.0,7408.5,13488.14,9023.33
298,E14001382,Newton Aycliffe and Spennymoor,1308.0,2030.0,1605.0,3692.84,10942.54,8221.27
299,E14001383,Normanton and Hemsworth,673.0,1102.0,806.0,4230.41,10230.28,5279.5
300,E14001384,North Bedfordshire,328.0,437.0,974.0,2362.0,5916.58,13980.5
301,E14001385,North Cornwall,2667.0,3529.0,3270.0,22589.23,35801.43,35832.36
302,E14001386,North Cotswolds,437.0,780.0,970.0,6094.16,11733.08,13725.68
303,E14001387,North Devon,1913.0,3812.0,3217.0,18637.1,36038.75,32965.45
304,E14001388,North Dorset,978.0,1897.0,2044.0,9098.21,24278.47,25986.28
305,E14001389,North Durham,1880.0,2816.0,2023.0,6004.19,16637.87,11226.23
306,E14001390,North East Cambridgeshire,265.0,456.0,566.0,2168.75,4872.91,6047.6
307,E14001391,North East Derbyshire,1407.0,2003.0,1486.0,7983.1,16176.3,9047.06
308,E14001392,North East Hampshire,243.0,415.0,571.0,2799.74,6040.31,7473.9
309,E14001393,North East Hertfordshire,224.0,381.0,537.0,1880.8,4429.7,7536.22
310,E14001394,North East Somerset and Hanham,1352.0,2252.0,2398.0,9268.64,21034.74,23562.84
311,E14001395,North Herefordshire,1073.0,1310.0,1734.0,5250.48,8635.4,11602.27
312,E14001396,North Norfolk,189.0,359.0,426.0,2662.75,3414.66,6617.75
313,E14001397,North Northumberland,2457.0,3606.0,3979.0,9707.17,28178.64,31880.22
314,E14001398,North Shropshire,496.0,800.0,864.0,1522.31,3962.13,7711.49
315,E14001399,North Somerset,150.0,485.0,376.0,981.39,5345.16,2954.6
316,E14001400,North Warwickshire and Bedworth,783.0,1177.0,1050.0,4501.76,10315.77,8355.44
317,E14001401,North West Cambridgeshire,61.0,228.0,577.0,729.75,2887.58,7338.6
318,E14001402,North West Essex,167.0,329.0,461.0,707.68,2600.82,3663.08
319,E14001403,North West Hampshire,213.0,483.0,608.0,2507.67,6647.95,9653.96
320,E14001404,North West Leicestershire,1076.0,1635.0,1516.0,9143.64,14480.51,13798.39
321,E14001405,North West Norfolk,348.0,804.0,822.0,669.91,4941.64,4020.55
322,E14001406,Northampton North,181.0,173.0,332.0,76.27,179.4,854.32
323,E14001407,Northampton South,65.0,132.0,204.0,89.37,286.82,549.45
324,E14001408,Norwich North,20.0,76.0,89.0,146.25,179.0,167.25
325,E14001409,Norwich South,259.0,305.0,348.0,384.21,635.04,883.13
